,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prostate cancer,0.4393525442986331,2.8723320582164473,0.0,0.0,0.0,43/89,11.80%,ARAF;GRB2;CDKN1B;CDKN1A;RAF1;AKT1;CREBBP;NFKBIA;NRAS;FGFR1;HSP90AB1;CREB3;MTOR;TCF7;BRAF;BAD;GSK3B;FGFR2;MAP2K1;EGFR;ZEB1;KRAS;MAPK1;CDK2;HSP90AA1;ERG;PLAT;TP53;PIK3R3;CREB3L2;CTNNB1;GSTP1;CCNE1;PDPK1;CCND1;FOXO1;ATF4;PTEN;RELA;ERBB2;EP300;PIK3CA;MAP2K2
1,prerank,Colorectal cancer,0.4232441616709626,2.7462253094108147,0.0,0.0,0.0,37/79,11.85%,ARAF;GRB2;CDKN1A;RAF1;AKT1;MYC;SMAD3;NRAS;MAPK8;RAC1;JUN;SMAD4;MTOR;CASP3;TCF7;BRAF;RALGDS;BAD;GSK3B;MAP2K1;EGFR;KRAS;MAPK1;MSH6;TP53;PIK3R3;CTNNB1;RPS6KB1;GADD45A;PMAIP1;CCND1;RALA;BBC3;PIK3CA;TGFB1;MAP2K2;AXIN2
2,prerank,Endometrial cancer,0.4698340460451651,2.7409557200959247,0.0,0.0,0.0,27/53,11.85%,ARAF;GRB2;CDKN1A;RAF1;FOXO3;AKT1;MYC;NRAS;TCF7;BRAF;BAD;GSK3B;MAP2K1;EGFR;KRAS;MAPK1;TP53;PIK3R3;CTNNB1;GADD45A;PDPK1;CCND1;PTEN;ERBB2;PIK3CA;MAP2K2;AXIN2
3,prerank,Thyroid hormone signaling pathway,0.4145041767965684,2.731678125009954,0.0,0.0,0.0,43/95,12.11%,SRC;MED4;RAF1;AKT1;NOTCH1;SLC9A1;CREBBP;MYC;NRAS;HDAC2;STAT1;SIN3A;PRKACB;MED1;MED12L;MTOR;BAD;GSK3B;MAP2K1;ITGAV;KRAS;ACTB;MAPK1;ATP1A3;PRKACA;TP53;ATP1B1;PIK3R3;CTNNB1;PLCG1;PDPK1;ATP1B2;CCND1;FOXO1;PRKCB;RXRG;EP300;NCOA2;PIK3CA;ESR1;RHEB;MAP2K2;MED12
4,prerank,Cell cycle,0.4116303978126207,2.7200548299284026,0.0,0.0,0.0,56/94,27.69%,CDKN2C;CDKN1B;CDK4;CDKN1A;CCNA2;CDC7;CREBBP;MYC;SMAD3;SMC3;HDAC2;PRKDC;ATR;CDK1;E2F5;SMAD4;CCNB1;TTK;CDC6;CCNH;GSK3B;CDK2;TP53;BUB1B;CDK7;ESPL1;WEE1;CDK6;CCNE1;PLK1;TFDP1;PTTG1;GADD45A;CCND1;YWHAZ;EP300;SMC1A;TGFB1;MCM3;ANAPC5;CCNA1;RB1;MCM6;CHEK1;ATM;HDAC1;BUB3;GADD45B;CCND2;ABL1;CDC25A;CDC45;SKP1;MDM2;WEE2;RBL2
5,prerank,Pancreatic cancer,0.42181675435494564,2.6611996343665036,0.0,0.0,0.0,33/71,11.21%,ARAF;CDK4;CDKN1A;RAF1;AKT1;SMAD3;MAPK8;STAT1;RAC1;SMAD4;MTOR;BRAF;VEGFA;RALGDS;BAD;MAP2K1;EGFR;KRAS;MAPK1;TP53;PIK3R3;CDC42;RAD51;CDK6;RPS6KB1;GADD45A;CCND1;RALA;RELA;ERBB2;STAT3;PIK3CA;TGFB1
6,prerank,Cellular senescence,0.36776713426733915,2.578504813357271,0.0,0.0,0.0,75/135,26.20%,CDK4;CDKN1A;RAF1;FOXO3;CCNA2;AKT1;MYC;HLA-B;SMAD3;NRAS;HUS1;ATR;RAD9A;CDK1;E2F5;PPP3R1;ZFP36L1;CCNB1;MTOR;MAP2K3;SIRT1;HIPK1;MAP2K1;ETS1;KRAS;MAPK12;MAPK1;PPP1CA;CDK2;VDAC1;TP53;PIK3R3;CDK6;CCNE1;GADD45A;CCND1;FOXO1;KIR2DL1;PPP3CA;PTEN;RELA;EIF4EBP1;PIK3CA;TGFB1;KIR2DL4;RHEB;RAD1;MAP2K2;CCNA1;ITPR1;RB1;SLC25A4;FBXW11;MAPKAPK2;CHEK1;TGFBR2;BTRC;PIK3R1;ATM;CALM2;MYBL2;GADD45B;IL6;SQSTM1;CCND2;FOXM1;TRAF3IP2;CALM3;CDC25A;NFKB1;HLA-A;RASSF5;CALML6;MDM2;PIK3R2
7,prerank,ErbB signaling pathway,0.38265247040898387,2.4705446400631086,0.0,0.00025791084628892845,0.002,33/79,12.99%,ARAF;SRC;GRB2;CDKN1B;CRKL;CDKN1A;RAF1;AKT1;MYC;NRAS;MAPK8;JUN;PTK2;MTOR;ABL2;BRAF;BAD;GSK3B;MAP2K1;EGFR;KRAS;MAPK1;SHC4;PIK3R3;RPS6KB1;PLCG1;PRKCB;ERBB2;NRG1;EIF4EBP1;PIK3CA;MAP2K2;PAK4
8,prerank,Human T-cell leukemia virus 1 infection,0.33545372125525086,2.4556923379225073,0.0,0.0003438811283852379,0.003,156/189,54.37%,IL2RA;CDKN2C;CDK4;CDKN1A;CCNA2;AKT1;TNFRSF13C;CD40;HLA-DRB4;CREBBP;NFKBIA;MYC;HLA-B;SMAD3;NRAS;MAPK8;NFYB;CREB3;TRRAP;KAT5;ATR;EGR1;PRKACB;JUN;SMAD4;PPP3R1;MAP2K1;ETS1;KRAS;MAPK1;ADCY3;CDK2;ETS2;VDAC1;HLA-DMA;HLA-DOA;PRKACA;TP53;MSX1;BUB1B;CANX;PIK3R3;CREB3L2;ESPL1;CCNE1;PTTG1;XIAP;XPO1;CCND1;PPP3CA;ATF4;FDPS;NRP1;PTEN;RELA;EP300;SPI1;PIK3CA;TGFB1;EGR2;MAP2K2;HLA-DQA2;ANAPC5;CCNA1;RB1;SLC25A4;JAK1;CHEK1;KAT2A;TGFBR2;TNF;LTBR;SRF;PIK3R1;ATM;RAN;CREB1;ADCY9;MAP2K4;BUB3;CD3G;MAP3K14;HLA-DRB3;IL6;CCND2;BCL2L1;NFKB1;JAK3;HLA-DRB5;HLA-A;LTA;MAP3K1;PIK3R2;HLA-DRA;ADCY1;IL1R2;RELB;NFATC3;B2M;LCK;POLB;HLA-DQB1;CALR;ATF2;SMAD2;IL15;MSX2;FOSL1;NFATC1;HLA-DRB1;TGFB3;E2F1;HLA-DOB;NFATC2;IKBKG;TSPO;IKBKB;SLC25A5;ADCY2;CCND3;ELK4;CDC20;CD4;MAPK9;CSF2;IL2RG;TGFB2;CDKN2B;SLC2A1;PRKACG;NFKB2;HLA-DPB1;IL2RB;CCNB2;HLA-DPA1;TGFBR1;PIK3CB;BAX;TBP;ITGB2;PPP3CB;MAPK3;CHUK;FOS;PIK3CD;HLA-DQA1;CREB3L4;STAT5A;TNFRSF1A;CREB3L1;MAP3K3;IL2;ICAM1;IL1R1;MMP7;AKT3
9,prerank,Viral carcinogenesis,0.3455521967692379,2.444814789631997,0.0,0.00030949301554671413,0.003,85/141,33.14%,SRC;LYN;GRB2;CDKN1B;CDK4;USP7;REL;CDKN1A;SP100;CCNA2;CREBBP;NFKBIA;HLA-B;NRAS;HDAC2;CREB3;HDAC6;PRKACB;RAC1;CDK1;JUN;CASP3;PKM;CASP8;BAD;KRAS;MAPK1;CDK2;PRKACA;TRAF1;TP53;PIK3R3;CREB3L2;CDC42;CDK6;CCNE1;PMAIP1;CCND1;ATF4;YWHAZ;RELA;EP300;STAT3;PIK3CA;EGR2;CHD4;GTF2H2;CCNA1;HIST2H2BE;RHOA;RB1;JAK1;TRAF3;MAPKAPK2;CHEK1;KAT2A;LTBR;SRF;PIK3R1;GTF2H1;CREB1;HDAC1;EIF2AK2;CCND2;GTF2E2;NFKB1;JAK3;HLA-A;EGR3;MDM2;HIST1H2BJ;PIK3R2;HIST1H2BD;RBL2;HIST1H2BK;IL6ST;POLB;SKP2;CCR5;SNW1;HDAC9;ATF2;DNAJA3;TRAF5;HDAC5
10,prerank,Chronic myeloid leukemia,0.3859224957687549,2.4359368586150674,0.0,0.0002813572868606492,0.003,40/71,26.20%,ARAF;GRB2;CDKN1B;CDK4;CRKL;CDKN1A;RAF1;AKT1;NFKBIA;MYC;SMAD3;NRAS;HDAC2;SMAD4;BRAF;BAD;MAP2K1;KRAS;MAPK1;SHC4;TP53;PIK3R3;CDK6;GADD45A;CCND1;RELA;PIK3CA;TGFB1;MAP2K2;RB1;TGFBR2;PIK3R1;HDAC1;GADD45B;RUNX1;ABL1;BCL2L1;NFKB1;MDM2;PIK3R2
11,prerank,Non-small cell lung cancer,0.3899944415825509,2.393813090091994,0.0,0.00034388112838523786,0.004,37/63,27.70%,ARAF;GRB2;CDK4;CDKN1A;RAF1;FOXO3;AKT1;NRAS;BRAF;BAD;MAP2K1;EGFR;KRAS;MAPK1;TP53;PIK3R3;CDK6;PLCG1;GADD45A;PDPK1;CCND1;PRKCB;RXRG;ERBB2;STAT3;PIK3CA;MAP2K2;RB1;FHIT;PIK3R1;RXRA;GADD45B;JAK3;RASSF5;PIK3R2;EML4;CASP9
12,prerank,Bladder cancer,0.4379202572357905,2.3834732517137467,0.0,0.0003967859173675822,0.005,18/39,11.80%,ARAF;SRC;CDK4;CDKN1A;RAF1;MYC;NRAS;BRAF;VEGFA;MAP2K1;EGFR;KRAS;MAPK1;MMP2;TP53;CCND1;ERBB2;MAP2K2
