,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4492756619936288,2.4095454870241553,0.0,0.0,0.0,63/89,35.53%,JUN;AKT1;PIM1;TGFBR1;MAPK12;FN1;BCL2;VEGFA;STAT3;MAPK3;SMAD4;EDN1;NOX1;COL1A2;RAC1;NFATC1;PLCG2;VEGFC;HRAS;MAPK14;SMAD3;AGT;AGTR1;SERPINE1;PLCD1;PRKCD;SMAD2;COL4A2;IL1B;RELA;TGFBR2;FOXO1;ICAM1;PIK3CD;TGFB3;MAPK9;PRKCB;COL4A4;EGR1;JAK2;PIK3CB;PRKCE;NFKB1;F3;PIK3R1;PIK3R3;MAPK1;MMP2;TNF;CASP3;THBD;CCL2;PLCE1;CDK4;CDC42;NRAS;CXCL8;PLCB1;TGFB1;PIK3CA;MAPK13;CDKN1B;VEGFB
1,prerank,Relaxin signaling pathway,0.39409156412213553,2.164830564567276,0.0,0.0045812758463099,0.009,69/103,38.13%,RAF1;JUN;AKT1;TGFBR1;ADCY5;ADCY7;MAPK12;GNAI2;VEGFA;CREB5;MAPK3;EDN1;ADCY9;PRKACG;COL1A2;GNG12;SOS1;ATF4;VEGFC;CREB3L1;HRAS;MAPK14;SMAD3;GNAS;CREB3L2;EGFR;PRKACB;SMAD2;SHC4;COL4A2;GNG4;MAP2K4;RELA;TGFBR2;GNAI3;SHC1;MAP2K1;PIK3CD;GRB2;MAPK9;COL4A4;ADCY2;MMP13;PIK3CB;ADCY3;PRKACA;NFKB1;PIK3R1;PIK3R3;SOS2;MAPK1;MMP2;RXFP4;NRAS;CREB1;GNB5;EDNRB;PLCB1;CREB3L4;TGFB1;PIK3CA;MAPK13;GNG8;GNA15;VEGFB;NFKBIA;ARRB1;GNB4;FOS
2,prerank,Viral myocarditis,0.45061274307337973,2.155292423836809,0.0,0.003393537663933259,0.01,34/45,37.82%,CAV1;FYN;CXADR;EIF4G1;CD55;HLA-DRB5;CASP8;HLA-DRB3;ITGB2;RAC1;HLA-DQB1;ACTG1;ABL1;ACTB;HLA-DPB1;HLA-DMB;SGCB;HLA-DRA;HLA-DOA;ICAM1;HLA-DOB;CASP9;HLA-DPA1;RAC3;CASP3;PRF1;CD40;HLA-DQA1;HLA-A;DMD;DAG1;CD86;CCND1;CYCS
3,prerank,GnRH signaling pathway,0.40727106556739234,2.1397583487420735,0.0,0.0027996685727449387,0.011,48/79,33.07%,RAF1;JUN;ADCY5;ADCY7;CACNA1S;MAPK12;ITPR1;MAPK3;GNRHR;ITPR3;ADCY9;PRKACG;CACNA1C;MAP3K4;SOS1;ATF4;HRAS;MAPK14;GNAS;EGFR;PRKACB;CACNA1F;MAP2K3;PRKCD;PLD2;MAP3K1;JMJD7-PLA2G4B;CAMK2G;MAP2K4;MAP2K1;GRB2;MAPK9;PRKCB;CAMK2D;EGR1;ADCY2;ADCY3;CALM3;CAMK2A;PRKACA;SOS2;MAPK1;MMP2;MMP14;CDC42;NRAS;PLA2G4A;PLCB1
4,prerank,Human T-cell leukemia virus 1 infection,0.3549224462499074,2.095933558882565,0.0,0.004275857456555907,0.021,111/189,34.98%,B2M;JUN;AKT1;IL15RA;SRF;BUB1B;TGFBR1;ADCY5;ADCY7;HLA-DRB5;SLC25A4;LCK;IKBKG;JAK1;CREB5;MAPK3;SMAD4;HLA-DRB3;ADCY9;PRKACG;CCNA2;ITGB2;TSPO;NFATC1;HLA-DQB1;ATF4;CREB3L1;HRAS;CCND2;SMAD3;RB1;MAP3K14;NFATC3;CREB3L2;PRKACB;TP53;SMAD2;HLA-DPB1;IKBKB;CREBBP;MAP3K1;SLC2A1;SLC25A5;CHEK1;POLB;MAP2K4;HLA-DMB;CSF2;RELA;TGFBR2;PPP3R2;HLA-DRA;HLA-DOA;MAP2K1;JAK3;ICAM1;PIK3CD;E2F1;HLA-DOB;IL2;IL2RB;TGFB3;CDKN1A;MAPK9;NFYB;CD3G;ATR;EP300;KAT2A;EGR1;HLA-DPA1;ADCY2;CDC20;CCND3;PIK3CB;IL1R2;ADCY3;SLC25A6;LTBR;PTTG1;BCL2L1;CANX;CDK2;ETS2;PRKACA;NFKB1;PIK3R1;PIK3R3;CCNE1;MAPK1;TNF;ANAPC5;CALR;MYC;IL1R1;KAT2B;CDKN2C;CD40;ATM;CDK4;HLA-DQA1;NRAS;CREB1;KAT5;HLA-A;PPP3CA;CREB3L4;TGFB1;PIK3CA;NFATC4;MMP7
5,prerank,Measles,0.37117161487605416,2.0890387743779475,0.0,0.00407224519671991,0.024,109/125,55.20%,JUN;AKT1;TLR4;EIF2AK1;BCL2;CASP8;IFNA2;IKBKG;JAK1;STAT3;IFNA10;CSNK2A2;CCND2;FAS;HSPA1B;NFKBIB;ADAR;IRAK4;TBK1;TP53;IKBKB;IL12A;IL1B;CSNK2A1;RCHY1;EIF2AK2;RELA;TLR9;TRAF3;OAS1;JAK3;TLR2;HSPA1A;PIK3CD;MAP3K7;IL2;IL2RB;MAPK9;CASP9;IFNB1;TAB2;EIF3H;CD3G;IFNA4;CSNK2B;CCND3;PIK3CB;OAS3;BAK1;BCL2L1;IFNAR1;CDK2;HSPA2;NFKB1;PIK3R1;PIK3R3;CCNE1;IFIH1;IRF7;CASP3;APAF1;DDX58;CD46;STAT2;FCGR2B;EIF2AK3;CDK4;IFNA8;PIK3CA;IRAK1;CDKN1B;GSK3B;OAS2;NFKBIA;IKBKE;TYK2;TLR7;CCND1;CYCS;FOS;MYD88;STAT5A;IFNA21;TNFAIP3;TRAF6;IRF9;IFNA7;CD209;BAD;CDK6;STAT1;SLAMF1;IL2RA;AKT3;EIF2AK4;IFNA14;CD3E;MX1;FADD;CBLB;BID;HSPA8;IFNA5;BAX;IL6;CLEC4M;IFNA17;IFNA1;CHUK
6,prerank,Pancreatic cancer,0.39725720799138325,2.083956890761176,0.0,0.003635933211357063,0.025,43/71,31.67%,RAF1;AKT1;TGFBR1;IKBKG;VEGFA;JAK1;BRCA2;STAT3;MAPK3;SMAD4;RAD51;RAC1;SMAD3;RB1;EGFR;ERBB2;TP53;SMAD2;IKBKB;BRAF;RELA;TGFBR2;MAP2K1;PIK3CD;E2F1;TGFB3;CDKN1A;MAPK9;CASP9;PIK3CB;RAC3;BAK1;BCL2L1;RPS6KB2;NFKB1;PIK3R1;RPS6KB1;PIK3R3;MAPK1;RALBP1;CDK4;CDC42;ARAF
7,prerank,Estrogen signaling pathway,0.37666529480136807,2.0547642030669224,0.0,0.004708533508707397,0.037,59/98,34.67%,RAF1;JUN;AKT1;GABBR2;ADCY5;ADCY7;BCL2;GNAI2;ITPR1;CREB5;MAPK3;ITPR3;OPRM1;ADCY9;PRKACG;SOS1;HSP90AB1;ATF4;CREB3L1;HRAS;ESR1;GNAS;CREB3L2;HSPA1B;EGFR;PRKACB;NCOA1;PRKCD;SHC4;NCOA3;GNAI3;SHC1;MAP2K1;HSPA1A;PIK3CD;RARA;GRB2;ADCY2;PIK3CB;PGR;ADCY3;CALM3;GABBR1;PRKACA;HSPA2;PIK3R1;PIK3R3;SOS2;MAPK1;MMP2;POMC;NCOA2;NRAS;CREB1;KRT19;HSP90AA1;PLCB1;CREB3L4;PIK3CA
8,prerank,Alcoholism,0.37560504765424535,2.0473385689233394,0.0,0.004524716885244345,0.04,64/102,36.89%,HDAC8;RAF1;HDAC1;HDAC6;ADCY5;SLC18A2;GNAI2;HIST1H2AL;CREB5;MAPK3;HIST1H2AG;PPP1CA;ADORA2A;HAT1;GNG12;MAOA;SOS1;HIST1H4E;ATF4;CREB3L1;MAOB;HRAS;HIST1H2BD;HIST1H2AC;GNAS;CREB3L2;HIST1H3B;HIST1H3G;HDAC4;SHC4;DRD2;CAMKK1;GNG4;BRAF;HIST1H4I;GNAI3;DRD1;SHC1;MAP2K1;GRB2;HDAC9;NTRK2;TH;HDAC7;CALM3;HIST1H2BK;PRKACA;HIST1H3A;SOS2;MAPK1;SLC29A1;H2AFV;HIST1H2AH;NRAS;ARAF;CREB1;GNB5;CREB3L4;GRIN2D;GNG8;CALM1;GRIN2B;GRIN3B;GRIN1
9,prerank,Hepatitis B,0.3577762656594282,2.0469880375529357,0.0,0.004072245196719911,0.04,92/153,35.07%,RAF1;JUN;AKT1;TLR4;TGFBR1;MAPK12;BCL2;TICAM1;CASP8;IFNA2;IKBKG;JAK1;STAT3;CREB5;MAPK3;SMAD4;IFNA10;CCNA2;SOS1;NFATC1;ATF4;CREB3L1;HRAS;MAPK14;SMAD3;RB1;FAS;NFATC3;CREB3L2;IRAK4;MAP2K3;TBK1;STAT4;TP53;SMAD2;STAT6;IKBKB;CREBBP;MAP3K1;BRAF;MAP2K4;RELA;TGFBR2;TRAF3;MAP2K1;JAK3;TLR2;PIK3CD;E2F1;MAP3K7;BIRC5;TGFB3;GRB2;CDKN1A;MAPK9;PRKCB;CASP9;IFNB1;TAB2;EP300;IFNA4;JAK2;PIK3CB;IFNAR1;CDK2;NFKB1;PIK3R1;PIK3R3;CCNE1;SOS2;MAPK1;IFIH1;IRF7;TNF;CASP3;APAF1;MYC;DDX58;STAT2;NRAS;ARAF;CREB1;HSPG2;CXCL8;CREB3L4;CASP10;IFNA8;TGFB1;PIK3CA;NFATC4;MAPK13;IRAK1
