,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.35167654024774486,2.7931254669671954,0.0,0.0,0.0,94/152,32.92%,JAK2;MAPK14;STAT2;IRAK4;IFNA2;TP53;NFATC4;IRF7;E2F1;STAT4;SMAD4;NFATC3;EP300;IFNA17;IFNA16;NRAS;STAT6;FADD;PIK3CA;TICAM1;JAK3;IKBKE;BID;KRAS;MAPK9;SMAD3;PCNA;AKT3;PRKCG;TBK1;TLR2;GRB2;RAF1;BCL2;PRKCA;PIK3CB;ATF4;TLR4;ATF2;TGFBR1;SMAD2;FAS;HRAS;STAT1;BAX;DDB2;CHUK;TGFB3;CREB3L2;RELA;IFIH1;IFNB1;CCNA2;STAT3;RB1;AKT2;CREB1;CYCS;CREB3L4;JUN;IRAK1;FOS;NFKBIA;DDX58;IKBKB;TAB2;MAPK13;YWHAQ;CDKN1A;TGFBR2;NFATC1;TYK2;MMP9;MAP2K4;MAPK11;CDK2;JAK1;APAF1;CASP8;CASP3;NFKB1;TGFB1;PTK2B;MAP2K7;CCNE1;PIK3CD;CREBBP;SOS2;MYD88;IFNA21;MYC;SOS1;IFNA10;PIK3R1
1,prerank,Kaposi sarcoma-associated herpesvirus infection,0.34158153546068587,2.7332453572596,0.0,0.0,0.0,96/158,32.92%,JAK2;MAPK14;STAT2;IFNA2;TP53;NFATC4;IRF7;E2F1;HLA-A;PIK3R5;TRADD;NFATC3;GNG12;EP300;IFNA17;IFNA16;NRAS;MAPKAPK2;SYK;HIF1A;FADD;PIK3CA;TICAM1;IKBKE;BID;KRAS;MAPK9;CCR4;AKT3;CCR5;TBK1;RAF1;PIK3CB;CDK4;CXCL2;FAS;HRAS;STAT1;BAX;CHUK;C3;RELA;BECN1;LYN;IFNB1;CALM3;STAT3;RB1;AKT2;PPP3CA;CREB1;CYCS;JUN;GNG4;FOS;NFKBIA;PLCG1;GNB4;GNB2;BAK1;IKBKB;CTNNB1;MAPK13;PLCG2;CDKN1A;RAC1;NFATC1;PPP3R2;TYK2;MAP2K4;CCND1;MAPK11;GSK3B;IFNGR1;ICAM1;GNG7;CXCL3;JAK1;GNGT2;FGF2;ITPR1;CALM1;CASP8;CASP3;NFKB1;PIK3C3;MAP2K7;TNFRSF1A;PIK3CD;CREBBP;PTGS2;IFNA21;EIF2AK2;MYC;IFNA10;PIK3R1
2,prerank,Neurotrophin signaling pathway,0.3713554364227405,2.6954670169569805,0.0,0.0,0.0,69/102,36.52%,IRS1;MAPK14;RHOA;IRAK4;TP53;NTRK3;RAP1A;NRAS;MAPKAPK2;NGF;PIK3CA;MAP3K5;KRAS;MAPK9;MAGED1;CAMK2A;AKT3;PRKCD;CDC42;GRB2;RAF1;BCL2;PIK3CB;ATF4;NGFR;NFKBIB;HRAS;BAX;NTRK1;RELA;SHC1;RPS6KA1;PDPK1;CALM3;AKT2;IRAK2;JUN;IRAK1;NFKBIA;PLCG1;IKBKB;MAPK13;ABL1;PLCG2;RAC1;NFKBIE;MAPK11;SORT1;GSK3B;SH2B3;NTRK2;MAPK7;CAMK2G;CALM1;NFKB1;CRK;ZNF274;MAP2K7;PIK3CD;SOS2;RPS6KA5;CAMK2D;PRDM4;SOS1;PIK3R1;FRS2;MAP3K1;MAP2K1;RPS6KA3
3,prerank,Human cytomegalovirus infection,0.32516722948655896,2.6899322387392157,0.0,0.0,0.0,116/196,33.18%,MAPK14;RHOA;IFNA2;TP53;GNA13;NFATC4;RHEB;CCL5;E2F1;RPS6KB1;HLA-A;AKAP13;TRADD;NFATC3;PRKACG;GNG12;TRAF5;IFNA17;IL10RB;PTGER4;IFNA16;NRAS;FADD;PIK3CA;BID;KRAS;IL1B;EGFR;CX3CL1;AKT3;PRKCG;CCR5;TBK1;GRB2;RAF1;PRKCA;PIK3CB;ADCY6;ATF4;CDK4;ATF2;FAS;HRAS;BAX;CHUK;CREB3L2;RELA;ADCY3;IL6R;ARHGEF12;IFNB1;CALM3;STAT3;RB1;AKT2;PPP3CA;CCL2;CREB1;RPS6KB2;CYCS;CREB3L4;PLCB1;PLCB3;GNG4;ROCK1;IL1R1;NFKBIA;GNB4;GNB2;BAK1;IKBKB;CTNNB1;ADCY7;MAPK13;TSC2;B2M;CDKN1A;RAC1;NFATC1;PPP3R2;PRKACA;RAC3;CCND1;MAPK11;GSK3B;TMEM173;GNG7;CXCL12;JAK1;MDM2;PTK2;GNGT2;ITPR1;CALM1;GNAS;PRKACB;CASP8;CASP3;ADCY9;GNA12;NFKB1;CRK;CXCR4;PTK2B;TNFRSF1A;PIK3CD;GNA11;SOS2;PTGS2;IFNA21;MYC;SOS1;IFNA10;PIK3R1;CCL3;GNAI2
4,prerank,Longevity regulating pathway,0.38159229138194056,2.6761017017871946,0.0,0.0,0.0,54/84,32.92%,IRS1;PRKAG1;TP53;STK11;RHEB;PRKAG2;RPS6KB1;PPARG;CAT;PPARGC1A;HSPA1A;PRKACG;RPTOR;NRAS;SOD1;PRKAA1;PIK3CA;KRAS;AKT3;HSPA1B;EHMT1;PIK3CB;ADCY6;ATF4;ATF2;HRAS;BAX;CREB3L2;RELA;ADCY3;INS;PRKAG3;AKT2;CREB1;RPS6KB2;ATG5;CREB3L4;ADCY7;EIF4E;TSC2;PRKACA;FOXO1;IGF1R;PRKACB;HDAC1;ADCY9;SESN1;NFKB1;HSPA2;CLPB;PIK3CD;INSR;SIRT1;PIK3R1
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3723890637663992,2.6671859789240466,0.0,0.0,0.0,66/88,43.36%,JAK2;EGR1;MAPK14;F3;SMAD4;NRAS;FN1;PIK3CA;MMP2;KRAS;MAPK9;SMAD3;IL1B;PRKCE;AKT3;PRKCD;CDC42;BCL2;PRKCA;PIK3CB;NOX1;CDK4;TGFBR1;SMAD2;HRAS;STAT1;BAX;TGFB3;RELA;STAT3;AKT2;VEGFC;CCL2;JUN;PLCB1;PRKCZ;PLCB3;EDN1;PLCG1;MAPK13;PLCG2;TGFBR2;RAC1;NFATC1;CCND1;MAPK11;FOXO1;ICAM1;CASP3;NFKB1;TGFB1;THBD;PIK3CD;PIK3R1;AGTR1;COL4A5;VCAM1;IL6;VEGFB;CYBB;COL4A3;AGT;MAPK1;CDKN1B;MAPK3;PLCD1
6,prerank,Relaxin signaling pathway,0.35427504354608685,2.616549061522581,0.0,0.0,0.0,74/102,42.84%,MAPK14;PRKACG;GNG12;NRAS;PIK3CA;MMP2;KRAS;MAPK9;SMAD3;EGFR;AKT3;GRB2;RAF1;PRKCA;PIK3CB;ADCY6;ATF4;ATF2;TGFBR1;SMAD2;HRAS;GNA15;CREB3L2;RELA;ADCY3;SHC1;AKT2;VEGFC;CREB1;CREB3L4;JUN;PLCB1;PRKCZ;PLCB3;EDNRB;GNG4;FOS;EDN1;NFKBIA;GNB4;GNB2;ADCY7;MAPK13;TGFBR2;ACTA2;MMP13;PRKACA;MMP9;MAP2K4;MAPK11;RXFP1;GNG7;GNGT2;GNAS;PRKACB;ADCY9;NFKB1;TGFB1;MAP2K7;PIK3CD;SOS2;SOS1;PIK3R1;GNAI2;COL4A5;MAP2K1;VEGFB;ADCY2;GNAI1;SHC4;COL4A3;MAPK1;GNG8;MAPK3
7,prerank,TNF signaling pathway,0.35453478880663125,2.601060592452573,0.0,0.0,0.0,83/103,50.31%,MAPK14;CCL5;TNFAIP3;TRADD;TRAF5;CASP7;FADD;PIK3CA;MAP3K5;MAPK9;IL1B;CX3CL1;AKT3;CCL20;PIK3CB;ATF4;CSF1;IL15;CXCL2;ATF2;FAS;IL18R1;MAP3K14;RPS6KA4;CFLAR;CHUK;CREB3L2;RELA;DNM1L;IFNB1;AKT2;IRF1;VEGFC;CCL2;CREB1;CREB3L4;JUN;FOS;EDN1;NFKBIA;CXCL5;IKBKB;TAB2;MAPK13;MMP9;MAP2K4;MAPK11;ICAM1;CXCL3;CASP8;CASP3;NFKB1;BIRC2;MAP2K7;TNFRSF1A;PIK3CD;PTGS2;RPS6KA5;CXCL10;PIK3R1;CASP10;MMP14;TRAF2;VCAM1;MAP2K1;IL6;TRAF3;MLKL;LTA;TNFRSF1B;CXCL1;MAPK1;MAPK3;CEBPB;MAP2K3;CREB5;BCL3;IKBKG;MAPK12;MAPK8;JUNB;BIRC3;CREB3
8,prerank,B cell receptor signaling pathway,0.3872109157835011,2.576418220969936,0.0,0.0,0.0,47/67,36.42%,CARD11;NFATC3;NRAS;SYK;PIK3CA;CD79B;KRAS;AKT3;GRB2;RAF1;PIK3CB;MALT1;NFKBIB;CD72;HRAS;BTK;INPPL1;CHUK;RELA;LYN;AKT2;PPP3CA;JUN;FOS;NFKBIA;IKBKB;PLCG2;RAC1;NFATC1;NFKBIE;PPP3R2;RAC3;VAV1;GSK3B;DAPP1;NFKB1;BLNK;PIK3CD;CD81;SOS2;SOS1;PIK3R1;CD79A;FCGR2B;CD19;BCL10;MAP2K1
9,prerank,Th17 cell differentiation,0.3425847698652938,2.5408286756716034,0.0,0.0,0.0,62/107,30.03%,JAK2;FOXP3;MAPK14;IRF4;SMAD4;LCK;HLA-DPA1;NFATC3;STAT6;HIF1A;IFNG;ZAP70;JAK3;MAPK9;SMAD3;IL1B;HSP90AB1;TGFBR1;SMAD2;NFKBIB;STAT1;IL17F;HLA-DRB3;CHUK;RELA;IL1RAP;IL27RA;IL6R;AHR;IL4R;STAT3;IL21;HLA-DRA;PPP3CA;JUN;RORC;RARA;GATA3;FOS;IL1R1;NFKBIA;PLCG1;HLA-DOB;HLA-DMB;IKBKB;LAT;MAPK13;HLA-DQB1;TGFBR2;NFATC1;NFKBIE;RXRA;PPP3R2;TYK2;HSP90AA1;MAPK11;IFNGR1;JAK1;NFKB1;HLA-DRB5;TGFB1;CD247
