,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.38361383932006,2.616925969437906,0.0,0.0,0.0,84/126,35.16%,IRAK4;TP53;SLAMF1;RCHY1;CASP3;JAK1;BCL2;FADD;BAD;PIK3CD;CDK2;FOS;IL2;CCND2;EIF2AK4;HSPA1A;IFNA10;TLR4;CBLB;CSNK2B;APAF1;IRF3;IFNB1;AKT1;IKBKG;OAS1;IL6;JUN;IFNAR1;IRF9;MAPK9;CSNK2A1;CCNE1;BCL2L1;IL12A;TRADD;CDKN1B;IFNA2;ADAR;OAS3;BAK1;CD28;AKT3;CD3D;STAT3;EIF2AK1;IRF7;IFNA8;IFNA14;IL12B;BID;DDX58;CD3E;IL2RA;AKT2;TBK1;IL1B;RELA;TAB2;CSNK2A2;CDK4;NFKBIB;MAP3K7;CASP8;CD46;GSK3B;CHUK;JAK3;CASP9;IFNA21;HSPA1B;IFNA17;IL2RB;EIF2AK2;STAT1;NFKB1;FAS;STAT2;IFIH1;IRAK1;CYCS;IFNA16;TLR7;TLR2
1,prerank,Central carbon metabolism in cancer,0.4066435126529371,2.3763187829682257,0.0,0.000513664999773383,0.001,32/60,20.56%,TP53;HK1;SIRT3;ERBB2;HK3;RET;PFKP;FLT3;NTRK1;PIK3CD;PTEN;MET;EGFR;NRAS;TIGAR;AKT1;PDGFRB;PDHA1;SLC2A1;MAPK3;G6PD;HIF1A;SLC7A5;PFKM;PDK1;HK2;PDHB;AKT3;MAPK1;KRAS;FGFR1;AKT2
2,prerank,Kaposi sarcoma-associated herpesvirus infection,0.32905879361417173,2.3283154851402754,0.0,0.002054659999093532,0.006,105/159,39.85%,TP53;CASP3;JAK1;PIK3CG;MAP2K7;CXCL8;PIK3C3;FADD;PIK3CD;FOS;HCK;IFNGR1;IFNA10;GNG7;PIK3R5;IRF3;NRAS;ICAM1;HLA-A;IFNB1;GNG12;CXCL1;AKT1;IKBKG;CCR5;IL6;JUN;RAC1;IFNAR1;BECN1;MAPK3;MAPKAPK2;UBB;TNFRSF1A;IRF9;HIF1A;MAPK9;ATG3;SYK;E2F1;TRADD;IFNA2;ITPR1;BAK1;TLR3;AKT3;MAPK1;STAT3;CXCL2;IRF7;IFNA8;MAP2K4;IFNA14;CDKN1A;KRAS;BID;CCR3;AKT2;MAPK13;FGF2;TBK1;RELA;EP300;CDK4;GNG11;PIK3R6;NFATC4;TICAM1;PLCG2;PLCG1;JAK2;CASP8;CREB1;GSK3B;NFATC1;CHUK;CTNNB1;CASP9;IFNA21;ITPR3;IFNA17;CXCL3;PPP3CA;EIF2AK2;STAT1;MAPK12;NFKB1;FAS;GABARAPL1;STAT2;GNB4;CYCS;GNB2;IFNA16;ZFP36;GNG8;CALM1;PPP3R2;CCR4;GNG4;GNB5;BAX;RB1;C3;RCAN1
3,prerank,Influenza A,0.32859060386110045,2.2806480930274713,0.0,0.0015409949993201494,0.006,89/145,35.65%,IRAK4;JAK1;TNFRSF10A;MAP2K7;HLA-DRB5;CXCL8;PIK3CD;EIF2AK4;HSPA1A;IFNGR1;PRKCA;SLC25A6;IFNA10;TLR4;HLA-DRB3;IRF3;IFNG;ICAM1;NXF1;IFNB1;PLG;AKT1;HLA-DPA1;HLA-DPB1;OAS1;IL6;CPSF4;JUN;IFNAR1;MAPK3;TNFRSF1A;VDAC1;IRF9;MAPK9;HLA-DQA2;HLA-DRA;NLRP3;HLA-DOB;IL12A;IFNA2;ADAR;OAS3;HLA-DQB1;TLR3;AKT3;MAPK1;EIF2AK1;IRF7;IFNA8;MAP2K4;IFNA14;IL12B;DDX58;AKT2;MAPK13;TBK1;IL1B;RELA;EP300;NFKBIB;IL33;FURIN;TICAM1;JAK2;HLA-DMB;ACTB;GSK3B;CASP9;PRSS2;IFNA21;ATF2;HSPA1B;IFNA17;RNASEL;EIF2AK2;STAT1;MAPK12;NFKB1;FAS;STAT2;IFIH1;CYCS;IFNA16;CCL2;PABPN1;CIITA;TLR7;FDPS;DDX39B
4,prerank,NOD-like receptor signaling pathway,0.32153613417392096,2.250787052949109,0.0,0.002260125999002885,0.011,81/142,32.54%,IRAK4;PANX1;JAK1;PRKCD;CXCL8;BCL2;RIPK2;FADD;TXNIP;NOD2;TANK;IFNA10;TLR4;RHOA;GBP2;IRF3;PLCB1;IFI16;IFNB1;CXCL1;TMEM173;NOD1;IKBKG;OAS1;IL6;JUN;IFNAR1;MAPK3;GBP3;NLRP1;VDAC1;IRF9;MAPK9;ATG5;NLRP3;BCL2L1;DNM1L;IFNA2;GPRC6A;OAS3;ITPR1;GBP7;MAPK1;CXCL2;IRF7;ATG16L1;IFNA8;IFNA14;HSP90AA1;TRAF5;TXN;NAIP;MAPK13;TBK1;IL1B;RELA;TAB2;NFKBIB;MAP3K7;NAMPT;TICAM1;CASP8;RIPK1;CAMP;CHUK;CARD9;CASP5;SHARPIN;IFNA21;CASP4;ITPR3;IFNA17;CXCL3;RNASEL;STAT1;MAPK12;NFKB1;GABARAPL1;BIRC3;STAT2;HSP90AB1
5,prerank,Toxoplasmosis,0.3447018438514862,2.2467126727882096,0.0,0.002054659999093532,0.012,62/99,35.16%,IRAK4;LAMB3;CASP3;JAK1;PIK3CG;HLA-DRB5;BCL2;BAD;NOS2;TGFB1;HSPA1A;IFNGR1;TLR4;HLA-DRB3;ITGA6;PIK3R5;IFNG;AKT1;PDPK1;IKBKG;HLA-DPA1;CCR5;HLA-DPB1;MAPK3;TNFRSF1A;MAPK9;HLA-DQA2;HLA-DRA;HLA-DOB;BCL2L1;IL12A;HLA-DQB1;AKT3;MAPK1;STAT3;IL12B;IL10;ALOX5;AKT2;MAPK13;RELA;TAB2;NFKBIB;PIK3R6;MAP3K7;JAK2;CASP8;HLA-DMB;CHUK;GNAI3;CASP9;HSPA1B;STAT1;MAPK12;NFKB1;BIRC3;IL10RB;IRAK1;CYCS;SOCS1;CIITA;TLR2
6,prerank,Chemokine signaling pathway,0.3139728527253355,2.2382870780220334,0.0,0.0020546599990935326,0.014,118/159,49.11%,CCL22;CXCR6;PIK3CG;CXCR4;PRKCD;CXCL8;PF4;PRKACB;PTK2;BAD;PIK3CD;HCK;CCR7;CXCL5;CXCL13;GNG7;RHOA;CCL20;PIK3R5;NRAS;PLCB1;RAC3;ELMO1;GNG12;ADCY9;CXCL1;AKT1;IKBKG;CCR5;GRK4;CDC42;RAC1;MAPK3;BCAR1;CCL28;BRAF;AKT3;MAPK1;WAS;STAT3;CXCL2;ADCY7;SOS1;RASGRP2;CX3CL1;GRK7;KRAS;CXCL9;CCL7;CCR3;AKT2;ADCY2;RELA;NFKBIB;GNG11;PIK3R6;CXCL11;PPBP;FGR;JAK2;CCL19;GSK3B;CHUK;GNAI3;JAK3;DOCK2;ARRB1;CXCL3;STAT1;CCL3;NFKB1;STAT2;RAP1A;ADCY3;PRKACA;GNB4;GRK6;SHC4;SHC1;GNB2;CCL2;PAK1;FOXO3;ADCY5;CCR2;ROCK2;CXCL12;GNG8;XCL2;PTK2B;CCR4;GNAI2;GNG4;GNB5;PLCB3;CCL8;CCL4;CCL11;PIK3CA;MAP2K1;CXCL6;GRK5;GRK3;PRKACG;ROCK1;ITK;PRKCZ;GNAI1;PIK3R1;CCL24;RAF1;GRK2;LYN;GRB2;IKBKB;GSK3A;CXCR1;CXCR2
7,prerank,PI3K-Akt signaling pathway,0.30041598704992256,2.2357935676030607,0.0,0.0019262437491501866,0.015,157/266,37.25%,FGFR4;G6PC3;TP53;LAMB3;PPP2CA;JAK1;PIK3CG;ERBB2;PRLR;BCL2;ITGA2B;MYB;MAGI1;FLT3;PTK2;BAD;NTRK1;PIK3CD;CDK2;FN1;IL2;CCND2;IRS1;ITGB5;PTEN;ITGB7;PRKCA;PKN2;PPP2R1A;MET;IFNA10;TLR4;CHRM2;NR4A1;GNG7;EGFR;ITGA6;PIK3R5;COL4A5;NRAS;VEGFC;PCK2;STK11;IFNB1;GNG12;FLT4;PPP2CB;AKT1;ITGA11;PDGFRB;PDPK1;IKBKG;PKN1;IL6;RAC1;IFNAR1;MAPK3;LPAR6;CD19;IL7R;ERBB3;DDIT4;MCL1;CCNE1;SYK;BCL2L1;IL4R;PPP2R5A;CDKN1B;IFNA2;EFNA4;CSF3;AKT3;MAPK1;NGF;SGK3;CSF1;SOS1;IFNA8;IFNA14;CDKN1A;KRAS;FGFR1;HSP90AA1;EIF4EBP1;PRKAA1;IL2RA;AKT2;ITGA3;FGF2;EPHA2;RELA;CDK4;GNG11;PIK3R6;IGF1R;RHEB;PRKAA2;PPP2R5C;RPS6KB1;CDC37;CSF1R;JAK2;CREB1;TSC1;EPOR;MLST8;GSK3B;PPP2R2A;CHUK;MDM2;PIK3AP1;JAK3;INS;LPAR1;CASP9;IL6R;NGFR;IFNA21;ATF2;IFNA17;IL2RB;EPO;PDGFD;RPTOR;HSP90B1;CREB3L4;ITGA8;NFKB1;CREB5;VEGFB;GHR;FGFR3;OSMR;SPP1;GNB4;EFNA1;HSP90AB1;EREG;ERBB4;ITGB8;GNB2;IGF2;IFNA16;FOXO3;NTRK2;TLR2;ITGB3;PRL;G6PC2;GNG8;SGK1;PCK1;PKN3;FLT1;CCND3;TGFA
8,prerank,Epstein-Barr virus infection,0.3141924870852432,2.2336043347784975,0.0,0.001712216665911277,0.015,110/174,39.48%,IRAK4;TP53;CASP3;CCNA1;JAK1;MAP2K7;HLA-DRB5;MAP3K14;BCL2;FADD;PIK3CD;CDK2;CCND2;HDAC1;IFNA10;HLA-DRB3;APAF1;IRF3;ICAM1;USP7;HLA-A;IFNB1;HES1;AKT1;IKBKG;HLA-DPA1;HLA-DPB1;OAS1;IL6;JUN;RAC1;IFNAR1;CD19;IRF9;MAPK9;HLA-DQA2;HLA-DRA;CCNE1;SYK;HLA-DOB;BLNK;SIN3A;E2F1;TRADD;CDKN1B;IFNA2;OAS3;BAK1;HLA-DQB1;AKT3;CD3D;STAT3;IRF7;IFNA8;MAP2K4;IFNA14;CDKN1A;BID;DDX58;CCNA2;CD3E;TRAF5;AKT2;MAPK13;TBK1;RELA;TAB2;CDK4;NFKBIB;MAP3K7;PLCG2;CASP8;HLA-DMB;TAP1;NFKBIE;SKP2;CD44;RIPK1;CHUK;MDM2;JAK3;CASP9;B2M;IFNA21;IFNA17;TAP2;EIF2AK2;STAT1;MAPK12;NFKB1;FAS;SAP30;STAT2;CALR;IRAK1;CD58;CYCS;IFNA16;CR2;BTK;RUNX3;TLR2;PSMD2;FCER2;CCND3;VIM;BAX;MAP2K3;RBPJ;RB1
9,prerank,Th17 cell differentiation,0.33397662912317966,2.196275157624287,0.0,0.0027737909987762682,0.027,61/107,30.99%,IL23A;STAT6;JAK1;HLA-DRB5;RUNX1;FOXP3;TBX21;SMAD4;IRF4;FOS;IL2;TGFB1;IFNGR1;HLA-DRB3;IL17D;IFNG;RARA;IKBKG;HLA-DPA1;SMAD3;HLA-DPB1;IL6;JUN;MAPK3;HIF1A;MAPK9;HLA-DQA2;HLA-DRA;ZAP70;HLA-DOB;IL4R;HLA-DQB1;CD3D;LCK;MAPK1;STAT3;GATA3;HSP90AA1;LAT;CD3E;IL2RA;MAPK13;IL1B;RELA;NFKBIB;SMAD2;PLCG1;JAK2;HLA-DMB;NFKBIE;NFATC1;TGFBR1;CHUK;JAK3;IL6R;IL2RB;PPP3CA;STAT1;MAPK12;NFKB1;TGFBR2
