,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Thyroid cancer,0.5308460265061778,2.2695037647445644,0.0,0.0020245672027475216,0.002,20/34,14.06%,NTRK1;BAK1;RXRA;KRAS;TP53;MAPK3;MAPK1;DDB2;BAX;PAX8;PPARG;LEF1;CDKN1A;BRAF;CTNNB1;TFG;TCF7L2;MAP2K1;GADD45B;RXRG
1,prerank,Colorectal cancer,0.4474636962110211,2.22022310532221,0.0,0.0010122836013737608,0.002,38/79,13.01%,TGFBR2;JUN;PIK3R2;RAC1;RPS6KB2;AXIN2;BAK1;BAD;KRAS;TP53;SMAD3;MAPK3;BCL2L11;ARAF;MAPK1;DDB2;RALGDS;BAX;PIK3R3;AKT1;CASP3;LEF1;RAC3;PMAIP1;CDKN1A;BRAF;TGFB3;CTNNB1;TCF7L2;MTOR;FOS;AREG;PIK3CA;AXIN1;MAP2K1;SMAD4;SOS2;GADD45B
2,prerank,Pancreatic cancer,0.44624437560489555,2.1816659166707524,0.0,0.0010122836013737608,0.003,37/71,16.37%,TGFBR2;PIK3R2;RAC1;RPS6KB2;NFKB1;BAK1;BAD;KRAS;TP53;SMAD3;VEGFA;MAPK3;CDC42;ARAF;MAPK1;DDB2;RALGDS;BAX;PIK3R3;RAD51;AKT1;RAC3;CDKN1A;ERBB2;BRAF;E2F1;TGFB3;MTOR;PIK3CA;MAP2K1;SMAD4;IKBKB;GADD45B;BCL2L1;CDK6;EGFR;RPS6KB1
3,prerank,Endometrial cancer,0.46515349915847926,2.1564453794724416,0.0,0.0010122836013737608,0.004,40/53,36.82%,PIK3R2;AXIN2;BAK1;BAD;KRAS;TP53;MAPK3;ARAF;MAPK1;DDB2;BAX;PIK3R3;AKT1;LEF1;CDKN1A;ERBB2;BRAF;CTNNB1;TCF7L2;PIK3CA;AXIN1;MAP2K1;SOS2;PDPK1;GADD45B;EGFR;TCF7L1;FOXO3;PTEN;MYC;APC;PIK3CB;RAF1;PIK3R1;CASP9;ILK;GADD45A;AKT3;PIK3CD;CCND1
4,prerank,Central carbon metabolism in cancer,0.44001162913427255,2.11481710367922,0.0,0.0012147403216485131,0.006,43/60,35.10%,PIK3R2;NTRK1;KRAS;PGAM1;TP53;HK1;MAPK3;FGFR3;MAPK1;PIK3R3;AKT1;HIF1A;NTRK3;GCK;ERBB2;LDHA;MTOR;PIK3CA;FGFR1;MAP2K1;SLC2A1;MET;PDGFRA;EGFR;KIT;PFKM;PDHB;PTEN;SLC7A5;HKDC1;SIRT3;MYC;PIK3CB;RAF1;FGFR2;PDK1;PIK3R1;PFKL;HK3;RET;SLC2A2;AKT3;PIK3CD
5,prerank,Non-small cell lung cancer,0.43349616068015595,2.0905696077231615,0.0,0.001855853269185228,0.011,30/63,14.99%,PIK3R2;FHIT;BAK1;BAD;RXRA;KRAS;TP53;MAPK3;ARAF;MAPK1;DDB2;PLCG2;BAX;PIK3R3;AKT1;PLCG1;CDKN1A;ERBB2;BRAF;E2F1;PIK3CA;MAP2K1;EML4;SOS2;PDPK1;GADD45B;RXRG;CDK6;PRKCA;EGFR
6,prerank,TNF signaling pathway,0.3988282637787369,2.065328417832882,0.0,0.0020245672027475216,0.014,81/104,44.80%,TRAF5;FADD;JUN;NFKBIA;IFNB1;PIK3R2;RIPK1;ATF2;NFKB1;ICAM1;MAPK3;MAPK1;MAP2K4;ATF4;DNM1L;TRAF2;TNFRSF1A;MAPK14;PIK3R3;AKT1;CASP3;CXCL5;JAG1;JUNB;MAP3K5;CEBPB;FOS;PIK3CA;MAP2K6;MAP3K8;MAP2K1;VEGFC;MAPK13;IKBKB;CASP10;CFLAR;FAS;CXCL3;MAP2K7;IL15;BCL3;MLKL;CASP8;CREB3L4;CCL5;RPS6KA4;CXCL10;CREB3L2;TRADD;CHUK;MAP2K3;IL18R1;IL6;PIK3CB;CX3CL1;NOD2;CREB1;BIRC3;RPS6KA5;PIK3R1;LTA;TRAF3;MAPK12;RELA;MAP3K14;SELE;AKT3;PIK3CD;CCL20;TNFAIP3;CSF1;CREB5;CXCL1;IKBKG;IRF1;CASP7;PTGS2;TAB2;MAPK9;SOCS3;VCAM1
7,prerank,Small cell lung cancer,0.41199862173022883,2.035544379376079,0.0,0.0025307090034344024,0.02,66/79,49.18%,TRAF5;NFKBIA;PIK3R2;FHIT;NFKB1;CDKN1B;BAK1;RXRA;TP53;DDB2;BAX;CDK2;TRAF2;PIK3R3;AKT1;XIAP;CASP3;CDKN1A;MAX;E2F1;PIK3CA;COL4A3;IKBKB;GADD45B;BCL2L1;RXRG;CDK6;FN1;BIRC7;PTK2;RARB;PTEN;LAMB1;CHUK;MYC;CCNE1;PIK3CB;LAMB2;CYCS;TRAF6;ITGB1;RB1;BIRC3;ITGA2B;PIK3R1;LAMA3;TRAF3;RELA;CASP9;GADD45A;CKS1B;AKT3;PIK3CD;CCND1;CCNE2;IKBKG;LAMB3;PTGS2;NOS2;TRAF1;ITGA3;CDKN2B;APAF1;ITGA6;CDK4;BCL2
8,prerank,Melanoma,0.4243535191333472,1.9627449202677403,0.0,0.0058487496968261735,0.051,37/52,36.82%,PIK3R2;BAK1;BAD;KRAS;TP53;MAPK3;ARAF;MAPK1;DDB2;BAX;IGF1R;PIK3R3;AKT1;CDKN1A;BRAF;E2F1;PIK3CA;FGFR1;MAP2K1;GADD45B;MET;PDGFRA;CDK6;FGF2;EGFR;FGF1;PTEN;PIK3CB;RAF1;RB1;PIK3R1;FGF9;GADD45A;AKT3;PDGFD;PIK3CD;CCND1
9,prerank,Breast cancer,0.375159900598794,1.9487843560955609,0.0,0.00597247324810519,0.058,73/112,37.92%,JUN;PIK3R2;RPS6KB2;AXIN2;BAK1;KRAS;TP53;MAPK3;ARAF;MAPK1;HEY1;DDB2;NOTCH1;BAX;IGF1R;PIK3R3;AKT1;WNT7A;LEF1;JAG1;CDKN1A;ERBB2;BRAF;E2F1;CTNNB1;TCF7L2;SHC1;MTOR;FOS;PIK3CA;AXIN1;FGFR1;MAP2K1;SOS2;GADD45B;CDK6;FGF2;EGFR;KIT;RPS6KB1;WNT10B;FGF1;TCF7L1;ESR2;TNFSF11;PTEN;NCOA1;NFKB2;HES1;FZD6;MYC;APC;PIK3CB;RAF1;CSNK1A1L;CSNK1A1;RB1;NCOA3;PIK3R1;FGF9;DLL4;FRAT2;GADD45A;FZD10;HEY2;AKT3;PIK3CD;ESR1;WNT3;DVL2;CCND1;PGR;BRCA1
