,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Lysine degradation,0.5213556324945112,2.1839346884889874,0.0,0.0030332892505064643,0.003,36/46,36.98%,SETD1B;DLD;SETD7;HADH;PRDM2;SUV39H1;DOT1L;KMT2A;EZH2;EHMT1;PLOD3;ALDH3A2;ACAT2;ACAT1;PRDM7;NSD1;SETDB2;PHYKPL;EHMT2;AADAT;EZH1;EHHADH;KMT2E;ALDH2;ALDH9A1;ALDH7A1;SETD2;AASS;SETDB1;TMLHE;PIPOX;SUV39H2;KMT2C;HADHA;ECHS1;BBOX1
1,prerank,Central carbon metabolism in cancer,0.44630374688285,1.9399173767877949,0.0,0.03184953713031787,0.059,44/60,39.64%,HK1;SIRT3;KRAS;MAPK3;HIF1A;AKT1;PFKP;PDGFRA;PIK3CD;FGFR3;PFKM;EGFR;MTOR;HKDC1;PDK1;HK2;PDHB;PDHA1;G6PD;NTRK1;PKM;IDH1;PIK3R3;PFKL;MET;TP53;HRAS;PIK3R2;FGFR1;PTEN;FLT3;SLC2A1;NRAS;TIGAR;LDHA;RET;PIK3CA;MAPK1;MYC;ERBB2;SIRT6;SLC7A5;MAP2K2;HK3
2,prerank,Measles,0.4001503977732039,1.8975525847730845,0.0,0.03404024603346143,0.092,76/126,32.78%,IFNA2;BCL2;CASP8;TLR4;JUN;IKBKG;IFNA4;CCND3;IFIH1;IRAK1;RELA;CSNK2A1;TAB2;MYD88;AKT1;STAT2;CYCS;PIK3CD;BID;CD46;FAS;IFNA8;ADAR;CCND2;IFNA10;CASP9;IL2RA;IFNA1;BBC3;OAS1;TBK1;JAK1;IFNA7;BCL2L1;JAK3;STAT1;DDX58;RCHY1;CDKN1B;IFNA21;MAP3K7;MAPK8;STAT3;EIF2S1;PIK3R3;IRAK4;TLR2;APAF1;EIF2AK2;GSK3B;TP53;PIK3R2;FOS;CASP3;CSNK2B;HSPA1B;OAS2;CDK2;CDK4;IFNAR1;BAX;OAS3;IL12A;CD28;FADD;IFNA14;EIF2AK4;IFNA5;SLAMF1;NFKBIA;TLR9;IKBKE;HSPA8;CD3D;CLEC4M;PIK3CA
3,prerank,Complement and coagulation cascades,0.4235248847504567,1.8612266813320244,0.0,0.03766334152712193,0.133,33/65,23.85%,CD55;BDKRB2;PROC;CFD;C1S;SERPINE1;F12;CD59;F3;C9;SERPING1;CD46;C7;C1QA;C4A;PLG;PROCR;SERPINC1;F8;CFI;C1QB;F13A1;PLAU;C3;ITGB2;F10;C8B;VSIG4;F5;CR2;KNG1;C1QC;C8A
4,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3749632295549891,1.8092914683902301,0.0,0.05136369797524279,0.209,105/159,41.31%,IFNA2;CASP8;BECN1;CXCL1;VEGFA;JUN;CCR5;IKBKG;IFNA4;KRAS;MAPK3;TICAM1;CALM1;RELA;IL6ST;HIF1A;AKT1;FGF2;GNG12;STAT2;MAPK12;PPP3R2;CYCS;NFATC1;ITPR1;PIK3CD;BID;NFATC3;FAS;IFNA8;MTOR;IFNA10;CASP9;IFNA1;GNGT2;ICAM1;CXCL8;MICB;RAC1;CREBBP;C3;CDKN1A;IFNGR1;RCAN1;TBK1;JAK1;IFNA7;CD86;STAT1;GNG4;IFNA21;GNG7;CREB1;MAPK8;STAT3;PIK3R3;PPP3CA;PIK3R6;SYK;EIF2AK2;GSK3B;TP53;HRAS;PIK3R2;FOS;CASP3;HCK;MAPKAPK2;CSF2;CDK4;IFNAR1;CTNNB1;BAX;TNFRSF1A;NRAS;FADD;IFNA14;IFNA5;NFKBIA;RB1;GNB4;MAPK14;IKBKE;GNB1;PLCG1;PIK3CA;TYK2;MAPK1;MYC;GNB5;CCR1;CHUK;TRADD;CD200R1;HLA-A;NFKB1;MAP2K2;MAP2K7;TLR3;CALM3;ITPR3;MAPK9;UBB;PIK3R1;MAP2K4
5,prerank,Viral myocarditis,0.4392488225525907,1.805920281733442,0.002008032128514056,0.04465675841023405,0.214,27/45,28.50%,CASP8;EIF4G1;CAV1;CD55;HLA-DRB5;CXADR;HLA-DOB;CYCS;BID;ABL1;CASP9;ICAM1;RAC1;FYN;CD86;ITGB2;HLA-DMB;ACTB;HLA-DPB1;HLA-DRA;CASP3;HLA-DPA1;DMD;HLA-DOA;CD80;CD28;HLA-DRB4
6,prerank,Epstein-Barr virus infection,0.36547162274895045,1.7631193590014689,0.0,0.06124355439117813,0.32,108/174,38.63%,IFNA2;BCL2;CASP8;TAPBP;HES1;JUN;B2M;IKBKG;IFNA4;CCND3;HLA-DRB5;HLA-DOB;CCNA1;IRAK1;CCNA2;RELA;PSMD4;TAB2;MYD88;AKT1;MAP2K3;STAT2;MAPK12;CYCS;PIK3CD;BID;FAS;IFNA8;CD19;CCND2;IFNA10;CASP9;IFNA1;NFKBIE;ICAM1;RUNX3;SAP30;RAC1;CXCL10;HDAC2;OAS1;CDKN1A;TBK1;JAK1;IFNA7;RELB;JAK3;STAT1;DDX58;HLA-DMB;BCL2L11;CDKN1B;IFNA21;HDAC1;CD44;MAP3K7;MAPK8;STAT3;PIK3R3;HLA-DPB1;CD58;IRAK4;TLR2;APAF1;SYK;CR2;EIF2AK2;MDM2;TP53;HLA-DRA;PIK3R2;GADD45B;CASP3;MAP3K14;HLA-DPA1;OAS2;TAP1;HLA-DOA;CDK2;CDK4;IFNAR1;TRAF5;BAX;OAS3;FADD;IFNA14;HLA-DRB4;IFNA5;NFKBIA;RB1;VIM;MAPK14;IKBKE;CD3D;PIK3CA;PSMD2;TYK2;MYC;ENTPD1;SKP2;TAP2;HLA-DQA1;CHUK;TRADD;FCER2;HLA-A;PSMD1;NFKB1
7,prerank,p53 signaling pathway,0.41092140930338766,1.7621220851888426,0.001001001001001001,0.05447281945701192,0.326,30/56,27.03%,BCL2;CASP8;CCND3;PMAIP1;CDK1;SERPINE1;CHEK1;CYCS;BID;FAS;SHISA5;CCND2;CASP9;SIAH1;BBC3;CDKN1A;BCL2L1;RCHY1;ZMAT3;APAF1;MDM2;TP53;SERPINB5;GADD45B;TSC2;CASP3;CDK2;CDK4;PTEN;BAX
8,prerank,Prostate cancer,0.3773978061478426,1.7364461418403931,0.0,0.06280032189011531,0.405,66/89,46.22%,BCL2;IKBKG;TCF7L2;KRAS;MAPK3;BRAF;RELA;AKT1;LEF1;AR;PDGFRA;PIK3CD;EGFR;MTOR;CASP9;INS;PDPK1;PLAU;CREBBP;CDKN1A;ETV5;CDKN1B;CREB1;SOS1;PIK3R3;CREB3L4;IL1R2;MDM2;GSK3B;TP53;HRAS;PIK3R2;CDK2;FGFR1;CTNNB1;PTEN;HSP90B1;NRAS;HSP90AA1;NFKBIA;RB1;PIK3CA;PLAT;MAPK1;INSRR;CREB3L1;ERG;ERBB2;CHUK;GRB2;CREB3L2;GSTP1;CREB5;NFKB1;MAP2K2;FOXO1;TGFA;IGF1R;PIK3R1;BAD;ATF4;ZEB1;NKX3-1;RAF1;CCND1;ARAF
9,prerank,Longevity regulating pathway,0.3864593126061647,1.73118316124271,0.0,0.06066578501012928,0.423,59/85,42.16%,PRKAA1;KRAS;ADCY7;RELA;EHMT1;PRKAA2;AKT1;ADCY5;PIK3CD;MTOR;SOD1;INS;RPS6KB1;PRKAG1;HDAC2;CAT;EHMT2;HDAC1;CREB1;PIK3R3;CREB3L4;AKT1S1;PPARG;PRKACG;ADIPOR2;TP53;HRAS;PIK3R2;RHEB;SIRT1;TSC2;HSPA1B;EIF4E;FOXO3;PRKACB;BAX;CAMKK2;NRAS;ADIPOR1;ADCY3;TSC1;PRKAG3;ADCY9;HSPA8;PIK3CA;CREB3L1;RPTOR;PRKAB1;CREB3L2;CREB5;NFKB1;FOXO1;HSPA1A;PRKAB2;IGF1R;STK11;ATG5;PIK3R1;ATF4
