,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Relaxin signaling pathway,0.4260433237930087,2.709794510245994,0.0,0.0,0.0,86/103,46.94%,EDNRB;KRAS;MAPK12;GNAI2;MAPK13;GNA15;EGFR;ATF2;CREB1;MMP1;TGFBR2;PRKACB;ADCY2;ACTA2;SMAD3;MMP2;ADCY9;GNG12;NRAS;PIK3CA;TGFBR1;HRAS;ADCY3;TGFB1;AKT1;SMAD2;ADCY6;PLCB3;GNGT2;EDN1;SHC4;MAPK9;PLCB1;GNAI1;RELA;GNB4;GNG4;GNG7;CREB3L4;MAP2K4;MAP2K1;NFKBIA;CREB5;PRKCA;VEGFC;COL1A2;GNG11;JUN;ATF4;AKT3;PRKACG;PIK3CB;CREB3;GNG8;PRKACA;FOS;MMP13;PIK3R1;MAPK14;MAPK8;SHC1;RAF1;RXFP1;NOS3;ARRB1;PIK3CD;COL4A5;MAPK3;AKT2;CREB3L2;GNG5;COL4A2;GNAI3;MAPK11;ADCY5;NFKB1;MMP9;VEGFB;GNAS;MAP2K7;MAPK1;SOS2;GRB2;PRKCZ;GNB2;ADCY7
1,prerank,Longevity regulating pathway,0.4138454912462423,2.5482758405736843,0.0,0.0,0.0,61/85,38.41%,IRS1;KRAS;STK11;RPTOR;IGF1R;PRKAG1;SOD1;ATF2;CREB1;PPARG;TP53;PRKACB;PRKAG2;ADCY2;PRKAA1;ADCY9;CAT;NRAS;PIK3CA;HSPA1A;HRAS;ADCY3;FOXA2;RHEB;AKT1;HSPA1B;ADCY6;ATG5;RPS6KB1;RELA;PPARGC1A;EHMT1;PRKAA2;CLPB;CREB3L4;TSC2;CREB5;HSPA2;ATF4;AKT3;PRKACG;PIK3CB;CREB3;PRKACA;EHMT2;SESN1;PIK3R1;BAX;PRKAB2;EIF4EBP1;EIF4E;RPS6KB2;PIK3CD;IRS2;FOXO3;AKT2;CREB3L2;INS;FOXO1;ADCY5;NFKB1
2,prerank,Kaposi sarcoma-associated herpesvirus infection,0.35964279373627267,2.4554672161291893,0.0,0.00034643771652357285,0.001,116/159,43.88%,NFATC4;E2F1;KRAS;IRF7;MAPK12;MAPK13;CXCL2;HIF1A;CREB1;TP53;IFNA2;IFNA4;STAT2;SYK;CASP3;FADD;GNG12;PLCG2;RAC1;NRAS;PIK3CA;CDK4;HLA-A;HRAS;FAS;JAK2;AKT1;IFNB1;EP300;CDKN1A;GNGT2;MAPK9;GSK3B;LYN;IFNGR1;RELA;CASP8;GNB4;TNFRSF1A;STAT1;PPP3CA;IFNA17;MAPKAPK2;GNG4;GNG7;EIF2AK2;BECN1;IKBKE;STAT3;NFATC3;TBK1;MAP2K4;TYK2;CCR4;PIK3C3;MAP2K1;NFKBIA;CYCS;ITPR1;TICAM1;BID;GNG11;TRADD;JUN;GABARAPL1;AKT3;CALM3;PIK3CB;CCR5;IFNA16;NFATC1;GNG8;CHUK;IFNA10;FOS;ITPR3;IFNA21;CD86;PIK3R1;BAX;MAPK14;CASP9;MAPK8;CDK6;IKBKG;RAF1;CCND1;IFNA8;CTNNB1;PIK3CD;IL6;HCK;PPP3CC;PTGS2;MAPK3;PIK3R6;AKT2;GNG5;IKBKB;TLR3;CREBBP;MAPK11;ATG3;UBB;NFKB1;PIK3CG;PPP3R2;PIK3R5;C3;ICAM1;JAK1;RB1;IRF9;MAP2K7;MAPK1;PLCG1
3,prerank,Chagas disease (American trypanosomiasis),0.3852138773859568,2.4254257664699335,0.0,0.0002598282873926796,0.001,73/97,43.45%,IFNG;MAPK12;GNAI2;MAPK13;KNG1;GNA15;CFLAR;TLR4;TGFBR2;IRAK4;PPP2R1A;SMAD3;IL1B;FADD;PIK3CA;TGFBR1;TLR2;FAS;CCL5;TGFB1;AKT1;PPP2CB;SMAD2;BDKRB2;IFNB1;IL10;PLCB3;MAPK9;PLCB1;IFNGR1;GNAI1;RELA;CASP8;TNFRSF1A;GNA11;MAP2K4;NFKBIA;TICAM1;C1QC;JUN;IRAK1;AKT3;PIK3CB;IL2;CHUK;FOS;PIK3R1;MAPK14;MAPK8;TLR9;IKBKG;C1QB;MYD88;PIK3CD;CALR;IL6;MAPK3;CD247;AKT2;IL12A;GNAI3;CD3D;PPP2R2A;IKBKB;MAPK11;TLR6;NFKB1;TRAF6;ACE;C3;GNAS;CCL3;MAPK1
4,prerank,Estrogen signaling pathway,0.3818071656505752,2.4049491962279985,0.0,0.00020786262991414367,0.001,59/98,30.08%,HSP90AB1;KRAS;GABBR1;KRT12;GNAI2;KCNJ5;EGFR;ATF2;OPRM1;CREB1;HSP90B1;HSP90AA1;PRKACB;ADCY2;NCOA3;MMP2;ADCY9;PGR;KRT19;NRAS;PIK3CA;HSPA1A;HRAS;ADCY3;AKT1;HSPA1B;ADCY6;PLCB3;SHC4;PLCB1;RARA;GNAI1;CREB3L4;TGFA;MAP2K1;BCL2;CREB5;ITPR1;HSPA2;KCNJ6;JUN;ATF4;AKT3;CALM3;PRKACG;PIK3CB;CREB3;ESR1;PRKACA;FOS;ITPR3;GPER1;PIK3R1;POMC;PRKCD;SHC1;GABBR2;RAF1;NOS3
5,prerank,Measles,0.36780245113996507,2.4033370379463186,0.0,0.00017321885826178642,0.001,78/126,31.85%,IRF7;JAK3;CSNK2A2;RCHY1;TLR4;TP53;CSNK2B;IRAK4;IFNA2;NFKBIB;CD46;IFNA4;STAT2;CASP3;IFIH1;IL1B;FADD;PIK3CA;CDK4;HSPA1A;TLR2;FAS;AKT1;BCL2L1;EIF2AK1;IFNB1;HSPA1B;CCND3;MAPK9;GSK3B;TAB2;RELA;TNFAIP3;CASP8;STAT1;CLEC4M;OAS1;IFNA17;EIF2AK2;IKBKE;STAT3;TBK1;TYK2;BCL2;APAF1;NFKBIA;CCND2;CYCS;HSPA2;BID;TRADD;JUN;IRAK1;AKT3;PIK3CB;CD28;IFNA16;IL2;CHUK;IFNA10;FOS;IFNA21;DDX58;PIK3R1;FCGR2B;BAX;CASP9;MAPK8;CDK6;TLR9;EIF2AK3;IKBKG;CCND1;IFNA8;MYD88;PIK3CD;CBLB;IL6
6,prerank,Pancreatic cancer,0.3986383345074521,2.3687840208858066,0.0,0.0001484733070815312,0.001,48/71,34.58%,E2F1;KRAS;SMAD4;EGFR;TP53;TGFBR2;SMAD3;RAC1;CDC42;PIK3CA;CDK4;TGFBR1;TGFB1;AKT1;RAC3;SMAD2;BCL2L1;DDB2;CDKN1A;RPS6KB1;MAPK9;RELA;STAT1;RALB;STAT3;TGFA;MAP2K1;ERBB2;PLD1;AKT3;BRAF;PIK3CB;CHUK;PIK3R1;BAX;CASP9;MAPK8;CDK6;IKBKG;ARHGEF6;RAF1;CCND1;RPS6KB2;PIK3CD;BRCA2;BAD;MAPK3;AKT2
7,prerank,Hepatitis B,0.3460290644307858,2.340083198482826,0.0,0.0003897424310890194,0.003,110/153,44.34%,NFATC4;E2F1;KRAS;IRF7;MAPK12;JAK3;MAPK13;SMAD4;TLR4;ATF2;CREB1;TP53;TGFBR2;IRAK4;IFNA2;STAT6;SMAD3;STAT4;IFNA4;STAT2;YWHAQ;CASP3;IFIH1;FADD;NRAS;PIK3CA;TGFBR1;TLR2;HRAS;FAS;JAK2;TGFB1;AKT1;SMAD2;IFNB1;DDB2;EP300;CDKN1A;PTK2B;MAPK9;TAB2;RELA;CASP8;STAT1;IFNA17;PCNA;IKBKE;STAT3;CREB3L4;NFATC3;TBK1;MAP2K4;TYK2;MAP2K1;BCL2;APAF1;NFKBIA;CREB5;PRKCA;CYCS;TICAM1;BID;JUN;ATF4;IRAK1;AKT3;BRAF;PIK3CB;IFNA16;NFATC1;CREB3;CHUK;IFNA10;CASP10;FOS;IFNA21;DDX58;PIK3R1;BAX;TICAM2;MAPK14;CASP9;MAPK8;IKBKG;RAF1;IFNA8;MYD88;PIK3CD;IL6;BAD;MAPK3;BIRC5;AKT2;CREB3L2;IKBKB;TLR3;CREBBP;MAPK11;NFKB1;TRAF6;MMP9;ATP6AP1;PRKCG;JAK1;RB1;MAP2K7;MAPK1;CCNE1;SOS2;GRB2
8,prerank,Toxoplasmosis,0.36485102841868083,2.329926908677235,0.0,0.0004619169553647638,0.004,73/99,43.45%,HLA-DPA1;IFNG;MAPK12;GNAI2;MAPK13;IL10RB;TLR4;HLA-DMB;IRAK4;NFKBIB;CASP3;HSPA1A;TLR2;JAK2;TGFB1;AKT1;BCL2L1;PDPK1;HSPA1B;IL10;ITGB1;MAPK9;TAB2;HLA-DRB3;IFNGR1;GNAI1;RELA;CASP8;TNFRSF1A;STAT1;CIITA;ALOX5;HLA-DQB1;STAT3;TYK2;BCL2;NFKBIA;CYCS;IRGM;HLA-DRA;HSPA2;IRAK1;AKT3;CCR5;CHUK;MAPK14;CASP9;MAPK8;HLA-DPB1;IKBKG;CD40LG;BIRC2;MYD88;BIRC7;LAMB3;BAD;MAPK3;PIK3R6;AKT2;IL12A;HLA-DOB;GNAI3;IKBKB;MAPK11;NFKB1;TRAF6;PIK3CG;SOCS1;PIK3R5;LAMB2;JAK1;HLA-DMA;MAPK1
9,prerank,Human immunodeficiency virus 1 infection,0.3406788692064988,2.324719091660334,0.0,0.00041572525982828734,0.004,108/175,35.46%,PAK2;NFATC4;KRAS;TRAF5;AP1S2;MAPK12;GNAI2;MAPK13;B2M;TLR4;SKP1;IRAK4;IFNA2;APOBEC3H;IFNA4;CASP3;FADD;GNG12;PLCG2;RAC1;NRAS;PIK3CA;FBXW11;HLA-A;TLR2;HRAS;FAS;AKT1;RAC3;BCL2L1;IFNB1;CDK1;RPS6KB1;PAK6;GNGT2;PTK2B;MAPK9;TAB2;TAP1;ATM;CCNB2;GNAI1;RELA;CASP8;GNB4;TNFRSF1A;PPP3CA;PAK1;IFNA17;GNA11;RNF7;GNG4;GNG7;NFATC3;CHEK1;TBK1;MAP2K1;BCL2;NFKBIA;PRKCA;CYCS;ITPR1;CXCR4;APOBEC3D;BID;GNG11;TRADD;JUN;CDC25C;IRAK1;AKT3;CALM3;PIK3CB;CCR5;BTRC;IFNA16;NFATC1;GNG8;CHUK;IFNA10;FOS;ITPR3;IFNA21;PIK3R1;BAX;PAK4;MAPK14;CASP9;MAPK8;IKBKG;RAF1;PTK2;IFNA8;MYD88;RPS6KB2;LIMK2;PIK3CD;CALR;PPP3CC;TMEM173;WEE1;BAD;MAPK3;CD247;AKT2;GNG5;GNAI3;CD3D
