,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.3919690861556028,2.922277787206414,0.0,0.0,0.0,105/126,48.60%,IFIH1;STAT3;PIK3CA;EIF2AK2;IRAK4;IL2;CD3D;TBK1;TP53;TRAF6;CCNE1;CASP8;TAB2;NFKBIA;ADAR;JAK3;AKT3;CD46;IRF7;TYK2;CD28;BCL2;STAT2;APAF1;IL6;IRAK1;FAS;BAX;MYD88;IL12A;CDK2;CDK6;IFNA16;CHUK;IFNB1;CASP3;CASP9;HSPA1A;JUN;OAS1;CCND1;EIF3H;IL12B;CDKN1B;STAT1;IL1B;RCHY1;FOS;TNFAIP3;FCGR2B;IKBKB;BCL2L1;IKBKG;MAPK9;SLAMF1;TLR2;CSNK2A2;AKT1;JAK1;CD209;IRF3;IFNA10;DDX58;NFKB1;HSPA1B;PIK3CD;CCND3;BID;PIK3R2;TLR9;CYCS;IKBKE;PIK3CB;BAD;PIK3R3;TRAF3;MX1;CD3G;FADD;EIF2AK4;TLR4;GSK3B;TLR7;NFKBIB;RELA;CDK4;EIF2AK3;EIF2AK1;PIK3R1;IRF9;TRADD;IFNA2;IFNAR2;IFNA17;IFNAR1;IL2RG;HSPA2;OAS2;CSNK2A1;IFNA4;STAT5A;CSNK2B;OAS3;AKT2;IFNA8
1,prerank,Viral carcinogenesis,0.35079066323725744,2.6810727963469883,0.0,0.0,0.0,101/141,43.17%,REL;STAT3;PIK3CA;HDAC6;EIF2AK2;HDAC9;HLA-A;TP53;CCNE1;CASP8;ATF2;NFKBIA;HDAC10;JAK3;PRKACB;IRF7;HPN;HIST1H2BD;POLB;IL6ST;BAX;CDC42;MAPK1;SKP2;CDK2;CDK6;TRAF1;PRKACG;CREBBP;CASP3;YWHAQ;MAPK3;JUN;PRKACA;RHOA;PMAIP1;LYN;CREB3L2;HIST1H2BK;MDM2;ACTN4;CCND1;NRAS;HIST1H4E;CDKN1B;HDAC4;HDAC8;HDAC7;IKBKG;TRAF5;NFKB2;CCNA1;GTF2A2;CDK1;JAK1;RB1;IRF3;CREB1;EGR2;NFKB1;KAT2A;HDAC3;PIK3CD;CCND3;CHEK1;GTF2E2;CCNA2;HRAS;PIK3R2;YWHAH;CCR3;MAPKAPK2;GTF2H1;TRAF2;SYK;PIK3CB;RBPJ;BAD;PIK3R3;TRAF3;RAC1;CREB3;DLG1;KRAS;C3;SNW1;RELA;CDK4;CDKN2A;ATF4;SRF;EP300;PIK3R1;IRF9;HDAC11;CDKN2B;LTBR;TRADD;YWHAZ;USP7;CDC20
2,prerank,Pancreatic cancer,0.4049481459813986,2.677052547736262,0.0,0.0,0.0,54/71,41.28%,STAT3;PIK3CA;RALA;TP53;TGFB3;BRAF;AKT3;TGFBR2;SMAD4;SMAD3;EGFR;BAX;CDC42;MAPK1;CDK6;ERBB2;MAP2K1;GADD45B;CHUK;TGFBR1;PLD1;CASP9;MAPK3;CCND1;STAT1;IKBKB;BCL2L1;IKBKG;MAPK9;DDB2;AKT1;RPS6KB1;JAK1;RB1;NFKB1;PIK3CD;TGFB1;E2F3;PIK3R2;PIK3CB;BAD;RAD51;PIK3R3;RAC1;TGFA;E2F1;KRAS;RELA;CDK4;CDKN2A;RAC3;SMAD2;RPS6KB2;PIK3R1
3,prerank,Fluid shear stress and atherosclerosis,0.3594427116554533,2.6554893071181525,0.0,0.0,0.0,85/122,39.59%,PIK3CA;HMOX1;MAPK14;ACTB;TP53;GSTM4;AKT3;GSTM2;BMP4;HSP90AB1;BCL2;KEAP1;MAPK11;NOX1;CDH5;ICAM1;MAPK12;CHUK;CAV2;CAV3;MAPK13;JUN;ITGA2B;ACVR2A;RHOA;BMPR1B;PECAM1;PRKCZ;TRPV4;DUSP1;IL1B;GPC1;NQO1;FOS;IKBKB;NCF1;ARHGEF2;MAP2K4;IKBKG;GSTO1;MAPK9;SQSTM1;SDC2;AKT1;NOS3;NCF2;PRKAA1;EDN1;IFNG;MMP9;ACVR1;NFKB1;MMP2;PIK3CD;MEF2C;GSTA5;PTK2;CALM2;CAV1;GSTA2;CTNNB1;HSP90B1;PIK3R2;GSTM1;VCAM1;TXN;PIK3CB;CCL2;PIK3R3;GSTT1;CALM3;GSTP1;MEF2A;RAC1;THBD;CALM1;PLAT;NFE2L2;IL1R1;TNFRSF1A;GSTO2;RELA;IL1R2;RAC3;ITGB3
4,prerank,Platelet activation,0.36664103261612585,2.6494465387984514,0.0,0.0,0.0,73/98,44.09%,PIK3CA;FGA;MAPK14;ACTB;MYLK2;FGB;GP1BB;ARHGEF12;RASGRP2;ROCK1;AKT3;FERMT3;PRKACB;FCER1G;GNAI2;PIK3CG;MAPK11;PLCB1;PIK3R5;MAPK1;FYN;MAPK12;PRKACG;MAPK13;MAPK3;ITGA2B;PRKACA;RHOA;LYN;PRKCZ;PRKCI;GNAS;COL1A2;AKT1;PRKG2;NOS3;ADCY3;ITPR1;FGG;RAP1A;PIK3CD;MYLK3;ADCY2;PPP1CA;BTK;GNAI1;FCGR2A;PIK3R2;GP5;GNAI3;P2RY12;PLCB3;SYK;PIK3CB;PIK3R3;RASGRP1;ITGB1;ADCY6;F2;GNA13;PTGIR;PLA2G4A;JMJD7-PLA2G4B;PLCG2;ITGB3;PRKG1;PPP1CC;P2RX1;PIK3R1;ORAI1;ACTG1;ADCY5;MYLK4
5,prerank,Osteoclast differentiation,0.352146683446808,2.6338166308113746,0.0,0.0,0.0,92/122,45.95%,PIK3CA;LCK;MAPK14;TRAF6;MAP3K14;BLNK;TAB2;NFKBIA;AKT3;CYLD;TGFBR2;TYK2;CSF1;STAT2;MAPK11;NOX1;MAPK1;FYN;MAPK12;MAP2K1;CHUK;IFNB1;PPP3CC;TGFBR1;MAPK13;MAPK3;JUN;IFNGR1;STAT1;IL1B;LILRA1;TREM2;FOS;FCGR2B;IKBKB;NCF1;IKBKG;TNFSF11;NFKB2;MAPK9;SQSTM1;FCGR3B;PPARG;AKT1;JAK1;NCF2;JUND;CREB1;IFNG;NFKB1;ACP5;PIK3CD;MITF;FHL2;TYROBP;SOCS3;LILRA5;JUNB;TGFB1;BTK;NFATC1;FCGR2A;PIK3R2;NCF4;LILRB4;TRAF2;SYK;PIK3CB;PIK3R3;RAC1;SIRPA;FOSB;FOSL2;LILRA6;IL1R1;PPP3CA;TNFRSF1A;RELA;FOSL1;LILRA2;PLCG2;ITGB3;SOCS1;PIK3R1;IRF9;IFNAR2;NFATC2;PPP3CB;GRB2;IFNAR1;SIRPG;TEC
6,prerank,Chagas disease (American trypanosomiasis),0.37010516405986416,2.6309389632171665,0.0,0.0,0.0,66/97,37.98%,PIK3CA;KNG1;IRAK4;IL2;CD3D;MAPK14;TRAF6;TGFB3;CASP8;NFKBIA;AKT3;TGFBR2;GNAI2;SMAD3;IL6;IRAK1;MAPK11;PLCB1;FAS;MYD88;IL12A;MAPK1;GNA15;MAPK12;CHUK;IFNB1;TGFBR1;MAPK13;MAPK3;JUN;IFNGR1;PPP2R2A;IL12B;IL1B;FOS;IKBKB;CFLAR;MAP2K4;IKBKG;MAPK9;TLR2;GNAS;AKT1;PPP2R1A;IFNG;NFKB1;PIK3CD;BDKRB2;CXCL8;TGFB1;CALR;GNAI1;PIK3R2;TLR9;GNA11;GNAI3;PLCB3;PIK3CB;CCL2;PIK3R3;CD3G;FADD;TLR4;TNFRSF1A;C3;RELA
7,prerank,Hepatitis B,0.3376816531562849,2.6107264460947714,0.0,0.0,0.0,96/153,35.77%,NFATC4;IFIH1;STAT3;PIK3CA;IRAK4;TBK1;MAPK14;TP53;TRAF6;CCNE1;TGFB3;CASP8;ATF2;TAB2;NFKBIA;BRAF;JAK3;AKT3;TGFBR2;SMAD4;PRKCA;IRF7;TYK2;SMAD3;BCL2;STAT2;APAF1;IL6;IRAK1;MAPK11;FAS;BAX;MYD88;MAPK1;CDK2;MAPK12;MAP2K1;IFNA16;CREBBP;CHUK;IFNB1;CASP3;TGFBR1;CASP9;YWHAQ;MAPK13;MAPK3;JUN;CREB3L2;NRAS;STAT1;TIRAP;FOS;IKBKB;MAP2K3;MAP2K4;IKBKG;CCNA1;MAPK9;TLR2;STAT4;NFATC3;DDB2;AKT1;JAK1;RB1;IRF3;IFNA10;CREB1;JAK2;EGR2;DDX58;MMP9;NFKB1;CASP10;PIK3CD;BID;CXCL8;TGFB1;CCNA2;E2F3;HRAS;NFATC1;PIK3R2;CYCS;IKBKE;PIK3CB;BAD;PIK3R3;TRAF3;STAT6;CREB3;E2F1;FADD;KRAS;TLR4
8,prerank,AGE-RAGE signaling pathway in diabetic complications,0.37256103918089734,2.600474936427635,0.0,0.0,0.0,65/89,41.28%,STAT3;PIK3CA;MAPK14;TGFB3;AKT3;TGFBR2;SMAD4;PRKCA;SMAD3;BCL2;EGR1;IL6;MAPK11;PLCB1;F3;BAX;CDC42;NOX1;MAPK1;ICAM1;MAPK12;CASP3;TGFBR1;MAPK13;MAPK3;JUN;PRKCZ;CCND1;NRAS;CDKN1B;STAT1;IL1B;PIM1;PLCD1;MAPK9;COL1A2;COL4A5;AKT1;NOS3;EDN1;JAK2;NFKB1;MMP2;PIK3CD;CXCL8;TGFB1;HRAS;NFATC1;PIK3R2;AGT;VCAM1;PLCB3;AGTR1;PIK3CB;CCL2;PIK3R3;RAC1;KRAS;THBD;RELA;CDK4;PLCG2;SMAD2;FOXO1;PIK3R1
9,prerank,Epstein-Barr virus infection,0.32764863601058386,2.57217017463777,0.0,0.0,0.0,131/174,48.60%,STAT3;PIK3CA;HLA-DMB;EIF2AK2;HLA-A;IRAK4;CD3D;TBK1;MAPK14;TP53;TRAF6;B2M;CCNE1;CASP8;MAP3K14;BLNK;PSMD2;TAB2;NFKBIA;JAK3;AKT3;PSMD4;HLA-DPA1;IRF7;TYK2;ITGAL;BCL2;STAT2;APAF1;IL6;IRAK1;MAPK11;FAS;BAX;MYD88;SKP2;CDK2;SIN3A;CDK6;ICAM1;MAPK12;IFNA16;GADD45B;CHUK;IFNB1;CASP3;TAP1;CXCL10;CASP9;HES1;MAPK13;JUN;LYN;MDM2;OAS1;CCND1;CDKN1B;STAT1;TNFAIP3;IKBKB;MAP2K3;MAP2K4;IKBKG;TRAF5;NFKB2;CCNA1;MAPK9;TLR2;DDB2;HLA-DMA;AKT1;JAK1;RB1;IRF3;IFNA10;DDX58;NFKB1;PIK3CD;PSMD3;RIPK1;CCND3;PSMC5;BID;HLA-DQB1;CALR;CCNA2;BTK;E2F3;PIK3R2;CYCS;TRAF2;SYK;IKBKE;NFKBIE;PIK3CB;RBPJ;SAP30;PIK3R3;TRAF3;CD3G;RAC1;E2F1;FADD;SNW1;NFKBIB;RELA;CDK4;PLCG2;PSMD1;PIK3R1;IRF9;CD40;CD19;TRADD;USP7;IFNA2;IFNAR2;IFNA17;IFNAR1;FCER2;HLA-DQA1;OAS2;IFNA4;CD58;HLA-DOA;HLA-DQA2;CD247;OAS3;HLA-DRB5;AKT2;IFNA8
