,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prion diseases,0.5148908484236512,2.509022882331846,0.0,0.0020736723369831483,0.002,22/29,29.74%,EGR1;C5;C7;HSPA1A;C8B;FYN;SOD1;MAPK1;PRKACG;IL1B;C6;C1QC;BAX;CCL5;C1QB;PRKACB;C8A;PRKACA;NOTCH1;MAPK3;C9;NCAM1
1,prerank,TNF signaling pathway,0.36045177941470385,2.4502295165387538,0.0,0.0010368361684915742,0.002,68/104,36.04%,TNFAIP3;EDN1;TRADD;FAS;CX3CL1;MAPK9;LIF;CHUK;MAPK14;CCL2;JUN;ATF4;CASP3;CFLAR;CXCL1;CXCL3;MAP2K7;AKT3;MAPK1;IFNB1;IL15;MAP3K5;CSF1;IKBKB;TRAF5;TNFRSF1B;CCL20;TAB2;RPS6KA5;CASP7;IL1B;ATF2;RPS6KA4;JAG1;CXCL2;VEGFC;CREB3L4;CASP10;NFKBIA;MAP3K14;PIK3CA;CXCL5;CCL5;AKT2;MAPK12;IL18R1;MAPK13;IRF1;MAP2K6;CREB3L2;BIRC2;DNM1L;FADD;NFKB1;JUNB;CREB1;MAPK3;MMP14;LTA;TRAF2;VCAM1;PIK3R3;NOD2;BIRC3;MAPK8;AKT1;RELA;CASP8
2,prerank,Toxoplasmosis,0.35745281259057354,2.4086387107307816,0.0,0.0006912241123277161,0.002,66/99,37.03%,JAK2;IRAK4;CYCS;HLA-DRB3;MAPK9;STAT3;CHUK;MAPK14;HSPA1A;CASP3;IFNG;AKT3;MAPK1;HLA-DQB1;HLA-DQA1;LAMB3;BCL2L1;HLA-DMA;HLA-DPA1;TLR4;IKBKB;IL12A;TAB2;HLA-DMB;PDPK1;TGFB3;SOCS1;PIK3CG;IL10RB;BCL2;NFKBIB;TLR2;NFKBIA;CD40;AKT2;MAPK12;MAPK13;HLA-DOB;MAP2K6;HLA-DRA;CCR5;IRAK1;STAT1;PPIF;BIRC2;JAK1;NFKB1;MAPK3;GNAI3;TGFB2;ITGA6;ITGB1;GNAI1;LDLR;IFNGR1;PIK3R5;PIK3R6;CASP9;BIRC3;MAPK8;AKT1;TYK2;RELA;CASP8;ALOX5;IL10
3,prerank,Toll-like receptor signaling pathway,0.355617185745469,2.3764399851741738,0.0,0.0005184180842457871,0.002,81/98,51.08%,IFNA16;IRAK4;MAPK9;CHUK;MAPK14;JUN;TBK1;MAP2K7;AKT3;IRF7;MAPK1;IFNB1;RAC1;TLR9;TLR4;IKBKB;TLR3;IL12A;TAB2;SPP1;IL1B;TICAM1;IFNA21;TLR5;IRF3;IFNA8;TLR2;CXCL11;NFKBIA;PIK3CA;CD86;CD40;CCL5;AKT2;LBP;MAPK12;TLR8;MAPK13;TOLLIP;MAP2K6;IRAK1;STAT1;IFNA17;IFNA2;CCL4L2;FADD;CCL3;NFKB1;MAPK3;CD14;IKBKE;IFNA5;CXCL9;PIK3R3;IRF5;MAPK8;IFNA1;AKT1;RELA;CASP8;PIK3CD;MYD88;MAP2K4;IFNAR2;CD80;IL6;IFNAR1;MAP2K3;MAP3K8;FOS;PIK3CB;TLR6;TRAF6;TIRAP;PIK3R2;CTSK;MAP2K1;IFNA14;TLR7;PIK3R1;IKBKG
4,prerank,Salmonella infection,0.3973841741139933,2.364332524757337,0.0,0.0004147344673966297,0.002,42/59,38.35%,IL18;MAPK9;MAPK14;JUN;ARPC4;IFNG;CXCL1;CXCL3;MAPK1;ACTB;ARPC2;CDC42;RAC1;TLR4;ARPC5;FLNB;IL1B;TLR5;CXCL2;ROCK1;LBP;MAPK12;MAPK13;PKN2;ACTG1;CCL4L2;CCL3;NFKB1;MAPK3;PKN3;CD14;NLRC4;ARPC1B;IFNGR1;ARPC3;PKN1;ROCK2;MAPK8;RELA;PFN2;ARPC1A;MYD88
5,prerank,Inflammatory bowel disease (IBD),0.38149866134571514,2.3445393510160235,0.0,0.00034561205616385804,0.002,44/64,37.58%,FOXP3;IL18;HLA-DRB3;MAF;STAT3;JUN;STAT6;IFNG;RORC;HLA-DQB1;HLA-DQA1;STAT4;HLA-DMA;HLA-DPA1;GATA3;TLR4;SMAD3;IL18RAP;IL12A;HLA-DMB;TGFB3;IL1B;TLR5;IL12RB2;IL4R;TLR2;IL18R1;HLA-DOB;HLA-DRA;STAT1;IL21R;NFATC1;IL13;NFKB1;TGFB2;IL12RB1;IFNGR1;IL2RG;NOD2;IL4;IL17F;RELA;IL10;IL23R
6,prerank,Shigellosis,0.40892270319685803,2.330770269374395,0.0,0.00029623890528330697,0.002,35/48,37.09%,MAPK9;CHUK;MAPK14;FBXW11;ARPC4;NOD1;MAPK1;ACTB;CRK;ARPC2;CDC42;RAC1;IKBKB;ARPC5;NFKBIB;NFKBIA;U2AF1;ROCK1;MAPK12;MAPK13;ACTG1;ABL1;ATG5;ELMO1;NFKB1;MAPK3;ITGB1;ARPC1B;ARPC3;NOD2;ROCK2;MAPK8;RELA;PFN2;ARPC1A
7,prerank,Viral myocarditis,0.4105899807872463,2.3174869134892333,0.0,0.00025920904212289354,0.002,27/45,24.59%,BID;ITGAL;CYCS;HLA-DRB3;EIF4G1;CASP3;FYN;HLA-DQB1;HLA-DQA1;ACTB;RAC1;HLA-DMA;HLA-DPA1;CAV1;HLA-A;DAG1;HLA-DMB;CD86;CD40;HLA-DOB;HLA-DRA;ACTG1;ITGB2;CD55;ABL1;CXADR;DMD
8,prerank,Th1 and Th2 cell differentiation,0.3501488494371955,2.315353322983935,0.0,0.00023040803744257205,0.002,55/87,35.90%,JAK2;HLA-DRB3;MAF;MAPK9;CHUK;MAPK14;MAML2;JUN;STAT6;IFNG;MAPK1;HLA-DQB1;HLA-DQA1;STAT4;HLA-DMA;HLA-DPA1;CD247;GATA3;PLCG1;JAK3;IKBKB;ZAP70;IL12A;LCK;HLA-DMB;IL12RB2;IL4R;IL2RA;JAG1;NFKBIB;NFKBIA;CD3D;CD3G;MAPK12;MAPK13;HLA-DOB;HLA-DRA;STAT1;NFKBIE;IL2RB;NFATC1;IL13;JAK1;NOTCH1;NFKB1;MAPK3;NOTCH2;PPP3CA;IL12RB1;IFNGR1;IL2RG;IL4;MAPK8;TYK2;RELA
9,prerank,Epstein-Barr virus infection,0.3127766676244294,2.3023064170684644,0.0,0.0004147344673966297,0.004,145/174,57.10%,IFNA16;TP53;TNFAIP3;BID;IRAK4;CR2;ITGAL;CYCS;HLA-DRB3;TRADD;FAS;MAPK9;STAT3;HES1;STAT2;CHUK;APAF1;MAPK14;JUN;CASP3;TBK1;MAP2K7;CDK4;SYK;AKT3;IRF7;IFNB1;HLA-DQB1;HLA-DQA1;RAC1;HLA-DMA;HLA-DPA1;CD247;JAK3;GADD45B;IKBKB;TRAF5;DDX58;HLA-A;TAB2;HLA-DMB;CALR;ENTPD1;IFNA21;HDAC1;CD58;OAS1;IRF3;CCNE1;BCL2;IFNA8;NFKBIB;TLR2;CDK2;NFKBIA;CD3D;MAP3K14;BAX;CD3G;PIK3CA;CD40;AKT2;MAPK12;CCND3;MAPK13;HLA-DOB;PLCG2;E2F1;MAP2K6;HLA-DRA;EIF2AK2;CDK6;IRAK1;PSMD2;STAT1;VIM;IFNA17;NFKBIE;IFNA2;JAK1;SKP2;FADD;NFKB2;NFKB1;CCNA2;TRAF2;TAP1;LYN;IKBKE;IFNA5;PSMC5;RB1;PIK3R3;B2M;CASP9;MAPK8;IFNA1;AKT1;TYK2;RELA;CASP8;BTK;PIK3CD;SIN3A;MYD88;RUNX3;MAP2K4;BCL2L11;IFNAR2;TAP2;DDB2;IL6;IFNAR1;USP7;MAP2K3;MDM2;RELB;CCND1;ENTPD3;PIK3CB;ISG15;OAS3;TRAF6;HLA-DRB5;BAK1;PIK3R2;HLA-B;IFNA14;ICAM1;BLNK;PIK3R1;IKBKG;CDKN1A;CDKN1B;CD19;CCNA1;CCND2;MAPK11;IFNA7;FCER2;PSMD3;CXCL10;HDAC2;RBPJ;IFNA10
