,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Chagas disease (American trypanosomiasis),0.4216857813513127,2.2951943489283133,0.0,0.0,0.0,73/97,41.42%,KNG1;CCL5;FAS;IRAK4;GNAI2;C3;IFNG;MAPK9;CFLAR;PIK3CB;MAPK13;MYD88;AKT1;MAP2K4;TGFB1;TGFBR1;MAPK14;AKT3;CD247;TLR4;IL1B;SMAD3;PIK3CA;IL12B;TGFBR2;IRAK1;SMAD2;PLCB1;CALR;MAPK3;TLR6;PPP2R1A;TLR9;FADD;CCL2;CHUK;GNA11;IL12A;RELA;IL2;MAPK11;TICAM1;TNFRSF1A;IL10;IFNGR1;JUN;GNA15;GNAI3;TLR2;IKBKB;NFKB1;PPP2CB;BDKRB2;IFNB1;NFKBIA;FOS;PPP2R2A;MAPK1;GNAI1;IL6;CD3D;NOS2;AKT2;PLCB3;PIK3R3;CASP8;CCL3;PPP2R2C;MAPK8;GNAS;C1QC;CD3E;C1QB
1,prerank,Hepatitis B,0.3934158988701899,2.2718168023459526,0.0,0.0,0.0,121/153,48.05%,JAK2;CREB3L2;PCNA;DDB2;HRAS;ATF2;STAT1;STAT3;FAS;IRAK4;TP53;STAT6;E2F1;PRKCG;MAPK9;IFNA16;CREB1;PIK3CB;MAPK13;TICAM2;BAD;STAT2;MYD88;RB1;AKT1;MAP2K4;ATF4;TGFB1;TGFBR1;NFATC4;MAPK14;BID;AKT3;PTK2B;CYCS;CASP3;CDKN1A;IKBKE;CREB3L4;TLR4;SOS2;IFNA2;SMAD3;PIK3CA;IRF7;EP300;TGFBR2;TBK1;BCL2;IRAK1;SMAD2;PRKCA;RAF1;MAP2K7;IFNA21;STAT4;MAPK3;SMAD4;GRB2;MYC;IFIH1;MAP2K1;FADD;KRAS;CHUK;RELA;MAPK11;TICAM1;JAK3;IFNA17;JUN;APAF1;HSPG2;NFATC3;YWHAQ;BIRC5;CDK2;TAB2;TLR2;IKBKB;NFKB1;CCNA2;IFNB1;NFKBIA;CREB3;FOS;BAX;MAPK1;NRAS;IFNA10;IL6;IFNA4;AKT2;PIK3R3;IRF3;CASP8;DDX58;NFATC1;MAP2K3;MAPK8;CCNE1;BRAF;TRAF3;JAK1;TYK2;CASP10;SLC10A1;PIK3R1;EGR2;FASLG;STAT5A;PIK3CD;IFNA14;TGFB3;TLR3;IFNA1;MAPK12;MAP3K1;MAP3K7;TGFB2;SOS1
2,prerank,Measles,0.3998397948539539,2.2416161280942934,0.0,0.0010193378735725578,0.003,98/126,44.64%,TNFAIP3;STAT1;STAT3;FAS;IRAK4;TP53;TRADD;MAPK9;IFNA16;HSPA1A;PIK3CB;BAD;CDK4;NFKBIB;STAT2;MYD88;AKT1;EIF2AK1;BID;AKT3;CYCS;CASP3;IKBKE;TLR4;IL1B;IFNA2;PIK3CA;IRF7;IL12B;TBK1;BCL2;IRAK1;ADAR;CD46;IFNA21;HSPA1B;FCGR2B;CBLB;RCHY1;OAS1;TLR9;CDKN1B;IFIH1;FADD;CDK6;IFNAR2;CCND1;CHUK;IL12A;RELA;IL2;CSNK2A1;JAK3;IFNA17;JUN;APAF1;CSNK2B;CDK2;TAB2;TLR2;IKBKB;OAS3;NFKB1;IL2RB;IFNB1;NFKBIA;FOS;BAX;GSK3B;IFNA10;CCND2;IL6;IFNA4;CD3D;CSNK2A2;AKT2;PIK3R3;BCL2L1;IRF3;TLR7;CASP8;DDX58;EIF2AK4;MAPK8;CCNE1;CD28;IL2RG;CCND3;TRAF3;CD3E;CLEC4M;JAK1;TYK2;IL2RA;PIK3R1;FASLG;STAT5A;PIK3CD
3,prerank,Sphingolipid signaling pathway,0.4060445546542755,2.2128546698527756,0.0,0.0007645034051794183,0.003,65/101,35.34%,KNG1;GNA13;HRAS;ASAH1;TP53;GNAI2;TRADD;PPP2R5B;PRKCG;MAPK9;PLD1;FYN;PIK3CB;MAPK13;PRKCE;MAP3K5;PDPK1;AKT1;RHOA;MAPK14;BID;AKT3;PPP2R3C;SPTLC2;PIK3CA;PTEN;BCL2;CTSD;RAC1;PRKCA;RAF1;PLCB1;MAPK3;SPTLC3;PLD2;PPP2R1A;MAP2K1;KRAS;RELA;MAPK11;TNFRSF1A;ROCK1;FCER1G;ABCC1;SGPL1;GNAI3;RAC3;PPP2R5E;S1PR2;NFKB1;SPHK1;PPP2CB;BDKRB2;BAX;PPP2R2A;MAPK1;NRAS;PRKCZ;GNAI1;CERS3;AKT2;PLCB3;PIK3R3;SPTLC1;CERS4
4,prerank,mTOR signaling pathway,0.40030555202611534,2.2002398796468383,0.0,0.0008154702988580461,0.004,71/112,35.43%,RPS6KB1;NPRL2;ATP6V1D;LAMTOR3;DVL2;DDIT4;HRAS;EIF4B;ATP6V1A;STK11;MLST8;PRKCG;FZD9;PIK3CB;FZD10;IRS1;RRAGA;WNT5A;TTI1;RPS6KA1;PDPK1;AKT1;RHOA;FZD7;LRP6;AKT3;RHEB;EIF4E;TSC2;SOS2;PIK3CA;RPTOR;RPS6;PTEN;PRKCA;GRB10;FZD4;IGF1R;RAF1;RRAGD;MAPK3;STRADB;DVL1;GRB2;MAP2K1;SKP2;FZD5;INS;KRAS;CHUK;ULK2;TNFRSF1A;WNT10B;WNT7A;EIF4EBP1;RRAGC;PRKAA1;DVL3;RPS6KB2;STRADA;IKBKB;ULK1;GSK3B;MAPK1;NRAS;MAPKAP1;WNT7B;MTOR;AKT2;PIK3R3;INSR
5,prerank,Relaxin signaling pathway,0.40181241576220417,2.1817909844625576,0.0,0.0006795585823817052,0.004,80/103,45.46%,CREB3L2;HRAS;ATF2;ADCY6;GNAI2;EDN1;MAPK9;CREB1;PIK3CB;MAPK13;PRKACG;AKT1;MAP2K4;ATF4;TGFB1;MMP2;TGFBR1;MAPK14;AKT3;CREB3L4;SOS2;SMAD3;PIK3CA;TGFBR2;ADCY3;SMAD2;PRKCA;ADCY9;RAF1;PLCB1;MAP2K7;MAPK3;GRB2;GNG12;EDNRB;MAP2K1;ACTA2;KRAS;SHC1;RELA;MAPK11;JUN;GNA15;ADCY7;EGFR;GNAI3;VEGFC;NFKB1;NFKBIA;CREB3;FOS;PRKACB;MAPK1;MMP1;NRAS;PRKCZ;GNAI1;NOS2;GNGT2;AKT2;PLCB3;PIK3R3;MMP13;GNG4;RXFP1;GNG7;PRKACA;GNB4;VEGFB;SHC4;MAPK8;COL4A3;GNG11;GNAS;GNG8;PIK3R1;ADCY2;GNB2;PIK3CD;ADCY5
6,prerank,Prolactin signaling pathway,0.42717606361633487,2.1811913369152016,0.0,0.0005824787848986043,0.004,53/64,48.05%,JAK2;GALT;HRAS;STAT1;STAT3;SOCS2;MAPK9;PIK3CB;MAPK13;AKT1;MAPK14;AKT3;IRF1;SOS2;PIK3CA;RAF1;SOCS1;MAPK3;GRB2;TH;MAP2K1;INS;KRAS;CCND1;SHC1;RELA;MAPK11;CISH;TNFRSF11A;NFKB1;FOS;GSK3B;MAPK1;NRAS;CGA;SOCS4;CCND2;AKT2;SLC2A2;PIK3R3;ESR1;CYP17A1;FOXO3;ESR2;SHC4;MAPK8;PRLR;PIK3R1;STAT5A;PIK3CD;TNFSF11;MAPK12;SOS1
7,prerank,Insulin signaling pathway,0.3938979270374105,2.1577938676639357,0.0,0.0006370861709828486,0.005,88/111,48.05%,RPS6KB1;HRAS;PPARGC1A;SOCS2;FOXO1;MAPK9;PRKAR2B;PIK3CB;PRKAG1;PYGB;IRS1;ACACA;CRKL;BAD;PRKACG;PRKAG2;PDPK1;AKT1;PPP1CA;AKT3;RHEB;EIF4E;FBP1;TSC2;SOS2;PTPN1;PIK3CA;RPTOR;RPS6;CALM3;RAF1;SOCS1;MAPK3;PCK2;HK1;PHKG1;CBLB;PYGL;FASN;GRB2;MAP2K1;PRKAR1A;INS;KRAS;SHC1;MKNK2;PPP1CC;EIF4EBP1;PRKAA1;MKNK1;RPS6KB2;PHKA1;IKBKB;PHKG2;PRKAR2A;HK3;GSK3B;PRKACB;MAPK1;PRKAR1B;NRAS;PRKCZ;SOCS4;MTOR;AKT2;PRKAB1;PIK3R3;CRK;INSR;PTPRF;G6PC2;PRKACA;ACACB;SHC4;INPPL1;CALM1;MAPK8;BRAF;PRKAB2;IRS2;PIK3R1;PIK3CD;PHKB;G6PC3;PRKAG3;PRKAA2;GYS1;SOS1
8,prerank,TNF signaling pathway,0.39169441445111564,2.155680845985377,0.0,0.000566298818651421,0.005,77/104,43.57%,CREB3L2;CCL5;TNFAIP3;ATF2;FAS;TRAF5;TRADD;EDN1;DNM1L;MAPK9;CFLAR;CREB1;PIK3CB;ICAM1;MAPK13;CX3CL1;MAP3K5;AKT1;MAP2K4;ATF4;CXCL2;MAPK14;AKT3;CASP7;CASP3;IRF1;CREB3L4;IL1B;PIK3CA;MAP3K14;CXCL1;CEBPB;MAP2K7;MAPK3;CCL20;CSF1;MAP2K1;RPS6KA4;FADD;CCL2;CHUK;RELA;MAPK11;TNFRSF1A;IL18R1;PTGS2;JUN;CXCL5;RIPK1;IL15;TNFRSF1B;BIRC2;TAB2;IKBKB;VEGFC;NFKB1;IFNB1;NFKBIA;CREB3;FOS;MAPK1;LIF;IL6;RPS6KA5;AKT2;PIK3R3;CASP8;BCL3;MAP2K3;MAPK8;TRAF3;LTA;MAP3K8;CXCL3;CASP10;PIK3R1;VCAM1
9,prerank,Neurotrophin signaling pathway,0.38957424003379837,2.1143387998241807,0.0,0.0008154702988580461,0.008,81/103,48.05%,HRAS;IRAK4;TP53;PRKCD;MAGED1;MAPK9;PIK3CB;PRDM4;IRS1;MAPK13;MAPKAPK2;CRKL;RAP1A;BAD;NTRK3;NFKBIB;MAP3K5;RPS6KA1;PDPK1;AKT1;ATF4;RHOA;MAPK14;IRAK2;AKT3;NGFR;SOS2;PIK3CA;SH2B3;ABL1;BCL2;IRAK1;RAC1;CALM3;NGF;RAF1;MAP2K7;MAPK3;PLCG2;NTRK1;CDC42;NFKBIE;GRB2;CAMK2A;MAP2K1;FRS2;KRAS;SHC1;RELA;MAPK11;JUN;MAP2K5;IKBKB;NFKB1;NFKBIA;BAX;GSK3B;MAPK1;NRAS;SORT1;PLCG1;RPS6KA5;AKT2;PIK3R3;CRK;FOXO3;SHC4;CAMK2G;CALM1;MAPK8;BRAF;PIK3R1;FASLG;PSEN2;PIK3CD;ARHGDIA;ZNF274;MAPK12;MAP3K1;MAPK7;SOS1
10,prerank,Pancreatic cancer,0.41037287550150753,2.1089618588593426,0.0,0.0007413366353254965,0.008,48/71,35.24%,RPS6KB1;DDB2;STAT1;STAT3;TP53;E2F1;MAPK9;PLD1;PIK3CB;BAD;CDK4;RB1;AKT1;TGFB1;TGFBR1;AKT3;CDKN1A;ERBB2;SMAD3;PIK3CA;TGFBR2;SMAD2;RAC1;RAF1;MAPK3;CDC42;SMAD4;MAP2K1;CDK6;KRAS;CCND1;CHUK;RELA;RALBP1;EGFR;RALB;RAC3;RPS6KB2;IKBKB;NFKB1;BAX;MAPK1;BRCA2;GADD45B;MTOR;AKT2;PIK3R3;BCL2L1
11,prerank,FoxO signaling pathway,0.37951884464842794,2.0960088641068415,0.0,0.0007645034051794183,0.009,92/119,48.05%,CCNB2;BCL6;HRAS;STAT3;CAT;FOXO1;STK11;CSNK1E;MAPK9;PLK1;PIK3CB;PRKAG1;IRS1;MAPK13;PRKAG2;PDPK1;AKT1;ATM;TGFB1;TGFBR1;MAPK14;AKT3;CDKN1A;SOS2;SMAD3;PIK3CA;RAG2;EP300;TGFBR2;PTEN;SMAD2;SETD7;IGF1R;RAF1;SGK3;MAPK3;PCK2;CDKN2B;SMAD4;GRB2;PLK4;CCNB1;CDKN1B;MAP2K1;SKP2;INS;KRAS;CCND1;CHUK;MAPK11;IL10;PRKAA1;FBXO32;EGFR;IL7R;CDK2;NLK;IKBKB;USP7;MAPK1;NRAS;GADD45B;CCND2;IL6;AKT2;PRKAB1;PIK3R3;INSR;G6PC2;GRM1;FOXO3;HOMER2;MAPK8;MDM2;STK4;BRAF;PRKAB2;IRS2;S1PR4;PIK3R1;PLK2;FASLG;PIK3CD;TNFSF10;TGFB3;G6PC3;PRKAG3;GADD45A;PRKAA2;MAPK12;TGFB2;SOS1
12,prerank,B cell receptor signaling pathway,0.40987941648562737,2.0839647720843155,0.0,0.0010977484792319852,0.014,46/68,35.17%,LYN;HRAS;SYK;CD72;CARD11;PIK3CB;NFKBIB;AKT1;AKT3;CD19;PTPN6;SOS2;VAV1;PIK3CA;RAC1;RAF1;CD79B;MALT1;MAPK3;PLCG2;FCGR2B;NFKBIE;CD81;GRB2;INPP5D;MAP2K1;KRAS;CHUK;RELA;BTK;CD79A;JUN;NFATC3;RAC3;CR2;IKBKB;PPP3CC;NFKB1;NFKBIA;FOS;GSK3B;MAPK1;NRAS;PPP3CA;AKT2;PIK3R3
13,prerank,Human cytomegalovirus infection,0.3533392026600705,2.067676275806763,0.0,0.0012377674179095343,0.017,140/197,45.46%,RPS6KB1;CREB3L2;GNA13;CCL5;HRAS;ATF2;STAT3;FAS;TP53;ADCY6;TRAF5;GNAI2;TRADD;E2F1;HLA-A;PRKCG;IFNA16;CREB1;PIK3CB;MAPK13;CRKL;CDK4;PRKACG;CX3CL1;RB1;AKT1;ATF4;RHOA;NFATC4;MAPK14;BID;AKT3;PTK2B;RHEB;CYCS;CASP3;IL10RB;CDKN1A;TSC2;CREB3L4;SOS2;IL1B;IFNA2;PIK3CA;ADCY3;TBK1;RAC1;PRKCA;CALM3;ADCY9;RAF1;PLCB1;CALR;IFNA21;PTGER2;MAPK3;CCR5;PTGER4;CTNNB1;GRB2;MYC;GNG12;MAP2K1;FADD;CDK6;CXCR2;CCL2;KRAS;CCND1;CHUK;AKAP13;GNA11;RELA;MAPK11;TNFRSF1A;ROCK1;IFNA17;PTGS2;ARHGEF12;EIF4EBP1;NFATC3;ADCY7;EGFR;B2M;RIPK1;GNAI3;RAC3;RPS6KB2;IKBKB;PPP3CC;NFKB1;IFNB1;NFKBIA;CREB3;BAX;GSK3B;PRKACB;MAPK1;NRAS;IFNA10;GNAI1;IL6;MTOR;IFNA4;PPP3CA;GNGT2;AKT2;PLCB3;PIK3R3;CRK;TAP2;IRF3;CASP8;ARHGEF11;NFATC1;CCL3;GNG4;GNG7;PRKACA;IL6R;GNB4;CALM1;MDM2;GNA12;GNG11;GNAS;GNG8;JAK1;TAP1;TMEM173;CXCR4;PIK3R1;ADCY2;PDGFRA;FASLG;GNB2;ITPR1;PIK3CD;IFNA14;ADCY5
14,prerank,Toll-like receptor signaling pathway,0.3775120455141936,2.0617681830701415,0.0,0.0012232054482870691,0.018,77/98,47.88%,CCL5;STAT1;IRAK4;MAPK9;IFNA16;PIK3CB;MAPK13;TICAM2;MYD88;AKT1;MAP2K4;TOLLIP;MAPK14;AKT3;IKBKE;TLR4;IL1B;IFNA2;PIK3CA;IRF7;IL12B;TBK1;IRAK1;RAC1;MAP2K7;IFNA21;MAPK3;TLR8;CXCL11;CXCL9;TLR6;TLR9;MAP2K1;FADD;IFNAR2;CHUK;IL12A;RELA;MAPK11;TICAM1;IFNA17;JUN;RIPK1;IRF5;TAB2;TLR2;IKBKB;NFKB1;CD86;IFNB1;NFKBIA;FOS;SPP1;CTSK;MAPK1;IFNA10;IL6;IFNA4;AKT2;PIK3R3;IRF3;TLR7;CASP8;TLR5;CCL3;MAP2K3;MAPK8;CD40;TRAF3;MAP3K8;PIK3R1;PIK3CD;IFNA14;TLR3;IFNA1;MAPK12;MAP3K7
15,prerank,Prostate cancer,0.38751338674644137,2.0574551583362957,0.0,0.0014015895761622667,0.022,67/89,45.04%,CREB3L2;HSP90AB1;HRAS;ZEB1;TP53;ERG;E2F1;FOXO1;ETV5;CREB1;PIK3CB;BAD;PDPK1;RB1;AKT1;ATF4;AKT3;CDKN1A;CREB3L4;SOS2;ERBB2;PIK3CA;LEF1;EP300;PTEN;BCL2;IGF1R;RAF1;MAPK3;HSP90AA1;CTNNB1;GRB2;CDKN1B;MAP2K1;PLAU;INS;KRAS;CCND1;CHUK;RELA;PLAT;EGFR;PDGFRB;CDK2;HSP90B1;IKBKB;NFKB1;GSTP1;NFKBIA;CREB3;GSK3B;MAPK1;NRAS;IL1R2;MTOR;AKT2;PIK3R3;NKX3-1;FGFR2;MDM2;CCNE1;BRAF;TCF7L2;PIK3R1;PDGFRA;PIK3CD;FGFR1
16,prerank,Viral myocarditis,0.43481284654656444,2.0547550085021413,0.0,0.0013191431305056628,0.022,34/45,40.99%,DAG1;CD55;HLA-A;HLA-DPA1;FYN;ICAM1;HLA-DRB3;ACTB;EIF4G1;ITGB2;HLA-DOB;BID;CYCS;CASP3;SGCB;ABL1;RAC1;ACTG1;HLA-DQB1;DMD;HLA-DRA;CCND1;ITGAL;HLA-DPB1;RAC3;HLA-DMB;CAV1;CD40LG;CD86;CASP8;CD28;HLA-DQA1;CXADR;CD40
17,prerank,Gastric cancer,0.374760219392428,2.0516969626139856,0.0,0.0013591171647634103,0.024,81/114,44.64%,RPS6KB1;CSNK1A1L;MET;DVL2;DDB2;HRAS;TP53;CSNK1A1;E2F1;FZD9;PIK3CB;FZD10;WNT5A;RB1;AKT1;FZD7;LRP6;TGFB1;TGFBR1;ABCB1;AKT3;CDKN1A;SOS2;ERBB2;SMAD3;PIK3CA;LEF1;TGFBR2;BCL2;SMAD2;FZD4;RAF1;MAPK3;CDKN2B;CTNNB1;SMAD4;DVL1;GRB2;MYC;CDKN1B;MAP2K1;FZD5;KRAS;CCND1;SHC1;MLH1;WNT10B;WNT7A;RARB;EGFR;DVL3;FGF9;RPS6KB2;CDK2;BAX;GSK3B;MAPK1;NRAS;GADD45B;WNT7B;RXRA;MTOR;AKT2;CDX2;RXRG;PIK3R3;CTNNA1;FGF2;FGFR2;SHC4;CCNE1;WNT9B;BRAF;CDH1;TCF7L2;WNT1;AXIN2;PIK3R1;SHH;FZD2;PIK3CD
18,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3845634964272573,2.048224085361897,0.0,0.001341234044174418,0.025,57/89,35.17%,JAK2;NOX1;HRAS;STAT1;STAT3;FOXO1;PRKCD;EDN1;EGR1;MAPK9;PIK3CB;ICAM1;MAPK13;F3;PRKCE;CDK4;AKT1;TGFB1;MMP2;TGFBR1;MAPK14;AKT3;CASP3;FN1;IL1B;SMAD3;PIK3CA;TGFBR2;BCL2;SMAD2;RAC1;PRKCA;PLCB1;MAPK3;PLCG2;CDC42;SMAD4;CDKN1B;CCL2;KRAS;CCND1;RELA;MAPK11;THBD;JUN;AGT;VEGFC;NFKB1;BAX;MAPK1;NRAS;PRKCZ;PLCG1;IL6;AKT2;PLCB3;PIK3R3
19,prerank,Kaposi sarcoma-associated herpesvirus infection,0.35408052574881965,2.0471696029674833,0.0,0.0012741723419656971,0.025,112/159,44.64%,JAK2;LYN;HRAS;STAT1;STAT3;FAS;SYK;TP53;TRADD;E2F1;HLA-A;CCR4;C3;MAPK9;IFNA16;CREB1;PIK3CB;ICAM1;MAPK13;MAPKAPK2;CDK4;STAT2;RB1;AKT1;MAP2K4;CXCL2;NFATC4;MAPK14;BID;AKT3;HIF1A;CYCS;CASP3;CDKN1A;IKBKE;IFNA2;PIK3CA;IRF7;EP300;TBK1;RAC1;CALM3;PIK3C3;CXCL1;RAF1;MAP2K7;IFNA21;MAPK3;PLCG2;CCR5;CTNNB1;MYC;GNG12;BECN1;MAP2K1;FADD;CDK6;IFNAR2;KRAS;CCND1;CHUK;RELA;MAPK11;TICAM1;TNFRSF1A;IFNA17;IFNGR1;PTGS2;JUN;NFATC3;PIK3R5;IKBKB;PPP3CC;NFKB1;CD86;IFNB1;NFKBIA;FOS;BAX;GSK3B;MAPK1;NRAS;IFNA10;PLCG1;IL6;MTOR;IFNA4;PPP3CA;GNGT2;AKT2;PIK3R3;IRF3;CASP8;NFATC1;GNG4;UBB;GNG7;PIK3CG;GNB4;FGF2;CALM1;MAPK8;GNG11;GNG8;TRAF3;JAK1;TYK2;CXCL3;PIK3R1;GNB2;ITPR1;PIK3CD
20,prerank,Pertussis,0.39457256226175974,2.044977941322187,0.0,0.001213497468538759,0.025,43/66,35.48%,NOD1;IRAK4;GNAI2;C5;C3;ITGB1;MAPK9;C2;MAPK13;TICAM2;IRF8;MYD88;RHOA;ITGB2;MAPK14;CASP7;CASP3;IRF1;TLR4;IL1B;IL12B;IRAK1;CFL1;CALM3;C1S;MAPK3;IL12A;RELA;MAPK11;TICAM1;IL10;JUN;CXCL5;GNAI3;C4BPA;NFKB1;FOS;MAPK1;GNAI1;IL6;NLRP3;NOS2;IRF3
21,prerank,Epstein-Barr virus infection,0.34867469294219416,2.0427785715034603,0.0,0.0011583384926960884,0.025,118/174,42.18%,LYN;DDB2;HES1;TNFAIP3;STAT1;STAT3;FAS;SYK;IRAK4;TP53;TRAF5;TRADD;E2F1;HLA-A;HLA-DPA1;MAPK9;IFNA16;PIK3CB;ICAM1;MAPK13;HLA-DRB3;CDK4;NFKBIB;STAT2;MYD88;RB1;AKT1;MAP2K4;HLA-DOB;MAPK14;BID;VIM;AKT3;CYCS;CASP3;CD247;CD19;CDKN1A;IKBKE;IFNA2;PIK3CA;IRF7;TBK1;BCL2;MAP3K14;IRAK1;RAC1;CALR;MAP2K7;IFNA21;PLCG2;HLA-DQB1;PSMD3;NFKBIE;OAS1;MYC;CDKN1B;FADD;SKP2;CDK6;IFNAR2;HLA-DRA;CCND1;CHUK;ITGAL;NFKB2;RELA;BTK;MAPK11;HLA-DPB1;JAK3;IFNA17;JUN;APAF1;B2M;RIPK1;HLA-DMB;CDK2;CR2;TAB2;PSMD1;TLR2;IKBKB;OAS3;NFKB1;PSMC5;CCNA2;IFNB1;USP7;NFKBIA;BAX;IFNA10;GADD45B;CCND2;IL6;IFNA4;CD3D;AKT2;PIK3R3;TAP2;IRF3;HDAC1;CASP8;DDX58;RUNX3;MAP2K3;MAPK8;MDM2;CCNE1;PSMD2;CCND3;HLA-DQA1;CD40;TRAF3;CD3E;JAK1;TAP1;TYK2
22,prerank,Fc gamma R-mediated phagocytosis,0.39436458994719836,2.0346771055155384,0.0,0.0012852521014610511,0.029,47/72,35.18%,LYN;RPS6KB1;SYK;LIMK2;PRKCD;PRKCG;PLD1;PIK3CB;CRKL;PLPP3;PRKCE;ASAP2;AKT1;PIP5K1B;PIP5K1C;ARPC5;AKT3;PAK1;VAV1;PIK3CA;CFL1;RAC1;PRKCA;RAF1;MAPK3;PLCG2;FCGR2B;CDC42;PLD2;INPP5D;MAP2K1;LIMK1;ARPC4;RPS6KB2;ARPC1A;FCGR2A;PIP5K1A;PLA2G4A;SPHK1;MAPK1;LAT;PLCG1;ARPC1B;NCF1;AKT2;PIK3R3;CRK
