,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Fluid shear stress and atherosclerosis,0.3508266464037528,2.603027497357242,0.0,0.0,0.0,95/122,48.13%,GSTA5;GPC1;MAPK12;AKT2;FOS;PLAT;IL1R2;CTNNB1;BCL2;NFKB1;AKT1;CALM3;NCF2;MAP3K5;CALM1;NOS3;IL1B;CAV3;RAC1;BMP4;EDN1;RHOA;TNFRSF1A;CAV1;GSTP1;TP53;PIK3CA;NOX1;BMPR1B;VEGFA;GSTA1;MAPK11;HSP90AA1;PIK3CB;CAV2;RAC3;SDC1;SDC2;RELA;IKBKG;GSTM3;ACVR1;ACVR2A;MAPK7;KEAP1;ACTG1;PIAS4;HMOX1;GSTO1;PTK2;HSP90AB1;MAPK8;MAPK13;BMPR2;PIK3R1;PRKAA1;MGST2;KLF2;IL1R1;MAPK14;AKT3;CDH5;ACTB;MEF2A;TRPV4;IKBKB;HSP90B1;ITGB3;MMP2;CCL2;CTSL;TXN;MAPK9;NFE2L2;IFNG;VCAM1;ITGA2B;GSTT1;MMP9;THBD;ITGAV;GSTA2;CHUK;MAP2K4;NQO1;JUN;GSTA4;PECAM1;NCF1;SQSTM1;MAP2K7;MGST1;BMPR1A;SRC;PRKCZ
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3745294809520603,2.581846698228561,0.0,0.0,0.0,63/89,38.99%,MAPK12;AKT2;IL6;PRKCE;SMAD4;BCL2;NFATC1;CASP3;EGR1;PLCB1;SMAD3;PRKCB;NFKB1;TGFB1;CDK4;AKT1;NOS3;TGFBR2;IL1B;RAC1;EDN1;COL4A5;PLCD1;PIK3CA;NOX1;TGFBR1;VEGFA;AGTR1;STAT1;MAPK11;F3;FN1;PIK3CB;FOXO1;RELA;MAPK3;COL1A2;CDC42;PRKCD;BAX;MAPK8;STAT3;MAPK13;PIK3R1;PIM1;MAPK14;AKT3;PLCB3;HRAS;AGER;MMP2;CCL2;CDKN1B;STAT5A;MAPK9;VCAM1;VEGFC;PRKCA;PLCG2;TGFB3;JAK2;THBD;NRAS
2,prerank,Measles,0.3416413074271639,2.5545951068783146,0.0,0.0,0.0,103/126,52.32%,CDK2;AKT2;TAB2;BAD;TNFAIP3;IL6;TYK2;CD3G;FOS;BCL2;CASP3;NFKB1;CSNK2A2;CCND2;CDK4;IFNA16;CCNE1;BID;AKT1;IFNA10;CASP9;IL1B;BAK1;RCHY1;TLR4;IFIH1;BCL2L1;JAK1;TP53;PIK3CA;DDX58;IL2;STAT1;IL12B;EIF2AK3;MYD88;PIK3CB;EIF3H;IFNAR1;IRF3;CASP8;FADD;RELA;EIF2AK2;IKBKG;TRAF3;IL2RA;EIF2AK1;IRAK4;APAF1;NFKBIA;BAX;IFNA14;MAPK8;STAT3;TLR7;PIK3R1;CD3D;AKT3;GSK3B;TBK1;IKBKB;CCND3;IL12A;IFNB1;TRAF6;EIF2AK4;CDKN1B;IRF9;BBC3;STAT5A;MAPK9;JAK3;ADAR;TLR2;HSPA1A;FAS;CSNK2B;IKBKE;HSPA1B;CHUK;IFNA4;JUN;HSPA2;IFNA2;OAS2;CBLB;OAS3;FCGR2B;HSPA8;CLEC4M;SLAMF1;MX1;CD209;EIF2S1;CD46;CDK6;IFNAR2;CYCS;IL2RG;CD28;STAT2;IRAK1
3,prerank,Toxoplasmosis,0.3642815954909515,2.5248829035648366,0.0,0.0,0.0,73/99,42.94%,PDPK1;MAPK12;AKT2;TAB2;BAD;TYK2;CD40;BCL2;CASP3;NFKB1;TGFB1;CIITA;MAP2K3;AKT1;BIRC2;PIK3R5;CASP9;TLR4;TNFRSF1A;BCL2L1;JAK1;CCR5;HLA-DPB1;HLA-DOB;STAT1;BIRC3;IL12B;ALOX5;MAPK11;ITGA6;MYD88;HLA-DMB;IL10RB;CASP8;RELA;IKBKG;MAPK3;HLA-DRB5;SOCS1;PIK3CG;IRAK4;NFKBIA;GNAI1;MAPK8;STAT3;MAPK13;LDLR;MAPK14;AKT3;IKBKB;GNAI2;NOS2;IL12A;LAMB3;TRAF6;HLA-DQB1;IRGM;HLA-DRB1;LAMB1;MAPK9;IFNG;BIRC7;TGFB3;TLR2;JAK2;HLA-DRA;HSPA1A;HSPA1B;CHUK;IFNGR2;IFNGR1;HSPA2;IL10
4,prerank,Chagas disease (American trypanosomiasis),0.3575254091262517,2.507429737776547,0.0,0.0,0.0,71/97,42.94%,MAPK12;CFLAR;AKT2;IL6;CD3G;FOS;C3;GNA15;PLCB1;SMAD3;NFKB1;GNAS;TGFB1;AKT1;CALR;TGFBR2;IL1B;TICAM1;TLR4;TNFRSF1A;PIK3CA;TGFBR1;BDKRB2;C1QB;IL2;ADCY1;IL12B;MAPK11;MYD88;PIK3CB;CASP8;FADD;RELA;IKBKG;MAPK3;IRAK4;NFKBIA;PPP2R1A;GNAI1;GNA11;CD247;MAPK8;MAPK13;PIK3R1;CD3D;MAPK14;AKT3;PLCB3;ACE;IKBKB;GNAI2;NOS2;IL12A;IFNB1;TRAF6;CCL2;PPP2CB;MAPK9;IFNG;PPP2R2C;TGFB3;TLR2;FAS;PPP2R2A;CHUK;MAP2K4;C1QA;JUN;IFNGR2;IFNGR1;IL10
5,prerank,Progesterone-mediated oocyte maturation,0.3928560608844928,2.482396423226516,0.0,0.00017435629195448272,0.001,45/65,36.84%,MAPK12;CDK2;AKT2;PDE3B;BRAF;AKT1;IGF1R;ARAF;CCNB1;PIK3CA;MAP2K1;PLK1;ADCY1;PRKACB;MAPK11;HSP90AA1;ADCY2;CDC25A;PIK3CB;IGF1;CDK1;MAPK3;PGR;GNAI1;RPS6KA1;ADCY9;MOS;HSP90AB1;MAPK8;MAPK13;PIK3R1;CDC25C;MAPK14;AKT3;ADCY7;CDC25B;PRKACA;GNAI2;INS;ADCY6;RPS6KA3;RPS6KA6;MAPK9;ADCY5;CCNA1
6,prerank,Th17 cell differentiation,0.3458285577497588,2.4486829640525585,0.0,0.0004483447507400985,0.003,71/107,37.95%,NFATC3;HIF1A;MAPK12;IL4R;RXRG;IL6;TYK2;CD3G;FOS;SMAD4;IL6R;NFATC1;SMAD3;GATA3;NFKB1;TGFB1;RXRB;LCK;TGFBR2;IL1B;PPP3CB;PPP3CC;JAK1;HLA-DPB1;PPP3CA;TGFBR1;HLA-DOB;IL2;STAT1;MAPK11;HSP90AA1;HLA-DMB;RELA;IKBKG;TBX21;IL2RA;PRKCQ;MAPK3;HLA-DRB5;IL23R;IL17F;IRF4;NFKBIA;IL1RAP;NFKBIE;HSP90AB1;STAT6;CD247;MAPK8;STAT3;MAPK13;IL27RA;IL1R1;CD3D;MAPK14;IL17A;IKBKB;FOXP3;HLA-DQB1;RUNX1;ZAP70;HLA-DRB1;PPP3R2;RORA;STAT5A;MAPK9;IFNG;JAK3;IL12RB1;JAK2;HLA-DRA
7,prerank,Neurotrophin signaling pathway,0.3449009137717771,2.4452863909097666,0.0,0.0003923016568975862,0.003,63/103,34.71%,PDPK1;MAPK12;MAGED1;AKT2;ARHGDIB;BAD;CAMK2D;ARHGDIA;RAP1A;ZNF274;BCL2;PSEN2;NFKB1;BRAF;AKT1;CALM3;MAP3K5;CALM1;RPS6KA5;RAC1;IRAK2;RHOA;CAMK2A;SHC1;ABL1;TP53;PIK3CA;MAP2K1;MAPKAPK2;SH2B3;FOXO3;MAPK11;GRB2;PIK3CB;CAMK2G;RELA;MAPK3;CDC42;MAPK7;IRAK4;SHC4;RIPK2;NFKBIA;NFKBIE;RPS6KA1;PRKCD;BAX;NTRK3;MAPK8;MAPK13;PIK3R1;MAPK14;AKT3;GSK3B;HRAS;MATK;IKBKB;TRAF6;RPS6KA3;RPS6KA6;NGFR;IRAK3;MAPK9
8,prerank,Pancreatic cancer,0.3783039168067538,2.4425561777218463,0.0,0.0003487125839089655,0.003,44/71,31.10%,AKT2;BAD;SMAD4;SMAD3;NFKB1;ERBB2;TGFB1;BRAF;CDK4;AKT1;DDB2;E2F1;TGFBR2;CASP9;BAK1;RAC1;ARAF;RALA;BCL2L1;JAK1;TP53;PIK3CA;MAP2K1;RALBP1;TGFBR1;VEGFA;STAT1;PIK3CB;RAC3;RELA;IKBKG;MAPK3;CDC42;RPS6KB2;CDKN1A;BAX;MAPK8;STAT3;PIK3R1;RALB;AKT3;IKBKB;RPS6KB1;TGFA
9,prerank,Tryptophan metabolism,0.4452298563330723,2.383756054568564,0.0010799136069114472,0.00041845510069075855,0.004,27/35,37.42%,HADH;MAOA;EHHADH;CAT;ACAT2;ECHS1;IDO1;AADAT;GCDH;MAOB;DLD;KYAT1;ASMT;ALDH7A1;IL4I1;IDO2;ACAT1;CYP1A2;ALDH1B1;CYP1A1;DDC;ALDH3A2;TPH1;KMO;ALDH9A1;KYNU;HADHA
