,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Lysine degradation,0.4745312439285481,1.9492867567387604,0.0,0.050335509047578955,0.048,32/46,34.23%,DLD;SETD1B;HADH;PRDM2;SETD7;SUV39H1;SETDB2;DOT1L;KMT2A;KMT2E;EHMT1;ALDH3A2;NSD1;EZH2;SETD2;ACAT2;PLOD3;KMT2C;PIPOX;ACAT1;EHMT2;KMT2B;EZH1;AASS;ALDH7A1;PRDM7;EHHADH;KMT2D;ALDH9A1;TMLHE;ALDH1B1;PHYKPL
1,prerank,Human immunodeficiency virus 1 infection,0.3995595419605823,1.9407477069815244,0.0,0.027181174885692636,0.052,90/175,28.88%,BCL2;IFNA2;CCR5;TAPBP;CASP8;SAMHD1;TLR4;CDK1;JUN;RELA;KRAS;AKT1;IFNA4;CYCS;IRAK1;B2M;PTK2;WEE2;MYD88;IKBKG;PIK3CD;RAC1;TAB2;MAP2K3;TMEM173;MTOR;LIMK1;CDC25C;PAK4;FADD;NFATC3;CALM1;MAPK3;IFNA8;PIK3CA;GNGT2;PPP3CA;MAPK12;PIK3R3;GNAI3;HLA-A;TLR2;PPP3R2;IFNA21;ATR;GNG12;BID;PIK3R2;BAX;TAP2;CFL1;IFNA1;SKP1;CHUK;CASP9;IRF3;CCNB1;PAK5;RAF1;MAPK14;CHEK1;HRAS;PLCG1;TRAF2;NFATC1;CXCR4;WEE1;MAP3K7;IFNA10;ATM;CD4;NFKBIA;TRAF5;BCL2L1;CASP3;NRAS;GNAI2;CALR;TAP1;RPS6KB1;APOBEC3D;ITPR3;GNG4;PXN;CALM3;PIK3R1;FAS;CD247;TNFRSF1B;PRKCA
2,prerank,Central carbon metabolism in cancer,0.4393806110494853,1.9171056720703632,0.0,0.023154334161886315,0.066,39/60,32.69%,HK1;HIF1A;KRAS;AKT1;FGFR3;PIK3CD;MTOR;FGFR1;SIRT3;HK2;EGFR;HKDC1;PDGFRA;MAPK3;PIK3CA;PKM;PIK3R3;MYC;TP53;PFKP;FLT3;TIGAR;PIK3R2;RAF1;PDHB;HRAS;PFKM;PTEN;SLC1A5;RET;MET;SLC2A1;NRAS;PDK1;PIK3R1;FGFR2;PDHA1;MAPK1;LDHA
3,prerank,p53 signaling pathway,0.44002220826768257,1.8821112042485377,0.0,0.02793620752140632,0.105,37/56,37.13%,BCL2;CASP8;CDK1;CCND3;CYCS;PMAIP1;SHISA5;CDK4;BBC3;TP53;CDK2;CDK6;ATR;BID;GADD45B;SERPINE1;BAX;CASP9;CCNB1;TSC2;CHEK1;PTEN;SIAH1;ATM;BCL2L1;CASP3;MDM2;APAF1;TNFRSF10B;CCND2;FAS;CCND1;CDKN1A;CDKN2A;RCHY1;RRM2B;CD82
4,prerank,Endometrial cancer,0.4353501639845598,1.8592405911829992,0.001004016064257028,0.02838922710283453,0.132,38/53,37.78%,KRAS;AKT1;TCF7L2;PIK3CD;BRAF;EGFR;MAPK3;LEF1;PIK3CA;PDPK1;PIK3R3;MYC;TP53;GADD45B;PIK3R2;GSK3B;CTNNB1;BAX;AXIN1;CASP9;RAF1;HRAS;PTEN;ARAF;APC;NRAS;MLH1;AXIN2;PIK3R1;CCND1;FOXO3;CDKN1A;MAPK1;EGF;SOS1;BAK1;BAD;ILK
5,prerank,Prostate cancer,0.4078369809373965,1.8512274370365807,0.0,0.02617446470474105,0.144,66/89,42.57%,BCL2;RELA;KRAS;AKT1;TCF7L2;IKBKG;PIK3CD;INS;BRAF;MTOR;FGFR1;EGFR;AR;PDGFRA;MAPK3;LEF1;PIK3CA;INSRR;PDPK1;PIK3R3;PLAU;TP53;CDK2;CREB1;CREB3L4;PIK3R2;GSK3B;CTNNB1;CHUK;CASP9;CREBBP;RAF1;ATF4;HRAS;PTEN;ETV5;HSP90AB1;ERG;FOXO1;ARAF;PLAT;NFKBIA;HSP90AA1;NRAS;MDM2;CREB3L2;PIK3R1;ZEB1;CCND1;FGFR2;CDKN1A;MAPK1;EGF;HSP90B1;IGF1R;SOS1;RB1;EP300;BAD;E2F3;NFKB1;PDGFD;IL1R2;CCNE1;ERBB2;PDGFRB
6,prerank,Bladder cancer,0.45769521636693283,1.848436335887447,0.0010111223458038423,0.02329814990202226,0.149,29/39,37.59%,VEGFA;KRAS;FGFR3;BRAF;EGFR;CDK4;MAPK3;MYC;TP53;MMP1;CXCL8;DAPK1;RAF1;HRAS;ARAF;DAPK3;NRAS;DAPK2;HBEGF;MDM2;CCND1;CDKN1A;MAPK1;CDKN2A;EGF;SRC;RPS6KA5;RB1;E2F3
7,prerank,Kaposi sarcoma-associated herpesvirus infection,0.38455573074284566,1.8433881634258165,0.0,0.021518430117840003,0.154,103/159,39.15%,IFNA2;CCR5;CASP8;BECN1;VEGFA;CXCL1;JUN;RELA;HIF1A;KRAS;AKT1;IFNA4;CYCS;IKBKG;PIK3CD;RAC1;TICAM1;MTOR;IL6ST;FADD;NFATC3;CALM1;JAK1;CDK4;MAPK3;IFNA8;PIK3CA;GNGT2;PPP3CA;STAT3;MAPK12;PIK3R3;MYC;HLA-A;TP53;MICB;CREB1;PPP3R2;IFNA21;CDK6;CXCL8;GNG12;BID;RCAN1;PIK3R2;GSK3B;CTNNB1;BAX;IFNA1;CHUK;CASP9;CREBBP;IRF3;JAK2;RAF1;MAPK14;C3;STAT2;HRAS;FGF2;PLCG1;HCK;SYK;TRAF2;NFATC1;IFNA10;NFKBIA;STAT1;EIF2AK2;CD86;CASP3;CSF2;NRAS;PIK3C3;CCR1;CD200R1;ITPR3;ICAM1;GNG4;CALM3;PIK3R1;FAS;CCND1;PIK3R6;CDKN1A;MAPK1;GNG11;MAP2K4;IFNGR1;SRC;IRF7;RB1;MAPK8;BAK1;EP300;E2F3;IFNA7;TBK1;ATG3;LYN;NFKB1;IFNAR2;IRF9
8,prerank,Human cytomegalovirus infection,0.37248609507212227,1.8247023855424136,0.0,0.023601760908975908,0.183,100/197,29.20%,IFNA2;CCR5;TAPBP;CASP8;VEGFA;RELA;KRAS;AKT1;ROCK1;IFNA4;CYCS;CXCR2;B2M;PTK2;GNA12;IKBKG;PIK3CD;CCL3L3;RAC1;TMEM173;MTOR;RHOA;EGFR;ADCY7;AKAP13;FADD;NFATC3;CALM1;PDGFRA;JAK1;CDK4;MAPK3;IFNA8;PIK3CA;GNGT2;PPP3CA;STAT3;MAPK12;IL10RA;PIK3R3;MYC;GNAI3;HLA-A;TP53;RHEB;CREB1;ITGB3;PPP3R2;IFNA21;CDK6;PLCB3;CXCL8;GNG12;BID;CREB3L4;CCL4;PIK3R2;ADCY3;GSK3B;CTNNB1;BAX;TAP2;IFNA1;CHUK;CASP9;IRF3;TSC2;RAF1;MAPK14;PTGER4;ATF4;HRAS;TRAF2;NFATC1;CXCR4;CCL4L2;IFNA10;ADCY9;NFKBIA;TRAF5;ITGAV;CASP3;NRAS;GNAI2;CALR;TAP1;CCR1;MDM2;RPS6KB1;CREB3L2;ITPR3;GNG4;PXN;GNA13;CALM3;PIK3R1;FAS;PRKCA;ADCY5;CCND1
9,prerank,Viral carcinogenesis,0.3827426059637374,1.8228156102462167,0.0,0.021342255836173475,0.184,89/141,39.60%,CCR5;CASP8;HDAC6;HDAC7;CDK1;JUN;CCNA1;CCND3;RELA;KRAS;HIST1H4E;IKBKG;PIK3CD;RAC1;PMAIP1;RHOA;IL6ST;HDAC2;JAK1;CDK4;MAPK3;HDAC4;PIK3CA;PKM;STAT3;PIK3R3;TRAF1;HLA-A;TP53;CDK2;CCNA2;CREB1;CDK6;KAT2A;CREB3L4;PIK3R2;KAT2B;ACTN4;BAX;CREBBP;IRF3;HDAC5;C3;HDAC3;CHEK1;STAT5A;ATF4;HRAS;SYK;TRAF2;HDAC8;JAK3;HDAC9;HDAC10;TBP;NFKBIA;EIF2AK2;TRAF5;CASP3;NRAS;EGR3;LTBR;MDM2;CREB3L2;CDC42;PXN;CCND2;PIK3R1;CCND1;GTF2B;CDKN1A;MAPK1;ATF2;CDKN2A;SRF;REL;SNW1;SRC;IRF7;RB1;BAK1;EP300;BAD;HDAC1;LYN;HPN;NFKB1;IRF9;HIST1H4I
