,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.428961602318933,2.9373986781259953,0.0,0.0,0.0,55/79,33.10%,DDB2;JUN;TP53;RHOA;AXIN2;RPS6KB1;TGFBR2;CTNNB1;TGFB3;GRB2;PIK3CD;AKT3;AKT1;RAF1;MAPK9;GSK3B;PMAIP1;RPS6KB2;GADD45B;BCL2;FOS;SMAD3;RAC3;SMAD4;LEF1;MLH1;TCF7L2;EGFR;CCND1;TCF7L1;CDKN1A;APC;PIK3R3;PIK3CA;MAPK1;RAC1;HRAS;MAPK8;CYCS;BCL2L11;AXIN1;MAP2K1;AKT2;PIK3R2;TGFBR1;CASP3;MTOR;TGFB2;RALGDS;BRAF;BAK1;RALA;PIK3CB;SOS1;NRAS
1,prerank,TNF signaling pathway,0.39082790126015826,2.857764363223385,0.0,0.0,0.0,79/103,43.04%,CX3CL1;TRAF5;IL15;MAPK14;JUN;TRADD;NFKBIA;TAB2;IKBKB;CHUK;MAPK13;MAP3K14;CREB3L2;TNFAIP3;RPS6KA4;CCL2;PIK3CD;AKT3;IL1B;BCL3;AKT1;MAPK9;CSF1;EDN1;CCL20;JUNB;FOS;CFLAR;CXCL10;FAS;CXCL5;DNM1L;CREB3L4;VCAM1;BIRC2;MLKL;RELA;TRAF1;MAP3K5;ATF4;IL18R1;CXCL3;ICAM1;PIK3R3;PIK3CA;MAPK1;NFKB1;TRAF2;CASP7;MAPK8;FADD;MAP2K1;MMP14;AKT2;PIK3R2;ATF2;CASP3;MAP2K3;JAG1;IFNB1;MAP3K8;CCL5;CASP8;CREB1;RPS6KA5;PIK3CB;CASP10;LIF;CXCL1;RIPK1;IKBKG;TRAF3;MAP2K4;TNF;IL6;VEGFC;PIK3R1;MAPK11;MAP2K6
2,prerank,Pancreatic cancer,0.43184018086757225,2.8300272962015973,0.0,0.0,0.0,50/71,32.94%,DDB2;TP53;E2F1;RPS6KB1;IKBKB;STAT3;CHUK;TGFBR2;TGFB3;PIK3CD;AKT3;AKT1;RAF1;MAPK9;RPS6KB2;GADD45B;BCL2L1;SMAD3;RAC3;SMAD4;EGFR;ERBB2;CCND1;RALBP1;RELA;CDKN1A;PIK3R3;PIK3CA;BRCA2;MAPK1;NFKB1;RB1;CDK6;RAC1;MAPK8;STAT1;MAP2K1;AKT2;RAD51;PIK3R2;TGFBR1;CDC42;MTOR;TGFB2;RALGDS;BRAF;BAK1;RALA;PIK3CB;PLD1
3,prerank,Fc gamma R-mediated phagocytosis,0.4206185185217816,2.815870283865984,0.0,0.0,0.0,55/72,38.98%,PLCG1;PIP5K1A;LYN;VAV1;RPS6KB1;ASAP2;PIK3CD;AKT3;AKT1;RAF1;CRKL;PRKCG;LIMK1;RPS6KB2;PLCG2;PRKCD;INPPL1;PRKCE;ARPC5;CRK;SPHK1;ARPC1B;FCGR3A;LIMK2;PLD2;PLPP3;NCF1;ASAP1;SYK;PIK3R3;PIK3CA;MAPK1;CFL1;RAC1;PRKCA;WAS;MAP2K1;AKT2;PIK3R2;CDC42;DOCK2;ARPC2;PLA2G4A;INPP5D;MARCKS;PIK3CB;VAV3;PLD1;LAT;ARPC4;PIP5K1C;PLA2G6;FCGR2A;PAK1;FCGR1A
4,prerank,MicroRNAs in cancer,0.3695773503417495,2.77561413287411,0.0,0.0,0.0,82/129,33.10%,DNMT3A;MCL1;RPTOR;PAK4;PLCG1;TP53;HDAC4;RHOA;E2F1;IKBKB;STAT3;IRS1;ABCB1;GRB2;HDAC1;RAF1;CRKL;PLAU;PRKCG;CCNE1;PLCG2;BCL2L2;ZEB1;PRKCE;FGFR3;CDKN1B;CRK;BCL2;ROCK1;MET;ABCC1;VIM;HMGA2;NOTCH1;HMOX1;EGFR;ERBB2;EP300;SLC45A3;NOTCH2;EZH2;DICER1;CREBBP;CCND1;DDIT4;SLC7A1;CDC25A;ABL1;CDKN1A;ATM;CYP1B1;APC;PIK3CA;CDC25B;MAPK1;ERBB3;IGF2BP1;NFKB1;SHC1;MAPK7;CDK6;PRKCA;HRAS;BCL2L11;MAP2K1;SOCS1;PIK3R2;ITGB3;CASP3;MTOR;TGFB2;SIRT1;MDM4;SOX4;CD44;RPS6KA5;BAK1;MARCKS;RDX;BRCA1;SOS1;NRAS
5,prerank,Toll-like receptor signaling pathway,0.3863473149710773,2.7385358839538436,0.0,0.0,0.0,76/98,43.41%,MAPK14;JUN;NFKBIA;IFNA16;IRAK4;TAB2;IKBKB;SPP1;TICAM1;CHUK;MAPK13;PIK3CD;AKT3;IL1B;AKT1;MAPK9;TBK1;IKBKE;TLR9;FOS;TLR3;CXCL10;IFNA21;TLR2;TICAM2;TOLLIP;RELA;CD86;IFNA14;PIK3R3;PIK3CA;MAPK1;IFNA1;TLR6;NFKB1;TLR4;IL12A;TLR8;IRF7;RAC1;MAPK8;IRAK1;STAT1;FADD;IRF5;CXCL9;MAP2K1;IFNA2;AKT2;PIK3R2;MAP2K3;IFNB1;MAP3K8;CCL5;CASP8;LBP;TLR5;PIK3CB;TLR1;IFNA17;RIPK1;CD40;IKBKG;IFNAR1;TRAF3;MAP2K4;CTSK;MYD88;TNF;TIRAP;IFNA8;IL6;PIK3R1;MAPK11;MAP2K6;TLR7
6,prerank,Focal adhesion,0.35693325002994214,2.7117424235672623,0.0,0.0,0.0,98/128,47.14%,JUN;PAK4;RHOA;PGF;VAV1;SPP1;CTNNB1;GRB2;FN1;PIK3CD;AKT3;MYLK3;AKT1;RAF1;MAPK9;CRKL;GSK3B;PRKCG;ACTG1;RAP1A;CRK;PAK3;BCL2;ROCK1;MET;RAC3;EGFR;ITGA3;ERBB2;COL4A5;FLNB;ARHGAP35;BIRC2;ROCK2;FYN;CAV1;ITGA6;CCND1;MYLK4;PPP1CA;ACTB;PDPK1;PIK3R3;PIK3CA;MAPK1;COL4A3;MYLK2;PAK2;MYL9;SHC1;RAC1;PRKCA;HRAS;MAPK8;FLT1;LAMB2;PTK2;CAV3;MAP2K1;AKT2;PIK3R2;ITGB3;RELN;ITGB4;CDC42;ITGA8;ITGB8;BRAF;PARVG;PIK3CB;ITGA1;VAV3;SOS1;ACTN1;IGF1R;ITGB1;ITGB5;ITGAV;PIP5K1C;ILK;THBS1;PTEN;CCND3;PDGFRA;PAK1;THBS3;LAMA3;SHC4;VEGFA;LAMB3;VEGFC;PIK3R1;TNC;PXN;ACTN4;PDGFD;SRC;ITGB7
7,prerank,Neurotrophin signaling pathway,0.3693184117493794,2.688949328688879,0.0,0.0,0.0,66/103,33.64%,MAPK14;JUN;NTRK1;PLCG1;TP53;NFKBIA;RHOA;IRAK4;NTRK3;IKBKB;CALM3;IRS1;MAPK13;GRB2;PIK3CD;AKT3;MAPKAPK2;AKT1;RAF1;MAPK9;CRKL;GSK3B;MAGED1;PLCG2;PRKCD;RPS6KA1;RAP1A;CRK;BCL2;ARHGDIA;RELA;ABL1;MAP3K5;IRAK2;ATF4;PDPK1;NGF;RIPK2;CALM1;PIK3R3;PIK3CA;MAPK1;NFKB1;SHC1;MAPK7;RAC1;HRAS;MAPK8;IRAK1;FRS2;MAP2K1;NTRK2;AKT2;PIK3R2;MAP3K1;NFKBIB;CDC42;CAMK2G;BRAF;SORT1;RPS6KA5;PIK3CB;MAP2K5;SOS1;NRAS;PRDM4
8,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3418177078744041,2.663751823334648,0.0,0.0,0.0,113/159,43.04%,JAK2;MAPK14;JUN;TRADD;PLCG1;TP53;BID;NFKBIA;IFNA16;LYN;PIK3R5;E2F1;IKBKB;STAT3;TICAM1;CHUK;CALM3;CTNNB1;MAPK13;PIK3CD;AKT3;MAPKAPK2;GNG12;AKT1;RAF1;MAPK9;GSK3B;TBK1;CCR5;IKBKE;C3;PIK3CG;PLCG2;GNB2;FOS;HLA-A;TLR3;NFATC3;GNB4;FAS;NFATC4;IFNA21;EP300;STAT2;CREBBP;CCND1;SYK;RELA;CD86;IFNA14;CDKN1A;TYK2;EIF2AK2;CXCL3;ICAM1;CALM1;IFNGR1;PPP3R2;PIK3R3;PIK3CA;MAPK1;CCR4;IFNA1;HIF1A;NFKB1;RB1;GNG4;TRAF2;IRF7;CDK6;RAC1;HRAS;MAPK8;STAT1;GNG11;FADD;BECN1;CYCS;MAP2K1;IFNA2;AKT2;PIK3R2;CASP3;MTOR;IFNB1;CASP8;FGF2;CREB1;PPP3CA;BAK1;PIK3CB;PIK3C3;NRAS;CXCL1;IFNA17;CD200R1;NFATC1;ITPR1;GNB1;IKBKG;BAX;IFNAR1;TRAF3;MAP2K4;CDK4;GNB5;IFNA8;PIK3R6;IL6;VEGFA;PIK3R1;MAPK11;MAP2K6
9,prerank,Hepatitis B,0.34035818321402156,2.6387766176757936,0.0,0.0,0.0,108/153,43.04%,JAK2;DDB2;MAPK14;JUN;TP53;BID;JAK3;NFKBIA;IFNA16;IRAK4;TAB2;E2F1;CCNA2;IKBKB;STAT3;TICAM1;CHUK;TGFBR2;MAPK13;CREB3L2;TGFB3;GRB2;PIK3CD;AKT3;AKT1;RAF1;MAPK9;TBK1;PRKCG;IKBKE;CCNE1;BCL2;FOS;TLR3;NFATC3;SMAD3;STAT4;CDK2;FAS;SMAD4;NFATC4;IFNA21;IFIH1;CREB3L4;EP300;STAT2;CREBBP;TLR2;TICAM2;RELA;APAF1;STAT6;ATF4;IFNA14;CDKN1A;TYK2;PIK3R3;PIK3CA;MAPK1;IFNA1;NFKB1;RB1;TLR4;IRF7;PRKCA;HRAS;MAPK8;IRAK1;STAT1;FADD;CYCS;MAP2K1;IFNA2;AKT2;PIK3R2;TGFBR1;ATF2;MAP3K1;DDX58;CASP3;MAP2K3;IFNB1;CASP8;TGFB2;BRAF;CREB1;PIK3CB;CASP10;SOS1;NRAS;IFNA17;NFATC1;PCNA;IKBKG;BAX;SLC10A1;IFNAR1;TRAF3;MAP2K4;ARAF;MYD88;TNF;TIRAP;IFNA8;IL6;PIK3R1;MAPK11;MAP2K6
