,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TNF signaling pathway,0.40794645876483915,2.405507043627504,0.0,0.0010230807006056638,0.001,80/104,43.53%,TNFAIP3;EDN1;ATF2;ATF4;IL1B;CREB1;TRAF5;CASP7;CREB3L4;FAS;MAPK13;MAP3K14;MAPK1;CFLAR;AKT3;JUN;MAPK9;CREB3L2;CHUK;CX3CL1;MAPK14;CCL5;TAB2;IFNB1;FADD;MAP3K8;CXCL5;FOS;CASP3;CXCL3;RPS6KA4;TNFRSF1B;TRADD;DNM1L;MAPK12;MAP3K5;LIF;CASP8;CCL20;CSF1;PIK3CA;JUNB;CXCL2;IL15;BIRC2;IL6;CEBPB;RELA;IL18R1;MAPK3;CXCL1;TRAF2;RPS6KA5;MMP14;ICAM1;IKBKB;CCL2;BCL3;IRF1;PIK3CB;AKT1;BIRC3;JAG1;MAP2K1;MAP2K4;CASP10;IKBKG;MAPK11;MAP2K3;VCAM1;CXCL10;NFKB1;MLKL;NFKBIA;PIK3R1;VEGFC;TNFRSF1A;MAP2K7;MAP2K6;PIK3CD
1,prerank,Prion diseases,0.523822594866149,2.3763749057598655,0.0,0.0005115403503028319,0.001,23/29,34.84%,SOD1;IL1B;PRKACG;HSPA1A;FYN;MAPK1;PRKACB;C1QB;CCL5;C5;EGR1;C8B;C1QC;C6;PRKACA;NCAM1;IL6;MAPK3;PRNP;MAP2K1;BAX;C7;C8A
2,prerank,Viral myocarditis,0.4595943427306142,2.3141002585733856,0.0010298661174047373,0.0006820538004037759,0.002,30/45,28.33%,HLA-DPA1;HLA-DMB;CD55;BID;DMD;FYN;HLA-DRB3;HLA-DRA;EIF4G1;CYCS;HLA-A;RAC1;HLA-DOB;ABL1;CAV1;HLA-DQB1;ACTG1;RAC3;SGCB;CASP3;DAG1;CXADR;CASP8;ITGAL;ITGB2;ACTB;CD28;HLA-DQA1;ICAM1;HLA-DMA
3,prerank,Chagas disease (American trypanosomiasis),0.39045358833990057,2.2831820367373843,0.0,0.0007673105254542478,0.003,70/97,41.84%,IRAK4;IFNG;IL1B;KNG1;PPP2R1A;TGFBR1;SMAD3;FAS;MAPK13;GNAI1;PLCB1;MAPK1;TLR4;CFLAR;AKT3;JUN;MAPK9;GNAI2;CHUK;C1QB;IFNGR1;GNA15;MAPK14;CD247;CCL5;IL10;IFNB1;FADD;FOS;IL12A;SMAD2;MAPK12;CASP8;TGFB3;C1QC;TICAM1;PPP2R2A;BDKRB2;CALR;PIK3CA;TGFBR2;PPP2R2C;IL6;RELA;MAPK3;IKBKB;CCL2;PIK3CB;MYD88;AKT1;TLR9;IL2;CD3D;GNA11;C3;PLCB3;MAP2K4;IKBKG;MAPK11;TGFB1;TLR2;NFKB1;GNAI3;TRAF6;NFKBIA;PIK3R1;TNFRSF1A;CCL3;IRAK1;PPP2CB
4,prerank,Pertussis,0.41263207891831505,2.2342665781748607,0.0,0.0014323129808479294,0.007,48/66,40.03%,IRAK4;C2;NOD1;IL1B;CALM3;CASP7;MAPK13;GNAI1;MAPK1;IRF8;TLR4;JUN;RHOA;MAPK9;GNAI2;C1QB;MAPK14;IL10;C5;CXCL5;FOS;CASP3;IL12A;MAPK12;IRF3;C1QC;TICAM1;CFL1;C4BPA;ITGB2;IL6;RELA;MAPK3;IRF1;MYD88;C3;ITGB1;TICAM2;C4BPB;CALM1;NLRP3;MAPK11;CALML6;C4A;NFKB1;GNAI3;TRAF6;CD14
5,prerank,Melanogenesis,0.39532854403822004,2.220698267028475,0.0,0.0011935941507066076,0.007,54/79,38.86%,EDN1;HRAS;CALM3;PRKCG;CREB1;CREB3L4;WNT5A;PRKACG;POMC;EDNRB;FZD2;ADCY9;GNAI1;EP300;PLCB1;DVL1;MAPK1;PRKACB;GNAI2;ADCY3;CREB3L2;ADCY2;FZD10;RAF1;CAMK2A;LEF1;FZD7;ADCY6;PRKCA;NRAS;WNT10B;FZD4;PRKACA;WNT7A;MITF;MAPK3;ADCY5;DVL2;FZD5;FZD9;DVL3;GSK3B;CAMK2G;CTNNB1;MAP2K1;PLCB3;KRAS;CALM1;TCF7L2;CALML6;KITLG;WNT9B;GNAI3;ADCY7
6,prerank,Central carbon metabolism in cancer,0.41659837464900257,2.2171254385750845,0.0,0.001169235086406473,0.008,41/60,34.07%,HRAS;SIRT3;HIF1A;MET;HK1;TP53;MAPK1;SLC2A1;PDK1;AKT3;PFKP;FGFR1;PDHB;PFKL;RAF1;NTRK3;EGFR;PDGFRB;NRAS;PIK3CA;TIGAR;FGFR3;PTEN;HK3;MAPK3;SLC2A2;SLC1A5;PDHA1;ERBB2;PDGFRA;PIK3CB;NTRK1;AKT1;RET;MAP2K1;LDHA;IDH1;PFKM;MTOR;KRAS;G6PD
7,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3506818616541877,2.1662662702236775,0.0,0.0021740464887870354,0.017,113/159,43.85%,HRAS;BECN1;SYK;JAK2;IRF7;HIF1A;BID;CALM3;CREB1;IFNA16;NFATC4;FAS;MAPK13;E2F1;TP53;EP300;CYCS;MAPK1;GNG12;HLA-A;RAC1;AKT3;STAT3;JUN;PLCG2;MAPK9;CHUK;STAT2;IFNGR1;GNG8;CDK4;MAPK14;RAF1;IFNB1;TBK1;FADD;IKBKE;FOS;CASP3;CXCL3;TRADD;MAPK12;CASP8;IRF3;LYN;MAPKAPK2;TICAM1;CDKN1A;NRAS;PIK3CA;CXCL2;STAT1;CCR4;IL6;CCR5;RELA;GNG11;MAPK3;CXCL1;TRAF2;ITPR3;EIF2AK2;RB1;IFNA17;IFNA21;GNG4;ICAM1;PIK3CG;TLR3;PPP3CA;IKBKB;PIK3C3;GSK3B;PIK3CB;AKT1;IFNA2;NFATC3;UBB;JAK1;CTNNB1;C3;MAP2K1;BAX;NFATC1;CASP9;MAP2K4;MTOR;IKBKG;KRAS;CALM1;GABARAPL1;CD86;IFNA8;IRF9;MAPK11;CALML6;GNG7;CDK6;HLA-B;PIK3R5;NFKB1;IFNAR2;NFKBIA;PIK3R1;TNFRSF1A;FGF2;MYC;MAP2K7;ITPR1;MAP2K6;PIK3CD;PPP3R2;CCR3
8,prerank,Epstein-Barr virus infection,0.34559134482989334,2.1650669369876496,0.0,0.0019324857678106981,0.017,122/174,43.71%,TNFAIP3;HLA-DPA1;IRAK4;SYK;HLA-DMB;IRF7;APAF1;BID;TRAF5;IFNA16;JAK3;HLA-DRB3;FAS;MAPK13;HLA-DRA;E2F1;TP53;CYCS;MAP3K14;HLA-A;RAC1;AKT3;STAT3;JUN;HLA-DOB;PLCG2;MAPK9;HLA-DQB1;HES1;CHUK;STAT2;CDK4;MAPK14;CD247;BCL2;TAB2;IFNB1;TBK1;FADD;IKBKE;B2M;NFKBIE;USP7;CASP3;TRADD;CCNE1;MAPK12;NFKB2;CASP8;NFKBIB;IRF3;LYN;PSMD1;VIM;PSMD2;CCND3;CCND2;ITGAL;CALR;CDKN1A;PIK3CA;DDB2;STAT1;TAP1;CR2;SKP2;PSMD3;IL6;RELA;TRAF2;HLA-DQA1;EIF2AK2;RB1;IFNA17;IFNA21;ICAM1;IKBKB;CDK2;HLA-DMA;MDM2;PIK3CB;MYD88;AKT1;ENTPD3;IFNA2;CD3D;CD58;OAS1;JAK1;BAX;HDAC1;CASP9;DDX58;MAP2K4;BTK;IKBKG;IFNA8;IRF9;MAPK11;FCER2;CDK6;MAP2K3;TLR2;CD19;CD40;HLA-B;CXCL10;GADD45B;NFKB1;ENTPD1;IFNAR2;TRAF6;NFKBIA;PIK3R1;MYC;IRAK1;MAP2K7;TAP2;CDKN1B;MAP2K6;PIK3CD;SIN3A
9,prerank,Pathways in cancer,0.3155565039746239,2.1462215380538505,0.0,0.0020461614012113275,0.02,294/445,44.67%,GSTM1;SKP1;HSP90AB1;EDN1;HRAS;RASSF1;IL13RA1;JAK2;IFNG;PPARG;STAT6;RPS6KB1;GNA13;HIF1A;APAF1;BID;CALM3;PRKCG;GSTO1;PGF;TRAF5;GSTP1;KNG1;CASP7;WNT5A;PRKACG;MET;CKS1B;IFNA16;STAT4;EDNRB;FZD2;ADCY9;JAK3;TGFBR1;GSTT1;SMAD3;FAS;PML;EPAS1;ITGA3;E2F1;TP53;LAMB3;GNAI1;TFG;EP300;CYCS;CDC42;ZBTB16;PLCB1;DVL1;MAPK1;SLC2A1;GNG12;HMOX1;RAC1;AKT3;STAT3;FN1;JUN;ABL1;RHOA;PLCG2;PRKACB;MAPK9;GNAI2;HES1;ADCY3;ESR1;KEAP1;MMP2;CHUK;STAT2;ADCY2;FZD10;IFNGR1;GNG8;CDK4;FGFR1;STK4;RAF1;BCL2L1;EGLN3;CEBPA;BCL2;HSP90AA1;MECOM;FADD;ITGA2;CAMK2A;RAC3;MLH1;SMAD4;FGFR4;CTNNA1;CSF3R;FOS;CASP3;IL12A;EML4;SMAD2;FOXO1;CCNE1;EGFR;PMAIP1;NFE2L2;GRB2;NFKB2;EPO;LEF1;CASP8;TGFB3;LPAR6;NCOA4;CRKL;FZD7;ADCY6;PRKCA;HSP90B1;CSF2RA;MAX;IL4R;CSF2RB;MSH2;RARA;MMP1;ROCK1;CCND3;CCND2;BDKRB2;NCOA3;PDGFRB;CKS2;CDKN1A;IGF1R;AXIN2;NRAS;PIK3CA;PTGER4;DDB2;STAT1;IL15;BIRC2;FGFR3;SKP2;COL4A2;PIM2;CDKN2B;WNT10B;TGFBR2;RASGRP4;GSTM4;TXNRD1;NOTCH2;FZD4;PTEN;PRKACA;FGF9;WNT7A;IL13;MITF;IL6;RELA;TPR;GNG11;TXNRD2;BIRC5;IL7R;MAPK3;ADCY5;GSTA1;TRAF4;TRAF2;ALK;RB1;IFNA17;RPS6KA5;NQO1;PAX8;DVL2;IFNA21;GNG4;FZD5;ERBB2;PPARD;IKBKB;PDGFRA;CDK2;CXCL12;FZD9;DVL3;CSF1R;GSK3B;AR;MDM2;PIK3CB;VEGFB;NTRK1;AKT1;IFNA2;IL2;RASGRP2;RET;CAMK2G;ARHGEF12;BIRC3;GNA11;HEY1;JAK1;CTNNB1;RALA;RALBP1;JAG1;MAP2K1;ITGB1;EPOR;BAX;CTBP1;IL6R;PLCB3;HDAC1;CASP9;TGFA;MTOR;IL4;IKBKG;KRAS;SUFU;CALM1;GSTA5;RXRA;BRAF;IFNA8;SMO;FGF1;LPAR2;TCF7L2;CALML6;GNG7;ITGAV;DLL1;CDK6;TGFB1;RUNX1;IL15RA;KITLG;TPM3;WNT9B;AGT;GADD45B;IL2RG;SHH;NFKB1;GNAI3;IL2RA;ADCY7;COL4A3;IFNAR2;GSTO2;TRAF6;NFKBIA;GSTA3;NOTCH1;PIK3R1;COL4A5;VEGFC;ESR2;FGF2;MYC;RARB;LRP6;IGF2;EGLN1;BMP2;FLT3;RALB;CDKN1B;SOS2;CXCR4;IL12RB2;NCOA1;PIK3CD;WNT1;GSTM2;WNT11;DAPK1;RXRG;GLI1;PLD1;DAPK3;ROCK2;IL12RB1;RPS6KB2
