,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TNF signaling pathway,0.40994448608054895,2.483170710234325,0.0,0.0,0.0,76/103,40.62%,AKT3;CX3CL1;PIK3CA;MAPK13;CREB1;BIRC2;ATF2;CREB3L4;FAS;CFLAR;IL18R1;TNFAIP3;FADD;IL1B;CEBPB;IKBKB;ATF4;RPS6KA4;RPS6KA5;TNFRSF1B;TRAF5;MAP3K5;JUN;TRADD;CCL2;BIRC3;CHUK;MAPK9;IL6;JUNB;MAPK1;LTA;MAP2K1;MAPK14;AKT2;CCL5;EDN1;NFKB1;VCAM1;VEGFC;BCL3;IRF1;CASP7;CCL20;IL15;TNF;PTGS2;RIPK1;PIK3CD;FOS;CASP8;TAB2;CASP10;CXCL5;IKBKG;LIF;TNFRSF1A;CASP3;IFNB1;CSF1;CXCL3;AKT1;DNM1L;ICAM1;CREB3L2;TRAF2;MAP2K7;CXCL1;NFKBIA;RELA;JAG1;MAPK3;PIK3CB;MAP2K4;MMP14;MAP3K7
1,prerank,Apoptosis,0.399811645106236,2.477825574404163,0.0,0.0,0.0,81/121,35.27%,PMAIP1;AKT3;PIK3CA;ACTB;BIRC2;GADD45B;FAS;PARP2;CFLAR;FADD;TP53;ENDOG;IKBKB;ATF4;BCL2;CTSK;CTSL;PDPK1;MAP3K5;JUN;AIFM1;TRADD;NTRK1;BIRC3;CHUK;BID;MAPK9;MAPK1;CTSH;MAP2K1;BAX;TUBA3C;CSF2RB;BIRC5;ATM;AKT2;DDIT3;DAXX;ITPR1;NFKB1;CYCS;NGF;CASP7;DFFB;TNF;BCL2A1;RIPK1;PIK3CD;FOS;BAD;CTSB;CASP8;BECN1;CASP10;MCL1;TNFRSF10A;IKBKG;FASLG;BCL2L11;CTSD;TNFRSF1A;CASP3;NGFR;IL3RA;TUBA1A;SPTAN1;ITPR3;APAF1;PARP4;ERN1;KRAS;NRAS;BCL2L1;AKT1;CASP6;TUBA4A;DFFA;SPTA1;TRAF2;PARP1;XIAP
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4077407570738471,2.417462593877438,0.0,0.00034208319960990074,0.001,64/89,39.29%,MMP2;JAK2;AKT3;CDK4;PIK3CA;MAPK13;AGT;SMAD3;PLCB1;EGR1;IL1B;PRKCD;PRKCZ;CDC42;RAC1;TGFBR1;NOX1;THBD;BCL2;STAT1;SMAD4;PRKCE;JUN;CCL2;F3;MAPK9;IL6;MAPK1;MAPK14;BAX;TGFBR2;AKT2;EDN1;NFKB1;VCAM1;VEGFC;TNF;VEGFB;PIK3CD;STAT5A;PLCG1;CYBB;PLCG2;CASP3;PLCB3;STAT3;KRAS;NRAS;PRKCA;AKT1;TGFB2;PLCD1;PLCE1;ICAM1;CCND1;COL4A3;VEGFA;RELA;MAPK3;FN1;SMAD2;PIK3CB;TGFB3;HRAS
3,prerank,Melanogenesis,0.39436957301484227,2.267559873223892,0.0,0.0020524991976594046,0.008,58/78,43.00%,FZD7;MITF;LEF1;WNT9B;CREB1;CREB3L4;FZD10;TCF7L1;PLCB1;WNT1;PRKACB;DVL1;DVL3;WNT11;PRKCG;EP300;ADCY7;CALM3;TCF7L2;MAPK1;PRKACG;MAP2K1;WNT5A;EDN1;WNT10B;GNAI3;GSK3B;CTNNB1;GNAI1;EDNRB;CALM1;WNT7A;CAMK2G;DVL2;CAMK2D;FZD5;PLCB3;ADCY3;POMC;ADCY9;KRAS;CALML6;NRAS;ADCY5;PRKCA;FZD4;WNT9A;CREB3L2;WNT7B;MAPK3;CREBBP;HRAS;GNAS;PRKACA;ADCY2;CAMK2A;GNAQ;GNAI2
4,prerank,Pathways in cancer,0.3180236534948405,2.2525252222891528,0.0,0.0018472492778934641,0.009,283/445,41.88%,MMP2;JAK2;IFNG;PMAIP1;RB1;AKT3;IL13;SKP1;FZD7;CDK4;MITF;LEF1;PPARG;GNA13;PGF;WNT9B;PIK3CA;AGT;BIRC2;GADD45B;GSTM1;FAS;KNG1;LPAR6;SMAD3;PTEN;IL13RA1;RPS6KB1;IL4R;LPAR1;ALK;FZD10;CDKN1A;TCF7L1;PLCB1;WNT1;FADD;TP53;PTGER4;GSTT1;IL15RA;RALBP1;CDC42;ZBTB16;PRKACB;TFG;RAC1;MLH1;HSP90AB1;IKBKB;TGFBR1;ITGA3;GNG12;STAT6;PML;IFNA16;RARB;RHOA;BCL2;DVL1;CKS1B;NCOA3;RPS6KA5;STAT1;ROCK1;DVL3;BDKRB2;HIF1A;TRAF5;WNT11;SLC2A1;PRKCG;AXIN2;SMAD4;EP300;MTOR;HSP90AA1;JUN;ITGA2;STAT2;SHH;NTRK1;HES1;IL7R;BIRC3;CHUK;RASSF1;ADCY7;BID;MAPK9;CALM3;IL6;HMOX1;RXRA;CXCR4;TCF7L2;IFNA2;KEAP1;MAPK1;EGLN3;IGF2;FGFR4;GNG4;HSP90B1;PRKACG;MAP2K1;RARA;CSF2RA;PDGFRB;WNT5A;BAX;IL12A;TGFBR2;CDK6;F2R;CSF2RB;BIRC5;TRAF4;NFE2L2;AKT2;EDN1;WNT10B;EPO;GNAI3;GSTP1;GSK3B;PPARD;TXNRD1;NFKB1;LPAR2;IFNA1;CYCS;STAT4;CTNNB1;LRP6;VEGFC;CDKN2B;CCNE1;ESR1;SUFU;RASGRP4;GNGT2;CASP7;GNAI1;EDNRB;LAMB3;ABL1;IL2RA;IL15;TXNRD2;JAK3;RAC3;VEGFB;CALM1;WNT7A;MMP1;SKP2;CAMK2G;MET;IFNGR1;PTGS2;DVL2;GNG8;GNA11;ITGB1;CAMK2D;PIK3CD;MSH2;EPAS1;HEY1;FOS;GNB2;STAT5A;BAD;CASP8;AR;GSTA1;EGFR;PLCG1;IKBKG;FASLG;BCL2L11;FZD5;CTNNA1;EPOR;E2F1;TPR;PLCG2;CASP3;DAPK2;PLCB3;CCND2;RET;STAT3;IGF1R;IL3RA;VHL;EGLN1;IFNA17;HDAC1;IFNA10;GSTO1;STK4;ADCY3;PIM2;CSF1R;APAF1;ITGA6;ARHGEF12;IL4;ADCY9;KRAS;EML4;NCOA4;MDM2;CALML6;NRAS;RPS6KB2;ROCK2;ADCY5;PRKCA;BCL2L1;GRB2;RASGRP2;FZD4;BRCA2;HES5;FGFR3;AKT1;CRK;NQO1;TGFB2;ERBB2;NCOA1;WNT9A;RASSF5;PLD1;CCND3;IFNA14;ETS1;FLT3;TRAF2;XIAP;CCND1;CSF3R;CTBP1;SMO;PTCH1;PDGFRA;MECOM;COL4A3;VEGFA;NFKBIA;FGFR1;RELA;WNT7B;NFKB2;DAPK1;IFNA8;JAG1;MAPK3;FN1;CREBBP;SMAD2;PIK3CB;TGFB3;BRAF;IL12RB1;HRAS;LAMB2;GNAS;ITGAV;PRKACA;BMP2;IFNAR2;RXRG;ADCY2;IL2RB;GNA12;DDB2;MSH6;NKX3-1;CAMK2A
5,prerank,Prostate cancer,0.38049928117022425,2.239197567735193,0.0,0.0015393743982445533,0.009,61/88,39.29%,RB1;AKT3;LEF1;PIK3CA;CREB1;ZEB1;CREB3L4;ERG;PTEN;CDKN1A;TCF7L1;TP53;HSP90AB1;IKBKB;ATF4;BCL2;PDPK1;EP300;MTOR;HSP90AA1;CHUK;TCF7L2;MAPK1;HSP90B1;ETV5;MAP2K1;INS;PDGFRB;AKT2;GSTP1;GSK3B;NFKB1;CTNNB1;CCNE1;PIK3CD;BAD;AR;EGFR;IKBKG;PLAU;E2F1;PDGFD;IGF1R;KRAS;MDM2;NRAS;GRB2;AKT1;ERBB2;PLAT;CREB3L2;CCND1;PDGFRA;NFKBIA;FGFR1;RELA;MAPK3;CREBBP;PIK3CB;BRAF;HRAS
6,prerank,Chagas disease (American trypanosomiasis),0.3716095374972064,2.223434376676478,0.0,0.0016126779410181036,0.011,70/97,43.00%,IFNG;AKT3;PIK3CA;MAPK13;TLR2;CD247;FAS;KNG1;CALR;SMAD3;CFLAR;PLCB1;FADD;IL1B;IKBKB;TGFBR1;IL10;TLR4;BDKRB2;JUN;CCL2;IRAK4;CHUK;GNA15;MAPK9;IL6;MAPK1;MAPK14;IL12A;TGFBR2;AKT2;CCL5;GNAI3;NFKB1;GNAI1;PPP2R2A;TNF;TLR9;IFNGR1;GNA11;IRAK1;PIK3CD;PPP2R1A;FOS;CASP8;IKBKG;FASLG;CD3D;TNFRSF1A;PLCB3;CCL3;IFNB1;AKT1;TGFB2;NFKBIA;RELA;PPP2CB;MAPK3;SMAD2;PIK3CB;C1QC;TGFB3;C1QB;MAP2K4;GNAS;C3;MYD88;TICAM1;GNAQ;GNAI2
7,prerank,Proteoglycans in cancer,0.34642806869444587,2.2223705604768247,0.0,0.0014110931983908406,0.011,108/163,40.19%,MMP2;TWIST1;AKT3;FZD7;WNT9B;PIK3CA;MAPK13;TLR2;ACTB;FAS;RPS6KB1;RDX;FZD10;CDKN1A;WNT1;TP53;CDC42;PRKACB;RAC1;RPS6;TLR4;RHOA;CD63;ROCK1;CTSL;HIF1A;WNT11;CAV1;EIF4B;PDPK1;PRKCG;MTOR;ITGA2;SHH;PAK1;SDC1;MAPK1;IGF2;PRKACG;PLAUR;MAP2K1;MAPK14;WNT5A;AKT2;ERBB3;WNT10B;ITPR1;ITGB5;CTNNB1;ESR1;TNF;HBEGF;WNT7A;CAMK2G;MET;ERBB4;ITGB1;CAMK2D;PIK3CD;SRC;TIAM1;EGFR;PLCG1;FASLG;FZD5;PLAU;DROSHA;FLNB;GPC1;PLCG2;CASP3;STAT3;IGF1R;ITPR3;ARHGEF12;KRAS;MDM2;PPP1CA;NRAS;RPS6KB2;ROCK2;PRKCA;GRB2;FZD4;PPP1CC;AKT1;TGFB2;ERBB2;WNT9A;PLCE1;TIMP3;CCND1;SMO;PTCH1;VEGFA;FGFR1;THBS1;WNT7B;CTTN;MAPK3;FN1;SMAD2;PIK3CB;BRAF;HRAS;NANOG;ITGAV;PRKACA
8,prerank,Longevity regulating pathway,0.37308064361738363,2.188433572187555,0.0,0.0017104159980495038,0.015,65/85,46.56%,AKT3;PPARG;SESN1;RHEB;PIK3CA;CREB1;ATF2;SOD1;CREB3L4;CAT;RPS6KB1;TP53;TSC2;PRKACB;STK11;PRKAG2;ATF4;PRKAB1;PRKAG1;SIRT1;MTOR;ADCY7;IRS1;PRKACG;INS;BAX;PRKAA1;AKT2;HSPA1A;NFKB1;PIK3CD;HSPA1B;EIF4E;ATG5;ADIPOR1;IGF1R;PPARGC1A;HDAC1;ADCY3;ADCY9;KRAS;NRAS;RPS6KB2;ADCY5;AKT1;RPTOR;EIF4EBP1;INSR;EHMT1;CREB3L2;RELA;CLPB;PIK3CB;HRAS;PRKACA;ADCY2;FOXA2;PRKAB2;IRS2;PRKAA2;FOXO1;ADCY6;EHMT2;TSC1;HSPA2
9,prerank,Estrogen signaling pathway,0.3644789015066179,2.1862913346337938,0.0,0.0015393743982445535,0.015,74/97,46.88%,MMP2;AKT3;PIK3CA;CREB1;ATF2;CREB3L4;PLCB1;PRKCD;PRKACB;HSP90AB1;ATF4;BCL2;NCOA3;HSP90AA1;JUN;GABBR1;GPER1;ADCY7;CALM3;MAPK1;HSP90B1;PRKACG;MAP2K1;RARA;AKT2;HSPA1A;GNAI3;ITPR1;SHC4;GRM1;ESR1;GNAI1;HBEGF;CALM1;PIK3CD;FOS;KCNJ5;HSPA1B;SRC;EGFR;CTSD;PLCB3;SHC1;ADCY3;ITPR3;KRT26;KRT12;POMC;ADCY9;KRAS;CALML6;NRAS;ADCY5;GRB2;AKT1;NCOA1;CREB3L2;PGR;MAPK3;PIK3CB;HRAS;GNAS;PRKACA;ADCY2;KRT19;GNAQ;GNAI2;KRT25;ESR2;ADCY6;FKBP4;HSPA2;FKBP5;TGFA
