,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Toll-like receptor signaling pathway,0.37310748593476795,2.596617232685205,0.0,0.0,0.0,72/98,41.08%,MAP2K3;NFKBIA;CD40;TLR6;TICAM2;IRAK4;SPP1;TLR4;MAP2K6;PIK3R3;PIK3CD;MAPK1;JUN;IRAK1;IFNA21;TLR3;CXCL9;LBP;STAT1;IRF7;TIRAP;AKT3;TOLLIP;IFNA1;TBK1;CD86;MAP2K1;PIK3R1;MAPK13;RELA;TLR1;NFKB1;IFNAR1;TRAF3;MAP3K8;RAC1;TAB2;CCL3;MAP2K4;CXCL10;AKT1;CCL5;IFNAR2;TLR2;IFNB1;IL12A;CD14;IL6;IRF3;CTSK;MAPK3;FADD;CHUK;IRF5;IKBKB;MAPK9;MAPK14;IFNA16;TLR8;TLR9;CASP8;TNF;PIK3R2;MAP2K2;FOS;IL12B;IL1B;TRAF6;RIPK1;PIK3CA;IFNA5;TICAM1
1,prerank,TNF signaling pathway,0.3599116361375174,2.553319671295957,0.0,0.0005152280653186147,0.001,83/104,48.86%,CX3CL1;MAP2K3;NFKBIA;CXCL3;MLKL;CXCL5;CREB3L2;CREB1;MAP2K6;PIK3R3;PIK3CD;MAPK1;JUN;ATF4;CASP3;IL18R1;CCL2;LTA;AKT3;TNFAIP3;CSF1;SELE;TRAF2;MAP2K1;MMP14;PIK3R1;BCL3;MAPK13;VCAM1;RELA;TNFRSF1A;NFKB1;FAS;TRAF3;MAP3K8;MAP3K14;CASP10;CEBPB;CFLAR;TAB2;BIRC3;MAP2K4;CXCL10;TNFRSF1B;AKT1;CREB3L4;RPS6KA4;CCL5;IFNB1;NOD2;IL6;BIRC2;MAPK3;FADD;CHUK;CCL20;MAP3K5;IKBKB;MAPK9;MAPK14;RPS6KA5;VEGFC;CASP8;TNF;TAB3;LIF;IL15;PIK3R2;FOS;IL1B;RIPK1;PIK3CA;JUNB;PIK3CB;TRADD;JAG1;IRF1;CASP7;ATF2;MAPK12;MAP2K7;CREB5;EDN1
2,prerank,Prostate cancer,0.3500177123755984,2.4003406296569816,0.0,0.001373941507516306,0.004,62/89,40.77%,CTNNB1;TP53;NFKBIA;INS;GSTP1;ARAF;ERBB2;PDPK1;IL1R2;CREB3L2;CREB1;PIK3R3;PIK3CD;MAPK1;CREBBP;TCF7L2;GSK3B;ATF4;TCF7L1;CDK2;PLAU;HSP90B1;GRB2;PDGFD;AKT3;FOXO1;E2F1;MAP2K1;PIK3R1;PLAT;RELA;EGFR;NFKB1;NRAS;AKT1;CREB3L4;MTOR;HSP90AA1;ZEB1;PTEN;CCND1;MAPK3;CHUK;BRAF;IKBKB;MDM2;NKX3-1;PDGFRA;KLK3;FGFR2;CDKN1A;PIK3R2;ERG;MAP2K2;AR;ETV5;LEF1;CCNE1;PDGFRB;HSP90AB1;BCL2;PIK3CA
3,prerank,Central carbon metabolism in cancer,0.3815183067138893,2.392395890104694,0.0,0.0012880701632965368,0.005,49/60,48.27%,PGAM1;TP53;IDH1;HK1;ERBB2;MET;GCK;PIK3R3;SIRT3;PIK3CD;MAPK1;FGFR3;SLC2A1;HKDC1;AKT3;SLC2A2;NTRK1;MAP2K1;PIK3R1;HK2;EGFR;PDHB;NRAS;SLC7A5;HIF1A;LDHA;AKT1;MTOR;NTRK3;PTEN;PDK1;MYC;FLT3;MAPK3;PFKM;PDGFRA;FGFR2;HK3;PIK3R2;MAP2K2;PDGFRB;PIK3CA;PFKL;FGFR1;PIK3CB;PFKP;RAF1;G6PD;GLS
4,prerank,Chagas disease (American trypanosomiasis),0.33916265574610927,2.3744096261342724,0.0,0.0010304561306372295,0.005,74/97,47.91%,NFKBIA;TLR6;IRAK4;TLR4;PIK3R3;PIK3CD;C3;C1QA;MAPK1;JUN;IFNG;IRAK1;TGFBR2;CCL2;AKT3;CD3D;PIK3R1;CALR;MAPK13;RELA;TNFRSF1A;NFKB1;FAS;ADCY1;CFLAR;CCL3;MAP2K4;TGFB3;AKT1;CCL5;TLR2;IFNB1;TGFB2;IL12A;PPP2R2A;IL6;SMAD3;PPP2R1A;MAPK3;FADD;CHUK;IKBKB;CD247;GNAI3;MAPK9;GNAI2;MAPK14;ACE;PPP2CA;GNAS;PLCB3;TLR9;CASP8;TNF;PIK3R2;FOS;IL12B;GNA15;IL10;IL1B;C1QB;TRAF6;PIK3CA;PPP2CB;TICAM1;GNAQ;MYD88;PLCB1;PIK3CB;CD3G;IL2;PPP2R2D;SMAD2;MAPK12
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.33579781804322545,2.3161729595413565,0.0,0.0015456841959558443,0.009,76/89,56.35%,PLCG1;SMAD4;CYBB;PLCG2;PIK3R3;PIK3CD;JAK2;MAPK1;JUN;CASP3;TGFBR2;PRKCE;CCL2;STAT3;COL4A3;STAT1;AGTR1;AKT3;FOXO1;VEGFA;PLCD1;SELE;COL4A5;PIK3R1;MAPK13;VCAM1;RELA;NFKB1;NRAS;RAC1;NFATC1;TGFB3;EGR1;AKT1;TGFB2;PRKCD;IL6;F3;CDC42;SMAD3;CCND1;MAPK3;MAPK9;CDK4;MAPK14;VEGFC;PLCB3;TNF;PIK3R2;THBD;IL1B;BCL2;PIK3CA;PIM1;PRKCB;PRKCZ;MMP2;PLCB1;PIK3CB;FN1;AGT;BAX;SMAD2;MAPK12;STAT5B;EDN1;PRKCA;COL1A2;MAPK8;HRAS;TGFB1;MAPK11;TGFBR1;NOX1;STAT5A;SERPINE1
6,prerank,Shigellosis,0.38200916457071404,2.2741371593956123,0.0,0.002060912261274459,0.014,31/48,32.39%,ATG5;NFKBIA;ROCK1;RIPK2;ACTB;CD44;MAPK1;ROCK2;ELMO1;ARPC3;CTTN;MAPK13;RELA;NFKB1;NOD1;WASL;ITGB1;ABL1;RAC1;FBXW11;HCLS1;U2AF1;NFKBIB;NOD2;ARPC2;CDC42;MAPK3;CHUK;IKBKB;MAPK9;MAPK14
7,prerank,Inositol phosphate metabolism,0.3794338309938002,2.2606918788524557,0.0,0.00244733331026342,0.019,38/48,45.61%,PLCG1;PIK3C2B;PLCG2;PIK3CD;PIP4K2B;PIP4K2C;ITPKB;ITPKA;INPP1;PLCD1;PIK3C3;PIK3CG;INPP5F;TPI1;PIKFYVE;INPP4A;PIP5K1A;PIP4K2A;PIP5K1C;PTEN;PIK3C2G;PIP5KL1;IPPK;PLCB3;IPMK;INPP4B;PI4K2A;INPPL1;PI4K2B;PI4KB;CDIPT;ITPK1;PIK3CA;PIP5K1B;PLCB1;PIK3CB;IMPA1;MTM1
8,prerank,MicroRNAs in cancer,0.3060127586072881,2.2509574087421793,0.0,0.002404397638153535,0.021,93/129,48.27%,PLCG1;TP53;RHOA;ROCK1;ERBB2;ABCB1;MET;PLCG2;MARCKS;CD44;CDC25B;MAPK1;CREBBP;TNC;CYP1B1;CASP3;EZH2;PLAU;PRKCE;NOTCH1;STAT3;FGFR3;GRB2;HMOX1;VEGFA;E2F1;DNMT3A;SOCS1;PAK4;MAP2K1;BCL2L2;SOX4;EGFR;NFKB1;EFNA3;NRAS;ABL1;TIMP3;NOTCH2;CDC25A;MTOR;MCL1;BRCA1;TGFB2;VIM;RDX;ZEB1;CDK6;PTEN;RPTOR;MYC;SLC7A1;CCND1;HDAC1;SHC4;IKBKB;MDM2;BCL2L11;PDGFRA;IRS1;RPS6KA5;CDKN1A;SIRT1;SLC45A3;FSCN1;CYP24A1;ERBB3;ABCC1;PIK3R2;MAP2K2;CCNE1;PDGFRB;BCL2;PRKCG;PIK3CA;PIM1;STMN1;MIR34A;PRKCB;CRK;ATM;MDM4;BMPR2;DICER1;EP300;RAF1;DDIT4;MAPK7;BMI1;APC;ITGB3;CRKL;GLS
9,prerank,Malaria,0.3874234709616501,2.227230016011528,0.0010799136069114472,0.0029883227788479656,0.028,33/42,43.59%,IL18;CD40;MET;TLR4;IFNG;ITGAL;CCL2;PECAM1;SELE;VCAM1;SELP;ACKR1;THBS3;TGFB3;HBA1;TLR2;CR1;GYPC;TGFB2;IL12A;CD36;IL6;CD81;LRP1;SDC2;TLR9;TNF;CD40LG;ITGB2;IL10;IL1B;CSF3;MYD88
