,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Toll-like receptor signaling pathway,0.4231852183468518,2.5864676595615532,0.0,0.0,0.0,68/98,34.76%,MAP2K1;IFNA1;AKT1;CD14;PIK3R1;IL12A;NFKB1;TIRAP;TICAM2;IFNAR1;CXCL11;IL6;IRAK1;PIK3R3;CCL5;RAC1;CD40;IFNA5;MAPK13;RIPK1;NFKBIA;PIK3CA;MAP2K4;CXCL9;IFNA21;TICAM1;IRF3;MAPK3;MAP2K6;PIK3CB;SPP1;MAPK1;TAB2;TRAF3;MAP3K8;IFNA16;CASP8;CCL3;FOS;TLR1;JUN;MAP2K3;MAP2K7;MAPK9;IL12B;TBK1;TLR6;AKT2;STAT1;IFNB1;IFNAR2;CD86;MAPK14;CXCL10;TLR4;FADD;MAPK12;PIK3CD;TLR9;TLR2;TOLLIP;TNF;TRAF6;PIK3R2;RELA;MAPK8;AKT3;LBP
1,prerank,Endometrial cancer,0.4721832065895227,2.578232198779934,0.0,0.0,0.0,43/53,38.76%,MAP2K1;EGFR;TP53;RAF1;AKT1;CTNNB1;ARAF;ERBB2;PIK3R1;GADD45B;MYC;PIK3R3;BRAF;PIK3CA;PTEN;FOXO3;MAPK3;PIK3CB;BAX;MAPK1;AXIN1;TCF7L2;ILK;PDPK1;CDH1;AKT2;MLH1;PIK3CD;CASP9;NRAS;APC;GRB2;HRAS;AXIN2;CCND1;KRAS;BAD;PIK3R2;LEF1;AKT3;BAK1;TCF7;SOS2
2,prerank,Colorectal cancer,0.42478137418115636,2.493753420920659,0.0,0.0,0.0,59/79,38.76%,MAP2K1;EGFR;TP53;RAF1;TGFB2;AREG;AKT1;CTNNB1;ARAF;PIK3R1;RPS6KB2;RAC3;GADD45B;MYC;RHOA;SMAD4;PIK3R3;BIRC5;RAC1;SMAD3;BRAF;PIK3CA;CASP3;MAPK3;PIK3CB;BAX;MAPK1;AXIN1;TCF7L2;FOS;TGFBR2;SMAD2;JUN;MAPK9;AKT2;TGFBR1;TGFB3;MLH1;PMAIP1;PIK3CD;CASP9;NRAS;APC;GRB2;HRAS;AXIN2;RPS6KB1;CCND1;KRAS;BAD;PIK3R2;LEF1;MSH6;MAPK8;AKT3;BAK1;CYCS;TCF7;SOS2
3,prerank,Prolactin signaling pathway,0.43934479679511,2.482379212608436,0.0,0.0,0.0,52/64,44.23%,MAP2K1;RAF1;AKT1;JAK2;PIK3R1;NFKB1;SHC1;PIK3R3;STAT5A;SOCS5;MAPK13;PIK3CA;FOXO3;GCK;SHC4;SOCS4;SOCS3;MAPK3;PIK3CB;MAPK1;TH;FOS;MAPK9;AKT2;LHCGR;STAT1;SOCS1;SLC2A2;MAPK14;PRLR;SOCS2;MAPK12;PIK3CD;NRAS;GRB2;HRAS;PRL;CCND1;KRAS;PIK3R2;ESR1;RELA;MAPK8;AKT3;TNFSF11;CISH;SOS2;IRF1;SRC;CCND2;CGA;STAT3
4,prerank,Apoptosis,0.3754377510193575,2.385699391674573,0.0,0.0,0.0,82/123,37.05%,MAP2K1;TP53;RAF1;AKT1;ERN1;PIK3R1;NFKB1;GADD45B;PRF1;CTSL;PIK3R3;BIRC5;BECN1;DDIT3;RIPK1;NFKBIA;PIK3CA;CTSC;TUBA1A;XIAP;AIFM1;PARP2;BIRC7;CASP3;BCL2L1;MAPK3;PIK3CB;EIF2S1;BAX;MAPK1;TNFRSF10A;MCL1;IL3RA;BID;PARP1;CTSH;CASP8;CTSB;FOS;CTSW;TNFRSF1A;JUN;CASP10;MAPK9;TUBA8;TRAF2;ACTB;MAP3K5;PDPK1;AKT2;ITPR1;CFLAR;NGF;LMNB2;PMAIP1;FAS;NGFR;FADD;HTRA2;SPTA1;TRAF1;PIK3CD;TNFSF10;CASP9;NRAS;BIRC3;TNF;HRAS;TUBA4A;KRAS;BAD;PIK3R2;HRK;RELA;MAPK8;AKT3;CASP6;ATF4;MAP3K14;LMNA;DAXX;BAK1
5,prerank,Fc epsilon RI signaling pathway,0.43272312704474464,2.38260484436255,0.0,0.0,0.0,40/59,34.39%,MAP2K1;RAF1;AKT1;MS4A2;LCP2;PIK3R1;PLCG1;VAV1;RAC3;PIK3R3;RAC1;MAPK13;ALOX5AP;PIK3CA;MAP2K4;IL5;PLCG2;MAPK3;MAP2K6;PIK3CB;MAPK1;MAP2K3;PRKCA;MAP2K7;MAPK9;FYN;PDPK1;AKT2;MAPK14;MAPK12;PIK3CD;NRAS;TNF;GRB2;HRAS;SYK;KRAS;PIK3R2;MAPK8;AKT3
6,prerank,AGE-RAGE signaling pathway in diabetic complications,0.39536902185408457,2.3654328928153645,0.0,0.0,0.0,59/89,34.63%,TGFB2;CYBB;AKT1;PLCB3;JAK2;PIK3R1;NFKB1;PLCG1;SMAD4;IL6;PIK3R3;RAC1;STAT5A;SMAD3;COL4A3;MAPK13;PIK3CA;PRKCZ;FN1;THBD;SELE;PLCG2;CDC42;CASP3;PRKCE;MAPK3;PIK3CB;BAX;VEGFB;MAPK1;PRKCD;TGFBR2;SMAD2;JUN;PRKCA;AGTR1;MAPK9;PIM1;NFATC1;F3;AKT2;COL1A2;STAT1;TGFBR1;MAPK14;TGFB3;MAPK12;PIK3CD;VEGFA;NRAS;TNF;HRAS;CCND1;KRAS;PIK3R2;RELA;MAPK8;AKT3;VEGFC
7,prerank,Insulin signaling pathway,0.37949114796257777,2.3549749192697074,0.0,0.0003834915997078159,0.003,85/111,45.66%,MAP2K1;PPP1CA;PRKCI;RAF1;TSC1;CBLB;AKT1;CALM3;ARAF;EIF4E;PIK3R1;PRKAR2B;PRKAB2;RPS6KB2;G6PC2;SHC1;PTPN1;PIK3R3;PRKAR1B;BRAF;PIK3CA;RHEB;PYGB;PRKCZ;GCK;SHC4;PPARGC1A;HK1;HKDC1;SOCS4;SOCS3;PCK2;MAPK3;PIK3CB;MAPK1;ACACB;PRKAA2;PRKAA1;PRKAR2A;PRKACB;MAPK9;MKNK2;PDPK1;AKT2;RPS6;PRKAR1A;SOCS1;FBP1;PHKG2;MKNK1;PRKAG1;SOCS2;PIK3CD;IRS1;CRK;NRAS;ACACA;GRB2;HRAS;PRKAB1;RPS6KB1;KRAS;BAD;PIK3R2;MAPK8;AKT3;PRKACA;CRKL;G6PC;PHKG1;PCK1;SOS2;FASN;PHKB;HK3;PYGL;PRKAG2;PRKACG;G6PC3;CALM2;RPTOR;TSC2;GYS1;MTOR;FOXO1
8,prerank,Choline metabolism in cancer,0.4035613320295564,2.3540486314241007,0.0,0.00034088142196250304,0.003,52/78,34.39%,MAP2K1;EGFR;DGKZ;RAF1;TSC1;PLD2;AKT1;PIK3R1;PLCG1;RPS6KB2;RAC3;CHKB;SLC22A2;PIP5K1A;PIK3R3;RAC1;DGKB;PIK3CA;RHEB;SLC22A5;MAPK3;PIK3CB;MAPK1;PDGFRA;PIP5K1C;PLPP3;WASF3;WASL;FOS;PDGFD;JUN;PRKCA;CHKA;MAPK9;SLC44A1;HIF1A;PDPK1;AKT2;PLD1;PIK3CD;DGKI;NRAS;PDGFRB;GRB2;HRAS;SLC22A1;RPS6KB1;KRAS;PIK3R2;MAPK8;SLC22A4;AKT3
9,prerank,Fc gamma R-mediated phagocytosis,0.4010511237615865,2.3244318918839935,0.0,0.0004090577063550036,0.004,48/72,34.98%,MAP2K1;RAF1;MYO10;DOCK2;PLD2;AKT1;ARPC2;PIK3R1;LIMK1;PLCG1;VAV1;PTPRC;RPS6KB2;PIP5K1A;PIK3R3;RAC1;PIK3CA;PLCG2;CDC42;PRKCE;SPHK1;MAPK3;PIK3CB;PLA2G6;MAPK1;NCF1;BIN1;PRKCD;PIP5K1C;PLPP3;WASF3;WASL;FCGR2B;PRKCA;AKT2;ASAP2;PLD1;PIK3CD;ASAP1;CRK;FCGR2A;SYK;ARPC3;RPS6KB1;PIK3R2;GSN;AKT3;CRKL
