,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.4331027200793821,2.6581255797884147,0.0,0.0,0.0,55/71,40.90%,AKT1;SMAD3;NFKB1;EGFR;PLD1;TP53;IKBKG;BRCA2;PIK3CA;RAC1;RALBP1;RAD51;STAT3;RAF1;RPS6KB1;STAT1;MAPK9;TGFBR2;RPS6KB2;RAC3;PIK3CD;BCL2L1;IKBKB;AKT3;RALA;MTOR;CDKN1A;MAPK3;PIK3CB;PIK3R2;ARAF;ERBB2;SMAD4;GADD45B;KRAS;E2F1;CDK4;CDK6;RB1;DDB2;RALGDS;PIK3R1;TGFB3;PIK3R3;CDC42;BAX;CASP9;BAD;CHUK;RELA;MAPK1;TGFBR1;AKT2;BRAF;TGFB2
1,prerank,Breast cancer,0.39244706683656777,2.608769619101171,0.0,0.0005181817494118448,0.001,85/112,43.76%,AKT1;DVL2;TCF7L1;EGFR;JUN;CSNK1A1L;DVL3;SOS1;TP53;BRCA2;HRAS;PIK3CA;CSNK1A1;APC;HES1;FRAT1;FZD10;RAF1;FGFR1;RPS6KB1;CTNNB1;RPS6KB2;FZD9;PIK3CD;AKT3;MTOR;FZD7;CDKN1A;BRCA1;MAPK3;PIK3CB;PIK3R2;WNT7A;LEF1;GRB2;ARAF;PTEN;AXIN2;TNFSF11;ERBB2;HES5;GSK3B;GADD45B;FOS;NCOA1;TCF7L2;KRAS;AXIN1;MYC;SHC1;E2F1;CDK4;WNT10B;NCOA3;PGR;WNT9B;CDK6;RB1;DDB2;HEY2;PIK3R1;PIK3R3;LRP6;FZD1;BAX;FGF2;WNT11;NOTCH2;NRAS;NOTCH1;WNT1;WNT5A;SHC4;FZD4;MAPK1;IGF1R;AKT2;HEY1;BRAF;FZD5;WNT7B;NFKB2;ESR2;FGF9;MAP2K1
2,prerank,Colorectal cancer,0.4145859385271742,2.5944778415511864,0.0,0.00034545449960789653,0.001,65/79,46.85%,AKT1;SMAD3;TCF7L1;EGFR;JUN;SOS1;TP53;HRAS;PIK3CA;CASP3;APC;RAC1;PMAIP1;MLH1;RAF1;RPS6KB1;CTNNB1;MAPK9;TGFBR2;RPS6KB2;RAC3;PIK3CD;AKT3;RALA;MTOR;RHOA;CDKN1A;MAPK3;PIK3CB;PIK3R2;LEF1;GRB2;BCL2;ARAF;AXIN2;SMAD4;GSK3B;GADD45B;BIRC5;FOS;TCF7L2;KRAS;AXIN1;MYC;DDB2;RALGDS;PIK3R1;TGFB3;PIK3R3;BAX;NRAS;CASP9;BAD;BCL2L11;MAPK1;TGFBR1;AKT2;BRAF;TGFB2;MSH2;MAP2K1;CYCS;CCND1;SOS2;SMAD2
3,prerank,Endometrial cancer,0.4368291205044478,2.497174407654831,0.0,0.0010363634988236896,0.004,42/53,40.70%,AKT1;TCF7L1;EGFR;SOS1;TP53;HRAS;PIK3CA;APC;MLH1;RAF1;CTNNB1;PIK3CD;AKT3;CDKN1A;MAPK3;PIK3CB;PIK3R2;LEF1;GRB2;ARAF;PTEN;AXIN2;ERBB2;GSK3B;GADD45B;TCF7L2;KRAS;AXIN1;MYC;PDPK1;DDB2;PIK3R1;PIK3R3;BAX;NRAS;CASP9;BAD;ILK;CTNNA1;MAPK1;AKT2;BRAF
4,prerank,Gastric cancer,0.3749545022241128,2.4921379196863027,0.0,0.0008290907990589518,0.004,84/114,44.36%,AKT1;SMAD3;DVL2;TCF7L1;EGFR;CSNK1A1L;DVL3;SOS1;TP53;RXRA;HRAS;PIK3CA;CSNK1A1;MET;APC;FRAT1;MLH1;FZD10;RAF1;RPS6KB1;RARB;CTNNB1;TGFBR2;CDK2;CDKN2B;RPS6KB2;FZD9;PIK3CD;ABCB1;AKT3;MTOR;FZD7;CDKN1A;MAPK3;RXRG;PIK3CB;PIK3R2;WNT7A;LEF1;GRB2;BCL2;ARAF;AXIN2;ERBB2;SMAD4;GSK3B;GADD45B;TCF7L2;KRAS;AXIN1;MYC;SHC1;E2F1;WNT10B;WNT9B;RB1;DDB2;PIK3R1;TGFB3;PIK3R3;LRP6;FZD1;BAX;FGF2;WNT11;NRAS;CDKN1B;WNT1;CTNNA1;WNT5A;SHC4;FZD4;MAPK1;TGFBR1;REG4;AKT2;BRAF;TGFB2;FZD5;WNT7B;CDX2;FGF9;MAP2K1;CCNE1
5,prerank,Longevity regulating pathway,0.3920628074302059,2.483505260942989,0.0,0.0008636362490197413,0.005,63/85,41.84%,AKT1;ADCY7;NFKB1;CREB1;CREB3L2;SOD1;CAT;TP53;ADCY5;HRAS;TSC2;PIK3CA;STK11;ATF4;PRKAG2;ATG5;PPARG;PPARGC1A;RPS6KB1;RHEB;RPS6KB2;PIK3CD;ADCY6;AKT3;RPTOR;MTOR;PRKAG1;PIK3CB;PRKAA2;PRKACB;PIK3R2;PRKAA1;INS;ADCY3;ADCY9;PRKAG3;KRAS;HSPA1A;ULK1;AKT1S1;CAMKK2;HDAC1;HSPA1B;IRS1;EIF4EBP1;PIK3R1;EHMT1;CREB3L4;FOXO1;PIK3R3;BAX;ATF2;CAMK4;NRAS;ADCY1;EIF4E;PRKACG;SESN1;RELA;IGF1R;AKT2;PRKAB1;PRKAB2
6,prerank,Hepatitis C,0.35752925742946723,2.4407235752060346,0.0,0.0008883115704203054,0.006,96/124,47.91%,YWHAH;CASP8;AKT1;IFNG;OAS1;TICAM1;NFKB1;EGFR;FAS;STAT2;SOS1;TP53;RXRA;BID;TRAF2;IKBKG;TRADD;HRAS;PIK3CA;CASP3;FADD;STAT3;PIAS1;RAF1;CTNNB1;TLR3;STAT1;DDX58;CDK2;IFIT1;IFNA2;CFLAR;PIK3CD;IKBKB;NFKBIA;AKT3;IKBKE;CDKN1A;YWHAQ;MAPK3;RIPK1;PIK3CB;PIK3R2;GRB2;ARAF;APAF1;IFNA8;CXCL10;GSK3B;PPARA;NR1H3;IFNA1;PPP2R2C;KRAS;MYC;E2F1;TYK2;CDK4;IFNA16;CDK6;RB1;EIF2AK2;PIK3R1;PPP2R1A;EIF2AK1;IFNAR2;PIK3R3;BAX;NRAS;TBK1;PPP2CB;CASP9;PPP2CA;BAD;CHUK;IFNA17;RELA;MAPK1;AKT2;BRAF;TNF;MAP2K1;CYCS;IFNA21;TNFRSF1A;IFNB1;SCARB1;IRF7;IRF3;EIF2AK4;CCND1;SOS2;PPP2R2D;OAS3;TRAF3;OAS2
7,prerank,Neurotrophin signaling pathway,0.3639895658057303,2.3978471521351734,0.0,0.0012954543735296121,0.01,77/103,45.58%,AKT1;NFKB1;PLCG2;MAGED1;JUN;PLCG1;SOS1;TP53;MAP2K5;NTRK1;HRAS;ABL1;PIK3CA;RAC1;ATF4;RAF1;RIPK2;MAPK9;CAMK2G;MAP3K1;IRAK1;PIK3CD;CAMK2D;MAPK14;IKBKB;NFKBIA;AKT3;CALM1;RHOA;MAPK3;MAP3K5;MAPKAPK2;PIK3CB;PIK3R2;GRB2;BCL2;PRDM4;PRKCD;GSK3B;NFKBIE;NFKBIB;KRAS;IRAK4;SHC1;RPS6KA3;PDPK1;CALM3;SH2B3;NGF;RPS6KA6;IRS1;NTRK3;PIK3R1;CRK;PIK3R3;CDC42;MAPK13;RPS6KA1;BAX;CAMK4;SORT1;NRAS;ARHGDIB;BAD;SHC4;RELA;MAPK1;CAMK2A;AKT2;BRAF;ARHGDIA;CRKL;MAP2K1;FRS2;MAP2K7;NTRK2;CALML6
8,prerank,Prostate cancer,0.37584175765668615,2.395510642263576,0.0,0.0012666664985622872,0.011,70/89,47.32%,AKT1;NFKB1;CREB1;CREB3L2;TCF7L1;EGFR;PLAU;SOS1;TP53;IKBKG;HRAS;PIK3CA;ATF4;NKX3-1;IL1R2;ZEB1;RAF1;FGFR1;CTNNB1;CDK2;PLAT;PIK3CD;IKBKB;NFKBIA;AKT3;MTOR;CDKN1A;MAPK3;PIK3CB;PIK3R2;MDM2;LEF1;GRB2;BCL2;ARAF;PTEN;ERBB2;INS;GSK3B;PDGFRA;AR;TCF7L2;GSTP1;KRAS;CREBBP;E2F1;PDPK1;RB1;PIK3R1;CREB3L4;FOXO1;PIK3R3;ERG;NRAS;CDKN1B;CASP9;BAD;CHUK;RELA;MAPK1;IGF1R;AKT2;BRAF;ETV5;MAP2K1;CCNE1;HSP90B1;CCND1;SOS2;EP300
9,prerank,Hepatocellular carcinoma,0.3405199795960296,2.360108265643443,0.0,0.0012436361985884276,0.012,97/146,40.99%,GSTO1;AKT1;SMAD3;GSTA2;DVL2;MGST1;PLCG2;TCF7L1;EGFR;CSNK1A1L;PLCG1;KEAP1;DVL3;ACTB;SOS1;TP53;HRAS;PIK3CA;CSNK1A1;MET;APC;GSTT1;FRAT1;FZD10;RAF1;RPS6KB1;CTNNB1;TGFBR2;RPS6KB2;FZD9;PIK3CD;TXNRD2;PRKCG;SMARCB1;BCL2L1;AKT3;MTOR;FZD7;DPF1;CDKN1A;MAPK3;PIK3CB;PIK3R2;WNT7A;LEF1;GRB2;ARAF;PTEN;NFE2L2;AXIN2;SMAD4;GSK3B;TXNRD1;GADD45B;TCF7L2;GSTP1;KRAS;AXIN1;HMOX1;MYC;SHC1;E2F1;CDK4;WNT10B;SMARCC2;WNT9B;PHF10;GSTA5;CDK6;RB1;DDB2;GSTA3;PIK3R1;ACTL6A;TGFB3;PIK3R3;LRP6;FZD1;BAX;WNT11;GSTM1;NRAS;NQO1;ARID1A;BAD;SMARCD2;WNT1;WNT5A;SHC4;FZD4;MAPK1;TGFBR1;IGF1R;AKT2;BRAF;TGFB2;FZD5
