,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.3870029211332133,2.6147057993194927,0.0,0.0,0.0,105/152,38.67%,BCL2;IKBKB;CREBBP;IKBKG;HRAS;TICAM2;BRAF;RB1;CDK2;E2F3;STAT3;RELA;CREB3L2;TP53;JUN;IFNA4;TBK1;JAK2;GRB2;IFNA14;STAT2;MYC;ATF2;MAPK14;STAT5A;JAK1;MAPK9;SMAD3;MAP2K1;SRC;IFNA7;CREB5;TNF;MAPK13;TRAF6;TGFBR1;PIK3CB;RAF1;PIK3CA;CREB1;IKBKE;TLR4;NFKB1;STAT4;FAS;FASLG;TGFB2;TYK2;SMAD2;TLR2;AKT1;PRKCA;STAT6;IFNB1;MAP3K7;STAT1;CCNA2;SMAD4;PIK3R1;BAX;TGFB1;NFATC3;MAPK3;IFNAR1;TAB2;ATF4;NRAS;IL6;IFNA2;CYCS;MAP2K4;JAK3;MAP2K7;NFATC2;PRKCB;TRAF3;CCNA1;CCNE1;BAD;AKT3;MAPK11;CASP8;CHUK;NFKBIA;TLR3;IFNA21;APAF1;TICAM1;EGR2;FOS;SOS1;TGFBR2;AKT2;EP300;IRAK4;SLC10A1;IFNA5;E2F1;CASP3;MMP9;CREB3L1;FADD;PIK3CD;MAP2K3;SOS2
1,prerank,Measles,0.395573921076256,2.6100198539954382,0.0,0.0,0.0,88/125,38.42%,BCL2;BCL2L1;IKBKB;IKBKG;CD209;CDK2;TLR7;EIF2AK1;STAT3;RELA;TP53;JUN;IFNA4;TBK1;EIF2S1;IFNA14;STAT2;STAT5A;HSPA2;JAK1;MAPK9;HSPA1A;CDK6;CCND2;IFNA7;CDKN1B;TRAF6;PIK3CB;PIK3CA;CCND1;IKBKE;TLR4;NFKB1;FAS;FASLG;OAS1;EIF2AK4;EIF2AK3;TYK2;NFKBIB;CSNK2A1;CSNK2B;TLR2;AKT1;IL2;CSNK2A2;FCGR2B;GSK3B;BAK1;IFNB1;MAP3K7;EIF2AK2;STAT1;RCHY1;EIF3H;PIK3R1;BAX;CDK4;IFNAR1;TAB2;IL6;IFNA2;CYCS;JAK3;CCND3;TRAF3;IL2RG;CCNE1;BAD;AKT3;CASP8;CHUK;NFKBIA;IFNA21;APAF1;OAS2;TNFAIP3;MX1;IRF9;FOS;AKT2;ADAR;IRAK4;IFNA5;CASP3;IL12A;FADD;PIK3CD
2,prerank,Chronic myeloid leukemia,0.434310956356521,2.5894414323412187,0.0,0.0,0.0,53/71,38.67%,BCL2L1;IKBKB;IKBKG;HRAS;BRAF;RB1;E2F3;RELA;TP53;RUNX1;GRB2;CRKL;MYC;STAT5A;SMAD3;CDK6;MAP2K1;ABL1;CDKN1B;TGFBR1;PIK3CB;RAF1;PIK3CA;CCND1;SHC1;NFKB1;BCR;CDKN2A;TGFB2;GADD45B;AKT1;BAK1;SMAD4;PIK3R1;BAX;TGFB1;CDK4;MAPK3;NRAS;BAD;HDAC1;MDM2;AKT3;CHUK;NFKBIA;SOS1;TGFBR2;AKT2;E2F1;CBL;PIK3CD;GADD45A;SOS2
3,prerank,Epstein-Barr virus infection,0.3642758552274975,2.506607121654135,0.0,0.00025552827406208865,0.001,116/173,38.61%,MAP3K14;ENTPD3;BCL2;IKBKB;IKBKG;SYK;CD58;CALR;RB1;CDK2;E2F3;STAT3;RELA;TP53;JUN;PSMD4;IFNA4;TBK1;IFNA14;STAT2;MYC;MAPK14;HLA-B;ICAM1;JAK1;MAPK9;CDK6;CCND2;IFNA7;TNF;MAPK13;CDKN1B;TRAF6;SKP2;PIK3CB;PIK3CA;RAC1;CCND1;IKBKE;HLA-DQB1;BTK;NFKB1;FAS;OAS1;TYK2;NFKBIB;GADD45B;TLR2;AKT1;BLNK;BAK1;IFNB1;B2M;MAP3K7;EIF2AK2;TRAF5;PSMD2;HLA-DOA;STAT1;CCNA2;PIK3R1;BAX;CDK4;IFNAR1;TAB2;ENTPD1;ITGAL;IL6;HLA-DQA1;HLA-DRB3;IFNA2;HLA-DQA2;TAP2;CYCS;MAP2K4;JAK3;MAP2K7;CCND3;CD40;TRAF3;CCNA1;CCNE1;PSMD12;RELB;HDAC1;HLA-A;MDM2;AKT3;MAPK11;CASP8;CHUK;NFKBIA;NFKB2;IFNA21;NFKBIE;APAF1;OAS2;TNFAIP3;IRF9;CR2;AKT2;SAP30;TAPBP;CD247;IRAK4;IFNA5;E2F1;CASP3;FCER2;USP7;HES1;FADD;LYN;PIK3CD;MAP2K3;GADD45A
4,prerank,Hepatitis C,0.380557842827707,2.5047298154322886,0.0,0.00020442261924967094,0.001,82/124,36.27%,IKBKB;CFLAR;SOCS3;IKBKG;PPP2R2D;HRAS;BRAF;RB1;CDK2;E2F3;EIF2AK1;STAT3;RELA;TP53;EGFR;IFNA4;TBK1;RSAD2;EIF2S1;GRB2;IFNA14;STAT2;MYC;JAK1;SCARB1;CDK6;MAP2K1;IFNG;IFNA7;TNF;TRAF6;PIK3CB;RAF1;PIK3CA;CCND1;RXRA;IKBKE;NFKB1;FAS;FASLG;OAS1;TNFRSF1A;EIF2AK4;EIF2AK3;TYK2;CTNNB1;AKT1;GSK3B;BAK1;IFNB1;EIF2AK2;STAT1;PIK3R1;BAX;CDK4;MAPK3;IFNAR1;NRAS;IFNA2;CYCS;PPARA;TRAF3;PPP2R2A;BAD;AKT3;CASP8;CHUK;NFKBIA;TLR3;IFNA21;APAF1;TICAM1;OAS2;MX1;CLDN2;IRF9;SOS1;AKT2;PPP2CA;IFNA5;E2F1;CASP3
5,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3645268093484385,2.4785491751846984,0.0,0.00017035218270805913,0.001,107/159,39.57%,HIF1A;IKBKB;CREBBP;IKBKG;SYK;HRAS;RB1;GNB4;E2F3;STAT3;RELA;IFNGR1;CXCL1;CD86;TP53;JUN;IFNA4;TBK1;JAK2;IFNA14;STAT2;HCK;MYC;MAPK14;BECN1;CXCL2;HLA-B;ICAM1;JAK1;MAPKAPK2;C3;PIK3R5;MAPK9;CDK6;MAP2K1;SRC;IFNA7;MTOR;MAPK13;PIK3CB;RAF1;PIK3CA;CREB1;RAC1;CCND1;FGF2;IKBKE;PPP3CA;NFKB1;FAS;CCR4;TNFRSF1A;PPP3CB;TYK2;CTNNB1;AKT1;GNG12;GNGT2;GSK3B;BAK1;IFNB1;GNG11;EIF2AK2;CALM3;STAT1;PIK3R1;BAX;NFATC3;CDK4;GNB5;MAPK3;IFNAR1;NRAS;IL6;IFNA2;CYCS;MAP2K4;GNG5;MAP2K7;NFATC2;TRAF3;HLA-A;AKT3;MAPK11;CASP8;CHUK;NFKBIA;PLCG1;TLR3;IFNA21;TICAM1;IRF9;FOS;ATG3;AKT2;EP300;IFNA5;E2F1;CASP3;RCAN1;PIK3C3;FADD;LYN;PIK3CD;UBB;CXCL3;PIK3R6
6,prerank,Thyroid hormone signaling pathway,0.3920650682544357,2.463004045674616,0.0,0.0001460161566069078,0.001,67/95,38.56%,SLC2A1;HIF1A;TBC1D4;CREBBP;HRAS;ACTG1;PLCD1;GATA4;ESR1;TP53;MYC;PRKACB;ATP1B1;BMP4;ACTB;FOXO1;PLCB3;MAP2K1;MED12;SRC;MTOR;PDPK1;PIK3CB;RAF1;PIK3CA;CCND1;RXRA;ATP2A2;PLCB1;NCOA2;KAT2B;PRKACG;ATP1A1;THRA;CTNNB1;AKT1;PRKCA;GSK3B;NOTCH2;STAT1;PIK3R1;MAPK3;PFKP;PRKACA;FXYD2;NRAS;PFKFB2;PRKCB;ATP1A3;BAD;RXRG;HDAC1;MDM2;AKT3;PLCG1;NCOA1;RHEB;NOTCH1;AKT2;SLC16A10;EP300;RCAN1;ATP1B4;RXRB;ATP1A4;PIK3CD;ATP1B2
7,prerank,Prolactin signaling pathway,0.41923513734219564,2.461812449934371,0.0,0.00012776413703104433,0.001,58/64,52.65%,SOCS3;HRAS;CISH;STAT3;RELA;ESR1;JAK2;GRB2;MAPK14;PRLR;STAT5A;MAPK9;MAP2K1;SOCS2;CCND2;SRC;MAPK13;PIK3CB;RAF1;PIK3CA;CCND1;SHC1;NFKB1;AKT1;GSK3B;STAT1;PIK3R1;MAPK3;ESR2;NRAS;LHCGR;GALT;AKT3;MAPK11;FOXO3;FOS;IRF1;SOS1;TNFSF11;AKT2;PRL;SOCS4;PIK3CD;SOS2;SOCS1;SLC2A2;TNFRSF11A;GCK;TH;SOCS5;MAPK12;MAP2K2;CGA;PIK3R3;PIK3R2;KRAS;INS;MAPK8
8,prerank,Citrate cycle (TCA cycle),0.5133636168970737,2.39274988722392,0.0,0.00022713624361074547,0.002,21/27,32.00%,PDHB;SDHB;SUCLG1;SUCLG2;CS;SDHC;DLD;ACO2;ACO1;ACLY;PCK1;IDH1;OGDH;PC;IDH3A;IDH3B;PDHA1;SDHA;SDHD;MDH2;MDH1
9,prerank,Prostate cancer,0.38224043793612866,2.3923924136259256,0.0,0.00020442261924967094,0.002,63/89,38.67%,BCL2;IKBKB;CREBBP;IKBKG;HRAS;FGFR2;BRAF;HSP90B1;RB1;CDK2;E2F3;RELA;CREB3L2;TP53;EGFR;GRB2;ERBB2;HSP90AA1;FOXO1;MAP2K1;CREB5;MTOR;CDKN1B;PDPK1;PIK3CB;RAF1;PIK3CA;CREB1;CCND1;NFKB1;PLAU;CTNNB1;AKT1;PLAT;GSK3B;PDGFRB;PIK3R1;MAPK3;PDGFD;ATF4;NRAS;ETV5;FGFR1;CCNE1;HSP90AB1;BAD;LEF1;MDM2;AKT3;CHUK;NFKBIA;TCF7L2;GSTP1;SOS1;AKT2;EP300;IGF1R;PDGFRA;E2F1;MMP9;CREB3L1;PIK3CD;SOS2
