,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.49815617086073055,2.6169833803783633,0.0,0.0,0.0,52/71,31.45%,RPS6KB1;MAPK9;PLD1;KRAS;GADD45B;GADD45A;TP53;SMAD2;JAK1;SMAD4;ERBB2;PIK3CB;SMAD3;RPS6KB2;TGFB1;STAT1;CDC42;E2F1;BAD;NFKB1;CDK6;AKT3;PIK3R3;TGFBR1;CCND1;DDB2;CDK4;MAPK3;MAP2K1;PIK3CA;RALB;PIK3CD;CHUK;RB1;PIK3R1;BRAF;AKT2;AKT1;IKBKG;EGF;EGFR;TGFA;BCL2L1;STAT3;BAX;MAPK8;TGFB2;RAC3;RAC1;ARHGEF6;CDKN1A;MAPK1
1,prerank,Colorectal cancer,0.4670878160256417,2.504439179421318,0.0,0.0,0.0,56/79,31.99%,RPS6KB1;CTNNB1;MAPK9;SOS2;KRAS;GADD45B;GADD45A;TP53;SMAD2;SMAD4;PIK3CB;SMAD3;RPS6KB2;TGFB1;BCL2;BAD;MLH1;MYC;AKT3;RHOA;JUN;PIK3R3;TGFBR1;CCND1;DDB2;BCL2L11;MAPK3;MAP2K1;PIK3CA;RALB;PIK3CD;PIK3R1;TCF7L1;HRAS;BRAF;AKT2;LEF1;TCF7L2;AKT1;BIRC5;FOS;EGF;EGFR;TGFA;APC;PMAIP1;BAX;MAPK8;GRB2;TGFB2;RAC3;RAC1;CDKN1A;MAPK1;NRAS;CASP3
2,prerank,Insulin signaling pathway,0.4418359032455978,2.483283700969955,0.0,0.0,0.0,82/111,37.08%,PRKAG2;RPS6KB1;MAPK9;SOS2;KRAS;PRKAG1;SOCS1;IRS1;INSR;SHC1;EIF4E;PRKCZ;PRKAG3;PIK3CB;PRKCI;PHKA1;RPS6KB2;PDPK1;PRKACA;SOCS4;PRKAA1;GYS1;EIF4EBP1;PKLR;PYGL;BAD;ACACA;PRKAR2A;CALM1;PHKG2;INS;PRKAB2;AKT3;PPP1CC;HK1;PIK3R3;PPP1CA;ACACB;MKNK2;MAPK3;CALM2;MAP2K1;PIK3CA;PTPRF;SOCS2;PHKB;SHC4;PRKAR1A;PRKAR2B;PIK3CD;PRKAR1B;PIK3R1;TSC2;HRAS;RHEB;BRAF;AKT2;FASN;AKT1;PPARGC1A;G6PC;G6PC3;G6PC2;MAPK8;PYGB;CRKL;GRB2;FOXO1;RPS6;SREBF1;CALML6;MKNK1;MAPK1;NRAS;PRKACB;TRIP10;CALM3;CBLB;MTOR;PRKACG;PRKAB1;SOS1
3,prerank,FoxO signaling pathway,0.4329195137009397,2.4447134317482373,0.0,0.0,0.0,78/119,32.02%,PRKAG2;CAT;MAPK9;MAPK14;SOS2;KRAS;GADD45B;PRKAG1;GADD45A;IRS1;SMAD2;INSR;MAPK13;NLK;SETD7;SMAD4;PRKAG3;PIK3CB;SMAD3;PDPK1;TGFB1;CCNB2;PRKAA1;MAPK12;STK11;IGF1R;PTEN;SKP2;CSNK1E;EP300;INS;PRKAB2;SGK3;AKT3;CCND2;PIK3R3;TGFBR1;CCND1;BCL2L11;MAPK3;TNFSF10;IL10;SGK2;MAP2K1;CCNB1;PIK3CA;IL7R;PIK3CD;CHUK;BCL6;PIK3R1;HRAS;BRAF;AKT2;PRMT1;AKT1;CDK2;G6PC;GABARAPL1;FOXO4;G6PC3;EGF;EGFR;SGK1;G6PC2;ATM;STAT3;MAPK8;GRB2;GRM1;FOXO1;PLK4;TGFB2;USP7;CDKN1A;MAPK1;NRAS;CDKN2B
4,prerank,Chronic myeloid leukemia,0.46198122799798463,2.426249060746687,0.0,0.0,0.0,49/71,31.67%,SOS2;KRAS;GADD45B;GADD45A;TP53;SHC1;SMAD4;PIK3CB;SMAD3;TGFB1;HDAC1;ABL1;E2F1;BAD;NFKB1;CDK6;MYC;AKT3;PIK3R3;TGFBR1;CCND1;DDB2;CDK4;MAPK3;MAP2K1;PIK3CA;SHC4;PIK3CD;CHUK;RB1;PIK3R1;MECOM;HRAS;BRAF;NFKBIA;AKT2;CTBP2;AKT1;IKBKG;STAT5A;BCL2L1;RUNX1;BAX;CRKL;GRB2;TGFB2;CDKN1A;MAPK1;NRAS
5,prerank,Nucleotide excision repair,0.5319444295284209,2.390953519043318,0.0,0.00016950636049503252,0.001,18/35,13.80%,LIG1;GTF2H2;RFC2;XPC;XPA;CDK7;POLE2;DDB1;POLE3;ERCC5;PCNA;RPA2;RPA1;DDB2;MNAT1;RFC5;ERCC1;RAD23B
6,prerank,Neurotrophin signaling pathway,0.4271609853920536,2.3690832814680385,0.0,0.00014529116613859933,0.001,68/103,31.67%,MAPK9;MAPK14;SOS2;KRAS;NGFR;TP53;RPS6KA1;IRS1;SHC1;MAPK13;PIK3CB;RPS6KA3;PDPK1;MAP3K5;ABL1;CDC42;MAPK12;BCL2;CAMK2D;SORT1;BAD;IRAK2;NFKB1;CALM1;PRKCD;PRDM4;ARHGDIB;AKT3;NFKBIE;RHOA;JUN;IRAK4;PIK3R3;RAP1A;MAPK3;CALM2;ZNF274;MAP2K1;PIK3CA;NTRK3;SHC4;PIK3CD;ATF4;PIK3R1;HRAS;BRAF;NFKBIA;AKT2;MAP2K5;NGF;AKT1;NTRK1;MAPKAPK2;MAGED1;IRAK1;BAX;MAPK8;CRKL;GRB2;NFKBIB;RPS6KA5;CAMK4;CAMK2G;SH2B3;RAC1;CALML6;MAPK1;NRAS
7,prerank,Thyroid cancer,0.5225741311599502,2.368634710861642,0.0,0.00012712977037127442,0.001,27/34,33.05%,RXRG;CTNNB1;KRAS;GADD45B;GADD45A;TP53;TFG;MYC;CCND1;DDB2;TPR;MAPK3;MAP2K1;RET;PAX8;PPARG;TCF7L1;HRAS;BRAF;LEF1;TCF7L2;NTRK1;BAX;CDKN1A;MAPK1;NRAS;CDH1
8,prerank,HIF-1 signaling pathway,0.4329767740955614,2.3639791126695435,0.0,0.00011300424033002169,0.001,63/89,35.31%,RPS6KB1;HMOX1;TLR4;LDHA;IL6R;HIF1A;INSR;VHL;EIF4E;CUL2;CYBB;ERBB2;PIK3CB;RPS6KB2;EIF4EBP1;BCL2;CAMK2D;IGF1R;NFKB1;EP300;INS;EDN1;AKT3;HK1;PIK3R3;FLT1;PDHA1;MKNK2;MAPK3;MAP2K1;PIK3CA;IFNG;IFNGR1;GAPDH;PIK3CD;EGLN1;PIK3R1;IFNGR2;AKT2;AKT1;SLC2A1;TEK;PFKL;EGF;EGFR;SERPINE1;STAT3;ANGPT1;PDHB;RPS6;PGK1;CAMK2G;PDK1;EPO;CDKN1A;MKNK1;MAPK1;PLCG2;NOS3;PRKCA;CREBBP;ENO1;MTOR
9,prerank,Melanoma,0.4712701060783538,2.3301607876481807,0.0,0.00010170381629701953,0.001,38/52,33.05%,KRAS;GADD45B;GADD45A;TP53;PIK3CB;FGF9;IGF1R;PTEN;E2F1;BAD;CDK6;MITF;AKT3;PIK3R3;CCND1;DDB2;MET;CDK4;MAPK3;MAP2K1;PIK3CA;PIK3CD;RB1;PIK3R1;PDGFRB;HRAS;BRAF;AKT2;AKT1;EGF;EGFR;FGFR1;FGF2;BAX;CDKN1A;MAPK1;NRAS;CDH1
