,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Cell cycle,0.5379363492206612,1.7328656370704583,0.0,0.043141773872835736,0.042,53/94,25.85%,BUB3;CCNA2;BUB1;CCNE1;ABL1;CCNA1;TTK;HDAC2;CDC25A;TGFB1;MCM7;CREBBP;SKP1;SMAD3;SMC3;TFDP2;CDK2;CDK1;CCND3;MCM6;PLK1;WEE1;CDC14A;CDK6;CHEK1;CDKN1C;CDKN1A;CDC25B;BUB1B;ATR;CDC7;MCM3;PRKDC;E2F3;GADD45A;CCNH;E2F4;CCNB1;CDK7;RBL2;MDM2;MCM5;CCND2;GADD45B;CDKN1B;CDC25C;YWHAZ;MCM2;SMAD4;ZBTB17;CDKN2C;CDK4;HDAC1
1,prerank,Autophagy,0.5298706565898932,1.7222612522501566,0.0,0.025584075203658397,0.049,62/100,29.61%,TSC2;CTSB;EIF2S1;PRKAA1;BCL2;PRKCD;HRAS;RAF1;RPS6KB1;AKT1;BECN1;WIPI1;TSC1;KRAS;TRAF6;BCL2L1;MLST8;DAPK1;RRAGC;CTSD;PIK3CA;MAPK3;ULK2;AKT3;RHEB;ATG16L2;PPP2CA;PDPK1;DEPTOR;PIK3R4;INS;PPP2CB;PRKACG;MAPK1;PIK3C3;NRAS;BNIP3;PRKACB;RAB7A;CFLAR;MTOR;ERN1;IRS2;CTSL;PIK3R1;DAPK3;MAPK8;PIK3CD;RRAS2;CAMKK2;EIF2AK3;PRKACA;BAD;HIF1A;PTEN;GABARAPL1;ATG3;MAP2K2;AKT1S1;ATG5;MAP2K1;AKT2
2,prerank,Central carbon metabolism in cancer,0.5312639841919724,1.664417459296779,0.0,0.03845972089438845,0.106,47/60,38.01%,PDHA1;HRAS;SLC2A1;RAF1;AKT1;KRAS;HK2;EGFR;FLT3;PFKM;HK1;PIK3CA;SIRT6;MAPK3;PDGFRA;PDHB;AKT3;FGFR1;MAPK1;SLC7A5;NRAS;MTOR;ERBB2;PDK1;PIK3R1;PFKP;LDHA;PIK3CD;GLS;RET;G6PD;HKDC1;HIF1A;PTEN;NTRK1;MAP2K2;SLC1A5;SIRT3;MAP2K1;AKT2;SLC2A2;FGFR3;TP53;FGFR2;PKM;NTRK3;PDGFRB
3,prerank,Viral carcinogenesis,0.4968553071494066,1.6406480746842458,0.0,0.04339259813953827,0.153,88/141,32.55%,GTF2E2;CCNA2;ATF4;TRAF1;IRF3;HIST1H2BJ;HDAC4;CCNE1;LTBR;HRAS;CCNA1;TRAF5;RELA;KRAS;DNAJA3;HDAC2;SRC;GRB2;HLA-B;CREB3;SRF;CREBBP;HDAC3;DLG1;USP7;EGR2;POLB;STAT5A;CDK2;LYN;CDK1;RAC1;CCND3;PIK3CA;TBP;MAPK3;CDK6;CHEK1;RHOA;CDKN1A;CDC42;CASP8;IRF9;JUN;HLA-A;GTF2H1;PRKACG;RBPJ;STAT3;MAPK1;NRAS;PRKACB;PXN;RBL2;EGR3;MDM2;CCND2;CREB3L2;CDKN1B;HDAC10;TRAF2;HDAC7;TRAF3;HDAC6;PIK3R1;HIST1H4I;CHD4;JAK1;PIK3CD;YWHAZ;HDAC11;PRKACA;BAD;CDK4;MAPKAPK2;HDAC1;SNW1;GTF2H2;CCR5;BAK1;PMAIP1;HIST1H2BK;REL;IKBKG;HPN;CREB3L4;EP300;EIF2AK2
4,prerank,Apoptosis,0.49797945981347647,1.6348748836780624,0.0,0.037523310298698986,0.165,74/123,31.60%,FADD;CTSB;ATF4;TUBA1B;EIF2S1;TRAF1;BCL2;HRAS;RAF1;RELA;AKT1;BECN1;CTSH;MAP3K14;BID;KRAS;DIABLO;TUBA1C;BCL2L1;TNFRSF10B;ACTB;NGFR;CTSK;BIRC6;CTSD;PIK3CA;MAPK3;BCL2L11;CASP10;AKT3;CYCS;PDPK1;BIRC5;DFFA;CASP8;JUN;MCL1;CTSF;DDIT3;GADD45A;MAPK1;MAP3K5;NRAS;IKBKB;CFLAR;FOS;PARP2;ERN1;GADD45B;TNF;TRAF2;CTSL;PIK3R1;SPTAN1;MAPK8;TNFRSF10A;PIK3CD;BIRC3;AIFM1;EIF2AK3;ENDOG;BAD;LMNA;BCL2A1;NTRK1;MAP2K2;BAK1;BBC3;MAP2K1;AKT2;PMAIP1;LMNB2;IKBKG;BIRC2
5,prerank,Progesterone-mediated oocyte maturation,0.514631130870851,1.62660834039559,0.001,0.03478096498275129,0.183,41/65,31.95%,HSP90AB1;CCNA2;BUB1;GNAI3;CCNA1;RAF1;AKT1;KRAS;CDC25A;HSP90AA1;CDK2;CDK1;PIK3CA;PLK1;MAPK3;ADCY3;AKT3;CDC25B;ADCY2;INS;PRKACG;MAPK1;ADCY9;PRKACB;CCNB1;AURKA;BRAF;ADCY7;PIK3R1;CDC25C;MAPK8;PIK3CD;PRKACA;CPEB4;MAPK12;MOS;PGR;MAP2K1;AKT2;PDE3B;GNAI1
6,prerank,Mitophagy,0.5224304902958793,1.593759328109873,0.001,0.04801493105448495,0.275,27/43,30.46%,ATF4;HRAS;RELA;BECN1;KRAS;SRC;BCL2L1;FIS1;TFEB;UBB;FOXO3;CSNK2B;JUN;NRAS;BNIP3;RAB7A;TBK1;MITF;MAPK8;BCL2L13;RRAS2;CSNK2A1;EIF2AK3;HIF1A;GABARAPL1;ATG5;PINK1
7,prerank,Lysine degradation,0.5222690082606195,1.5935852351158395,0.001,0.04201306467267433,0.275,24/46,25.60%,DLD;EZH2;PLOD3;ALDH3A2;SUV39H1;EHMT2;ALDH1B1;HADH;EHHADH;SETDB1;SETD1A;AADAT;EZH1;KMT2B;SETDB2;ACAT2;SETD1B;KMT2A;KMT2E;ASH1L;ALDH7A1;KMT2D;PLOD1;GCDH
8,prerank,HIF-1 signaling pathway,0.4944841019337207,1.59184902294838,0.001,0.03823676599065286,0.281,51/89,30.36%,IFNG;PFKFB3;BCL2;LTBR;PDHA1;SLC2A1;RPS6KB1;RELA;AKT1;TIMP1;HK2;CREBBP;EGFR;TFRC;MKNK2;NOS2;HK1;EGLN1;PIK3CA;MAPK3;EGF;PDHB;AKT3;EDN1;CDKN1A;INS;PLCG2;PGK1;STAT3;MAPK1;MTOR;ERBB2;PDK1;RPS6;CDKN1B;HMOX1;FLT1;PIK3R1;EIF4EBP1;LDHA;IL6;TF;PIK3CD;HKDC1;HIF1A;EIF4E;MAP2K2;CAMK2D;MAP2K1;AKT2;EGLN3
9,prerank,Galactose metabolism,0.5618412074364574,1.5893333711279813,0.0030211480362537764,0.035316056751716694,0.286,16/25,28.82%,PGM1;HK2;AKR1B1;PFKM;HK1;GLA;G6PC;GALE;G6PC3;LCT;B4GALT1;PFKP;AKR1B10;HKDC1;GANC;GALK1
10,prerank,Longevity regulating pathway,0.48988161701930877,1.5874762138656993,0.0,0.03301759438047893,0.294,46/85,26.15%,TSC2;ATF4;PRKAA1;ADIPOR2;HRAS;RPS6KB1;RELA;AKT1;TSC1;KRAS;CAT;HDAC2;HSPA1B;CREB3;PRKAB1;EHMT2;HSPA8;FOXO3;SOD1;PIK3CA;ADCY3;SIRT1;AKT3;RHEB;ADCY2;PPARG;INS;PRKACG;ADCY9;NRAS;PRKACB;MTOR;HSPA2;CREB3L2;ADCY7;IRS2;PIK3R1;EIF4EBP1;PRKAB2;PPARGC1A;PIK3CD;CAMKK2;PRKACA;CLPB;HDAC1;EIF4E
11,prerank,Thyroid cancer,0.5281188439185451,1.5807624080061757,0.003003003003003003,0.03285797893803187,0.316,22/34,29.55%,PAX8;HRAS;KRAS;CTNNB1;MAPK3;RXRA;CDKN1A;TCF7;PPARG;GADD45A;MAPK1;NRAS;NCOA4;BRAF;GADD45B;TCF7L2;DDB2;RET;NTRK1;MAP2K2;BAK1;MAP2K1
12,prerank,Human T-cell leukemia virus 1 infection,0.47285994988750646,1.58024559083449,0.0,0.030484795491538666,0.318,101/189,29.63%,BUB3;CCNA2;ATF4;CSF2;HLA-DRB5;CCNE1;LTBR;HRAS;SLC2A1;CCNA1;IL2RB;KAT5;RELA;AKT1;MAP3K14;KRAS;NFATC3;TGFB1;HLA-B;CREB3;SRF;CREBBP;BCL2L1;RELB;DLG1;SMAD3;EGR2;POLB;STAT5A;CDK2;XPO1;TNFRSF13C;MSX1;CCND3;PPP3CA;PIK3CA;TBP;PPP3R2;ICAM1;B2M;ELK1;MAPK3;ADCY3;SLC25A5;HLA-DOA;VDAC1;AKT3;CHEK1;CDKN1A;LCK;BUB1B;ATR;ADCY2;SLC25A4;JUN;HLA-A;PRKACG;E2F3;MAPK1;ADCY9;VDAC2;NRAS;PRKACB;ETS1;HLA-DQB1;IKBKB;FOSL1;FOS;TGFBR2;CCND2;CREB3L2;TNF;ADCY7;PIK3R1;CALR;FDPS;MAP3K3;JAK1;IL6;EGR1;MAPK8;PIK3CD;HLA-DPB1;RAN;SMAD4;PRKACA;MAP2K4;CDKN2C;CDK4;TRRAP;PTEN;HLA-DPA1;MAP2K2;IL1R1;CRTC3;NRP1;CD40;TERT;MAP2K1;AKT2;CD3D
13,prerank,Protein processing in endoplasmic reticulum,0.4934773860258288,1.5768499551956487,0.0,0.029095614937493866,0.327,43/82,27.99%,HSP90AB1;ATF4;EIF2S1;VCP;BCL2;HSPA5;RPN1;UBE2D3;HYOU1;XBP1;P4HB;ATF6;BCAP31;HSPA1B;SKP1;EIF2AK1;HSP90AA1;HSPA8;DNAJB2;RPN2;UBQLN4;HERPUD1;DNAJC1;STUB1;DNAJC5B;DDIT3;MAP3K5;HSPA2;ERN1;EDEM2;TRAF2;NFE2L2;GANAB;CALR;SEC61A2;MAPK8;PREB;EIF2AK3;ERO1B;SEC24D;UBE2D1;HSP90B1;BAK1
14,prerank,Phenylalanine metabolism,0.5892943177466168,1.573310126522976,0.01142263759086189,0.028092317870683736,0.333,8/15,19.80%,MAOA;ALDH3B1;ALDH3B2;AOC3;IL4I1;MIF;GLYAT;HPD
15,prerank,Bile secretion,0.5124980290437783,1.572361873925956,0.001,0.0267127844038198,0.337,25/50,25.11%,HMGCR;ATP1A1;ABCB1;CA2;SLC2A1;SLC4A2;ABCC3;GNAS;LDLR;ATP1B2;ADCY3;ABCB11;RXRA;ATP1B1;SLC9A1;ADCY2;PRKACG;ADCY9;PRKACB;SLC5A1;ABCB4;ADCY7;CFTR;PRKACA;ABCC2
16,prerank,Endometrial cancer,0.5068583079051148,1.56315112189878,0.0,0.028682492615866164,0.378,38/53,35.56%,HRAS;RAF1;AKT1;KRAS;CTNNB1;GRB2;EGFR;FOXO3;PIK3CA;ELK1;MAPK3;EGF;AKT3;CDKN1A;PDPK1;TCF7;AXIN2;GADD45A;MAPK1;NRAS;ERBB2;BRAF;GADD45B;PIK3R1;TCF7L2;DDB2;PIK3CD;ILK;BAD;PTEN;MAP2K2;BAK1;MAP2K1;AKT2;AXIN1;MLH1;TP53;GSK3B
17,prerank,Estrogen signaling pathway,0.4832243100739225,1.5592973313196241,0.0,0.028371011500353215,0.392,55/98,32.66%,CALM1;HSP90AB1;ATF4;BCL2;ESR2;PRKCD;GNAI3;HRAS;RAF1;AKT1;CALM2;KRAS;GNAS;HSPA1B;SRC;GRB2;CREB3;SHC4;EGFR;HSP90AA1;HSPA8;CTSD;PIK3CA;MAPK3;ADCY3;SHC1;AKT3;PLCB3;NCOA3;ADCY2;JUN;ESR1;PRKACG;MAPK1;ADCY9;NRAS;PRKACB;FOS;HSPA2;CREB3L2;ADCY7;KRT19;PIK3R1;PIK3CD;PRKACA;HSP90B1;MAP2K2;PGR;MAP2K1;AKT2;RARA;GNAI1;OPRM1;CREB3L4;CALM3
18,prerank,Aminoacyl-tRNA biosynthesis,0.5396742793033162,1.5554065760809184,0.001006036217303823,0.028409148523360617,0.408,13/27,22.29%,CARS;QARS;YARS;VARS;QRSL1;HARS;SARS;IARS2;DARS;TARS;EPRS;KARS;WARS
19,prerank,Adherens junction,0.5014956351473668,1.5547666244722884,0.0,0.027139185657214102,0.409,42/58,39.38%,ACP1;IQGAP1;CTNNB1;SRC;CREBBP;EGFR;SMAD3;SNAI2;ACTB;RAC1;MAPK3;PTPRF;FGFR1;RHOA;CSNK2B;TCF7;CDC42;MAPK1;SNAI1;ERBB2;PTPN6;TGFBR2;NLK;TCF7L2;PTPRJ;FYN;CSNK2A1;SMAD4;FER;AFDN;YES1;NECTIN4;EP300;ACTN4;PTPN1;CTNND1;RAC3;NECTIN1;IGF1R;TGFBR1;WAS;INSR
20,prerank,Small cell lung cancer,0.4822283052509593,1.545578550209098,0.0,0.02938227124229676,0.441,47/79,31.60%,TRAF1;BCL2;CCNE1;TRAF5;RELA;AKT1;TRAF6;BCL2L1;LAMB1;COL4A4;CDK2;NOS2;PIK3CA;ITGA3;COL4A2;CKS2;CDK6;AKT3;ITGAV;RXRA;CYCS;CDKN1A;ITGA2;E2F3;GADD45A;IKBKB;GADD45B;CDKN1B;TRAF2;TRAF3;PIK3R1;DDB2;PIK3CD;BIRC3;ZBTB17;ITGA2B;CDK4;MAX;PTEN;BAK1;TRAF4;RARB;AKT2;PTK2;COL4A5;IKBKG;BIRC2
