,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.3256860448964574,2.8053410729315114,0.0,0.0,0.0,113/126,60.09%,GSK3B;IFNB1;RCHY1;DDX58;APAF1;NFKB1;IL2RA;IL12A;CDKN1B;BAX;CASP9;NFKBIA;CD46;EIF2AK2;IKBKB;TP53;OAS2;CCNE1;IRAK4;IFNA10;CHUK;TBK1;IFNAR1;MAPK9;FAS;BID;CCND3;ADAR;JAK3;IFIH1;CSNK2A2;BCL2L1;IFNA14;EIF2AK3;CSNK2A1;CASP8;CCND1;AKT1;BCL2;CD28;IFNA16;TLR9;RELA;AKT3;TNFAIP3;OAS1;PIK3R3;IRF7;STAT3;CSNK2B;HSPA1B;CDK2;EIF2S1;PIK3CA;IRF9;PIK3R2;CASP3;PIK3CD;IRAK1;IFNA8;MYD88;CDK4;STAT5A;TAB2;CYCS;MX1;CD209;CDK6;HSPA1A;SLAMF1;IKBKG;JAK1;PIK3R1;IRF3;IFNAR2;IFNA7;IL6;FOS;CD3G;TLR4;MAPK8;TLR2;STAT2;BBC3;CBLB;TRAF3;TLR7;EIF2AK1;EIF2AK4;IL1B;BAK1;IL12B;IL2RB;CD3E;TRADD;CCND2;CD3D;JUN;IFNA5;FADD;IKBKE;TYK2;TRAF6;PIK3CB;EIF3H;IL2;AKT2;HSPA2;FASLG;STAT1;OAS3;IFNA1;NFKBIB
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.35734928307713376,2.796644556080082,0.0,0.0,0.0,75/89,51.71%,PLCE1;NFKB1;PRKCZ;CDKN1B;SMAD4;SMAD3;EGR1;BAX;COL4A5;AGTR1;COL4A3;MAPK3;RAC1;CCL2;CYBB;CDC42;PLCG1;PRKCD;HRAS;MAPK9;NOX1;TGFBR2;EDN1;PRKCA;VEGFC;CCND1;TGFB3;VCAM1;NFATC1;AKT1;BCL2;VEGFB;RELA;AKT3;TGFBR1;PIK3R3;STAT3;MAPK12;PIK3CA;COL4A4;AGER;SMAD2;F3;PLCG2;PIK3R2;MMP2;CASP3;PIK3CD;TGFB2;CDK4;STAT5A;THBD;MAPK14;TNF;PLCD1;VEGFA;PLCB1;PRKCE;PIK3R1;FN1;FOXO1;MAPK11;IL6;MAPK13;MAPK8;NOS3;JAK2;NRAS;IL1B;PIM1;MAPK1;COL1A2;SERPINE1;AGT;JUN
2,prerank,TNF signaling pathway,0.3304364506954145,2.6893856634689275,0.0,0.0003596439121175753,0.001,76/104,44.16%,IFNB1;CXCL5;TNFRSF1A;NFKB1;CASP10;CCL20;RPS6KA5;TNFRSF1B;NFKBIA;BCL3;BIRC3;MAPK3;IKBKB;CCL2;LIF;ATF4;CHUK;MAPK9;FAS;CEBPB;EDN1;DNM1L;VEGFC;CASP8;ATF2;VCAM1;AKT1;MMP14;MAP2K6;CSF1;TRAF1;RELA;AKT3;TNFAIP3;CX3CL1;PIK3R3;IRF1;IL15;CREB3L4;MAPK12;PIK3CA;BIRC2;RPS6KA4;CREB1;PIK3R2;CASP3;CREB3L2;PIK3CD;CXCL3;CFLAR;TAB2;CCL5;NOD2;MAPK14;TNF;CASP7;JUNB;IL18R1;IKBKG;RIPK1;MAP3K8;MAP2K1;LTA;PIK3R1;CXCL10;MAP2K3;MAPK11;TRAF2;IL6;FOS;MAP3K14;CREB5;MAPK13;MAPK8;RIPK3;PTGS2
3,prerank,Toll-like receptor signaling pathway,0.3261204970530388,2.6702980757007935,0.0,0.00026973293408818144,0.001,88/98,59.54%,IFNB1;NFKB1;IL12A;IRF5;TLR3;NFKBIA;MAPK3;RAC1;IKBKB;IRAK4;IFNA10;CHUK;TBK1;IFNAR1;TLR8;MAPK9;TICAM1;CD86;IFNA14;CASP8;AKT1;CD14;CXCL11;CTSK;MAP2K6;IFNA16;TLR9;RELA;AKT3;TICAM2;PIK3R3;IRF7;CD80;MAPK12;PIK3CA;TIRAP;LBP;PIK3R2;CXCL9;PIK3CD;IRAK1;CD40;CCL4L2;IFNA8;TLR5;MYD88;CCL3;TAB2;CCL5;MAPK14;SPP1;TNF;IKBKG;RIPK1;MAP3K8;MAP2K1;PIK3R1;IRF3;IFNAR2;IFNA7;CXCL10;MAP2K3;TOLLIP;MAPK11;IL6;FOS;TLR4;MAPK13;MAPK8;TLR2;TLR1;TRAF3;TLR7;IL1B;IL12B;MAPK1;JUN;IFNA5;FADD;IKBKE;TRAF6;MAP2K7;PIK3CB;TLR6;AKT2;MAP2K4;STAT1;IFNA1
4,prerank,Epstein-Barr virus infection,0.2861560228116554,2.656791317962983,0.0,0.00021578634727054515,0.001,147/174,59.54%,IFNB1;DDX58;B2M;APAF1;NFKB1;CDKN1B;TAP1;HLA-DRB1;ENTPD1;BAX;HLA-DQA1;CASP9;NFKBIA;HLA-DMB;EIF2AK2;RAC1;IKBKB;TP53;OAS2;CD44;CCNE1;IRAK4;IFNA10;HLA-A;CHUK;TBK1;HLA-B;IFNAR1;MAPK9;FAS;HLA-DMA;BID;CCND3;JAK3;IFNA14;CASP8;CCND1;MDM2;HLA-DQB1;CD19;VIM;HLA-DRA;HES1;AKT1;GADD45B;BCL2;MAP2K6;IFNA16;RELA;AKT3;TNFAIP3;OAS1;HDAC1;PIK3R3;IRF7;HLA-DQA2;STAT3;CDK2;MAPK12;PIK3CA;ENTPD3;CALR;IRF9;PLCG2;PIK3R2;CASP3;PIK3CD;IRAK1;CD40;LYN;IFNA8;MYD88;CDK4;SAP30;TAB2;CYCS;MAPK14;SYK;RB1;CDK6;ITGAL;TNF;HDAC2;SNW1;CCNA2;E2F1;IKBKG;PSMD4;RIPK1;RELB;USP7;PSMD2;HLA-DPA1;JAK1;PIK3R1;IRF3;IFNAR2;IFNA7;CXCL10;MAP2K3;PSMD12;MAPK11;TRAF2;IL6;CD3G;CR2;MAP3K14;SIN3A;MAPK13;MAPK8;TLR2;STAT2;CCNA1;PSMD3;PSMC5;NEDD4;TRAF3;BAK1;RBPJ;CD3E;HLA-DPB1;TRADD;CCND2;RUNX3;CD3D;CD58;JUN;IFNA5;FADD;MYC;IKBKE;TYK2;TRAF6;FCER2;HLA-DRB5;CDKN1A;MAP2K7;TRAF5;PIK3CB;BCL2L11;E2F3;BTK;AKT2;MAP2K4;STAT1;OAS3;IFNA1
5,prerank,Longevity regulating pathway,0.33876531766997087,2.6062975932624695,0.0,0.00017982195605878765,0.001,47/85,26.90%,SIRT1;ADCY9;NFKB1;EHMT1;ATG5;ADCY3;INS;BAX;IGF1R;TP53;ATF4;PRKACB;TSC2;STK11;ADIPOR1;RPS6KB1;HRAS;RHEB;EHMT2;ATF2;AKT1;CAT;PRKAG1;PRKAG3;PPARG;RELA;AKT3;HDAC1;PIK3R3;PRKAA1;IRS1;EIF4E;PRKAB1;TSC1;PRKAG2;ADCY7;HSPA1B;CREB3L4;PIK3CA;SESN1;CAMKK2;CREB1;PIK3R2;CREB3L2;PIK3CD;RPS6KB2;PRKAA2
6,prerank,Apoptosis,0.300291619487414,2.6014681936455144,0.0,0.00015413310519324654,0.001,84/123,42.96%,TNFRSF1A;CTSW;APAF1;NFKB1;CASP10;TUBA1B;PMAIP1;BAX;CASP9;NFKBIA;BIRC3;PARP2;TUBA1A;MAPK3;IKBKB;TP53;ACTB;ATF4;CHUK;BECN1;DDIT3;HRAS;MAPK9;CAPN1;FAS;BID;SPTAN1;BCL2L1;ERN1;PARP4;EIF2AK3;DIABLO;CTSB;CASP8;RAF1;AIFM1;AKT1;GADD45B;CTSH;BCL2;CTSK;TRAF1;RELA;BCL2A1;AKT3;CTSD;PIK3R3;PDPK1;DAXX;CTSS;SPTA1;DFFA;CTSL;EIF2S1;PIK3CA;BIRC2;MCL1;PIK3R2;ATM;CASP3;PIK3CD;CFLAR;TNFRSF10A;ITPR1;CYCS;TNF;DFFB;GZMB;CASP7;IKBKG;RIPK1;PARP1;XIAP;NGF;MAP2K1;PIK3R1;PRF1;HTRA2;TRAF2;FOS;BIRC7;MAP3K14;MAPK8;BBC3
7,prerank,Non-alcoholic fatty liver disease (NAFLD),0.2939155366239867,2.5503328446389335,0.0,0.00026973293408818144,0.002,107/125,59.71%,GSK3B;TNFRSF1A;RXRA;NFKB1;COX5B;UQCR11;NDUFAB1;MAP3K11;NDUFS1;INS;BAX;SDHD;NDUFB3;NDUFA2;RAC1;IKBKB;NDUFA7;ATF4;CDC42;NDUFS8;PPARA;DDIT3;NDUFS3;NDUFA3;NDUFB4;ADIPOR1;MAPK9;NDUFA4;FAS;BID;NDUFB1;ERN1;EIF2AK3;NDUFC2;SDHC;CASP8;COX8A;AKT1;NDUFS6;PRKAG1;PRKAG3;UQCRFS1;RELA;AKT3;PIK3R3;PRKAA1;IRS1;NDUFA12;NDUFB7;PRKAB1;PRKAG2;EIF2S1;PIK3CA;NDUFA5;NDUFS7;NDUFB9;CYP2E1;PIK3R2;COX5A;CASP3;PIK3CD;PRKAA2;COX7B;COX6A2;CYCS;IL6R;NDUFA13;SREBF1;NDUFV1;TNF;CASP7;COX7A1;UQCRC1;PIK3R1;NDUFB6;SDHB;NDUFB5;TRAF2;IL6;COX4I1;COX7C;MAPK8;NDUFA1;ADIPOR2;COX6B2;NDUFB2;IL1B;NDUFA9;SOCS3;COX6C;COX6B1;JUN;NDUFB8;SDHA;ITCH;NDUFV2;NDUFS4;NDUFS5;NDUFS2;PIK3CB;BCL2L11;XBP1;LEP;AKT2;FASLG;NR1H3;LEPR
8,prerank,Hepatitis C,0.2833658851280377,2.46493425246885,0.0,0.0009590504323135341,0.008,105/124,59.54%,GSK3B;IFNB1;TNFRSF1A;DDX58;APAF1;RXRA;NFKB1;TLR3;BAX;PPP2R1A;CASP9;NFKBIA;EIF2AK2;MAPK3;IKBKB;TP53;OAS2;IFNA10;BRAF;CHUK;TBK1;PPARA;IFNAR1;HRAS;TICAM1;EGFR;FAS;BID;RNASEL;IFNA14;EIF2AK3;CASP8;CCND1;RAF1;AKT1;IFNA16;RELA;AKT3;OAS1;PIK3R3;CTNNB1;IRF7;STAT3;CDK2;EIF2S1;PIK3CA;IRF9;CLDN2;PIK3R2;CASP3;PIK3CD;IFNA8;CDK4;CFLAR;IFIT1;CYCS;MX1;RB1;CDK6;TNF;IFNG;E2F1;IKBKG;PPP2R2A;RIPK1;LDLR;ARAF;MAP2K1;JAK1;PIK3R1;IRF3;IFNAR2;IFNA7;CXCL10;CD81;TRAF2;STAT2;TRAF3;NRAS;EIF2AK1;EIF2AK4;BAK1;PPP2CA;SOCS3;MAPK1;CLDN11;TRADD;IFNA5;FADD;MYC;IKBKE;PPP2R2C;TYK2;TRAF6;CDKN1A;PIK3CB;E2F3;PPP2CB;AKT2;FASLG;NR1H3;CLDN1;STAT1;OAS3;IFNA1
9,prerank,Pancreatic cancer,0.3343278016713211,2.4474267872867412,0.0,0.0010789317363527257,0.01,48/71,39.04%,NFKB1;SMAD4;SMAD3;ERBB2;BAX;CASP9;MAPK3;RAC1;IKBKB;TP53;BRAF;CHUK;CDC42;RPS6KB1;MAPK9;EGFR;RALBP1;BCL2L1;TGFBR2;CCND1;RAF1;TGFB3;AKT1;CDKN2A;GADD45B;RELA;AKT3;TGFBR1;PIK3R3;STAT3;RAC3;PIK3CA;PLD1;SMAD2;PIK3R2;PIK3CD;RPS6KB2;TGFB2;CDK4;RB1;CDK6;VEGFA;E2F1;IKBKG;ARAF;MAP2K1;JAK1;PIK3R1
10,prerank,Chagas disease (American trypanosomiasis),0.2972983819964135,2.415980657603195,0.0,0.0012751011429623124,0.013,83/97,58.96%,IFNB1;TNFRSF1A;NFKB1;IL12A;SMAD3;PPP2R1A;NFKBIA;MAPK3;IKBKB;CCL2;IRAK4;CHUK;MAPK9;TICAM1;FAS;C1QB;TGFBR2;CASP8;TGFB3;AKT1;TLR9;IFNGR1;RELA;AKT3;TGFBR1;PIK3R3;MAPK12;PIK3CA;CALR;GNAI1;SMAD2;PIK3R2;PIK3CD;IRAK1;GNA15;TGFB2;MYD88;CFLAR;CCL3;CCL5;MAPK14;KNG1;TNF;IFNG;GNAI2;PLCB1;IKBKG;PPP2R2A;BDKRB2;PIK3R1;MAPK11;IL6;FOS;CD3G;TLR4;MAPK13;MAPK8;TLR2;GNAI3;C1QC;GNAS;IL1B;PPP2CA;IL12B;CD3E;MAPK1;SERPINE1;CD3D;JUN;FADD;IL10;PPP2R2C;TRAF6;PIK3CB;PLCB3;GNAQ;TLR6;IL2;PPP2CB;AKT2;C3;MAP2K4;FASLG
11,prerank,Progesterone-mediated oocyte maturation,0.3371528507362846,2.4158435188010245,0.0,0.0011688427143821197,0.013,47/65,43.99%,ADCY9;ADCY3;CCNB1;INS;IGF1R;MOS;CDC25B;MAPK3;PRKACB;BRAF;CDC25C;MAPK9;RPS6KA1;RAF1;AKT1;HSP90AA1;AKT3;PIK3R3;ADCY7;CDK2;MAPK12;PIK3CA;PLK1;GNAI1;RPS6KA3;CDK1;PIK3R2;PIK3CD;PRKACA;MAPK14;GNAI2;CDC25A;CCNA2;PKMYT1;PDE3B;ARAF;MAP2K1;PIK3R1;CPEB4;IGF1;PGR;MAPK11;MAPK13;MAPK8;AURKA;CCNA1;GNAI3
