,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Viral carcinogenesis,0.39102019064300736,2.470082536120057,0.0,0.0,0.0,84/141,29.38%,DNAJA3;CCND1;TRAF2;TP53;HIST1H2BK;CDK2;CCND3;STAT3;JAK3;SRF;SKP2;CREB1;CCNA1;HDAC7;CREB3L2;PRKACG;KRAS;HDAC4;CCNE1;YWHAZ;HDAC5;POLB;MAPK3;KAT2B;MAPKAPK2;HIST1H4E;HLA-A;HDAC9;GTF2E2;GTF2A2;ATF2;JUN;CDK4;CDK1;PXN;SYK;HRAS;EIF2AK2;PIK3CA;CDKN1B;HDAC6;CCR5;REL;BAX;RHOA;CDC20;RELA;BAD;CREB5;PRKACB;CDKN1A;HDAC10;HIST1H2BD;RAC1;IKBKG;TRAF5;SNW1;PIK3CD;HDAC1;HDAC11;CDC42;ACTN4;CCNA2;CDKN2B;C3;CASP3;USP7;HIST1H4I;PKM;MAPK1;ATF4;CCR4;CREB3;TRAF3;KAT2A;STAT5A;PMAIP1;CCND2;IRF3;NFKBIA;NRAS;NFKB1;YWHAQ;EGR3
1,prerank,Neurotrophin signaling pathway,0.4016877394587321,2.4169035239542382,0.0,0.0,0.0,62/103,29.23%,RPS6KA1;TP53;ZNF274;IRS1;MAPK12;MAPK13;IKBKB;PSEN2;KRAS;CALM3;MAPK9;PDPK1;BRAF;MAPK3;MAPKAPK2;MATK;AKT2;BCL2;MAGED1;JUN;MAP2K1;AKT3;PRKCD;IRAK2;MAP2K5;CRKL;MAP3K5;HRAS;NGFR;RPS6KA5;PIK3CA;CAMK2G;CAMK2D;SHC4;ABL1;AKT1;BAX;RHOA;PLCG2;RELA;RPS6KA3;BAD;ARHGDIB;RAC1;SH2B3;NTRK2;PIK3CD;NFKBIE;CDC42;TRAF6;MAPK1;CALM1;CAMK2A;ATF4;SHC1;MAPK7;NFKBIA;NRAS;IRAK4;NFKB1;RAP1A;GSK3B
2,prerank,Small cell lung cancer,0.4172084995337882,2.4088537359449846,0.0,0.0,0.0,61/79,42.07%,CCND1;ITGA3;TRAF2;LAMB1;TP53;CDK2;BIRC2;SKP2;RXRG;IKBKB;APAF1;CCNE1;ITGA2B;E2F1;RXRB;DDB2;AKT2;BCL2;AKT3;MYC;CDK4;PIK3CA;CDKN1B;ITGA6;AKT1;BAX;RELA;CDKN1A;ITGB1;IKBKG;TRAF5;PIK3CD;CDKN2B;BCL2L1;CASP3;TRAF6;CASP9;CKS2;MAX;TRAF3;GADD45B;CKS1B;NFKBIA;COL4A2;NFKB1;PTEN;FHIT;RB1;FN1;PIK3R2;BIRC7;PIK3R1;COL4A5;XIAP;PTK2;TRAF4;TRAF1;CYCS;NOS2;PIK3CB;LAMB3
3,prerank,Toxoplasmosis,0.39701822653438146,2.3748907515543927,0.0,0.0,0.0,80/99,46.96%,LAMB1;TYK2;HLA-DRB5;TAB2;STAT3;BIRC2;MAPK12;MAPK13;IKBKB;LDLR;GNAI2;IL12B;HLA-DPA1;MAPK9;PDPK1;GNAI3;MAPK3;HLA-DMB;IL10RB;AKT2;BCL2;PIK3CG;TNFRSF1A;AKT3;CIITA;MAP2K3;ITGA6;CCR5;TLR2;AKT1;HLA-DQB1;RELA;BAD;IFNGR1;ITGB1;MYD88;IKBKG;CD40;PPIF;TGFB1;IFNG;BCL2L1;CASP3;ALOX5;IRGM;TRAF6;CASP9;MAPK1;HSPA1B;MAP3K7;NFKBIA;IRAK4;NFKB1;PIK3R5;IL12A;JAK2;TLR4;IL10RA;STAT1;HLA-DPB1;HLA-DRB3;BIRC7;IRAK1;XIAP;TNF;IFNGR2;NFKBIB;HLA-DRA;HSPA2;CD40LG;CYCS;NOS2;LAMB3;HLA-DMA;HSPA1A;MAPK11;PIK3R6;MAPK14;SOCS1;GNAI1
4,prerank,Epstein-Barr virus infection,0.3624322916892047,2.3666772161448426,0.0,0.0,0.0,130/174,46.66%,CCND1;TRAF2;TYK2;HLA-DRB5;TP53;CDK2;TAB2;CCND3;STAT3;TNFAIP3;JAK3;SKP2;MAPK12;MAPK13;IKBKB;CCNA1;PSMD1;ITGAL;HLA-DPA1;APAF1;IFNA10;CD3G;MAPK9;CCNE1;RIPK1;E2F1;PSMD4;HLA-DMB;IFNAR2;HLA-A;DDB2;AKT2;BCL2;ENTPD3;MAP3K14;JUN;FAS;B2M;FADD;AKT3;MYC;CDK4;SYK;MAP2K3;EIF2AK2;PSMD2;PIK3CA;CDKN1B;CD58;TLR2;AKT1;BAX;HLA-DQB1;HES1;PLCG2;RELA;CDKN1A;MYD88;RAC1;DDX58;IKBKG;CD40;TRAF5;SNW1;PIK3CD;HDAC1;NFKBIE;CD44;IKBKE;CCNA2;TBK1;CASP3;CD19;MAP2K4;USP7;ICAM1;TRAF6;CASP9;IFNA16;MAP3K7;TRAF3;GADD45B;CCND2;IRF3;TAP1;NFKBIA;IRAK4;NFKB1;BID;IFNA4;PSMC5;IFNB1;RB1;CALR;FCER2;TAP2;STAT1;IL6;HLA-DPB1;BTK;HLA-DRB3;PIK3R2;PIK3R1;RBPJ;IRAK1;IFNA2;NFKB2;MDM2;IFNA8;TNF;OAS3;NFKBIB;HLA-DRA;HDAC2;OAS1;CYCS;PSMD3;CD247;PIK3CB;SIN3A;VIM;HLA-DMA;MAPK11;CXCL10;CD3D;TAPBP;IRF7;IRF9;BLNK;MAPK14
5,prerank,Sphingolipid metabolism,0.5535921678783923,2.2976541695574917,0.0,0.0,0.0,14/21,20.90%,ASAH1;UGCG;SPTLC1;SPHK1;NEU1;SPTLC3;CERS6;NEU2;GLA;GBA;CERS4;SPTLC2;PLPP3;CERS2
6,prerank,Thyroid cancer,0.4799948026470865,2.2904204478387147,0.0,0.0,0.0,24/34,30.27%,CCND1;PPARG;TP53;RXRG;TPR;KRAS;BRAF;MAPK3;RXRB;DDB2;TPM3;MAP2K1;MYC;HRAS;TCF7L2;BAX;CTNNB1;TFG;CDKN1A;LEF1;MAPK1;GADD45B;NRAS;PAX8
7,prerank,Hepatitis B,0.3532943809183862,2.245435577189113,0.0,0.0005150080050157301,0.004,98/153,37.39%,SMAD4;TYK2;PRKCA;TP53;CDK2;TAB2;STAT3;NFATC4;TICAM1;JAK3;NFATC3;MAPK12;CREB1;MAPK13;IKBKB;CCNA1;PRKCB;CREB3L2;TGFBR1;KRAS;APAF1;IFNA10;MAPK9;CCNE1;BRAF;YWHAZ;SMAD3;MAPK3;E2F1;DDB2;AKT2;BCL2;ATF2;JUN;FAS;FADD;MAP2K1;AKT3;MYC;IFIH1;HRAS;MAP2K3;PIK3CA;FOS;TLR2;AKT1;BAX;RELA;BAD;CREB5;CDKN1A;TIRAP;MYD88;DDX58;IKBKG;PIK3CD;TGFB1;BIRC5;IKBKE;CCNA2;TBK1;TGFBR2;CASP3;MAP2K4;TRAF6;CASP9;IFNA16;MAPK1;ATF4;CREB3;MAP3K7;TRAF3;STAT5A;IRF3;NFKBIA;NRAS;IRAK4;NFKB1;YWHAQ;ARAF;EGR3;BID;IFNA4;JAK2;IFNB1;RB1;TLR4;STAT1;IL6;PIK3R2;PIK3R1;IRAK1;IFNA2;EP300;CXCL8;IFNA8;TNF;STAT4
8,prerank,Non-small cell lung cancer,0.40127347371260674,2.210086996538296,0.0,0.0006866773400209735,0.006,38/63,29.13%,CCND1;PRKCA;TP53;ERBB2;EML4;STAT3;JAK3;RXRG;PRKCB;KRAS;PDPK1;BRAF;MAPK3;E2F1;RXRB;DDB2;AKT2;MAP2K1;AKT3;CDK4;HRAS;PIK3CA;AKT1;BAX;PLCG2;BAD;CDKN1A;STK4;PIK3CD;RASSF1;CASP9;EGFR;MAPK1;GADD45B;STAT5A;NRAS;ARAF;FHIT
9,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3733155255667038,2.200024938813686,0.0,0.0006180096060188761,0.006,73/89,50.44%,SMAD4;CCND1;PRKCA;AGT;EGR1;STAT3;MAPK12;FOXO1;MAPK13;F3;PRKCB;TGFBR1;KRAS;MAPK9;SMAD3;MAPK3;AKT2;BCL2;JUN;AKT3;PRKCD;CDK4;HRAS;PIK3CA;IL1B;CDKN1B;AKT1;BAX;PLCG2;RELA;EDN1;RAC1;PIK3CD;TGFB1;MMP2;COL1A2;CDC42;TGFBR2;CASP3;ICAM1;MAPK1;NOS3;STAT5A;VEGFA;NRAS;COL4A2;NFKB1;JAK2;PIM1;STAT1;IL6;FN1;VEGFC;PIK3R2;PIK3R1;PLCB3;COL4A5;CXCL8;TNF;AGTR1;PLCD1;PIK3CB;NOX1;THBD;MAPK11;PRKCE;MAPK14;SERPINE1;CCL2;PRKCZ;NFATC1;STAT5B;PLCB1
