,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.37303844896063415,2.1457947324861113,0.0,0.018132728909036368,0.017,92/126,43.59%,FOS;TP53;JAK1;IRAK4;PIK3CD;RCHY1;CASP3;JUN;BCL2;IL2RA;CCND2;CDK2;SLAMF1;BAD;IRF3;HSPA1A;AKT1;EIF2AK4;IL12B;IFNA21;IFNA8;TRADD;BBC3;CD46;ADAR;FADD;CBLB;TNFAIP3;STAT1;FAS;CSNK2B;CD3E;IL2RB;TLR4;IFNA2;RELA;OAS1;CSNK2A2;IL2;IKBKG;JAK3;NFKB1;FCGR2B;CASP8;IFNA14;HSPA1B;CCND3;TBK1;APAF1;IFNA16;BCL2L1;IFNA10;BAK1;CCNE1;IFNAR1;CDK4;IRF9;HSPA8;IL12A;EIF2AK2;TLR9;CHUK;STAT3;CD3D;PIK3CA;CASP9;CD28;TLR7;CDKN1B;TAB2;MAPK9;IFNA17;MAP3K7;AKT2;OAS3;STAT2;BID;IFNB1;IRAK1;IFNA7;IL6;DDX58;STAT5A;CCND1;EIF2AK1;IL1B;CSNK2A1;AKT3;GSK3B;CYCS;IKBKE;TLR2
1,prerank,Parkinson disease,0.37431686060375086,2.0974931588753303,0.0,0.013599546681777274,0.025,73/94,48.28%,SLC6A3;SLC25A5;NDUFB7;NDUFA7;UBE2L3;COX4I1;CASP3;UBA1;NDUFA4;SLC25A4;COX6C;NDUFB1;COX5B;NDUFS2;SLC18A2;PRKACB;ADCY5;NDUFS7;DRD1;DRD2;NDUFB3;SLC25A6;NDUFS3;PINK1;UQCRB;NDUFS5;NDUFA1;SDHB;NDUFA2;GNAI3;UQCRC1;NDUFB8;PRKACG;UCHL1;COX7A1;ADORA2A;APAF1;COX6B2;PARK7;SDHD;PRKACA;CASP9;TH;NDUFS4;SDHA;NDUFAB1;UBE2L6;NDUFV1;COX7C;UBB;VDAC1;NDUFA12;NDUFB10;LRRK2;SNCA;NDUFV2;NDUFA13;UBE2J1;NDUFS8;NDUFB5;NDUFA9;NDUFA8;HTRA2;SDHC;CYCS;NDUFA5;NDUFA3;NDUFC2;UBA7;COX6B1;PRKN;UQCR11;COX7B
2,prerank,Primary immunodeficiency,0.4453347965619909,2.0605863711547494,0.0,0.015446398700290236,0.042,30/36,42.83%,PTPRC;RFXANK;IGLL1;LCK;AIRE;BTK;CD3E;RAG2;IKBKG;JAK3;ZAP70;BLNK;CD19;TAP2;IL7R;ICOS;CIITA;RFX5;CD3D;CD8B;UNG;CD8A;TAP1;CD40;CD40LG;DCLRE1C;ORAI1;TNFRSF13B;ADA;RAG1
3,prerank,Tryptophan metabolism,0.4491637115811923,2.0260137441672357,0.0020768431983385254,0.015362450881266922,0.057,26/35,36.17%,MAOA;AADAT;ALDH7A1;ALDH1B1;ACAT1;DLD;HADH;IDO2;CAT;CYP1A2;DDC;ACMSD;EHHADH;IL4I1;ECHS1;CYP1B1;CYP1A1;ACAT2;KYNU;IDO1;KYAT3;TPH1;ASMT;KYAT1;HADHA;ALDH3A2
4,prerank,Central carbon metabolism in cancer,0.3934836959763664,2.013486616827085,0.0,0.014304708361573134,0.064,45/60,43.40%,TP53;HK1;HK3;SIRT3;PIK3CD;SLC7A5;HIF1A;MAPK3;SLC2A1;PFKM;AKT1;RET;NTRK1;FLT3;ERBB2;G6PD;PDK1;PFKP;TIGAR;PTEN;KRAS;EGFR;MET;MAPK1;NRAS;SIRT6;NTRK3;MAP2K2;PDHA1;FGFR3;PIK3CA;PDGFRB;MAP2K1;LDHA;IDH1;AKT2;PDHB;PFKL;GCK;RAF1;PDGFRA;AKT3;GLS;FGFR2;FGFR1
5,prerank,Fatty acid degradation,0.4364754175535168,1.9905038314141583,0.0,0.015950085614430135,0.084,25/34,36.17%,ADH5;ADH1C;CYP4A11;ALDH7A1;ALDH1B1;ACAT1;HADH;CPT1A;ACAA2;CPT1B;ACSL3;EHHADH;ECHS1;CPT2;ACADSB;ACAT2;ECI1;ACAA1;ADH1A;ADH7;ACSL4;HADHA;ACADM;ADH1B;ALDH3A2
6,prerank,Viral myocarditis,0.3947480279035337,1.9078021225614847,0.002026342451874367,0.03295551523943911,0.18,35/45,44.89%,HLA-DRB5;CASP3;HLA-DOB;ACTB;ITGB2;HLA-DPB1;ICAM1;EIF4G1;ABL1;HLA-A;DAG1;HLA-DRA;CAV1;HLA-DMB;HLA-DRB3;CASP8;CD80;HLA-DQB1;CD55;HLA-DRB4;SGCB;CASP9;FYN;CD28;RAC1;HLA-DQA2;DMD;BID;CD40;CD40LG;HLA-DMA;CCND1;CYCS;HLA-DPA1;RAC3
7,prerank,Antigen processing and presentation,0.36830315375193307,1.9004997826251222,0.0,0.031858197319348615,0.196,42/62,38.27%,HLA-DRB5;HLA-DOB;KIR2DL3;HSPA1A;RFXANK;HLA-DPB1;LGMN;IFNG;HSPA4;IFI30;HLA-A;HLA-DRA;HLA-DMB;KIR2DS4;HLA-DRB3;KLRC4;TAP2;HSP90AA1;CTSB;HSPA1B;CD74;KLRC3;HLA-DQB1;KLRC1;CIITA;RFX5;HLA-DRB4;HSPA8;KLRD1;KIR3DL1;KIR3DL2;NFYB;CD8B;HLA-DQA2;CD8A;TAP1;KIR2DL4;CREB1;CANX;HLA-DMA;B2M;KIR3DL3
8,prerank,Prostate cancer,0.3432646275068054,1.8839084238400412,0.0,0.033802988460055444,0.229,62/89,43.40%,TP53;PLAU;PIK3CD;BCL2;CDK2;BAD;MAPK3;PDPK1;SOS1;TCF7;AKT1;ERBB2;GSTP1;ETV5;LEF1;PTEN;KRAS;RELA;EGFR;IKBKG;NFKB1;INS;ZEB1;MAPK1;NRAS;HSP90AA1;KLK3;MAP2K2;CDKN1A;CCNE1;RB1;CHUK;NKX3-1;PIK3CA;INSRR;CASP9;PDGFRB;EP300;CTNNB1;IGF1R;MAP2K1;CDKN1B;IL1R2;PDGFD;AKT2;CREB3L4;CREB1;TGFA;E2F1;RAF1;FOXO1;BRAF;PDGFRA;CCND1;AKT3;CREBBP;FGFR2;GSK3B;ERG;CREB3L1;CREB3L2;FGFR1
9,prerank,p53 signaling pathway,0.36441991914277583,1.8776136488393151,0.0020181634712411706,0.0324374372706095,0.242,29/56,25.02%,TP53;ATM;RCHY1;CASP3;BCL2;CCND2;CDK2;CHEK1;RRM2;ZMAT3;BBC3;FAS;PTEN;SERPINB5;SERPINE1;PPM1D;CASP8;CCND3;APAF1;CCNG1;BCL2L1;CDKN1A;CCNE1;SIAH1;CDK1;GADD45B;CDK4;CD82;CDKN2A
