,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Mitophagy,0.4252413986904206,2.2737222548703557,0.0,0.008183066017336368,0.008,29/43,32.90%,PINK1;TP53;KRAS;SRC;UBB;CSNK2A1;BCL2L1;NRAS;CSNK2A2;FOXO3;EIF2AK3;MAPK8;BECN1;CSNK2B;RRAS2;MAPK9;HIF1A;MITF;BNIP3;RELA;TFE3;JUN;ATG5;ULK1;RAB7A;E2F1;GABARAPL1;TBK1;FIS1
1,prerank,Th17 cell differentiation,0.3462780944370673,2.242438487102066,0.0,0.007160182765169321,0.014,75/107,41.00%,TYK2;HLA-DRA;MAPK1;CD3G;PPP3CA;RARA;TGFBR2;HSP90AA1;TGFB1;IL4R;MAPK12;LCK;STAT6;PPP3R1;FOXP3;RXRG;HLA-DOA;HSP90AB1;SMAD3;NFATC3;NFKBIE;MAPK14;RXRA;HLA-DRB4;IL6ST;NFATC1;SMAD4;NFATC2;IL1RAP;MAPK8;MTOR;IFNGR1;IL6;HLA-DMA;MAPK9;IL2RG;ZAP70;HIF1A;IL1R1;NFKBIB;HLA-DOB;MAPK11;CD247;RELA;JUN;HLA-DPB1;CD4;IL17D;STAT3;IL2;IL17F;HLA-DRB1;TGFBR1;NFKBIA;HLA-DMB;IL2RA;IRF4;IFNGR2;TBX21;MAPK13;NFKB1;IL21;GATA3;IKBKG;IL23R;HLA-DQB1;HLA-DQA2;MAPK3;IL22;IL6R;SMAD2;HLA-DRB3;PLCG1;HLA-DRB5;IL2RB
2,prerank,Cell cycle,0.34245487663514385,2.211559658345286,0.0,0.00716018276516932,0.021,57/94,35.86%,CCNH;WEE1;TP53;HDAC2;ATR;CDK6;CDK4;CDK7;TGFB1;CCND2;CCNA2;MYC;CREBBP;E2F5;CCNB1;TTK;EP300;SMAD3;SMC1A;CHEK1;GADD45A;PRKDC;CDKN2C;CDK1;SMAD4;CDK2;CDC7;SMC3;TFDP2;MCM2;RB1;CCND1;MCM6;YWHAZ;CDC25A;SKP2;WEE2;TGFB2;ABL1;CDKN2B;CDC14A;CHEK2;E2F1;CDKN1B;SKP1;GSK3B;GADD45B;CDC25B;BUB1B;CDC45;CCND3;CDKN1C;CDC6;ORC1;CDC25C;CDKN1A;MCM4
3,prerank,Toxoplasmosis,0.3383842196347949,2.178295647188405,0.0,0.00843878683037813,0.033,69/99,40.84%,AKT1;TYK2;HLA-DRA;MAPK1;TGFB1;MAPK12;ITGA6;BCL2L1;IL10;HLA-DOA;ITGB1;IRGM;MAPK14;HLA-DRB4;GNAI3;BIRC3;BAD;HSPA1A;CD40;MAPK8;IFNGR1;CD40LG;SOCS1;IL10RB;HSPA1B;HLA-DMA;MAPK9;LAMB2;NFKBIB;HLA-DOB;MAPK11;RELA;HLA-DPB1;CCR5;CASP3;PDPK1;STAT3;TGFB2;HLA-DRB1;IL12A;PIK3R6;TNFRSF1A;NFKBIA;TAB2;BIRC2;HLA-DMB;ALOX5;MAP2K3;IFNGR2;MAPK13;NFKB1;HSPA2;HSPA8;MAP3K7;TLR2;CASP8;IKBKG;PIK3CG;HLA-DQB1;CASP9;HLA-DQA2;GNAI1;IRAK1;MAPK3;BCL2;TLR4;HLA-DRB3;MAP2K6;HLA-DRB5
4,prerank,Pyruvate metabolism,0.4349693775623562,2.1653789743445384,0.0,0.007773912716469549,0.038,28/34,42.45%,ME3;ALDH7A1;ACACA;ME2;ACSS2;GLO1;ACAT2;PKM;MDH1;ALDH3A2;LDHAL6A;ACAT1;GRHPR;HAGH;ME1;PDHB;ALDH9A1;ALDH1B1;ACACB;LDHC;PC;ALDH2;ACSS1;DLAT;DLD;PDHA1;PCK1;LDHA
5,prerank,Adherens junction,0.3777153485484262,2.1521315182722276,0.0,0.007671624391252844,0.044,37/58,33.92%,MAPK1;TGFBR2;SRC;CSNK2A1;PTPN1;CTNNB1;CREBBP;EGFR;CSNK2A2;WASL;RAC1;EP300;ACP1;SMAD3;YES1;ACTB;NECTIN4;SMAD4;SNAI1;FGFR1;TCF7;FYN;RHOA;CSNK2B;ERBB2;PTPRF;CDH1;CDC42;FER;TGFBR1;WAS;NLK;PTPRJ;TCF7L2;MAP3K7;PTPRM;MET
6,prerank,Endometrial cancer,0.3813925690138966,2.1442779386891067,0.0,0.007014056586288315,0.047,36/53,36.62%,AKT1;ARAF;MAP2K1;TP53;KRAS;GRB2;MAPK1;BRAF;RAF1;MYC;CTNNB1;EGFR;NRAS;GADD45A;AXIN2;BAD;FOXO3;TCF7;AXIN1;PIK3CA;CCND1;BAX;ILK;ERBB2;CDH1;MLH1;PDPK1;PTEN;MAP2K2;ELK1;GSK3B;TCF7L2;GADD45B;CASP9;CDKN1A;MAPK3
7,prerank,Human T-cell leukemia virus 1 infection,0.30233435211185555,2.129400482864292,0.0,0.0070323223586484405,0.054,143/189,51.49%,AKT1;NFYB;MAP2K1;POLB;TP53;HLA-DRA;KRAS;MAPK1;CD3G;PPP3CA;ATR;TGFBR2;SLC25A4;MAP3K1;CDK4;TGFB1;CCND2;LCK;PPP3R1;BCL2L1;CCNA2;MYC;CREBBP;HLA-DOA;NRAS;EP300;SMAD3;NFATC3;EGR1;CHEK1;CREB1;ATF2;CDKN2C;B2M;HLA-DRB4;NFATC1;CANX;PRKACG;VDAC1;CREB3;FOSL1;SMAD4;NFATC2;CD40;CDK2;ELK4;MAPK8;PIK3CA;ETS2;RB1;CCND1;ADCY1;BAX;TNFRSF13C;IL6;TSPO;HLA-DMA;MAPK9;NRP1;IL2RG;TRRAP;IL1R1;HLA-DOB;RELA;ITGB2;JUN;HLA-DPB1;LTA;SPI1;CD4;IL1R2;KAT2A;LTBR;IL2;TGFB2;KAT5;HLA-DRB1;CREB3L4;PTEN;MAP2K2;TGFBR1;TNFRSF1A;NFATC4;CALR;CDKN2B;IL15RA;NFKBIA;PRKACB;MAP2K4;HLA-DMB;RELB;IL2RA;ELK1;CHEK2;MAP3K14;E2F1;NFKB1;FDPS;ADCY5;IKBKG;BUB1B;HLA-DQB1;MSX1;CSF2;CCND3;HLA-DQA2;ADCY9;CDKN1A;SRF;ADCY2;MAPK3;ICAM1;PTTG1;SMAD2;HLA-DRB3;KAT2B;HLA-DRB5;IL2RB;PIK3CD;SLC25A6;BUB3;CREB3L2;FOS;MAP3K3;CCNE1;ETS1;HLA-B;HLA-A;ADCY7;CDC20;PRKACA;TGFB3;MSX2;ATM;JAK1;STAT5A;CCNA1;PIK3R3;TBP;IL15;SLC25A5;SLC2A1;HRAS
8,prerank,Colorectal cancer,0.33741611679267236,2.0820119128495507,0.0010070493454179255,0.009433256658873868,0.078,53/79,39.28%,AKT1;ARAF;MAP2K1;TP53;KRAS;GRB2;MAPK1;BRAF;TGFBR2;RAF1;TGFB1;MYC;CTNNB1;EGFR;NRAS;RAC1;SMAD3;GADD45A;AXIN2;BAD;SMAD4;TCF7;MAPK8;AXIN1;MTOR;PIK3CA;MSH6;CCND1;RPS6KB2;BAX;RHOA;MAPK9;AREG;RPS6KB1;JUN;BIRC5;MLH1;CASP3;TGFB2;MAP2K2;TGFBR1;RALA;BBC3;GSK3B;TCF7L2;GADD45B;CASP9;CDKN1A;MAPK3;RALB;PMAIP1;BCL2;SMAD2
9,prerank,Antigen processing and presentation,0.35660140143917596,2.062145210134961,0.0010162601626016261,0.010126544196453754,0.091,48/62,46.61%,NFYB;HLA-DRA;HSP90AA1;KIR2DL4;HLA-DOA;HSP90AB1;CD74;KLRC3;CREB1;RFXAP;B2M;HLA-DRB4;CANX;RFX5;HSPA1A;CD8A;KLRC2;KIR2DS4;HSPA1B;HLA-DMA;HLA-DOB;LGMN;KIR3DL2;RFXANK;HLA-DPB1;KIR3DL3;CD4;HLA-DRB1;CALR;HLA-DMB;KLRC1;CTSL;HSPA2;HSPA8;KIR3DL1;HLA-DQB1;HLA-DQA2;KLRC4;HLA-DRB3;CD8B;HLA-DRB5;TAP2;CIITA;CTSB;KIR2DL3;HLA-B;HLA-A;IFI30
10,prerank,Prion diseases,0.4312973297460806,2.051907494647078,0.001081081081081081,0.009949864361988536,0.098,20/29,30.37%,MAP2K1;MAPK1;C8B;NCAM1;C5;NOTCH1;EGR1;PRKACG;HSPA1A;SOD1;BAX;IL6;FYN;C9;C8A;MAP2K2;C1QA;PRKACB;ELK1;C1QC
11,prerank,Amyotrophic lateral sclerosis (ALS),0.37629604884560997,2.036052348301004,0.0,0.01065503387674006,0.113,33/43,44.43%,NEFM;TP53;PPP3CA;MAPK12;PPP3R1;BCL2L1;RAC1;MAPK14;BAD;CASP1;CAT;GRIN2C;SOD1;BID;BAX;GRIN2A;MAPK11;GRIN2B;RAB5A;CASP3;TNFRSF1A;GRIN1;GPX1;MAP2K3;MAP3K5;MAPK13;CASP9;BCL2;DERL1;MAP2K6;DAXX;GRIA1;GRIA2
12,prerank,FoxO signaling pathway,0.30263685408461644,2.0308527740024114,0.0,0.010228832521670459,0.118,87/119,49.26%,AKT1;ARAF;MAP2K1;KRAS;GRB2;MAPK1;SIRT1;BRAF;TGFBR2;RAF1;TGFB1;CCND2;MAPK12;CREBBP;IL10;EGFR;CCNB1;NRAS;EP300;SMAD3;RAG1;MAPK14;BCL6;GADD45A;PRMT1;FOXO3;SMAD4;INS;CAT;CDK2;STK11;IL7R;MAPK8;PRKAG3;PIK3CA;CCND1;SOD2;IL6;SGK1;MAPK9;USP7;SGK2;MAPK11;BNIP3;SKP2;S1PR1;PDPK1;STAT3;TGFB2;PRKAB2;PTEN;MAP2K2;TGFBR1;CDKN2B;CSNK1E;NLK;PLK2;G6PC3;MAPK13;CDKN1B;GABARAPL1;GADD45B;PRKAG1;PLK4;CDKN1A;FBXO32;SLC2A4;MAPK3;PRKAG2;C8ORF44-SGK3;SGK3;G6PC;SMAD2;STK4;PIK3CD;PCK1;IGF1;CCNG2;PLK3;S1PR4;FOXO1;IRS1;TGFB3;PCK2;PRKAB1;PRKAA2;ATM
13,prerank,Th1 and Th2 cell differentiation,0.32444371910483133,2.0304013716487956,0.0,0.009498201627265427,0.118,59/87,41.00%,TYK2;HLA-DRA;MAPK1;IL13;CD3G;PPP3CA;IL4R;MAPK12;LCK;STAT6;PPP3R1;HLA-DOA;NOTCH1;NFATC3;NFKBIE;MAML2;MAPK14;HLA-DRB4;NFATC1;NFATC2;MAPK8;IFNGR1;HLA-DMA;MAPK9;IL2RG;JAG1;ZAP70;NFKBIB;HLA-DOB;MAPK11;CD247;RELA;JUN;HLA-DPB1;CD4;IL2;HLA-DRB1;IL12A;NFKBIA;HLA-DMB;NOTCH2;IL2RA;IL5;IFNGR2;TBX21;MAPK13;NFKB1;GATA3;IKBKG;HLA-DQB1;MAF;HLA-DQA2;MAPK3;DLL4;RUNX3;HLA-DRB3;PLCG1;HLA-DRB5;IL2RB
14,prerank,Wnt signaling pathway,0.3063907251886993,2.0277906080339383,0.0,0.008933180402258866,0.119,68/121,33.93%,DKK1;SIAH1;TP53;PPP3CA;WNT2;RSPO3;CCND2;PPP3R1;CSNK2A1;MYC;CTNNB1;CHD8;CREBBP;PRKCB;CSNK2A2;RAC1;EP300;SMAD3;NFATC3;WNT11;AXIN2;NFATC1;PRKACG;FBXW11;WNT1;FOSL1;SMAD4;NFATC2;TCF7;SERPINF1;ZNRF3;MAPK8;AXIN1;CCND1;CAMK2A;RHOA;CSNK2B;MAPK9;WNT5A;DKK2;WNT9A;RSPO1;JUN;PLCB3;FZD8;PPARD;FZD5;ROR1;NFATC4;CSNK1E;PRKACB;CSNK1A1;CTNNBIP1;PSEN1;RNF43;PLCB1;DVL1;NLK;FRAT2;PORCN;SKP1;GSK3B;TCF7L2;MAP3K7;CCND3;PRKCG;FZD7;SFRP1
15,prerank,T cell receptor signaling pathway,0.3136127993905059,2.0164461678368766,0.001006036217303823,0.009142019066242972,0.13,58/98,34.59%,AKT1;MAP2K1;KRAS;GRB2;MAPK1;CD3G;PPP3CA;RAF1;CDK4;MAPK12;LCK;PPP3R1;IL10;ICOS;NRAS;PTPRC;NFATC3;NFKBIE;MAPK14;MALT1;NFATC1;VAV3;NFATC2;PAK3;CD8A;PIK3CA;CARD11;CTLA4;CD40LG;CD28;FYN;RHOA;MAPK9;ZAP70;NFKBIB;MAPK11;CD247;CBLB;RELA;JUN;CD4;CDC42;PDPK1;IL2;MAP2K2;NFKBIA;NCK1;IL5;MAPK13;MAP3K14;NFKB1;GSK3B;MAP3K7;IKBKG;BCL10;CSF2;TEC;GRAP2
