,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Toll-like receptor signaling pathway,0.4202449058231599,1.9315555604972527,0.0,0.04642420962563716,0.044,86/98,51.70%,IKBKE;IFNAR2;STAT1;IFNA2;AKT3;TLR2;TOLLIP;FADD;MAPK13;TLR4;IRF5;IL12A;RAC1;TLR9;IL12B;SPP1;FOS;TBK1;PIK3CD;CXCL10;TLR6;AKT2;CD80;RIPK1;MAPK9;MAPK14;MAPK8;CD86;IRAK1;TICAM1;MYD88;IFNA8;IFNA7;TLR5;IRAK4;TLR8;IFNA10;MAP3K7;CCL5;PIK3CB;MAP2K3;MAP2K4;IL6;AKT1;CASP8;IFNA14;IFNA16;MAP2K1;TIRAP;RELA;NFKB1;MAPK12;IFNA21;TAB2;CHUK;IKBKG;IRF7;TLR3;LBP;NFKBIA;IKBKB;JUN;MAPK1;MAP2K7;IFNB1;IL1B;PIK3CA;CCL4L2;IFNA17;MAP3K8;PIK3R1;TRAF6;CXCL11;CTSK;MAPK11;TRAF3;TICAM2;TNF;IRF3;MAPK3;CD40;TLR7;MAP2K6;CCL3;IFNAR1;CXCL9
1,prerank,Mitophagy,0.4595507118884442,1.8999339718354378,0.0,0.03229510234826933,0.062,35/43,46.26%,ATG5;TP53;BCL2L13;BECN1;USP15;CALCOCO2;HIF1A;MITF;TBC1D15;FIS1;BNIP3L;ATF4;TBK1;RAB7A;UBB;MAPK9;BCL2L1;MAPK8;GABARAPL1;CSNK2B;E2F1;TFE3;EIF2AK3;RELA;PINK1;JUN;SQSTM1;CSNK2A2;NRAS;HRAS;SRC;KRAS;PRKN;OPTN;FOXO3
2,prerank,Measles,0.4031349081424762,1.8983173970177307,0.0,0.021530068232179556,0.062,96/126,44.66%,IKBKE;IFNAR2;CCND2;CCNE1;STAT1;IFNA2;AKT3;CD28;NFKBIB;TP53;TLR2;CD3D;FAS;CDK4;FADD;TLR4;IL12A;DDX58;STAT2;BID;SLAMF1;TLR9;OAS3;IL12B;OAS1;STAT3;FOS;TBK1;PIK3CD;IFIH1;AKT2;MAPK9;BCL2L1;CCND1;MAPK8;GSK3B;IRAK1;FASLG;CBLB;FCGR2B;CDK2;MYD88;CD46;CSNK2B;TNFAIP3;IFNA8;CASP3;IFNA7;IRAK4;CDK6;CASP9;IFNA10;MAP3K7;PIK3CB;IL2RG;IL6;RCHY1;AKT1;HSPA1B;CASP8;IFNA14;IFNA16;STAT5A;BCL2;EIF2AK3;TYK2;RELA;NFKB1;CYCS;APAF1;IFNA21;IL2;TAB2;CHUK;IKBKG;IRF7;NFKBIA;IKBKB;JUN;TRADD;IFNB1;CSNK2A2;EIF2AK4;IL1B;CD3E;PIK3CA;IFNA17;EIF2AK1;PIK3R1;TRAF6;OAS2;EIF2AK2;CLEC4M;MX1;CCND3;JAK3
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.39209395795863655,1.883552901036434,0.0,0.01993213348057248,0.073,120/159,46.30%,IKBKE;IFNAR2;RCAN1;GNG8;CCR5;STAT1;GNG5;IFNA2;AKT3;TP53;HCK;FAS;CDK4;ITPR1;FADD;CALM3;MAPK13;BECN1;CREB1;GNG4;CCR3;RAC1;HIF1A;STAT2;BID;PTGS2;PPP3CA;CTNNB1;TNFRSF1A;GNG12;STAT3;FOS;NFATC4;TBK1;VEGFA;PIK3CD;UBB;AKT2;NFATC1;MAPK9;MAPK14;CCND1;MAPK8;GSK3B;CXCL2;CD86;GABARAPL1;PLCG2;TICAM1;MAPKAPK2;GNB5;E2F1;IFNA8;CASP3;IFNA7;CDK6;HLA-A;CASP9;IFNA10;PIK3CB;MAP2K4;IL6;GNGT2;JAK2;AKT1;CASP8;ITPR3;IFNA14;CALM1;RB1;IFNA16;MAP2K1;PPP3CC;EP300;IFNGR1;SYK;TYK2;RELA;FGF2;NFKB1;CYCS;PLCG1;MAPK12;IFNA21;CHUK;IKBKG;IRF7;IL6ST;TLR3;PPP3R2;NFKBIA;IKBKB;PIK3R6;JUN;MAPK1;MAP2K7;CDKN1A;GNB2;TRADD;IFNB1;CCR1;CD200R1;NRAS;CALML6;HRAS;PIK3CA;LYN;IFNA17;PIK3R1;SRC;C3;KRAS;ICAM1;EIF2AK2;MAPK11;TRAF3;NFATC3;CXCL1;CCR4;RAF1
4,prerank,TNF signaling pathway,0.4037196653158275,1.8735658531195707,0.0,0.017560461901871445,0.08,81/104,46.68%,CEBPB;CFLAR;EDN1;AKT3;JUNB;TNFRSF1B;FAS;ATF2;FADD;MAPK13;BIRC2;CREB1;IRF1;PTGS2;RPS6KA4;TNFRSF1A;LIF;FOS;ATF4;PIK3CD;CXCL10;CASP7;AKT2;CREB3L4;RIPK1;MAPK9;MAPK14;MAPK8;CXCL2;IL15;CCL2;TNFAIP3;RPS6KA5;CSF1;CASP3;CASP10;CXCL5;NOD2;MAP3K5;MAP3K7;CCL5;PIK3CB;MAP2K3;MAP2K4;VEGFC;CREB3L2;CREB3;IL6;BCL3;AKT1;CASP8;JAG1;MAP2K1;RELA;NFKB1;MAPK12;TAB2;CHUK;IKBKG;NFKBIA;IKBKB;JUN;MAPK1;MAP2K7;TRADD;MAP3K14;IFNB1;IL1B;PIK3CA;TRAF5;MAP3K8;PIK3R1;DNM1L;CCL20;ICAM1;LTA;MAPK11;TRAF3;TNF;CXCL1;ITCH
5,prerank,Chagas disease (American trypanosomiasis),0.3990266175650968,1.8429323897652254,0.0,0.02186647554830736,0.118,71/97,42.73%,CALR;CFLAR;TGFBR2;AKT3;TLR2;CD3D;FAS;FADD;MAPK13;TLR4;GNA11;IL12A;BDKRB2;IL10;PPP2R1A;CD247;IFNG;TLR9;IL12B;TNFRSF1A;FOS;PIK3CD;TLR6;AKT2;GNA15;PPP2R2A;MAPK9;MAPK14;MAPK8;PLCB3;IRAK1;FASLG;TICAM1;GNAI1;PLCB1;MYD88;GNAI2;CCL2;IRAK4;CCL5;PIK3CB;IFNGR2;MAP2K4;IL6;AKT1;CASP8;PPP2CB;GNAI3;TGFB3;GNAS;IFNGR1;RELA;NFKB1;MAPK12;IL2;CHUK;IKBKG;NFKBIA;IKBKB;JUN;MAPK1;IFNB1;KNG1;IL1B;CD3E;PIK3CA;PIK3R1;SMAD3;TRAF6;C3;TGFBR1
6,prerank,Hepatitis B,0.3779910707463024,1.822080478825481,0.0,0.02249123199254471,0.142,123/153,51.59%,IKBKE;CCNE1;STAT1;TGFBR2;IFNA2;EGR3;PRKCA;AKT3;TP53;TLR2;FAS;ATF2;FADD;MAPK13;TLR4;CREB1;PTK2B;DDX58;STAT4;STAT2;BID;STAT3;FOS;NFATC4;ATF4;PCNA;TBK1;PIK3CD;MAP3K1;IFIH1;SMAD4;AKT2;CREB3L4;NFATC1;MAPK9;MAPK14;MAPK8;IRAK1;FASLG;TICAM1;CDK2;MYD88;E2F1;IFNA8;BRAF;CASP3;IFNA7;CASP10;IRAK4;CASP9;IFNA10;MAP3K7;PIK3CB;MAP2K3;MAP2K4;CREB3L2;CREB3;BIRC5;IL6;JAK2;AKT1;CASP8;IFNA14;RB1;TGFB3;IFNA16;STAT5A;MAP2K1;TIRAP;EP300;BCL2;TYK2;RELA;NFKB1;CYCS;MAPK12;APAF1;IFNA21;DDB2;TAB2;CHUK;IKBKG;IRF7;TLR3;NFKBIA;IKBKB;JUN;MAPK1;MAP2K7;CDKN1A;IFNB1;NRAS;HRAS;PIK3CA;IFNA17;PIK3R1;SMAD3;TRAF6;SRC;TGFBR1;KRAS;JAK3;HSPG2;STAT6;MAPK11;TRAF3;TICAM2;NFATC3;TNF;PRKCB;RAF1;SMAD2;TGFB1;IRF3;YWHAQ;MAPK3;MAP2K6;DDB1;CCNA2;ARAF;BAX;ELK1;IFNAR1
7,prerank,Epstein-Barr virus infection,0.36870204131563067,1.7946756206071397,0.0,0.02775360358054396,0.19,126/174,46.14%,IKBKE;IFNAR2;CCND2;CALR;VIM;CCNE1;STAT1;IFNA2;AKT3;NFKBIB;TP53;TLR2;CD3D;FAS;TAP1;CDK4;FADD;MAPK13;CD19;B2M;RAC1;DDX58;STAT2;BID;CD247;OAS3;NFKBIE;PSMD2;OAS1;STAT3;TBK1;PIK3CD;CXCL10;HLA-DQB1;NFKB2;HLA-DPA1;AKT2;RIPK1;MAPK9;PSMC5;MAPK14;CCND1;HLA-DMB;MAPK8;HES1;PLCG2;IRAK1;BTK;CDK2;MYD88;E2F1;TNFAIP3;IFNA8;CASP3;IFNA7;IRAK4;CDK6;HLA-A;CASP9;IFNA10;MAP3K7;RUNX3;PIK3CB;MAP2K3;SKP2;MAP2K4;IL6;AKT1;CASP8;IFNA14;RB1;IFNA16;HDAC1;ENTPD3;CD44;HLA-DQA1;BCL2;SYK;TYK2;RELA;NFKB1;CYCS;CR2;MAPK12;APAF1;GADD45A;IFNA21;DDB2;RBPJ;TAB2;CHUK;IKBKG;IRF7;NFKBIA;IKBKB;JUN;BCL2L11;MAP2K7;PSMD4;CDKN1A;TRADD;MAP3K14;IFNB1;CD3E;PIK3CA;TRAF5;LYN;IFNA17;RELB;PIK3R1;TRAF6;TAP2;HLA-DMA;ICAM1;OAS2;EIF2AK2;CCND3;JAK3;HLA-DOB;MDM2;HLA-DPB1;MAPK11;TAPBP;TRAF3;TNF;CD58
8,prerank,IL-17 signaling pathway,0.39229063461288566,1.7795527453651534,0.0,0.02792180723860786,0.21,63/85,46.06%,CEBPB;IKBKE;HSP90AA1;LCN2;MAPK7;MMP1;FADD;MAPK13;IL13;TRAF4;ANAPC5;CCL7;PTGS2;IFNG;FOS;TBK1;CXCL10;CCL11;IL17RC;MAPK9;MAPK14;MAPK8;GSK3B;CXCL2;CSF3;FOSL1;HSP90AB1;CCL2;TNFAIP3;CASP3;HSP90B1;CXCL5;MAP3K7;FOSB;IL6;MAPK6;IL17C;CASP8;RELA;NFKB1;MAPK4;MAPK12;IL25;IL4;TAB2;CHUK;IKBKG;NFKBIA;IKBKB;JUN;MAPK1;TRADD;IL1B;TRAF5;TRAF6;S100A8;CCL20;IL17RE;IL5;MAPK11;TRAF3;TNF;CXCL1
9,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3879675188490643,1.7790105411294548,0.0,0.025230548709585413,0.211,70/89,49.13%,EDN1;STAT1;TGFBR2;PRKCA;AKT3;CDK4;MAPK13;PRKCZ;RAC1;VEGFB;PLCD1;COL4A3;STAT3;VEGFA;PIK3CD;SMAD4;CDC42;AKT2;EGR1;PRKCD;MMP2;NFATC1;MAPK9;MAPK14;CCND1;MAPK8;PIM1;PLCG2;PLCB3;NOX1;PLCB1;CCL2;F3;CASP3;PIK3CB;VEGFC;IL6;JAK2;AKT1;TGFB3;STAT5A;FOXO1;BCL2;RELA;NFKB1;PLCG1;MAPK12;JUN;THBD;MAPK1;AGT;IL1B;NRAS;HRAS;PIK3CA;PRKCE;PIK3R1;SMAD3;AGTR1;TGFBR1;KRAS;ICAM1;PLCE1;MAPK11;TNF;PRKCB;SMAD2;TGFB1;SERPINE1;MAPK3
