,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.48210817460377525,3.1848526855178343,0.0,0.0,0.0,50/79,22.66%,TGFB2;ARAF;CDKN1A;MYC;SMAD4;GSK3B;AKT1;TP53;RAC3;PIK3CA;FOS;RPS6KB2;PIK3CD;TGFBR2;CTNNB1;EGFR;BCL2L11;CYCS;PMAIP1;BRAF;CCND1;SMAD2;KRAS;JUN;SMAD3;RAF1;MAPK3;AKT3;RAC1;BAX;GADD45B;APC;RHOA;MAPK8;CASP9;MAP2K1;MSH2;TCF7L2;TCF7L1;MAP2K2;AXIN2;PIK3CB;SOS1;TGFBR1;MAPK1;BIRC5;LEF1;PIK3R2;RALGDS;TGFA
1,prerank,Pancreatic cancer,0.47892034710239684,3.0553256392822044,0.0,0.0,0.0,51/71,31.44%,TGFB2;ARAF;CDKN1A;SMAD4;AKT1;TP53;RAC3;PIK3CA;RPS6KB2;CDC42;PIK3CD;TGFBR2;EGFR;RAD51;BRAF;CCND1;SMAD2;KRAS;RB1;SMAD3;RAF1;MAPK3;AKT3;RAC1;BAX;E2F1;GADD45B;CDK6;NFKB1;VEGFA;BCL2L1;ERBB2;MAPK8;CASP9;MAP2K1;CHUK;PIK3CB;CDK4;TGFBR1;RELA;MAPK1;PIK3R2;RALGDS;TGFA;STAT1;PIK3R3;RPS6KB1;TGFB3;BAD;STAT3;BRCA2
2,prerank,Chronic myeloid leukemia,0.47820406834444334,3.0541961285484316,0.0,0.0,0.0,44/71,21.70%,TGFB2;BCR;ARAF;CDKN1A;MYC;SMAD4;AKT1;TP53;PIK3CA;PIK3CD;TGFBR2;MDM2;NFKBIA;CDKN1B;HDAC2;BRAF;CCND1;KRAS;RB1;RUNX1;SMAD3;RAF1;MAPK3;AKT3;STAT5B;BAX;E2F1;GADD45B;CDK6;NFKB1;SHC1;BCL2L1;MAP2K1;CHUK;ABL1;MAP2K2;PIK3CB;SOS1;CDK4;TGFBR1;RELA;PTPN11;MAPK1;PIK3R2
3,prerank,Central carbon metabolism in cancer,0.4795425257383393,2.9811410032043764,0.0,0.0,0.0,42/60,27.86%,HKDC1;MYC;PDK1;AKT1;TP53;PIK3CA;PFKP;NTRK3;PIK3CD;EGFR;KRAS;PTEN;FLT3;LDHA;HIF1A;IDH1;GCK;RAF1;PDHB;MAPK3;AKT3;MET;SLC2A2;HK3;PFKL;FGFR1;ERBB2;SLC7A5;SIRT3;MAP2K1;RET;MAP2K2;PIK3CB;FGFR3;MAPK1;PIK3R2;PGAM1;PDGFRA;HK1;PIK3R3;SLC2A1;HK2
4,prerank,Endometrial cancer,0.4883376275181437,2.9446524687297,0.0,0.0,0.0,34/53,21.70%,ARAF;CDKN1A;MYC;GSK3B;AKT1;TP53;PIK3CA;PIK3CD;CTNNB1;EGFR;BRAF;CCND1;KRAS;PTEN;RAF1;MAPK3;AKT3;BAX;GADD45B;APC;ERBB2;CASP9;PDPK1;MAP2K1;TCF7L2;TCF7L1;MAP2K2;AXIN2;PIK3CB;SOS1;MAPK1;LEF1;ELK1;PIK3R2
5,prerank,Melanoma,0.4826788945824871,2.864756339257459,0.0,0.0,0.0,33/52,21.70%,ARAF;CDKN1A;AKT1;TP53;PIK3CA;PIK3CD;MDM2;EGFR;BRAF;CCND1;FGF2;KRAS;PTEN;RB1;RAF1;MAPK3;AKT3;MET;BAX;E2F1;PDGFC;GADD45B;CDK6;FGFR1;MAP2K1;FGF1;MAP2K2;FGF9;PIK3CB;CDK4;MAPK1;IGF1;PIK3R2
6,prerank,p53 signaling pathway,0.464447016728765,2.838653541915011,0.0,0.0,0.0,40/56,30.94%,CDK2;CDKN1A;MDM4;PPM1D;TP53;RRM2;SIAH1;TNFRSF10B;MDM2;CCNE1;ATM;CYCS;APAF1;PMAIP1;CCND1;CHEK1;PTEN;SERPINB5;CCND3;BAX;CHEK2;BID;FAS;GADD45B;CDK6;ATR;BCL2L1;CASP9;CDK4;CASP8;IGF1;CCNG1;SERPINE1;CCNB1;CASP3;CCNB2;SESN1;BCL2;CCNE2;RCHY1
7,prerank,MicroRNAs in cancer,0.38695004271471345,2.7915888519941325,0.0,0.0,0.0,93/129,40.73%,TGFB2;CDKN1A;MYC;MDM4;PLAU;PTGS2;TP53;PIK3CA;DNMT1;FZD3;MDM2;EGFR;CCNE1;BCL2L11;ATM;NOTCH2;CDKN1B;DICER1;CCND1;MCL1;NOTCH1;KRAS;PTEN;SERPINB5;ABCB1;RAF1;ROCK1;PRKCE;MET;E2F1;DNMT3A;CDK6;APC;CDC25B;NFKB1;SHC1;VEGFA;RHOA;ERBB2;CYP1B1;MAP2K1;PLCG2;EFNA3;FOXP1;EZH2;ABL1;MAP2K2;SIRT1;FGFR3;SOS1;IRS1;FSCN1;PLCG1;MAPK1;CCNG1;ERBB3;PIK3R2;MARCKS;STMN1;SPRY2;PDGFRA;HMOX1;SOX4;CASP3;IRS2;BCL2;IGF2BP1;CCNE2;RDX;STAT3;CDC25C;SOCS1;HDAC1;CRK;BMI1;IKBKB;BMPR2;ZEB1;CDC25A;CD44;NRAS;CDKN2A;BRCA1;MTOR;PRKCA;DDIT4;PAK4;PRKCB;HRAS;PIM1;ST14;CCND2;RPS6KA5
8,prerank,HIF-1 signaling pathway,0.4128399127840624,2.7893177059553325,0.0,0.0,0.0,61/89,33.37%,HKDC1;RPS6;CDKN1A;PDK1;AKT1;TEK;PIK3CA;RPS6KB2;EIF4EBP1;PIK3CD;EGFR;IFNGR2;GAPDH;CDKN1B;ENO1;LDHA;HIF1A;IFNGR1;EPO;PDHB;PGK1;MAPK3;AKT3;TIMP1;VHL;TLR4;EDN1;HK3;CAMK2G;PFKL;NFKB1;VEGFA;ERBB2;MAP2K1;PLCG2;MAP2K2;PIK3CB;RELA;PLCG1;MAPK1;IGF1;PIK3R2;EIF4E;SERPINE1;HK1;HMOX1;PIK3R3;SLC2A1;FLT1;IL6;RPS6KB1;EGLN1;HK2;BCL2;IFNG;ARNT;STAT3;INS;EGLN2;CAMK2D;PDHA1
9,prerank,Apoptosis,0.3852653801102149,2.78203450849229,0.0,0.0,0.0,71/123,26.12%,CASP2;AKT1;EIF2AK3;TNFRSF10A;TP53;PIK3CA;FOS;DAXX;PRF1;XIAP;TNFRSF10B;PIK3CD;TUBA4A;PARP4;ERN1;BCL2L11;ATM;NFKBIA;CYCS;CTSH;APAF1;PMAIP1;TNFRSF1A;MCL1;KRAS;PARP2;FADD;JUN;BECN1;CFLAR;RAF1;TNFSF10;MAPK3;AKT3;AIFM1;BAX;RIPK1;PARP1;CASP7;BID;FAS;EIF2S1;GADD45B;NFKB1;BIRC3;BCL2L1;MAPK8;CASP9;PDPK1;MAP2K1;CTSD;ITPR3;CTSK;CHUK;MAP2K2;CTSB;PIK3CB;CASP8;SPTAN1;RELA;ACTB;MAPK1;BIRC5;ITPR1;PIK3R2;MAP3K14;ATF4;NGF;CASP6;PIK3R3;TUBA1A
