,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prolactin signaling pathway,0.48222401621336636,2.4832951268353383,0.0,0.0,0.0,45/64,32.19%,SOS2;MAPK9;PIK3CB;STAT1;SOCS1;TH;GRB2;RELA;RAF1;IRF1;MAPK14;TNFSF11;MAPK13;HRAS;CCND2;AKT1;KRAS;JAK2;CCND1;SHC1;FOS;AKT3;SHC4;MAPK8;MAPK12;PIK3CA;MAPK3;CGA;STAT3;PRLR;FOXO3;GALT;NRAS;PIK3R1;NFKB1;SOCS2;INS;AKT2;PIK3CD;ESR2;ESR1;MAP2K1;MAPK11;STAT5A;PIK3R3
1,prerank,Hepatitis B,0.3991828539434259,2.3291323140924605,0.0,0.0010209932488671044,0.002,101/153,35.21%,HSPG2;SOS2;MAPK9;TGFB1;TP53;TICAM2;PCNA;PIK3CB;MYD88;SMAD2;STAT1;RB1;NFATC3;GRB2;STAT2;ATF2;RELA;TBK1;IFNA2;RAF1;NFATC4;MAPK14;E2F1;MAPK13;IKBKE;IFNA4;TLR4;HRAS;BAX;NFATC1;MAP2K4;AKT1;IFNA17;CREB3L2;KRAS;TGFB2;JAK2;IFNA16;CDKN1A;CASP3;FOS;STAT6;AKT3;MAPK8;BCL2;CDK2;MAPK12;PIK3CA;FAS;CREB3;MAPK3;IFNB1;CXCL8;STAT3;IRF3;SMAD3;TYK2;TLR2;MAP2K7;CREBBP;NRAS;TGFBR2;IRAK1;EP300;IFIH1;IFNA21;CCNA2;YWHAQ;SMAD4;TRAF3;PIK3R1;TGFBR1;MYC;ATF4;NFKB1;TRAF6;IFNA10;IRAK4;JAK3;AKT2;BRAF;PIK3CD;EGR2;NFKBIA;MAP2K1;MAPK11;STAT5A;TIRAP;MAP2K3;IRF7;PIK3R3;DDB2;CREB3L4;PTK2B;DDB1;STAT4;MAP3K7;PRKCB;IFNA14;IFNAR1;IL6
2,prerank,Chronic myeloid leukemia,0.4331932804247347,2.264232683986376,0.0,0.000680662165911403,0.002,47/71,32.54%,SOS2;ABL1;CDK6;TGFB1;TP53;PIK3CB;RB1;GRB2;RELA;RAF1;E2F1;HRAS;BAX;AKT1;KRAS;TGFB2;BCL2L1;CDKN1A;CCND1;SHC1;AKT3;SHC4;CDK4;PIK3CA;GADD45A;MAPK3;MECOM;SMAD3;MDM2;CRKL;NRAS;TGFBR2;RUNX1;SMAD4;PIK3R1;TGFBR1;MYC;NFKB1;HDAC1;AKT2;BRAF;PIK3CD;NFKBIA;MAP2K1;STAT5A;PIK3R3;DDB2
3,prerank,Insulin signaling pathway,0.4059420855425294,2.2579689498086917,0.0,0.0005104966244335522,0.002,83/111,42.05%,SOS2;RPS6KB1;MAPK9;PRKAG1;PRKAG2;PIK3CB;SOCS1;GRB2;PRKAB2;PYGL;PPP1CA;PRKAA1;GYS1;PRKAR1A;RAF1;PPARGC1A;MKNK1;IRS1;EIF4EBP1;HRAS;AKT1;ACACA;RHEB;KRAS;PPP1CC;ACACB;SHC1;PTPRF;PRKCZ;PTPN1;AKT3;SHC4;MKNK2;MAPK8;PHKG1;PIK3CA;RPTOR;PHKG2;MAPK3;PRKACB;RPS6KB2;PRKCI;HK3;PDPK1;CRKL;NRAS;PRKAR2B;EIF4E;CBLB;INSR;PIK3R1;PRKACA;PHKB;PYGB;SOCS2;TSC2;G6PC;INS;AKT2;BRAF;PIK3CD;PRKACG;PCK2;G6PC3;MAP2K1;PIK3R3;HK1;FASN;INPPL1;PRKAR2A;PRKAB1;PRKAR1B;G6PC2;CALM1;SOCS4;PDE3B;GCK;PRKAG3;CALM3;PCK1;CALM2;PHKA1;RPS6
4,prerank,Measles,0.3956383461223138,2.245022264012273,0.0,0.00040839729954684177,0.002,97/126,44.51%,TNFAIP3;ADAR;MAPK9;CDK6;TP53;IL2;PIK3CB;MYD88;STAT1;HSPA1B;STAT2;RELA;TBK1;IFNA2;EIF2AK4;HSPA1A;IFNAR2;OAS1;RCHY1;IKBKE;IFNA4;TLR4;BAX;CCND2;CSNK2A1;AKT1;IFNA17;CSNK2A2;MX1;BCL2L1;IFNA16;CASP3;CCND1;FOS;NFKBIB;AKT3;FCGR2B;CDK4;MAPK8;BCL2;CDK2;PIK3CA;FAS;IL2RB;IFNB1;STAT3;IRF3;CCND3;TYK2;TLR2;SLAMF1;IRAK1;IL12A;IFIH1;IFNA21;CBLB;TRAF3;PIK3R1;IL12B;NFKB1;TRAF6;IFNA10;IRAK4;JAK3;AKT2;PIK3CD;TLR9;CD46;NFKBIA;STAT5A;IRF7;PIK3R3;CLEC4M;HSPA2;IL2RG;MAP3K7;IFNA14;IFNAR1;IL6;HSPA8;CYCS;JUN;TRADD;OAS3;EIF2AK3;CHUK;CASP9;CD3D;CD209;DDX58;CASP8;TAB2;CCNE1;CSNK2B;BID;BAK1;FADD
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.41367215426454473,2.2448111674365414,0.0,0.0003403310829557015,0.002,59/89,35.21%,MAPK9;TGFB1;NOX1;ICAM1;PIK3CB;SMAD2;STAT1;RELA;EDN1;RAC1;MAPK14;VEGFB;MAPK13;HRAS;BAX;NFATC1;AKT1;KRAS;PLCB3;TGFB2;JAK2;CDC42;CASP3;CCND1;PRKCZ;AKT3;CDK4;MAPK8;BCL2;MAPK12;PIK3CA;MAPK3;CXCL8;STAT3;SMAD3;AGT;EGR1;NRAS;TGFBR2;CYBB;SMAD4;PRKCE;PIK3R1;TGFBR1;CCL2;NFKB1;AKT2;PIK3CD;VEGFC;MAPK11;STAT5A;PLCD1;COL4A5;PIK3R3;AGTR1;THBD;F3;PRKCB;IL6
6,prerank,Pancreatic cancer,0.42546418073848635,2.2432032976615135,0.0,0.0002917123568191727,0.002,43/71,27.32%,RPS6KB1;MAPK9;CDK6;TGFB1;TP53;PIK3CB;SMAD2;STAT1;RB1;PLD1;RELA;RALB;RAF1;RAC1;E2F1;BAX;AKT1;KRAS;TGFB2;BCL2L1;CDC42;CDKN1A;CCND1;AKT3;CDK4;MAPK8;PIK3CA;EGFR;ARHGEF6;GADD45A;MAPK3;RPS6KB2;STAT3;SMAD3;ERBB2;TGFBR2;SMAD4;PIK3R1;TGFBR1;NFKB1;AKT2;BRAF;PIK3CD
7,prerank,p53 signaling pathway,0.43970338604627024,2.218993265888252,0.0,0.0003828724683251641,0.003,46/56,44.18%,CDK6;CCNB2;TP53;THBS1;SIAH1;PTEN;RCHY1;CHEK2;BAX;CCND2;ATM;PMAIP1;BCL2L1;CDKN1A;CASP3;CCND1;CDK4;BCL2;CDK2;FAS;GADD45A;MDM2;CCND3;TP53I3;MDM4;TSC2;ZMAT3;CHEK1;TNFRSF10B;DDB2;PPM1D;SESN1;SHISA5;CYCS;RRM2;CDKN2A;CCNG1;GADD45B;IGFBP3;CASP9;SERPINE1;CCNB1;SERPINB5;CASP8;CCNE1;BID
8,prerank,Melanoma,0.4448456026106174,2.2078190207452297,0.0,0.0007941058602299701,0.007,36/52,32.54%,CDK6;TP53;PIK3CB;RB1;RAF1;PTEN;E2F1;MITF;HRAS;BAX;AKT1;KRAS;CDKN1A;CCND1;AKT3;CDK4;FGF2;PIK3CA;EGFR;GADD45A;MAPK3;MDM2;CDH1;NRAS;PIK3R1;FGFR1;MET;FGF1;IGF1R;AKT2;BRAF;PIK3CD;FGF9;MAP2K1;PIK3R3;DDB2
9,prerank,Relaxin signaling pathway,0.3994451575626597,2.20590754972279,0.0,0.000714695274206973,0.007,64/103,33.13%,SOS2;MAPK9;TGFB1;PIK3CB;SMAD2;ADCY7;GRB2;ATF2;ADCY6;RELA;RAF1;EDN1;MAPK14;ADCY3;VEGFB;MAPK13;HRAS;MAP2K4;AKT1;CREB3L2;KRAS;PLCB3;GNG7;SHC1;FOS;PRKCZ;AKT3;SHC4;MAPK8;GNAI2;MAPK12;PIK3CA;EGFR;CREB3;NOS2;GNG4;MAPK3;PRKACB;MMP13;SMAD3;RXFP1;GNB4;MAP2K7;NRAS;GNGT2;TGFBR2;GNAS;PIK3R1;TGFBR1;PRKACA;ATF4;NFKB1;AKT2;PIK3CD;GNB5;PRKACG;VEGFC;NFKBIA;MAP2K1;MAPK11;COL4A5;PIK3R3;CREB3L4;GNG5
