,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Endometrial cancer,0.4740451742447734,2.598385468842985,0.0,0.0,0.0,43/53,39.02%,GRB2;CDH1;ILK;PIK3CB;PDPK1;CDKN1A;ERBB2;TP53;SOS2;MAPK3;MAP2K1;CASP9;MYC;BRAF;PIK3R3;EGFR;TCF7;TCF7L2;RAF1;AKT3;ARAF;BAD;GSK3B;AKT2;HRAS;LEF1;BAX;AXIN1;PTEN;AKT1;GADD45B;FOXO3;CTNNB1;CCND1;PIK3CA;PIK3R1;AXIN2;GADD45A;MAPK1;DDB2;MAP2K2;PIK3CD;KRAS
1,prerank,Prostate cancer,0.42034702362819015,2.5233007201967803,0.0,0.0,0.0,71/89,43.16%,GRB2;INS;CHUK;E2F1;IKBKB;PIK3CB;PDPK1;CDKN1A;TGFA;ERBB2;TP53;SOS2;GSTP1;IGF1R;HSP90AA1;RELA;HSP90AB1;CREB3L2;BCL2;FGFR2;MAPK3;MAP2K1;ZEB1;CASP9;BRAF;PIK3R3;MTOR;EGFR;TCF7;ERG;CDK2;TCF7L2;NKX3-1;PDGFC;RAF1;PLAT;AKT3;CREB3;ARAF;BAD;GSK3B;AKT2;HRAS;LEF1;CCNE1;MMP9;PTEN;AKT1;AR;CTNNB1;CDKN1B;CCND1;ATF4;PIK3CA;PIK3R1;CREB3L4;NFKB1;IGF1;MAPK1;ETV5;RB1;MAP2K2;NFKBIA;PIK3CD;IKBKG;KRAS;MDM2;CREB3L1;PDGFRA;INSRR;NRAS
2,prerank,Colorectal cancer,0.41650187409331535,2.512930604835841,0.0,0.0,0.0,52/79,31.02%,BIRC5;GRB2;SMAD3;MSH2;FOS;TGFBR2;SMAD2;PIK3CB;TGFBR1;MAPK8;CDKN1A;TGFA;TP53;SOS2;BCL2;MAPK3;MAP2K1;CASP9;MYC;BRAF;PIK3R3;MTOR;EGFR;TCF7;CASP3;TCF7L2;RHOA;RAF1;RALA;AKT3;ARAF;BBC3;BAD;GSK3B;AKT2;HRAS;RPS6KB2;LEF1;BAX;AXIN1;AKT1;GADD45B;MAPK9;EREG;CTNNB1;CCND1;PIK3CA;PIK3R1;CYCS;AXIN2;GADD45A;TGFB3
3,prerank,Prolactin signaling pathway,0.42723665850053905,2.4555612233967534,0.0,0.0,0.0,51/64,43.95%,ESR1;GRB2;INS;SOCS2;MAPK13;FOS;SOCS5;PIK3CB;MAPK8;SOS2;SOCS4;RELA;MAPK3;MAP2K1;MAPK12;PIK3R3;TH;CYP17A1;STAT1;RAF1;SOCS1;SHC1;AKT3;PRL;GSK3B;AKT2;HRAS;STAT3;SLC2A2;STAT5A;AKT1;MAPK9;GCK;JAK2;FOXO3;CCND1;CGA;PIK3CA;PIK3R1;NFKB1;MAPK1;SRC;CISH;MAP2K2;ESR2;PIK3CD;KRAS;CCND2;NRAS;TNFRSF11A;GALT
4,prerank,Histidine metabolism,0.5926502516295951,2.4226625149991787,0.0,0.0,0.0,16/18,32.19%,AOC1;ALDH3B1;ALDH3B2;HNMT;CNDP2;ALDH3A1;ALDH1B1;ALDH7A1;MAOA;HDC;HAL;FTCD;ALDH1A3;MAOB;ASPA;ALDH3A2
5,prerank,T cell receptor signaling pathway,0.3832772334452839,2.39494744482497,0.0,0.000171746619401997,0.001,68/98,39.02%,IL10;GRB2;CHUK;MAPK13;IKBKB;FOS;PPP3CB;PIK3CB;PDPK1;SOS2;RELA;IL4;IL5;PRKCQ;ICOS;MAPK3;PAK1;MAP2K1;CARD11;CD28;CDK4;MAPK12;MAP3K7;PPP3CA;MAP2K7;PIK3R3;LCP2;RHOA;RAF1;AKT3;BCL10;GSK3B;CDC42;AKT2;HRAS;PAK4;LCK;MAP3K8;IFNG;AKT1;CSF2;MAPK9;PLCG1;PAK2;MAP3K14;PPP3CC;PAK3;PIK3CA;PIK3R1;TNF;CTLA4;NFKB1;MALT1;PTPN6;MAPK1;CD3D;CD8A;DLG1;CD3E;PAK5;IL2;NFATC3;MAP2K2;CD8B;NFKBIA;PIK3CD;IKBKG;KRAS
6,prerank,Pancreatic cancer,0.4116617013492163,2.3888401355301068,0.0,0.0001472113880588546,0.001,54/71,39.82%,SMAD3;CHUK;CDK6;E2F1;IKBKB;TGFBR2;SMAD2;PIK3CB;TGFBR1;MAPK8;CDKN1A;TGFA;ERBB2;TP53;RELA;MAPK3;MAP2K1;CASP9;BRAF;CDK4;PIK3R3;MTOR;EGFR;STAT1;RAF1;RALA;AKT3;ARAF;BAD;CDC42;AKT2;RPS6KB2;BRCA2;STAT3;BAX;AKT1;GADD45B;MAPK9;RAD51;CCND1;PIK3CA;PIK3R1;GADD45A;TGFB3;NFKB1;MAPK1;DDB2;RB1;RALGDS;PIK3CD;IKBKG;KRAS;PLD1;JAK1
7,prerank,Intestinal immune network for IgA production,0.4469624202424664,2.3754388457645335,0.0,0.00025761992910299555,0.002,33/45,35.73%,IL10;HLA-DRB4;CD80;HLA-DOA;TNFRSF13C;IL4;IL5;TNFRSF13B;HLA-DRA;ICOS;CXCR4;CD28;HLA-DPB1;LTBR;PIGR;CD40;CXCL12;CCL28;AICDA;IL6;MAP3K14;HLA-DPA1;HLA-DRB5;IL15RA;IL15;HLA-DRB1;TNFSF13B;HLA-DMB;CCR9;HLA-DOB;TNFRSF17;IL2;HLA-DMA
8,prerank,Chronic myeloid leukemia,0.40815893504939565,2.3746633197342915,0.0,0.000228995492535996,0.002,56/71,43.50%,GRB2;SMAD3;CHUK;CDK6;E2F1;ABL1;IKBKB;TGFBR2;PIK3CB;TGFBR1;MECOM;CDKN1A;TP53;SOS2;RUNX1;RELA;MAPK3;MAP2K1;MYC;BRAF;CDK4;PIK3R3;RAF1;CTBP1;SHC1;AKT3;ARAF;BAD;AKT2;HRAS;BAX;STAT5A;AKT1;GADD45B;CRK;CDKN1B;CCND1;PIK3CA;PIK3R1;GADD45A;TGFB3;NFKB1;MAPK1;DDB2;RB1;MAP2K2;NFKBIA;PIK3CD;IKBKG;KRAS;CBL;MDM2;HDAC1;BCL2L1;NRAS;SMAD4
9,prerank,Acute myeloid leukemia,0.4114601441198844,2.3417558255416906,0.0,0.00030914391492359463,0.003,47/65,39.51%,GRB2;CHUK;RARA;PIM1;IKBKB;PIK3CB;SOS2;RUNX1;CCNA1;RELA;CD14;PPARD;MAPK3;MAP2K1;ZBTB16;MYC;BRAF;PIK3R3;MTOR;TCF7;BCL2A1;TCF7L2;RAF1;AKT3;ARAF;BAD;AKT2;HRAS;RPS6KB2;LEF1;STAT3;STAT5A;AKT1;CSF2;CCND1;PIK3CA;PIK3R1;CSF1R;NFKB1;CEBPE;MAPK1;FLT3;MAP2K2;PIK3CD;IKBKG;KRAS;PIM2
