,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4442163179785191,2.005567631247466,0.0,0.01503577856797928,0.015,68/89,40.33%,EDN1;AGER;PRKCA;MAPK14;HRAS;SMAD3;IL1B;AGT;RAC1;CCL2;SMAD4;AKT1;PLCG2;STAT3;CDK4;IL6;MAPK13;PRKCD;AGTR1;TGFBR1;STAT1;PIK3CA;TGFB2;MAPK1;PRKCZ;RELA;AKT3;COL4A5;JAK2;F3;PLCB1;CCND1;BCL2;MMP2;BAX;MAPK11;VEGFB;VEGFA;MAPK9;PRKCE;FN1;EGR1;STAT5A;CDC42;CYBB;SMAD2;PLCD1;PIK3CD;CASP3;NOX1;NFKB1;MAPK3;CDKN1B;PIK3R2;PIK3R1;MAPK12;VCAM1;PIK3R3;KRAS;JUN;PRKCB;PLCE1;VEGFC;TGFB3;CXCL8;MAPK8;COL4A4;PLCG1
1,prerank,Viral myocarditis,0.46645600996466596,1.9466086917053482,0.0,0.014033393330113993,0.027,32/45,33.51%,HLA-DQA1;HLA-DQB1;RAC1;CD40;DAG1;CAV1;CD80;ACTB;HLA-DRB4;HLA-DRA;ACTG1;HLA-A;FYN;EIF4G1;PRF1;ITGB2;HLA-DPA1;RAC3;CASP9;CCND1;CYCS;HLA-DRB3;HLA-DMB;BID;HLA-B;ABL1;CASP3;SGCB;HLA-DMA;CD86;DMD;CASP8
2,prerank,Hepatitis B,0.4034402919033378,1.9395792597970491,0.0,0.010357980791274615,0.03,106/153,40.22%,TRAF3;PRKCA;MAPK14;HRAS;SMAD3;PRKCG;TP53;CASP10;IRF7;IFIH1;IFNA8;SMAD4;SRC;AKT1;CREB3L4;JAK3;STAT3;RB1;ATF4;TLR4;IFNA5;CHUK;ARAF;IL6;IRAK4;MAPK13;DDX58;CREB1;TGFBR1;FAS;TAB2;TLR2;MAP2K6;STAT1;PIK3CA;TGFB2;EP300;MAPK1;RELA;AKT3;IFNB1;TBK1;FOS;TRAF6;JAK2;TLR3;IFNA1;IKBKE;STAT4;CASP9;BIRC5;CCNA2;IFNA16;ATF2;CYCS;BCL2;BAX;MAPK11;NFATC4;BID;TICAM1;MAPK9;IFNA10;APAF1;STAT5A;SLC10A1;NFKBIA;SMAD2;NFATC3;GRB2;PIK3CD;CASP3;IKBKG;FASLG;IKBKB;NFKB1;IFNAR1;CDK2;MAPK3;EGR3;BRAF;CDKN1A;IRF3;STAT6;CASP8;PIK3R2;PIK3R1;MAPK12;PIK3R3;KRAS;ELK1;MAP3K1;JUN;CCNE1;PRKCB;CCNA1;IFNA17;RAF1;IFNA21;MYC;TGFB3;CXCL8;HSPG2;MAPK8;EGR2;MAP2K3
3,prerank,Prion diseases,0.48961275447258046,1.8974220722948183,0.0010162601626016261,0.014283989639580314,0.054,23/29,36.40%,IL1B;C8B;PRKACG;NOTCH1;IL6;SOD1;C5;C8A;C9;MAPK1;FYN;PRKACB;C7;C6;BAX;C1QC;EGR1;MAPK3;PRKACA;C1QA;C1QB;HSPA5;ELK1
4,prerank,Fluid shear stress and atherosclerosis,0.40185969972603874,1.8932177928732308,0.0,0.012429576949529538,0.058,77/122,35.65%,BMPR1B;NQO1;EDN1;NCF2;MAPK14;GSTT1;TRPV4;IL1B;RHOA;GSTO1;TP53;BMPR1A;CALM3;RAC1;CCL2;GSTP1;MAP3K5;SRC;AKT1;CHUK;MAPK13;CAV1;CTNNB1;SQSTM1;ASS1;MAP2K6;ACTB;ARHGEF2;PIK3CA;ACTG1;PRKCZ;RELA;AKT3;HSP90B1;ITGAV;FOS;KEAP1;HSP90AA1;CYBA;RAC3;BCL2;MMP2;GSTA1;MAPK11;PRKAA2;GSTM5;MEF2A;HMOX1;IFNG;VEGFA;MAPK9;CTSL;SDC4;MAP2K5;BMP4;GPC1;PRKAA1;GSTM1;PIK3CD;NOX1;IKBKG;CALM1;CAV3;HSP90AB1;IKBKB;NFE2L2;IL1R2;ACVR2A;NFKB1;IL1R1;GSTO2;PIK3R2;PIK3R1;MAPK12;VCAM1;ACVR1;PIK3R3
5,prerank,Thyroid hormone signaling pathway,0.4075767123052691,1.8655646502554464,0.0,0.013365136504870472,0.074,67/95,40.71%,KAT2B;PRKCA;HRAS;ATP1A3;PRKCG;MDM2;TP53;GSK3B;HDAC1;PRKACG;PFKP;SRC;NOTCH1;AKT1;TSC2;PLCG2;MED12L;RXRA;CTNNB1;ACTB;STAT1;PIK3CA;HIF1A;FXYD2;EP300;MAPK1;PDPK1;ACTG1;AKT3;SLC2A1;ATP1B1;ITGAV;KAT2A;NCOA3;PRKACB;CASP9;PLCB1;MED13;CCND1;NCOA1;HDAC2;ATP1A1;RXRB;BMP4;TBC1D4;PLCD1;PIK3CD;RHEB;GATA4;MAPK3;PRKACA;THRB;ATP1B3;PIK3R2;MTOR;PIK3R1;PFKFB2;PIK3R3;KRAS;PRKCB;PLCE1;RAF1;MED12;SLCO1C1;MYC;PLCG1;ATP1B4
6,prerank,Bladder cancer,0.4538126167968974,1.862793952273817,0.0,0.011885424963259813,0.077,32/39,45.09%,HRAS;EGFR;MDM2;HBEGF;TP53;SRC;RB1;CDK4;ARAF;FGFR3;RPS6KA5;MAPK1;CCND1;MMP2;ERBB2;VEGFA;DAPK3;TYMP;MAPK3;BRAF;CDKN1A;CDH1;MMP1;KRAS;DAPK1;RASSF1;RAF1;MYC;CXCL8;MAP2K2;DAPK2;CDKN2A
7,prerank,Pancreatic cancer,0.41734694684293755,1.8412010907246925,0.0,0.012655113628049226,0.092,50/71,39.97%,EGFR;SMAD3;TP53;RAC1;SMAD4;RALBP1;AKT1;BCL2L1;STAT3;RB1;CDK4;CHUK;ARAF;TGFBR1;RPS6KB1;STAT1;PIK3CA;TGFB2;CDK6;MAPK1;RELA;AKT3;GADD45B;RAC3;CASP9;CCND1;ERBB2;BAX;BRCA2;VEGFA;MAPK9;CDC42;SMAD2;PIK3CD;IKBKG;IKBKB;NFKB1;MAPK3;PLD1;BRAF;CDKN1A;PIK3R2;MTOR;PIK3R1;PIK3R3;KRAS;RAF1;RPS6KB2;TGFB3;MAPK8
8,prerank,Progesterone-mediated oocyte maturation,0.4155706732359733,1.8271944677459875,0.0,0.01369926491749223,0.113,51/65,45.72%,MAPK14;GNAI2;PRKACG;ANAPC5;AKT1;ADCY9;ARAF;MAPK13;PLK1;PIK3CA;MAPK1;PGR;AKT3;GNAI3;HSP90AA1;MOS;PRKACB;CCNA2;BUB1;MAPK11;MAPK9;RPS6KA3;PIK3CD;ADCY3;HSP90AB1;ADCY1;CDK2;MAPK3;ADCY7;STK10;BRAF;PRKACA;PIK3R2;PIK3R1;MAPK12;PIK3R3;KRAS;PKMYT1;CCNA1;CCNB1;PDE3B;RAF1;INS;CDK1;MAPK8;GNAI1;IGF1R;RPS6KA1;RPS6KA2;CDC25B;CDC25C
9,prerank,Cytosolic DNA-sensing pathway,0.42480132497099776,1.825011272527206,0.0,0.012730292520889124,0.117,32/53,29.60%,POLR3E;POLR2K;IL1B;IL18;IRF7;CCL4L2;IFNA8;POLR1C;IFNA5;CHUK;IL6;DDX58;POLR2H;AIM2;RELA;IFNB1;TBK1;POLR2E;TREX1;TMEM173;IFNA1;IKBKE;IFNA16;PYCARD;IFNA10;NFKBIA;POLR3K;IL33;IKBKG;IKBKB;POLR3C;NFKB1
