,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TNF signaling pathway,0.40389293715309593,2.3864414940859597,0.0,0.0010278219484673907,0.001,73/104,37.56%,TNFAIP3;CFLAR;AKT3;CX3CL1;CCL2;MAPK13;CREB1;RPS6KA5;PIK3CA;ATF4;BIRC3;RIPK1;RPS6KA4;FOS;TRADD;VEGFC;MMP14;MAPK9;FAS;CASP10;CXCL1;EDN1;IL1B;IL15;ATF2;BIRC2;IRF1;IL18R1;TNF;CEBPB;IKBKB;DNM1L;FADD;MAP2K6;AKT1;LIF;MAPK11;MAP2K1;PIK3CD;PTGS2;IFNB1;TNFRSF1B;BCL3;JUN;CCL5;MAPK1;CHUK;IKBKG;NFKB1;RELA;JUNB;MAPK3;NFKBIA;MAPK14;TRAF2;TRAF5;CASP7;IL6;CSF1;MAP3K14;PIK3R2;MAP3K8;CXCL5;TAB2;TRAF3;MAP3K5;LTA;CXCL3;MAP2K7;MAPK8;VCAM1;CREB3L4;CREB3L2
1,prerank,Prolactin signaling pathway,0.43290965926926384,2.3682343900840355,0.0,0.0010278219484673907,0.002,44/64,33.23%,AKT3;HRAS;JAK2;MAPK13;STAT1;SOCS5;PIK3CA;SOCS1;GSK3B;FOS;CISH;SOCS2;SRC;GALT;MAPK9;CGA;INS;IRF1;PRLR;TNFRSF11A;GCK;ESR1;AKT1;NRAS;MAPK11;MAP2K1;SHC4;PIK3CD;CCND2;TH;MAPK1;PRL;NFKB1;RELA;MAPK3;STAT3;MAPK14;STAT5A;CYP17A1;PIK3R2;CCND1;ESR2;SLC2A2;RAF1
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3991087840389823,2.329793594619321,0.0,0.0013704292646231878,0.003,69/89,44.56%,MMP2;AKT3;RAC1;AGT;HRAS;CCL2;SMAD3;JAK2;CDK4;MAPK13;PLCB1;SMAD4;EGR1;PRKCD;PLCG2;TGFBR1;PRKCZ;STAT1;PIK3CA;VEGFC;NOX1;MAPK9;EDN1;IL1B;PRKCA;TNF;CDC42;AKT1;NRAS;AGER;MAPK11;PIK3CD;TGFB2;PRKCE;JUN;VEGFB;CYBB;COL4A5;MAPK1;F3;NFKB1;RELA;MAPK3;VEGFA;STAT3;MAPK14;STAT5A;IL6;BAX;PIK3R2;CDKN1B;CCND1;BCL2;TGFBR2;THBD;COL4A3;PLCG1;PLCD1;MAPK8;VCAM1;SMAD2;NFATC1;PLCE1;CASP3;FN1;AKT2;PIM1;FOXO1;PLCB3
3,prerank,C-type lectin receptor signaling pathway,0.3839914876976204,2.240864388737446,0.0,0.001798688409817934,0.006,59/99,30.87%,AKT3;HRAS;IKBKE;MAPK13;ITPR1;PRKCD;PLCG2;STAT1;IL12A;PIK3CA;CALM1;PAK1;SYK;SRC;RHOA;MAPK9;IL1B;LSP1;CARD9;CLEC1B;IRF1;IL10;CCL22;RELB;CBLB;TNF;EGR3;KSR1;IKBKB;NFATC4;AKT1;NRAS;CALM3;NLRP3;MAPK11;PIK3CD;PTGS2;STAT2;BCL3;JUN;BCL10;MAPK1;CHUK;IKBKG;NFATC3;NFKB1;RELA;MAPK3;MDM2;NFKBIA;MAPKAPK2;MAPK14;IRF9;CLEC4D;IL6;MAP3K14;CLEC4E;PIK3R2;CYLD
4,prerank,Measles,0.36855823464136417,2.235739049099595,0.0,0.0014389507278543471,0.006,91/126,43.20%,TNFAIP3;DDX58;AKT3;TP53;EIF2AK2;TLR2;CSNK2B;IKBKE;CDK4;IRAK4;OAS1;SLAMF1;STAT1;IL12A;PIK3CA;GSK3B;CSNK2A1;FOS;TRADD;CASP9;BID;MAPK9;IFNA16;FAS;IL1B;IL2RA;CD28;JAK3;CDK6;CD3D;TLR4;NFKBIB;CBLB;CSNK2A2;CD46;APAF1;CCND3;IKBKB;FADD;AKT1;RCHY1;IFIH1;PIK3CD;IFNB1;CCND2;IFNA8;FASLG;STAT2;CCNE1;CDK2;JUN;TLR9;CHUK;IFNA14;EIF2S1;IKBKG;BCL2L1;NFKB1;RELA;NFKBIA;STAT3;IRF9;STAT5A;IL6;CD3G;IFNAR2;IFNA5;BAX;EIF3H;PIK3R2;IFNAR1;IFNA1;CDKN1B;CCND1;BCL2;IRF7;TAB2;TRAF3;MAPK8;TBK1;IL2RB;IFNA2;CASP8;CYCS;HSPA1B;IL2;TYK2;CASP3;IFNA17;AKT2;IFNA10
5,prerank,Necroptosis,0.36122977943522927,2.1718358976239345,0.0,0.0023982512130905787,0.013,84/121,43.48%,TNFAIP3;CFLAR;PARP2;EIF2AK2;PLA2G4A;JAK2;IFNGR1;STAT1;GLUL;VDAC1;BIRC3;RIPK1;FTH1;TRADD;BID;SLC25A4;GLUD1;SLC25A6;MAPK9;STAT4;IFNA16;AIFM1;HIST1H2AG;FAS;HSP90AA1;IL1B;IFNG;JAK3;XIAP;SHARPIN;BIRC2;TLR4;IL33;TLR3;H2AFV;TNF;CAMK2G;STAT6;DNM1L;FADD;NLRP3;PYGL;IFNB1;IFNA8;FASLG;STAT2;PYGB;CYBB;IFNA14;GLUD2;STAT3;IRF9;TRAF2;TRAF5;STAT5A;HSP90AB1;IFNAR2;IFNA5;BAX;IFNAR1;IFNA1;CYLD;CHMP1A;BCL2;HMGB1;ZBP1;SQSTM1;PARP1;CAMK2D;TNFRSF10A;CHMP2A;MAPK8;PARP4;IFNA2;CASP8;TYK2;TICAM1;CAPN1;HIST1H2AC;IFNA17;IFNA10;TNFRSF1A;PPIA;TICAM2
6,prerank,Toll-like receptor signaling pathway,0.3706571604547778,2.1644375111349645,0.0,0.002496139017706521,0.016,73/98,44.02%,AKT3;RAC1;TLR8;IRF5;TLR2;IKBKE;MAPK13;IRAK4;TLR5;STAT1;IL12A;PIK3CA;RIPK1;FOS;MAPK9;IFNA16;SPP1;IL1B;TLR4;TLR3;TNF;CD40;IKBKB;FADD;MAP2K6;AKT1;MAPK11;MAP2K1;PIK3CD;IFNB1;IFNA8;CTSK;CD86;JUN;CCL5;TLR9;MAPK1;CHUK;IFNA14;IKBKG;LBP;NFKB1;RELA;MAPK3;NFKBIA;MAPK14;CD14;IL6;IFNAR2;IFNA5;CXCL11;PIK3R2;IFNAR1;MAP3K8;IFNA1;TIRAP;CD80;IRF7;TAB2;TRAF3;MAP2K7;MAPK8;TBK1;IFNA2;CXCL9;CASP8;TOLLIP;TICAM1;IFNA17;AKT2;IFNA10;TICAM2;MAP2K4
7,prerank,Pancreatic cancer,0.39013266218102527,2.1598020614893265,0.0,0.0023125993840516293,0.017,45/71,33.23%,AKT3;RAC1;TP53;BRCA2;SMAD3;RB1;GADD45B;CDK4;SMAD4;TGFBR1;RALBP1;STAT1;PIK3CA;RPS6KB1;CDKN1A;CASP9;MAPK9;RAC3;CDK6;IKBKB;CDC42;AKT1;MAP2K1;PIK3CD;TGFB2;MAPK1;CHUK;IKBKG;BCL2L1;NFKB1;RELA;MAPK3;MTOR;VEGFA;EGFR;STAT3;RALGDS;PLD1;RPS6KB2;BAX;ARAF;PIK3R2;CCND1;TGFBR2;RAF1
8,prerank,Hepatitis B,0.34919851409074304,2.1543365051106216,0.0,0.0022840487743719796,0.019,113/153,47.22%,DDX58;AKT3;TP53;HRAS;SMAD3;TLR2;RB1;JAK2;IKBKE;MAPK13;CREB1;IRAK4;SMAD4;TGFBR1;STAT1;PIK3CA;ATF4;CDKN1A;FOS;CASP9;SRC;BID;PRKCG;MAPK9;STAT4;IFNA16;BIRC5;EP300;FAS;CASP10;JAK3;ATF2;TLR4;CCNA2;TLR3;PRKCA;TNF;APAF1;EGR3;IKBKB;NFATC4;STAT6;FADD;MAP2K6;AKT1;NRAS;MAPK11;MAP2K1;IFIH1;PIK3CD;IFNB1;IFNA8;FASLG;STAT2;TGFB2;CCNE1;CDK2;JUN;MAPK1;CHUK;IFNA14;IKBKG;NFATC3;NFKB1;RELA;MAPK3;NFKBIA;PTK2B;STAT3;MAPK14;STAT5A;IL6;IFNA5;BAX;ARAF;PIK3R2;IFNAR1;IFNA1;TIRAP;SLC10A1;BCL2;TGFBR2;RAF1;IRF7;TAB2;TRAF3;PCNA;MAP2K7;MAPK8;TBK1;IFNA2;SMAD2;CREB3L4;CREB3L2;NFATC1;CASP8;CYCS;TYK2;CREB3L1;TICAM1;CASP3;IFNA17;AKT2;IFNA10;TICAM2;GRB2;MAP2K4;BAD;IRAK1;E2F1;KRAS;TRAF6;PIK3R3
9,prerank,Inflammatory bowel disease (IBD),0.38483536437476357,2.113803888788062,0.0,0.0033918124299423895,0.028,37/64,28.89%,RORC;SMAD3;TLR2;IFNGR1;IL18;TLR5;STAT1;IL12A;IL4R;IL13;IL4;FOXP3;STAT4;IL1B;IFNG;HLA-DRB3;TLR4;IL10;IL18R1;TNF;HLA-DMB;IL12RB1;STAT6;MAF;HLA-DRB4;TGFB2;GATA3;JUN;HLA-DQA1;HLA-DQB1;HLA-DPA1;NFKB1;RELA;HLA-DRA;STAT3;IL21R;IL6
10,prerank,Apoptosis,0.35103838679559474,2.1132049572372487,0.0,0.003083465845402173,0.028,93/123,47.22%,CFLAR;AKT3;PARP2;TP53;HRAS;PDPK1;GADD45B;PMAIP1;ITPR1;ACTB;PIK3CA;ATF4;BIRC3;RIPK1;FOS;TRADD;CASP9;BID;MAPK9;SPTAN1;BIRC5;AIFM1;DDIT3;FAS;CASP10;NGF;ATM;XIAP;BECN1;CTSH;BIRC2;TNF;APAF1;IKBKB;DAXX;FADD;AKT1;NRAS;CTSB;MAP2K1;PIK3CD;CTSD;FASLG;CTSK;NTRK1;BCL2A1;TUBA3C;JUN;MCL1;LMNA;MAPK1;CHUK;CTSL;EIF2S1;IKBKG;BCL2L1;NFKB1;RELA;MAPK3;NFKBIA;TRAF2;CASP7;MAP3K14;BAX;PIK3R2;ENDOG;SPTA1;DFFB;CTSW;BCL2;RAF1;PARP1;MAP3K5;TNFRSF10A;TUBA4A;GZMB;MAPK8;PARP4;BIRC7;CASP8;CYCS;CAPN1;CASP3;AKT2;TNFRSF1A;DIABLO;BCL2L11;TRAF1;BAD;ITPR3;DFFA;KRAS;PIK3R3
11,prerank,Adipocytokine signaling pathway,0.3870920468386948,2.101236641534737,0.0,0.0033404213325190207,0.034,35/61,26.97%,RXRA;AKT3;PRKAG2;JAK2;ACSL3;PRKAG1;CPT1A;TRADD;SLC2A1;MAPK9;PPARA;PRKCQ;CAMKK2;NFKBIB;PRKAA1;STK11;TNF;POMC;PCK1;IKBKB;AKT1;PRKAB1;ACACB;TNFRSF1B;G6PC;IRS1;CHUK;IKBKG;NFKB1;RELA;MTOR;NFKBIA;PCK2;STAT3;TRAF2
12,prerank,Kaposi sarcoma-associated herpesvirus infection,0.33480125093829866,2.0904893173598587,0.0,0.0034787819794280922,0.039,110/159,44.02%,AKT3;RAC1;TP53;HRAS;EIF2AK2;RB1;JAK2;IKBKE;CDK4;MAPK13;CREB1;IFNGR1;ITPR1;PLCG2;STAT1;PIK3CA;CALM1;HIF1A;CDKN1A;GSK3B;FOS;TRADD;CASP9;SYK;SRC;BID;MAPK9;IFNA16;EP300;GNG12;FAS;CXCL1;HLA-A;LYN;CCR5;CDK6;BECN1;TLR3;CCR4;GNB2;IKBKB;NFATC4;FADD;MAP2K6;AKT1;NRAS;CALM3;MAPK11;MAP2K1;PIK3CD;PTGS2;IFNB1;IFNA8;GNG4;STAT2;GNG8;CD86;JUN;CTNNB1;MAPK1;GNB5;CHUK;IFNA14;IKBKG;NFATC3;NFKB1;RELA;PIK3CG;MAPK3;MTOR;VEGFA;NFKBIA;MAPKAPK2;STAT3;MAPK14;IRF9;TRAF2;IL6;ATG3;CD200R1;IFNAR2;IFNA5;BAX;PIK3R2;IFNAR1;IFNA1;GNGT2;CCND1;RAF1;IRF7;TRAF3;PLCG1;CXCL3;MAP2K7;MAPK8;TBK1;IFNA2;NFATC1;CASP8;CYCS;TYK2;TICAM1;CASP3;IFNA17;AKT2;IFNA10;TNFRSF1A;RCAN1;GNG11;MAP2K4
13,prerank,Prostate cancer,0.3636912785242601,2.089828409852042,0.0,0.0032302975523260855,0.039,55/89,33.71%,AKT3;TP53;HRAS;PDPK1;RB1;CREB1;PTEN;ZEB1;LEF1;TCF7L1;PIK3CA;ATF4;CDKN1A;GSK3B;HSP90B1;CASP9;GSTP1;EP300;PDGFRA;HSP90AA1;INS;AR;IKBKB;AKT1;NRAS;MAP2K1;PIK3CD;CCNE1;CDK2;CTNNB1;MAPK1;CHUK;IKBKG;NFKB1;RELA;ERG;MAPK3;ETV5;MTOR;MDM2;NFKBIA;EGFR;TCF7L2;PDGFD;HSP90AB1;ARAF;PLAU;PIK3R2;CDKN1B;CCND1;PLAT;BCL2;PDGFRB;RAF1;FGFR1
14,prerank,Hepatitis C,0.34339087109674515,2.070984131590532,0.0,0.0037686804777137665,0.05,91/124,47.22%,CFLAR;DDX58;RXRA;AKT3;TP53;HRAS;EIF2AK2;RB1;IKBKE;CDK4;OAS1;STAT1;PIK3CA;RIPK1;CDKN1A;GSK3B;TRADD;CASP9;BID;IFNA16;PPARA;FAS;IFNG;PPP2R2C;CDK6;NR1H3;TLR3;TNF;APAF1;IKBKB;FADD;AKT1;NRAS;MAP2K1;PIK3CD;IFNB1;IFNA8;FASLG;STAT2;CDK2;CTNNB1;MAPK1;CHUK;IFNA14;EIF2S1;IKBKG;PPP2R1A;NFKB1;RELA;MAPK3;NFKBIA;EGFR;CD81;STAT3;IRF9;TRAF2;PIAS1;IFNAR2;IFNA5;BAX;IFIT1;ARAF;PIK3R2;IFNAR1;IFNA1;CCND1;RAF1;IRF7;TRAF3;YWHAH;TBK1;IFNA2;CASP8;CYCS;TYK2;PPP2R2A;TICAM1;CLDN11;CASP3;IFNA17;AKT2;IFNA10;TNFRSF1A;GRB2;MX1;PPP2CA;BAD;E2F1;KRAS;TRAF6;PIK3R3
15,prerank,Leishmaniasis,0.3688910349800772,2.0649329267785697,0.0,0.003918571178531928,0.055,38/69,26.88%,TLR2;JAK2;MAPK13;ITGB2;IFNGR1;IRAK4;STAT1;IL12A;NCF2;ITGA4;FOS;IL4;ITGAM;IL1B;IFNG;HLA-DRB3;TLR4;NFKBIB;IL10;TNF;HLA-DMB;MAPK11;PTGS2;HLA-DRB4;TGFB2;JUN;HLA-DQA1;CYBB;HLA-DQB1;MAPK1;HLA-DPA1;NFKB1;RELA;MAPK3;NFKBIA;HLA-DRA;NCF1;MAPK14
16,prerank,PI3K-Akt signaling pathway,0.30907535332893843,2.046635132774008,0.0,0.004474048481563937,0.066,187/266,48.01%,MLST8;RXRA;LPAR2;AKT3;OSMR;RAC1;F2R;TP53;HRAS;PDPK1;TLR2;MYB;JAK2;CDK4;CSF3;CREB1;PTEN;IGF2;ITGA3;TSC2;IL4R;PIK3CA;ATF4;RPS6KB1;RPS6;CDKN1A;GSK3B;LPAR1;HSP90B1;ITGA4;CASP9;SYK;GH1;VEGFC;IL4;IFNA16;PDGFRA;GNG12;SPP1;NGF;HSP90AA1;RHEB;PPP2R2C;IL2RA;JAK3;INS;ATF2;CDK6;PGF;BRCA1;EPO;PKN1;TLR4;EIF4E;PRKAA1;PRKCA;STK11;PRLR;EIF4EBP1;GNB2;PCK1;ITGB7;CCND3;IKBKB;TEK;CSF1R;PPP2R3C;AKT1;NRAS;CDC37;LPAR5;LPAR6;PKN2;ITGB4;MAP2K1;PIK3CD;IFNB1;CCND2;IFNA8;FASLG;GNG4;NTRK1;GNG8;MET;CCNE1;FGFR3;CDK2;G6PC;ERBB3;IRS1;VEGFB;MCL1;COL4A5;TSC1;MAPK1;GNB5;CHUK;IFNA14;IKBKG;FGFR4;BCL2L1;PRL;PPP2R1A;NFKB1;RELA;LAMB2;PIK3CG;MAPK3;MTOR;MDM2;VEGFA;ITGA2;EGFR;PCK2;PDGFD;RPS6KB2;IL6;HSP90AB1;CSF1;IFNAR2;IFNA5;PIK3R2;IFNAR1;IFNA1;GNGT2;EPOR;CDKN1B;CCND1;BCL2;EPHA2;PDGFRB;RAF1;FGFR1;PKN3;IL7R;ITGAV;COL4A3;ITGA8;G6PC2;EFNA1;YWHAH;PPP2R5C;EIF4B;IL2RB;SGK2;IFNA2;CREB3L4;DDIT4;CREB3L2;ERBB2;ITGB5;CHRM1;PRKAA2;PPP2R5B;IL2;CREB3L1;PPP2R2A;GHR;ITGA6;FN1;IFNA17;AKT2;OSM;ERBB4;IFNA10;IL6R;GNG11;GRB2;FLT1;LAMB3;ITGB1;BCL2L11;PTK2;PPP2CA;IGF1R;BAD;FGF9;FOXO3;PIK3R6;THBS3;KRAS;PIK3R3;FGF1;ITGB3;CSF3R;FLT4;NR4A1
17,prerank,NOD-like receptor signaling pathway,0.3296650198683875,2.0465303727280966,0.0,0.004225490232588162,0.066,98/142,45.11%,TNFAIP3;RIPK2;CCL2;IKBKE;MAPK13;PLCB1;IRAK4;ITPR1;IL18;PRKCD;OAS1;STAT1;VDAC1;BIRC3;RIPK1;RHOA;GPRC6A;MAPK9;CASP4;IFNA16;CXCL1;HSP90AA1;IL1B;GBP3;XIAP;SHARPIN;CARD9;NAMPT;BIRC2;TLR4;NFKBIB;TNF;NOD1;IKBKB;DNM1L;FADD;NLRP3;CTSB;MAPK11;IFNB1;IFNA8;STAT2;JUN;CCL5;TMEM173;ATG16L1;NAIP;CYBB;NLRC4;GBP4;MAPK1;CHUK;IFNA14;IKBKG;TRPM2;BCL2L1;ATG5;NFKB1;RELA;MAPK3;NFKBIA;MAPK14;IRF9;TRAF2;TRAF5;IL6;HSP90AB1;IFNAR2;IFNA5;AIM2;ATG12;IFNAR1;IFNA1;BCL2;IRF7;GBP7;TAB2;TRAF3;CXCL3;SUGT1;MAPK8;TBK1;IFNA2;TXN;CASP8;CYBA;DEFB4A;TANK;TYK2;TICAM1;CARD8;CAMP;IFNA17;IFNA10;TRPV2;CASR;PLCB3;PSTPIP1
