,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Asthma,0.48904451768020657,1.9460726008928837,0.0020512820512820513,0.06835274005268062,0.064,21/28,36.01%,HLA-DRB5;HLA-DQA2;CCL11;IL13;RNASE3;HLA-DOB;IL5;IL9;FCER1G;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DMA;HLA-DQB1;IL10;CD40;FCER1A;HLA-DRB1;CD40LG;EPX;HLA-DOA
1,prerank,Inflammatory bowel disease (IBD),0.4083025965210439,1.8878804551792268,0.0,0.06433199063781705,0.118,32/64,22.34%,STAT6;NOD2;FOXP3;IL23A;IL4R;IL2;HLA-DRB5;HLA-DQA2;TGFB1;IFNGR1;JUN;TLR4;TBX21;SMAD3;IL13;HLA-DOB;RELA;IL5;HLA-DMB;HLA-DPB1;HLA-DRA;IL12B;HLA-DMA;HLA-DQB1;IL21R;IL10;IL21;NFATC1;STAT1;IFNG;IL12RB2;TLR5
2,prerank,Antigen processing and presentation,0.4111912815244653,1.8847379628911445,0.0,0.04389318111226059,0.121,44/62,40.60%,HSPA1A;KIR2DL3;KIR2DS4;HLA-DRB5;HLA-DQA2;CD8A;RFXANK;HLA-DOB;HSP90AB1;LGMN;TAP2;KIR3DL1;HLA-DMB;HLA-DPB1;HLA-DRA;CTSB;HLA-DMA;KIR2DL4;HLA-DQB1;IFI30;KLRC4;KLRC1;TAP1;KLRD1;HSPA1B;IFNG;TAPBP;KLRC3;CD4;KIR3DL2;RFX5;B2M;CIITA;RFXAP;HLA-DRB1;CANX;HSPA4;KIR3DL3;HLA-DOA;HSP90AA1;CTSL;HSPA8;CD74;KLRC2
3,prerank,Tryptophan metabolism,0.44716568370966253,1.8623819636034633,0.0010183299389002036,0.04246916569449642,0.152,19/35,20.20%,KYNU;ALDH1B1;HADH;DDC;ALDH7A1;ACAT2;ACMSD;CYP1A1;DLD;ALDH3A2;AOX1;CYP1B1;ACAT1;MAOA;AADAT;IL4I1;CYP1A2;CAT;EHHADH
4,prerank,Toxoplasmosis,0.3754818014027082,1.8357061178386056,0.0,0.046037580800187834,0.2,58/99,33.12%,HSPA1A;IRAK4;CASP3;NOS2;HLA-DRB5;HLA-DQA2;LAMB3;TGFB1;IFNGR1;JAK1;TLR4;PIK3R5;IKBKG;PIK3CG;BAD;TNFRSF1A;ITGA6;HLA-DOB;RELA;PDPK1;CASP8;CASP9;AKT2;MAP2K3;HLA-DMB;HLA-DPB1;HLA-DRA;MAPK3;BCL2L1;IL12B;HLA-DMA;HLA-DQB1;IL10;BCL2;CYCS;IL10RB;STAT1;HSPA1B;IFNG;IRAK1;IRGM;JAK2;MAP3K7;CD40;CHUK;LDLR;CIITA;HLA-DRB1;LAMB2;STAT3;AKT1;CCR5;ALOX5;SOCS1;NFKBIA;CD40LG;MAPK1;IL10RA
5,prerank,Measles,0.3633629982563082,1.8185990562789731,0.0,0.04439577478911854,0.222,110/126,57.42%,HSPA1A;SLAMF1;PIK3CD;IRAK4;CASP3;TP53;RCHY1;IL2;FADD;TRADD;CDK2;FOS;CBLB;JUN;JAK1;TLR4;IKBKG;IRF3;IFNA8;IFNA2;BAD;CCND3;IFNA16;IL2RA;FCGR2B;CSNK2B;IFNA10;TBK1;RELA;CASP8;CASP9;AKT2;IFNA21;TNFAIP3;IFNA7;BCL2L1;IL12B;APAF1;EIF2AK4;IFNAR1;BCL2;CCND2;IFNA17;BBC3;CYCS;STAT1;ADAR;IL2RB;HSPA1B;IRAK1;OAS2;TLR9;OAS3;STAT2;MAP3K7;EIF2AK2;CHUK;CD3E;FAS;BAK1;STAT3;AKT1;EIF2AK1;CDKN1B;TLR7;IFNA4;NFKBIA;CD209;CD46;MX1;OAS1;JAK3;IFNA14;CDK4;MYD88;CSNK2A1;DDX58;IFNB1;HSPA8;TRAF3;CD3D;IRF7;IL6;IL2RG;TYK2;BAX;MAPK9;PIK3R1;STAT5A;NFKB1;TLR2;IFNAR2;NFKBIB;TAB2;MAPK8;CD28;IKBKB;GSK3B;BID;CCNE1;CDK6;CLEC4M;PIK3CA;STAT5B;CD3G;EIF3H;AKT3;CCND1;IFNA1;IFIH1
6,prerank,Autoimmune thyroid disease,0.4140926312298211,1.8023336155341156,0.0010080645161290322,0.04552062730399108,0.261,29/44,36.01%,IL2;HLA-DRB5;HLA-DQA2;IFNA8;IFNA2;IFNA16;IFNA10;HLA-DOB;IL5;IFNA21;HLA-DMB;HLA-DPB1;HLA-DRA;IFNA7;HLA-DMA;HLA-DQB1;IL10;IFNA17;CD80;CGA;CD40;FAS;HLA-DRB1;TSHR;TPO;IFNA4;CD40LG;IFNA14;HLA-DOA
7,prerank,Cytokine-cytokine receptor interaction,0.33728549976374916,1.7691972957677016,0.0,0.05541095287358852,0.341,175/229,50.86%,PF4;CXCR4;CXCR6;BMPR1B;CCL22;IL23A;IL9R;IL4R;IL2;CXCL1;TNFSF13;CXCL8;CCR7;EDAR;TGFB1;CXCL13;IFNGR1;AMHR2;CCL7;LTB;TNFRSF21;IL36RN;BMPR2;IFNA8;IFNA2;TNFRSF10D;TNFRSF1A;TNFSF13B;CCL11;CSF3;IL17RE;IL13;CCL3;IFNA16;GHR;IL2RA;IFNA10;ACVRL1;TNFRSF10A;TGFBR1;IL5;IL9;IL31;CCR3;TNFSF12;CXCL5;IFNA21;IFNA7;CXCR1;EDA;ACVR2A;TNFSF9;XCL2;IL12B;CTF1;TNFSF11;IL6ST;IL33;IL26;IL21R;CCL20;CXCL6;IL10;CD70;TNFRSF17;IFNAR1;IL21;IFNA17;IL10RB;CCR4;TNFRSF4;PRLR;IL2RB;IL25;CCL8;IFNG;IL12RB2;LIF;IL3RA;LIFR;CCR2;IL17D;IL17RB;IL17RA;CCL17;PRL;IL1R1;CD4;CD40;CSF3R;NGFR;FAS;IL17RC;OSM;CCL4;CRLF2;CCL19;INHBC;CX3CL1;MPL;IL15;EDA2R;CCR5;NGF;TNFRSF19;CSF2RA;TNFRSF14;IL23R;IL11;IL7;IFNA4;PPBP;ACVR1;CD40LG;IL10RA;XCR1;IL12RB1;IL6R;TNFSF8;IL16;ACKR3;CXCR2;IFNA14;IL15RA;IL1R2;TNFRSF11A;CSF2;TNFRSF10C;OSMR;LEP;IL1RAP;CCL21;EPO;TNFRSF18;CXCL11;IFNB1;IL1RL2;CSF1R;IL6;IL2RG;IL18RAP;IL13RA1;CCL2;BMP5;CCR9;IL1RN;IFNL3;LEPR;CCL4L2;CCL3L3;LTBR;CCR1;TNFRSF10B;CXCL9;TNFRSF13B;CXCL12;TNFRSF25;CSF1;LTA;CCL13;IL27;AMH;CD27;IL7R;BMP2;IFNAR2;IL22;EPOR;IL36G;GH1;CXCR3;TNFSF15;CCL1;RELT;CSF2RB
8,prerank,Steroid biosynthesis,0.5066642520413596,1.7676286806999906,0.005434782608695652,0.05037105516954078,0.349,12/17,29.52%,SOAT2;FDFT1;MSMO1;EBP;LIPA;CYP51A1;CYP24A1;NSDHL;CEL;SOAT1;DHCR7;TM7SF2
9,prerank,Nitrogen metabolism,0.5032696110590105,1.7613194413768012,0.013015184381778741,0.04885210539059233,0.375,13/16,37.28%,CA8;GLUD2;CA2;CA14;CA7;CA12;CA1;CA5A;CA6;CA3;GLUL;CPS1;CA9
