,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prostate cancer,0.419248249826986,2.1782226376373828,0.0,0.007076054675250411,0.007,53/89,27.88%,MTOR;BRAF;HRAS;RAF1;CASP9;FGFR2;MAPK3;CDK2;CTNNB1;RELA;IKBKG;HSP90B1;BCL2;ERBB2;MAPK1;EGFR;IGF1R;TP53;ETV5;PDGFRB;PLAT;CCNE1;ATF4;PDGFRA;NKX3-1;CREBBP;CREB3L4;PDGFD;ZEB1;HSP90AB1;GSTP1;NFKB1;IL1R2;AKT1;CREB3L2;KLK3;PIK3R1;TGFA;PIK3R3;E2F1;PIK3CA;ARAF;PDPK1;TCF7L2;CREB5;PIK3CB;HSP90AA1;NFKBIA;CREB3L1;FGFR1;EP300;MAP2K1;IKBKB
1,prerank,GnRH signaling pathway,0.41833699868769464,2.1235182027549855,0.0,0.009097784582464814,0.017,51/77,36.45%,PRKACG;HRAS;RAF1;JUN;MAPK3;CAMK2G;PRKACA;CALM3;GNRHR;MAPK12;ADCY9;CAMK2D;ADCY2;MAP2K3;MAPK1;EGFR;MAP3K1;PLD2;PRKCB;GNAS;ATF4;MAP3K4;MAPK13;HBEGF;PLCB1;EGR1;ADCY3;SRC;ITPR3;CAMK2A;ITPR1;CACNA1C;MAP2K4;MMP14;PLCB3;MAPK14;PLA2G4A;MAP2K1;MAPK11;PRKCA;MAPK7;GNRH1;ADCY1;CDC42;CGA;PRKACB;CALM1;MMP2;GRB2;MAP2K6;ELK1
2,prerank,Chagas disease (American trypanosomiasis),0.3884787205306639,2.058121864464111,0.0,0.011119514489679216,0.032,60/96,35.60%,SMAD2;GNA15;C1QB;TICAM1;CALR;GNAI2;JUN;C1QA;IFNGR1;MAPK3;KNG1;TLR2;RELA;MAPK12;IKBKG;TGFBR1;MAPK1;IRAK1;GNAI3;CCL3;C3;IL2;GNAS;MAPK13;TLR4;PPP2R2C;TLR9;CD247;NFKB1;GNAI1;AKT1;PLCB1;PIK3R1;PIK3R3;PIK3CA;CCL3L3;PIK3CB;PPP2R1A;MAP2K4;NFKBIA;PLCB3;IRAK4;BDKRB2;TGFBR2;SMAD3;CD3G;CD3D;MAPK14;IKBKB;MAPK11;IL1B;IFNG;IFNB1;IL12A;CFLAR;ADCY1;FASLG;IL6;CCL2;CHUK
3,prerank,Progesterone-mediated oocyte maturation,0.412517082878305,2.049177590925482,0.0,0.009350500820866614,0.036,41/64,34.21%,PRKACG;BRAF;RAF1;GNAI2;RPS6KA1;MAPK3;CDK2;PRKACA;MAPK12;ADCY9;PLK1;ADCY2;MAPK1;GNAI3;IGF1R;CDK1;CDC25B;MAPK13;PGR;HSP90AB1;GNAI1;PKMYT1;AURKA;AKT1;ADCY3;PIK3R1;PIK3R3;PIK3CA;ARAF;PIK3CB;HSP90AA1;RPS6KA3;MAPK14;MAP2K1;MAPK11;CDC25C;MOS;ADCY1;RPS6KA6;CPEB4;PRKACB
4,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3918457817162622,2.0415510762570874,0.0,0.007480400656693292,0.036,55/87,35.54%,SMAD2;EDN1;HRAS;JUN;MAPK3;SMAD4;AGT;F3;STAT3;FN1;JAK2;RELA;MAPK12;PRKCE;BCL2;TGFBR1;MAPK1;PLCD1;PLCG2;COL1A2;ICAM1;PRKCB;MAPK13;VEGFB;PRKCZ;NFKB1;NFATC1;PLCE1;AKT1;PLCB1;EGR1;PIK3R1;PIK3R3;CASP3;CDK4;PIK3CA;PIK3CB;PIM1;PLCB3;TGFBR2;SMAD3;MAPK14;MAPK11;PRKCA;IL1B;NOX1;SELE;COL4A2;BAX;CDC42;RAC1;AGTR1;IL6;CCL2;MMP2
5,prerank,Salmonella infection,0.4127615051242478,2.0326660706873065,0.0,0.00707605467525041,0.041,40/58,37.80%,JUN;ACTB;IFNGR1;MAPK3;CD14;PYCARD;ROCK1;RELA;MAPK12;CXCL1;MAPK1;CCL4L2;ARPC5;CCL3;ACTG1;MAPK13;TLR4;ARPC1A;NFKB1;PFN2;LBP;CCL3L3;PKN3;MAPK14;ARPC3;CCL4;MAPK11;IL18;IL1B;TLR5;IFNG;WAS;CDC42;PKN2;RAC1;IL6;PLEKHM2;FLNB;CXCL2;NLRC4
6,prerank,NOD-like receptor signaling pathway,0.3679349364396082,2.0320227325746445,0.0,0.006065189721643209,0.041,90/140,38.47%,ANTXR2;OAS2;NAMPT;TICAM1;JUN;MAP3K7;MEFV;CASP5;MAPK3;GBP2;TXN;PYCARD;CASP4;IFNA10;DEFB4A;RELA;MAPK12;IKBKG;BIRC2;TNFAIP3;BCL2;IFNA7;CYBA;NLRP3;IFNA5;GBP3;CXCL1;CASR;NFKBIB;PSTPIP1;MAPK1;IFNA4;TAB2;DNM1L;NLRP7;STAT2;GBP1;MAPK13;TLR4;CTSB;HSP90AB1;IFNA14;NFKB1;CAMP;IRF9;IFNAR1;PLCB1;GPRC6A;IFNA16;GBP7;ATG5;ITPR3;IKBKE;BCL2L1;TRAF5;ITPR1;HSP90AA1;IFNA8;NFKBIA;PLCB3;TYK2;IRAK4;IFNA21;SHARPIN;TBK1;MAPK14;RBCK1;GBP4;CARD6;TANK;IKBKB;MAPK11;IL18;IL1B;JAK1;ATG16L1;OAS3;IFNB1;TRPM2;TP53BP1;IL6;CCL2;CHUK;VDAC1;RIPK3;RHOA;CXCL2;NLRC4;PANX1;AIM2
7,prerank,Butanoate metabolism,0.5340054124261321,2.022283161569504,0.0,0.005559757244839608,0.043,13/19,26.34%,ACSM5;ACAT2;GAD1;HADHA;ACAT1;BDH1;HADH;HMGCL;EHHADH;HMGCS2;OXCT1;ABAT;ALDH5A1
8,prerank,Adherens junction,0.4064697856172219,2.0173499587869936,0.0,0.005391279752571741,0.047,31/58,25.95%,SMAD2;CSNK2B;PTPN6;PTPRJ;MAP3K7;ACTB;MAPK3;SMAD4;CTNNB1;PTPN1;FYN;TGFBR1;ERBB2;MAPK1;EGFR;NECTIN4;CSNK2A2;IGF1R;CREBBP;ACTN4;ACTG1;SNAI1;SNAI2;MET;SRC;PTPRF;TCF7L2;FGFR1;TGFBR2;SMAD3;EP300
9,prerank,Hepatitis B,0.3585093638103149,2.01437093408914,0.0,0.0051554112633967275,0.049,80/152,28.55%,BRAF;SMAD2;TICAM1;HRAS;RAF1;JUN;CASP9;MAP3K7;MAPK3;SMAD4;STAT3;CDK2;IFNA10;TLR2;JAK2;RELA;MAPK12;IKBKG;CYCS;BCL2;IFNA7;IFNA5;TGFBR1;MAP2K3;JAK3;BID;MAPK1;IRAK1;MAP3K1;IFNA4;TAB2;TP53;NFATC3;PRKCB;CCNE1;STAT6;ATF4;STAT2;CREBBP;CREB3L4;MAPK13;STAT4;TLR4;IFNA14;NFKB1;NFATC1;AKT1;CREB3L2;IFNAR1;IFNA16;PIK3R1;SRC;PIK3R3;E2F1;CASP3;PIK3CA;ARAF;IKBKE;CREB5;PIK3CB;ATF2;IFIH1;TICAM2;MAP2K4;IFNA8;NFKBIA;TYK2;CREB3L1;IRAK4;IFNA21;TGFBR2;SMAD3;TBK1;MAPK14;DDB2;EP300;MAP2K1;IKBKB;MAPK11;PRKCA
