,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Proteasome,0.660806004465858,2.0320396501170133,0.0,0.0020161143049153745,0.002,13/23,12.32%,PSMB2;PSMA7;PSMB1;PSMA5;PSMB5;PSMA1;PSMD1;PSMB8;PSMA3;PSMC5;PSMD3;PSMD2;PSMB7
1,prerank,Thyroid hormone signaling pathway,0.45793297984889747,1.6709510160503787,0.0,0.13608771558178778,0.227,59/95,34.50%,BAD;KRAS;RAF1;ITGAV;MAPK3;PDPK1;CREBBP;HRAS;HDAC3;ATP1A3;STAT1;SIN3A;HDAC1;AKT1;CTNNB1;NCOA3;ATP1B2;HIF1A;TSC2;ATP1A4;ATP1B1;SRC;TP53;ATP1A1;MDM2;SLC2A1;NOTCH1;AKT3;EP300;PRKACB;ATP2A2;PRKACG;MAP2K2;PFKP;ESR1;PLCE1;PRKACA;RHEB;TBC1D4;PLCB3;RXRA;PIK3R3;MED1;MYC;ACTB;KAT2B;SLC16A10;FOXO1;NRAS;MED12L;GSK3B;PIK3CA;MED12;RCAN1;PRKCA;PIK3CD;THRA;SLC9A1;MAPK1
2,prerank,Central carbon metabolism in cancer,0.47954959233677175,1.6617709165714938,0.0,0.10450192480478025,0.26,42/60,37.24%,SIRT3;KRAS;RAF1;MAPK3;HRAS;EGFR;RET;AKT1;HIF1A;FGFR2;G6PD;PFKL;PDHB;PDGFRB;HK1;TP53;PFKM;HK2;PKM;SLC2A1;PDK1;AKT3;GCK;MAP2K2;SLC7A5;PFKP;FGFR3;ERBB2;PDHA1;PDGFRA;PIK3R3;MYC;NTRK1;NRAS;PIK3CA;SIRT6;PIK3CD;MAPK1;FLT3;KIT;MET;AKT2
3,prerank,Prostate cancer,0.46176899647986197,1.6596218801602867,0.0,0.08064457219661497,0.264,65/89,43.26%,BAD;KRAS;CREB3L2;RAF1;ERG;BCL2;MAPK3;PDPK1;CREBBP;PLAU;HRAS;EGFR;ATF4;RELA;AKT1;CTNNB1;NFKBIA;GRB2;SOS1;FGFR2;ZEB1;PDGFRB;GSTP1;INS;CDKN1B;PDGFD;CDK2;TP53;MDM2;HSP90AB1;CDKN1A;KLK3;HSP90AA1;AKT3;EP300;TCF7L2;IKBKG;MAP2K2;LEF1;ERBB2;IGF1R;BRAF;PDGFRA;PIK3R3;AR;FOXO1;NRAS;RB1;GSK3B;PIK3CA;PLAT;IKBKB;PIK3CD;ETV5;MAPK1;TCF7;INSRR;AKT2;EGF;HSP90B1;SOS2;PIK3CB;CREB3L4;CREB1;MTOR
4,prerank,Mitophagy,0.4922254477811997,1.6571924533084492,0.0010050251256281408,0.06612854920122428,0.268,25/43,27.94%,KRAS;BECN1;HRAS;JUN;ATF4;RELA;PINK1;CSNK2B;HIF1A;MAPK8;TFEB;SRC;TP53;ATG5;TBK1;GABARAPL1;BCL2L13;FOXO3;CSNK2A1;BCL2L1;RRAS2;FIS1;TBC1D15;EIF2AK3;MITF
5,prerank,Tryptophan metabolism,0.5034039227337788,1.6488743997407183,0.0,0.06115546724909969,0.296,21/35,30.42%,CAT;HADH;ALDH1B1;AADAT;ACAT2;ALDH9A1;IL4I1;ACAT1;MAOA;CYP1A1;CYP1A2;ALDH3A2;DLD;AOX1;ALDH7A1;TPH1;KYAT1;KYAT3;EHHADH;ASMT;ACMSD
6,prerank,Steroid biosynthesis,0.5767583943847922,1.6441346448156378,0.011603375527426161,0.057315249525451355,0.32,13/17,31.32%,NSDHL;MSMO1;FDFT1;CYP51A1;DHCR7;HSD17B7;SOAT2;CYP24A1;SOAT1;EBP;LIPA;TM7SF2;DHCR24
7,prerank,Viral carcinogenesis,0.44283451454521955,1.6439066741384858,0.0,0.05027685047882715,0.321,81/141,33.67%,BAD;JAK1;KRAS;CCNA2;HIST1H2BJ;CREB3L2;HDAC8;HIST1H4E;MAPK3;CREBBP;HDAC6;HRAS;STAT3;CDK4;HDAC3;JUN;CASP8;CHEK1;CCNA1;TRAF1;ATF4;HIST1H2BK;HDAC10;RELA;HDAC1;NFKBIA;LTBR;POLB;GRB2;IL6ST;GTF2E2;RBL2;PMAIP1;CDKN1B;CDK2;MAPKAPK2;SRC;SRF;TP53;RHOA;HDAC4;JAK3;MDM2;PKM;IRF3;RAC1;CDKN1A;TRAF5;CDK1;EP300;CHD4;PRKACB;IKBKG;CCND3;HDAC9;PRKACG;PRKACA;CASP3;TRADD;PIK3R3;DLG1;CCND2;TRAF3;HDAC11;KAT2B;HIST1H2BD;CDC42;NRAS;C3;RB1;PXN;HDAC5;ACTN4;PIK3CA;STAT5B;HIST1H4I;GTF2H1;EGR2;USP7;SNW1;PIK3CD
8,prerank,mRNA surveillance pathway,0.49883916325311406,1.6412158917412334,0.001006036217303823,0.04581059726168823,0.326,18/39,15.69%,PPP2CA;PPP1CA;PPP2R3C;PPP2R2C;NCBP1;PAPOLA;PPP1CC;MSI2;NCBP2;SAP18;NXF1;SMG1;PPP2R5E;SMG7;PABPN1;CPSF1;PPP2R5C;PELO
9,prerank,Cell cycle,0.4508212981880647,1.6267434487224983,0.0,0.04949560618567243,0.38,46/94,26.68%,CDK7;CCNA2;WEE1;CREBBP;CDK4;BUB1B;MCM3;TFDP1;CHEK1;SMAD4;CCNA1;TTK;BUB3;HDAC1;ESPL1;PRKDC;ATR;RBL2;TFDP2;CDC25B;CDKN1B;CDK2;CCNH;CDC7;TP53;SMC3;TGFB1;MDM2;CDC45;CDKN1A;CDK1;EP300;GADD45B;CCND3;MCM2;CCNB2;SMAD3;PLK1;SFN;E2F5;BUB1;SKP1;CDKN2C;CCND2;MYC;CDC25C
