,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,ErbB signaling pathway,0.5224684991364846,1.946274890203675,0.0,0.006031182964093337,0.006,47/79,27.62%,MTOR;BAD;MAP2K4;CDKN1B;MAPK9;RPS6KB1;AKT1;JUN;PIK3R3;HRAS;PIK3R1;PIK3CD;ARAF;EGFR;CBLB;SOS2;AREG;ERBB2;ABL1;CRKL;PIK3CB;PIK3CA;PTK2;PRKCA;PAK1;CAMK2D;MYC;PLCG2;EIF4EBP1;ERBB3;MAPK3;MAP2K1;GRB2;MAPK8;RAF1;RPS6KB2;PAK2;EGF;ERBB4;KRAS;AKT3;SHC1;BRAF;SOS1;CAMK2B;NRG1;PRKCB
1,prerank,Regulation of lipolysis in adipocytes,0.5303310134416475,1.8722843521683086,0.0,0.009549373026481118,0.018,29/43,29.03%,AKT1;PIK3R3;PRKACB;GNAI2;PIK3R1;PIK3CD;ADCY6;GNAI3;NPY1R;INSR;IRS1;PIK3CB;PIK3CA;GNAS;PRKACA;ADCY3;IRS2;PRKG2;PDE3B;GNAI1;PTGS2;ADRB3;AKT3;PRKACG;MGLL;CGA;ADCY7;NPR1;FABP4
2,prerank,Longevity regulating pathway,0.4898674689282016,1.8455980911808267,0.0,0.009381840166367415,0.027,46/85,23.68%,MTOR;CREB3L2;CREB3;PPARG;RPS6KB1;AKT1;PIK3R3;FOXO3;IGF1R;PRKACB;CAT;HRAS;STK11;PIK3R1;PIK3CD;ADCY6;NFKB1;EIF4E;INSR;HDAC1;IRS1;TP53;RELA;PIK3CB;PIK3CA;FOXO1;SOD1;RHEB;CREB1;PRKACA;PRKAA1;EIF4EBP1;PPARGC1A;BAX;ADCY3;ATF2;IRS2;HSPA8;RPS6KB2;PRKAG1;PRKAB1;RPTOR;KRAS;ATF4;AKT3;PRKACG
3,prerank,Colorectal cancer,0.494122326914836,1.8398507357225473,0.0,0.0072876794149461166,0.027,46/79,25.71%,MTOR;BAD;MAPK9;RPS6KB1;AKT1;JUN;PIK3R3;HRAS;PMAIP1;PIK3R1;PIK3CD;ARAF;EGFR;FOS;BCL2;SOS2;CASP3;AREG;DDB2;SMAD2;TP53;PIK3CB;PIK3CA;TGFB1;MYC;RALB;BAX;MAPK3;MAP2K1;TGFB2;GRB2;MAPK8;SMAD4;RAF1;RAC1;RPS6KB2;AXIN2;EGF;KRAS;AKT3;GADD45B;BRAF;SOS1;CYCS;TGFBR2;TCF7L2
4,prerank,HIF-1 signaling pathway,0.48050255807897874,1.8134403549286258,0.0,0.007840537853321339,0.037,39/89,14.01%,MTOR;MKNK2;CDKN1B;RPS6KB1;AKT1;HIF1A;PIK3R3;IGF1R;PIK3R1;PIK3CD;STAT3;EGFR;EDN1;CUL2;NFKB1;EIF4E;BCL2;SERPINE1;ERBB2;INSR;RELA;PIK3CB;PIK3CA;IFNGR1;SLC2A1;PRKCA;CAMK2D;PDHA1;IL6;HMOX1;PLCG2;MKNK1;VEGFA;EIF4EBP1;HK1;MAPK3;IFNG;PDHB;MAP2K1
5,prerank,B cell receptor signaling pathway,0.4917701519513874,1.808411914285625,0.0,0.00787404442534408,0.043,42/68,28.24%,NFKBIB;AKT1;JUN;PIK3R3;HRAS;NFATC3;INPP5D;PIK3R1;PIK3CD;FOS;NFKB1;FCGR2B;PTPN6;SOS2;PPP3CC;NFKBIE;RELA;PPP3CA;PIK3CB;PIK3CA;PLCG2;MAPK3;CD19;MAP2K1;IKBKG;GRB2;SYK;RAF1;RAC1;CD81;CD22;CD79A;KRAS;AKT3;NFATC1;VAV1;CHUK;SOS1;PPP3CB;PRKCB;IKBKB;LYN
6,prerank,Non-small cell lung cancer,0.494345374869637,1.807925321088644,0.001,0.006749180936009211,0.043,41/63,32.51%,BAD;AKT1;PIK3R3;FOXO3;RB1;HRAS;CDK6;PIK3R1;PIK3CD;ARAF;STAT3;EGFR;SOS2;ERBB2;DDB2;TP53;PIK3CB;PIK3CA;PRKCA;EML4;JAK3;PLCG2;BAX;MAPK3;MAP2K1;GRB2;RAF1;RARB;EGF;KRAS;AKT3;GADD45B;BRAF;SOS1;PRKCB;ALK;PDPK1;CCND1;RXRG;GADD45A;STAT5A
7,prerank,Insulin signaling pathway,0.47070863485307457,1.7955314890199756,0.0,0.007790277995287228,0.055,73/111,34.34%,MTOR;MKNK2;BAD;MAPK9;RPS6KB1;AKT1;PIK3R3;SOCS1;PRKACB;HRAS;PYGL;PIK3R1;PIK3CD;ARAF;EIF4E;CBLB;PHKB;PRKAR2B;SOS2;SOCS2;PCK2;INSR;CRKL;IRS1;PIK3CB;PIK3CA;PHKG1;FOXO1;RHEB;PHKG2;GCK;PRKACA;MKNK1;PRKAA1;CALM2;EIF4EBP1;PPARGC1A;HK1;MAPK3;PRKAR1A;ACACA;MAP2K1;GRB2;MAPK8;IRS2;RAF1;PDE3B;PHKA1;RPS6KB2;PRKAG1;PRKAB1;RPTOR;KRAS;AKT3;PRKACG;SHC1;BRAF;SOS1;G6PC;PRKAG2;IKBKB;PDPK1;PRKAR2A;PKLR;GYS1;ACACB;PTPRF;PRKCI;CALM3;G6PC2;SOCS4;PPP1CA;TSC2
8,prerank,Progesterone-mediated oocyte maturation,0.4896980602843601,1.795093022080113,0.0,0.006924691551366425,0.055,39/65,26.44%,MAPK9;AKT1;PIK3R3;IGF1R;PRKACB;GNAI2;RPS6KA1;PIK3R1;PIK3CD;ARAF;ADCY6;GNAI3;HSP90AB1;CDC25B;PIK3CB;PIK3CA;PRKACA;MAPK13;CCNB1;PKMYT1;CCNB2;MAPK3;MAP2K1;MAPK8;ADCY3;CDC25A;RAF1;PDE3B;HSP90AA1;GNAI1;KRAS;AKT3;PRKACG;CCNA2;PGR;BRAF;ADCY7;MAPK14;CDK2
9,prerank,Pancreatic cancer,0.48521174651952337,1.7918598936852563,0.0,0.006533781544434449,0.058,45/71,29.35%,MTOR;BAD;MAPK9;RPS6KB1;AKT1;PIK3R3;RB1;CDK6;PIK3R1;PIK3CD;ARAF;STAT3;EGFR;NFKB1;ERBB2;DDB2;SMAD2;TP53;RELA;PIK3CB;PIK3CA;TGFB1;RALB;VEGFA;STAT1;BAX;MAPK3;MAP2K1;TGFB2;IKBKG;MAPK8;SMAD4;RAF1;RAC1;RPS6KB2;EGF;KRAS;AKT3;GADD45B;CHUK;BRAF;TGFBR2;IKBKB;CDC42;CCND1
