,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.42194500716881744,2.703512248814796,0.0,0.0,0.0,45/79,22.67%,JUN;TGFBR2;TP53;RPS6KB2;PIK3R3;SMAD3;GADD45B;AKT1;MAPK9;MTOR;SMAD4;DDB2;GRB2;RALGDS;CTNNB1;BCL2L11;CASP3;RAF1;ARAF;TCF7L2;AKT2;BRAF;PIK3CD;MAPK1;PMAIP1;RHOA;RPS6KB1;AXIN2;CCND1;MAPK8;MAPK3;AXIN1;MAP2K1;LEF1;RAC3;MLH1;RAC1;EGFR;PIK3R2;AKT3;CYCS;NRAS;FOS;TGFB3;TGFB2
1,prerank,TNF signaling pathway,0.3905887401407293,2.651346973553316,0.0,0.0,0.0,79/104,42.74%,MAPK14;JUN;IL15;TRADD;ATF4;CHUK;CX3CL1;PIK3R3;NFKBIA;IKBKB;CFLAR;IL18R1;MAPK13;AKT1;FAS;MAPK9;CREB3L4;JUNB;TNFAIP3;TRAF5;CASP3;TAB2;AKT2;ICAM1;PIK3CD;CSF1;CCL2;MAP2K7;ATF2;MAPK1;CCL20;TRAF1;CXCL5;MAP2K4;MAP3K14;MAP3K8;MAPK8;MAP3K5;BCL3;MAPK3;MAP2K1;TRAF2;PIK3R2;AKT3;MLKL;RPS6KA4;CCL5;VCAM1;FOS;RIPK1;MAP2K3;CXCL10;MAP2K6;CXCL1;NFKB1;CASP7;IFNB1;FADD;JAG1;PIK3CA;VEGFC;MMP14;CXCL3;RELA;MAPK11;CASP10;LIF;LTA;EDN1;IL1B;RPS6KA5;TNFRSF1B;CASP8;CREB3L2;PIK3R1;CREB1;MAPK12;CEBPB;CREB5
2,prerank,Hepatitis B,0.3633667207995897,2.6152810278341265,0.0,0.0,0.0,95/153,33.47%,MAPK14;IFNA16;JUN;TGFBR2;JAK2;TLR3;ATF4;CHUK;TP53;PIK3R3;NFKBIA;E2F1;IKBKB;SMAD3;TBK1;MAPK13;AKT1;FAS;MAPK9;STAT2;CREB3L4;SMAD4;STAT3;DDB2;GRB2;CREBBP;BID;CDK2;CASP3;TAB2;RAF1;TLR2;ARAF;AKT2;IFNA21;IFNA2;BRAF;PRKCG;PIK3CD;MAP2K7;RB1;TYK2;IFNA1;ATF2;MAPK1;IRAK4;MAP2K4;CCNA2;MAPK8;NFATC4;STAT4;IFIH1;MAPK3;CCNE1;MAP2K1;IKBKE;TIRAP;PIK3R2;PRKCA;AKT3;JAK3;PCNA;EP300;IRAK1;CYCS;NRAS;FOS;STAT6;MAP2K3;TGFB3;IFNA17;TGFB2;APAF1;DDX58;STAT1;MAP2K6;BCL2;NFKB1;IFNB1;FADD;PIK3CA;YWHAQ;SOS2;CDKN1A;NFATC3;BAX;TICAM2;KRAS;PTK2B;IRF7;CCNA1;NFATC2;RELA;MAPK11;CASP10
3,prerank,Neurotrophin signaling pathway,0.37954777476022605,2.5719666224739517,0.0,0.0,0.0,67/103,34.02%,MAPK14;JUN;PLCG1;NTRK1;NTRK3;ATF4;TP53;PIK3R3;NFKBIA;IKBKB;MAPKAPK2;PLCG2;CRK;MAPK13;AKT1;MAPK9;GRB2;RPS6KA1;RAF1;AKT2;BRAF;PIK3CD;IRS1;MAP2K7;MAPK1;IRAK4;RHOA;MAPK8;MAP3K5;MAPK3;MAP2K1;PDPK1;RAC1;MAGED1;PIK3R2;RPS6KA6;AKT3;ABL1;NGF;CAMK2G;IRAK1;MAPK7;NRAS;SH2B3;SORT1;NFKBIB;PRDM4;FRS2;BCL2;NFKB1;RIPK2;ARHGDIA;CALM3;PIK3CA;IRAK2;ARHGDIB;SOS2;RAP1A;BAX;KRAS;CDC42;RELA;MAPK11;MAP3K3;SHC4;PSEN1;GSK3B
4,prerank,Toll-like receptor signaling pathway,0.38523009014025855,2.564652267998648,0.0,0.0,0.0,67/98,36.17%,MAPK14;IFNA16;JUN;TLR3;CHUK;PIK3R3;NFKBIA;IKBKB;TLR9;TBK1;MAPK13;IL12A;AKT1;MAPK9;SPP1;CD40;TAB2;TLR2;AKT2;IFNA21;IFNA2;PIK3CD;MAP2K7;IFNA1;MAPK1;IRAK4;MAP2K4;TLR8;MAP3K8;MAPK8;MAPK3;MAP2K1;IKBKE;CD86;TIRAP;RAC1;TLR5;PIK3R2;AKT3;TOLLIP;CXCL9;IRF5;TLR1;IRAK1;CCL5;FOS;RIPK1;MAP2K3;CXCL10;IFNA17;STAT1;MAP2K6;NFKB1;IFNB1;FADD;LBP;PIK3CA;TLR6;CCL3;TICAM2;IRF7;RELA;MAPK11;TLR7;CXCL11;IFNA14;IL1B
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3777913211971184,2.4938062428649026,0.0,0.00017188384696271132,0.001,70/89,47.72%,MAPK14;JUN;F3;TGFBR2;PLCG1;JAK2;PIK3R3;CYBB;SMAD3;EGR1;MMP2;PLCG2;MAPK13;AKT1;MAPK9;COL4A3;SMAD4;STAT3;PRKCE;PRKCZ;CASP3;AKT2;ICAM1;PLCB1;PIK3CD;CCL2;MAPK1;CCND1;MAPK8;MAPK3;RAC1;CDKN1B;PIK3R2;PRKCA;AKT3;PLCD1;THBD;NRAS;VCAM1;TGFB3;TGFB2;STAT1;BCL2;NFKB1;AGTR1;PIK3CA;VEGFC;COL4A5;NOX1;BAX;VEGFB;KRAS;CDC42;RELA;MAPK11;VEGFA;EDN1;IL1B;FOXO1;NFATC1;PIK3R1;MAPK12;CDK4;STAT5A;FN1;AGT;PRKCD;TNF;HRAS;AGER
6,prerank,Pancreatic cancer,0.39330225681067843,2.487519142388338,0.0,0.000294658023364648,0.002,47/71,33.73%,TGFBR2;CHUK;TP53;RPS6KB2;PIK3R3;E2F1;IKBKB;SMAD3;GADD45B;AKT1;MAPK9;MTOR;SMAD4;STAT3;DDB2;RALGDS;RAF1;ARAF;AKT2;BRAF;PIK3CD;RB1;ERBB2;MAPK1;RPS6KB1;CCND1;MAPK8;MAPK3;MAP2K1;RAC3;RAC1;EGFR;PIK3R2;AKT3;TGFB3;TGFB2;CDK6;STAT1;NFKB1;PIK3CA;CDKN1A;PLD1;BAX;KRAS;CDC42;RELA;VEGFA
7,prerank,Non-small cell lung cancer,0.40328189351161886,2.4652007676579943,0.0,0.0003867386556661005,0.003,32/63,18.18%,PLCG1;TP53;PIK3R3;EML4;E2F1;PLCG2;GADD45B;AKT1;STAT3;DDB2;GRB2;ALK;RAF1;ARAF;AKT2;BRAF;PRKCG;PIK3CD;RB1;RXRA;ERBB2;MAPK1;CCND1;MAPK3;RARB;MAP2K1;PDPK1;EGFR;PIK3R2;PRKCA;AKT3;JAK3
8,prerank,Human immunodeficiency virus 1 infection,0.3365194788261217,2.4634056071629558,0.0,0.00034376769392542263,0.003,124/175,44.03%,MAPK14;IFNA16;JUN;PLCG1;WEE1;LIMK1;TRADD;CD3D;CHUK;RPS6KB2;PIK3R3;NFKBIA;IKBKB;PLCG2;CRK;TBK1;MAPK13;AKT1;PAK3;FAS;MAPK9;APOBEC3B;MTOR;GNB4;TRAF5;BID;CASP3;TAB2;RAF1;GNG11;TLR2;AKT2;IFNA21;IFNA2;PRKCG;PIK3CD;MAP2K7;IFNA1;MAPK1;IRAK4;CD247;FBXW11;RPS6KB1;PAK2;PAK4;HLA-A;MAPK8;NFATC4;GNG4;ATM;MAPK3;TMEM173;MAP2K1;RAC3;RAC1;TRAF2;PIK3R2;RNF7;PRKCA;AKT3;B2M;GNB2;PPP3CB;IRAK1;GNG5;CYCS;NRAS;FOS;RIPK1;MAP2K3;GNAI2;IFNA17;PAK1;TAP2;MAP2K6;APOBEC3H;BCL2;NFKB1;IFNB1;FADD;CALR;CALM3;PTK2;AP1S2;PIK3CA;CDC25C;NFATC3;APOBEC3G;BAX;CD3G;KRAS;SKP1;PPP3CC;PTK2B;CXCR4;NFATC2;RELA;MAPK11;GNAI3;APOBEC3A;IFNA14;GNB5;BCL2L1;PPP3CA;WEE2;ITPR1;TNFRSF1B;CASP8;APOBEC3D;FASLG;CFL1;NFATC1;PIK3R1;IRF3;CASP9;MAPK12;GNGT2;CCNB1;TRAF6;GNG7;GNB1;TLR4;RBX1;GNG12
9,prerank,Apoptosis,0.347668854812288,2.4391950170751313,0.0,0.00030939092453288037,0.003,93/123,47.65%,JUN;NTRK1;BCL2A1;SPTAN1;TRADD;ATF4;CHUK;TP53;DAXX;PIK3R3;NFKBIA;IKBKB;MCL1;CFLAR;GADD45B;DDIT3;AKT1;FAS;MAPK9;BCL2L11;BID;CASP3;RAF1;AKT2;ACTB;PIK3CD;IL3RA;MAPK1;PMAIP1;TRAF1;TUBA4A;MAP3K14;DFFB;MAPK8;TUBA3C;MAP3K5;ATM;MAPK3;MAP2K1;PDPK1;CSF2RB;PARP2;TRAF2;PIK3R2;AKT3;ERN1;NGF;CYCS;NRAS;ACTG1;FOS;RIPK1;CTSW;HTRA2;PRF1;APAF1;CTSB;LMNA;BCL2;NFKB1;CASP7;AIFM1;FADD;PIK3CA;TNFRSF10B;PARP1;BIRC7;BAX;KRAS;ENDOG;RELA;CASP10;DIABLO;PARP4;BCL2L1;ITPR1;CASP8;CTSH;CTSL;SPTA1;FASLG;PIK3R1;CASP9;HRK;EIF2S1;BIRC2;CTSC;BAK1;TUBA1A;TNFRSF1A;BECN1;TNF;HRAS
