,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Insulin resistance,0.41264779303774307,2.4404936992303625,0.0,0.002050012859171571,0.002,64/92,36.41%,PRKAG1;AKT3;PPARGC1A;PPARGC1B;STAT3;GYS1;FOXO1;PRKCZ;PDPK1;PTPA;PRKAA1;NFKB1;PIK3R1;TNF;AKT1;SREBF1;NFKBIA;CREB1;SLC2A1;RPS6KA3;RPS6KA1;RPS6KB1;NR1H2;PIK3R2;IL6;PTEN;MAPK9;PRKAB1;AKT2;SOCS3;TNFRSF1A;PRKAG3;PCK1;RELA;CREB3L1;PRKAG2;CPT1A;CREB5;INSR;SLC27A3;PCK2;PRKAB2;PPARA;ACACB;NR1H3;PTPN1;PIK3CB;PIK3CA;PIK3CD;PRKCE;GSK3B;G6PC;OGT;PIK3R3;CREB3L2;INS;PYGL;PPP1CA;TRIB3;IRS1;RPS6KB2;G6PC3;NOS3;IKBKB
1,prerank,TNF signaling pathway,0.40748115008513514,2.4322203569519707,0.0,0.0010250064295857855,0.002,83/104,45.62%,AKT3;IRF1;CASP10;TRAF3;CFLAR;VEGFC;CCL2;NFKB1;MAPK3;CASP3;PIK3R1;TNF;AKT1;CXCL2;NFKBIA;TNFRSF1B;CREB1;RIPK1;MAP2K1;RPS6KA4;ICAM1;PTGS2;FOS;PIK3R2;IL6;FAS;MAPK9;BIRC2;AKT2;SOCS3;FADD;JUN;EDN1;ATF4;TNFRSF1A;RELA;RPS6KA5;CREB3L1;TRAF2;TAB2;IL1B;CREB5;BIRC3;CHUK;TNFAIP3;NOD2;IFNB1;PIK3CB;MAPK13;PIK3CA;CX3CL1;PIK3CD;IL18R1;LIF;CASP7;RIPK3;PIK3R3;CREB3L2;CEBPB;DNM1L;CCL5;CXCL10;TRAF5;JUNB;MMP14;MAPK12;MAP2K4;MAP3K8;IKBKB;ATF2;IKBKG;MAPK1;MAP2K3;MAP3K5;SELE;JAG1;CREB3L4;ITCH;MAPK14;MAPK8;IL15;BCL3;CXCL1
2,prerank,Hepatitis C,0.3973473247662602,2.4158800220661094,0.0,0.000683337619723857,0.002,96/124,44.78%,AKT3;CDK6;STAT3;E2F1;TRAF3;CFLAR;IRF9;NFKB1;MAPK3;CASP3;PIK3R1;TNF;TP53;AKT1;NFKBIA;CD81;BID;SOS2;CASP9;EGFR;RIPK1;MAP2K1;CDK2;IRF7;LDLR;IRF3;RXRA;TRAF6;PIK3R2;BAX;FAS;EGF;TBK1;AKT2;SOCS3;RB1;FADD;IFNA5;FASLG;TNFRSF1A;RELA;IFNA14;PPP2R2C;CDKN1A;TRAF2;IKBKE;BRAF;PPP2R1A;IFNA16;IFNA1;TICAM1;PPARA;STAT1;CHUK;NR1H3;PPP2CA;OAS1;IFNB1;PIK3CB;CTNNB1;EIF2AK3;PIK3CA;BAD;PIK3CD;GSK3B;IFNAR2;OAS3;BAK1;CCND1;PIK3R3;CLDN1;MYC;CLDN18;CXCL10;TLR3;IFNAR1;CYCS;HRAS;IKBKB;RSAD2;EIF2AK2;IFNG;IKBKG;MAPK1;PPP2CB;ARAF;SCARB1;NRAS;IFNA4;PPP2R2D;KRAS;EIF2AK1;CDK4;STAT2;YWHAZ;APAF1
3,prerank,Toll-like receptor signaling pathway,0.4088260079542978,2.408796897131377,0.0,0.0005125032147928928,0.002,70/98,38.63%,AKT3;IRF5;TRAF3;NFKB1;MAPK3;CXCL9;PIK3R1;TNF;AKT1;IRAK1;TICAM2;NFKBIA;TIRAP;TLR1;RIPK1;MAP2K1;IL12A;RAC1;CTSK;IRF7;IRF3;TRAF6;TLR8;FOS;PIK3R2;IL6;MAPK9;TBK1;AKT2;FADD;JUN;IFNA5;IRAK4;RELA;IFNA14;IKBKE;TAB2;IL1B;CD86;IFNA16;IL12B;CD14;IFNA1;TLR5;TICAM1;STAT1;CHUK;TLR4;IFNB1;PIK3CB;MAPK13;PIK3CA;PIK3CD;IFNAR2;PIK3R3;SPP1;TLR6;CCL5;CXCL10;TLR3;CXCL11;IFNAR1;MAPK12;MAP2K4;CD40;MAP3K8;IKBKB;IKBKG;MAPK1;MAP2K3
4,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3720606813998555,2.3524131513238173,0.0,0.00041000257183431424,0.002,118/159,44.41%,AKT3;CDK6;HLA-B;STAT3;E2F1;TRAF3;IRF9;GNB2;NFKB1;MAPK3;CASP3;PIK3R1;TP53;AKT1;PIK3C3;CXCL2;NFKBIA;CALML6;PLCG2;BID;CASP9;CREB1;MAP2K1;PPP3CA;RAC1;IRF7;IRF3;UBB;ICAM1;PTGS2;FOS;PIK3R2;IL6;PLCG1;BAX;C3;FAS;MAPK9;TBK1;GNB1;AKT2;RB1;FADD;JUN;IFNA5;TNFRSF1A;RELA;IFNA14;PPP3R2;PIK3CG;RCAN1;CDKN1A;HLA-A;TRAF2;IKBKE;PPP3CB;CD86;GNGT2;CCR3;IFNA16;GNG12;NFATC3;SYK;NFATC2;IFNA1;TICAM1;STAT1;HIF1A;JAK2;CHUK;VEGFA;IFNGR1;SRC;GNG8;IFNB1;PPP3R1;PIK3CB;CTNNB1;GNG11;MAPK13;PIK3CA;BECN1;PIK3CD;GSK3B;IFNAR2;BAK1;CCND1;ZFP36;PIK3R3;FGF2;MYC;GNB5;TLR3;IFNAR1;CYCS;MAPK12;MAP2K4;MAPKAPK2;HRAS;IKBKB;EIF2AK2;IKBKG;GABARAPL1;MAPK1;NRAS;IFNA4;PPP3CC;CALM3;KRAS;ITPR1;PIK3R5;ITPR2;NFATC4;MAPK14;CDK4;STAT2;MAPK8;EP300
5,prerank,Thyroid hormone signaling pathway,0.3961964150690198,2.3458238667539892,0.0,0.0003416688098619285,0.002,60/95,31.93%,AKT3;PRKACB;ESR1;SLC16A2;FOXO1;PDPK1;HDAC1;MAPK3;PIK3R1;TP53;AKT1;PLCG2;NOTCH1;CASP9;MAP2K1;SLC2A1;NCOA2;ATP1B1;RXRA;TSC2;ITGB3;ATP1A1;PIK3R2;PLCG1;AKT2;ACTB;RCAN1;THRB;PLCB1;ATP2A2;PRKACA;KAT2A;PLCB3;BMP4;RXRG;STAT1;HIF1A;SIN3A;SRC;RXRB;FXYD2;HDAC2;PIK3CB;CTNNB1;PIK3CA;RHEB;BAD;PIK3CD;ATP1B3;GSK3B;MED1;GATA4;CCND1;PIK3R3;MED13;PFKFB2;PRKCA;MYC;MDM2;NOTCH2
6,prerank,Non-alcoholic fatty liver disease (NAFLD),0.37917794212972683,2.343078673848701,0.0,0.00029285897988165304,0.002,74/125,29.47%,PRKAG1;AKT3;LEPR;NDUFS4;COX6B2;SDHC;NDUFS3;NDUFAB1;PRKAA1;NFKB1;CASP3;PIK3R1;TNF;AKT1;SREBF1;NDUFB8;BID;NDUFB1;COX7C;RAC1;NDUFS6;RXRA;DDIT3;NDUFA3;PIK3R2;IL6;BAX;UQCR11;FAS;MAPK9;NDUFA4;PRKAB1;AKT2;SOCS3;SDHD;JUN;FASLG;ATF4;TNFRSF1A;PRKAG3;SDHB;RELA;NDUFB7;TRAF2;UQCRC1;PRKAG2;IL1B;CDC42;COX7B;IL6R;INSR;NDUFA7;COX5B;PRKAB2;PPARA;NDUFS1;UQCRB;XBP1;NR1H3;NDUFC2;CYC1;PIK3CB;EIF2AK3;COX5A;PIK3CA;PIK3CD;GSK3B;NDUFA9;COX7A1;LEP;NDUFA1;CASP7;NDUFB4;PIK3R3
7,prerank,HIF-1 signaling pathway,0.4009792667099244,2.3390305883286566,0.0,0.0002562516073964464,0.002,69/89,44.41%,AKT3;STAT3;HK1;HMOX1;ERBB2;NFKB1;MAPK3;PDHB;PIK3R1;AKT1;ANGPT1;PLCG2;EGLN1;EGFR;MAP2K1;SLC2A1;MKNK2;PGK1;RPS6KB1;FLT1;CAMK2D;MKNK1;ENO1;PIK3R2;IL6;PLCG1;EGF;CUL2;AKT2;EDN1;RELA;CDKN1A;GAPDH;IL6R;INSR;EPO;HIF1A;LDHA;RBX1;VEGFA;IFNGR1;TLR4;PIK3CB;IGF1R;SERPINE1;EIF4E;PIK3CA;RPS6;PIK3CD;VHL;CAMK2G;PIK3R3;INS;PRKCA;BCL2;PDK1;RPS6KB2;NOS3;IFNG;PDHA1;MAPK1;EGLN3;TFRC;ALDOA;HKDC1;EIF4EBP1;NOS2;TEK;EP300
8,prerank,Viral myocarditis,0.4491716313217693,2.31695662085577,0.0,0.0003416688098619285,0.003,35/45,38.65%,RAC3;HLA-B;CXADR;CASP3;CD28;BID;HLA-DQA1;CASP9;HLA-DMA;RAC1;ICAM1;HLA-DRB5;ACTB;HLA-A;CD55;HLA-DRA;SGCB;CD86;DMD;PRF1;DAG1;HLA-DRB1;CAV1;HLA-DRB4;CCND1;HLA-DQA2;ABL1;HLA-DMB;ITGAL;CYCS;HLA-DQB1;CD40;HLA-DOA;FYN;ITGB2
9,prerank,Melanoma,0.43980463199912173,2.2955596171362536,0.0,0.00030750192887573567,0.003,41/52,41.79%,PDGFRA;AKT3;CDK6;E2F1;CDKN2A;MAPK3;FGF9;PIK3R1;TP53;AKT1;PDGFRB;FGFR1;EGFR;MAP2K1;PIK3R2;BAX;PTEN;EGF;AKT2;RB1;CDKN1A;BRAF;MET;MITF;PIK3CB;IGF1R;PIK3CA;BAD;PIK3CD;BAK1;CCND1;PIK3R3;FGF2;MDM2;PDGFD;HRAS;CDH1;MAPK1;ARAF;NRAS;KRAS
