,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Adherens junction,0.460994257703151,1.9406511667051354,0.0,0.03632309126469137,0.035,35/58,30.42%,PTPN6;SMAD2;PTPRJ;CSNK2B;MAP3K7;SNAI2;SMAD4;ACTG1;FYN;TCF7L2;MET;MAPK1;MAPK3;CTNNB1;IGF1R;ERBB2;ACTN4;ACTB;FER;SRC;CTNND1;SMAD3;EP300;PTPN1;SNAI1;EGFR;TGFBR2;TGFBR1;RAC1;CSNK2A2;RHOA;CSNK2A1;NECTIN4;CDC42;PTPRF
1,prerank,Viral myocarditis,0.4806988131559341,1.9259338847409713,0.0,0.02017949514705076,0.038,27/45,25.06%,ABL1;CASP9;HLA-DMB;CYCS;CXADR;HLA-DRB3;HLA-A;ACTG1;EIF4G1;FYN;DAG1;ITGB2;BID;HLA-DQB1;CD55;ICAM1;CD40;ACTB;HLA-DQA1;SGCB;CAV1;HLA-DRA;HLA-DPA1;HLA-DRB5;RAC1;HLA-DOA;PRF1
2,prerank,Leishmaniasis,0.45110189560382696,1.9025369387409148,0.0,0.01614359611764061,0.046,39/69,26.10%,PTPN6;MAP3K7;HLA-DMB;CYBA;HLA-DRB3;JUN;MAPK12;NFKBIB;NCF2;ITGB2;IL12A;MAPK1;C3;MAPK3;HLA-DQB1;MAPK13;NFKB1;JAK1;IFNGR1;MAPK14;TLR2;HLA-DQA1;RELA;STAT1;FCGR3B;NFKBIA;IRAK4;TLR4;IL1B;HLA-DRA;IL4;PRKCB;HLA-DPA1;HLA-DRB5;FCGR2A;HLA-DOA;JAK2;IRAK1;FOS
3,prerank,NOD-like receptor signaling pathway,0.3964703234157782,1.8331955377144113,0.0,0.027242318448518526,0.096,86/142,34.98%,NAMPT;ANTXR2;BIRC2;MAP3K7;TNFAIP3;NLRP3;OAS2;CYBA;CXCL1;ATG5;IFNA10;JUN;CASP4;CASP5;MAPK12;GBP3;CAMP;IFNA5;GBP2;IKBKE;NFKBIB;TICAM1;NLRP7;TXN;MEFV;GBP7;BCL2;DNM1L;MAPK1;IKBKG;MAPK3;TBK1;MAPK13;DEFB4A;VDAC1;NFKB1;JAK1;IFNA8;MAPK14;CASR;HSP90AA1;IFNA1;ITPR3;ATG16L1;IFNA7;NLRC4;RELA;HSP90AB1;STAT1;PYCARD;NFKBIA;ATG12;IRAK4;TLR4;STAT2;IL1B;IKBKB;TRAF5;GPRC6A;PLCB3;PSTPIP1;CCL2;GBP4;SHARPIN;ITPR1;CARD9;IFNA4;RHOA;TMEM173;GBP1;OAS3;BCL2L1;NOD1;IRF9;PRKCD;CTSB;IFNAR1;TANK;FADD;RIPK2;IFNA2;IFNA21;IL18;IFNB1;TAB2;AIM2
4,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4000852854119022,1.772332963245581,0.0,0.048834378255862836,0.203,51/89,31.06%,EDN1;SMAD2;HRAS;FN1;PRKCE;SMAD4;AGT;STAT3;JUN;MAPK12;BCL2;MAPK1;PRKCA;F3;MAPK3;ICAM1;AKT1;MAPK13;NFKB1;NOX1;MAPK14;PLCG2;RELA;FOXO1;STAT1;PLCD1;PLCE1;SMAD3;BAX;IL1B;AGER;PRKCB;PIK3R3;COL1A2;PLCB3;TGFBR2;CCL2;AKT3;TGFBR1;RAC1;JAK2;EGR1;PRKCZ;CDKN1B;NFATC1;CDK4;VEGFB;CDC42;PRKCD;COL4A2;VEGFA
5,prerank,Influenza A,0.38563389529327635,1.7717993010453799,0.0,0.041199802591895304,0.206,107/145,45.76%,RAF1;IL33;CASP9;NXF1;NLRP3;HLA-DMB;CYCS;OAS2;SLC25A6;HLA-DRB3;RAE1;IFNA10;JUN;ACTG1;MAPK12;FURIN;IFNA5;IKBKE;PLG;NFKBIB;TICAM1;IL12A;MAPK1;PRKCA;MAPK3;HLA-DQB1;EIF2AK1;ICAM1;TBK1;AKT1;MAPK13;VDAC1;NFKB1;JAK1;PRSS2;IFNA8;FAS;IFNGR1;MAPK14;ACTB;IFNA1;IFNA7;HLA-DQA1;RELA;STAT1;PYCARD;CIITA;CPSF4;EP300;NFKBIA;IFIH1;IRAK4;MAP2K3;TLR4;STAT2;ATF2;IL1B;HLA-DRA;PRKCB;IKBKB;PML;ADAR;PIK3R3;HLA-DPA1;HLA-DRB5;HSPA1B;CCL2;AKT3;HLA-DOA;JAK2;IFNA4;MAP2K6;HLA-DRB4;OAS3;DDX58;IRF9;IFNAR1;IFNA2;CREBBP;IFNA21;IL18;IFNB1;PRSS3;GSK3B;TNFRSF10A;IRF7;IFNA16;MAP2K1;CXCL8;HSPA8;PIK3R1;TLR3;MAPK9;DNAJB1;MAPK8;IFNG;IFNA14;IL6;HLA-DOB;HSPA1A;IFNAR2;EIF2AK3;TLR7;PIK3CB;HLA-DPB1;MYD88;FDPS
6,prerank,Epstein-Barr virus infection,0.3796120327013516,1.7716409043922876,0.0,0.03531411650733883,0.206,128/174,47.97%,HDAC1;ENTPD3;B2M;CALR;MAP3K7;CASP9;TNFAIP3;HLA-DMB;CYCS;OAS2;JAK3;SKP2;HLA-DRB3;HLA-A;IFNA10;STAT3;JUN;MAPK12;PSMD1;IFNA5;CCND2;IKBKE;RELB;NFKBIB;BCL2;BID;IKBKG;MAP3K14;CDK2;HLA-DQB1;ICAM1;TBK1;AKT1;MAPK13;NFKB1;JAK1;IFNA8;FAS;CD40;PSMD4;USP7;VIM;MAPK14;ENTPD1;IFNA1;TLR2;CDKN1A;SYK;IFNA7;CD58;GADD45B;PLCG2;HLA-DQA1;RELA;TP53;STAT1;NFKBIA;IRAK4;MAP2K3;STAT2;APAF1;BAX;HLA-DRA;BCL2L11;IKBKB;TRAF5;CD3D;CCNE1;PIK3R3;HLA-DPA1;HLA-DRB5;AKT3;RAC1;HLA-DOA;PSMD2;E2F1;IRAK1;IFNA4;MAP2K6;HLA-DRB4;CDKN1B;OAS3;CCNA1;CDK4;RB1;DDX58;IRF9;CR2;IFNAR1;FADD;TRADD;IFNA2;CCND1;IFNA21;FCER2;IFNB1;TAB2;HES1;IRF7;IFNA16;CCND3;SNW1;CDK6;LYN;PIK3R1;TAP1;MAPK9;TAPBP;MAPK8;IFNA14;IL6;HLA-DOB;TAP2;DDB2;CASP8;IFNAR2;RUNX3;PIK3CB;HLA-DPB1;MDM2;MYD88;CHUK;MAP2K4;NFKB2;NFKBIE;CD19;OAS1;BTK
7,prerank,Thyroid hormone signaling pathway,0.3996058052750134,1.764877684824282,0.0,0.03342228883730282,0.222,45/95,23.51%,PRKACG;KAT2A;HDAC1;MTOR;HIF1A;RAF1;HRAS;RXRA;CASP9;GATA4;ESR1;ACTG1;ATP1A1;PFKP;ATP1A3;MAPK1;PRKCA;PRKACA;MAPK3;CTNNB1;NOTCH2;MED12L;AKT1;MED12;ATP1B1;ITGB3;NOTCH1;ACTB;PLCG2;SRC;TP53;TBC1D4;FOXO1;STAT1;SLC2A1;PLCD1;PLCE1;EP300;PDPK1;PRKCB;NCOA3;PIK3R3;PLCB3;MED13;AKT3
8,prerank,Butanoate metabolism,0.5155826730931319,1.7646729957022822,0.009513742071881607,0.029708701188713618,0.222,13/19,30.29%,ACSM5;ACAT2;BDH1;HADH;GAD1;ACAT1;HADHA;HMGCL;HMGCS1;EHHADH;ABAT;ACSM2A;OXCT1
9,prerank,Toxoplasmosis,0.4005504590856847,1.763546072120324,0.0,0.02714142097278327,0.225,51/99,25.74%,GNAI2;BIRC2;MAP3K7;CASP9;HLA-DMB;CYCS;HLA-DRB3;STAT3;MAPK12;NFKBIB;IL10RB;BCL2;IL12A;MAPK1;IKBKG;MAPK3;HLA-DQB1;AKT1;MAPK13;NFKB1;JAK1;LAMB3;IFNGR1;CD40;MAPK14;TLR2;HLA-DQA1;RELA;STAT1;CIITA;LDLR;SOCS1;NFKBIA;PDPK1;IRAK4;MAP2K3;TLR4;HLA-DRA;IKBKB;ITGA6;PIK3R6;HLA-DPA1;GNAI1;HLA-DRB5;GNAI3;HSPA1B;AKT3;HLA-DOA;CCR5;JAK2;IRAK1
