,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Butanoate metabolism,0.5479378882620741,1.9201372898064335,0.0,0.04930822120820694,0.047,15/19,30.17%,ACSM5;ACAT2;HADH;GAD2;BDH1;ACAT1;ABAT;HMGCS2;HMGCL;OXCT1;HADHA;ACSM2B;GAD1;EHHADH;ECHS1
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.40649282563243705,1.8728724051981556,0.0,0.04628935052199018,0.085,68/89,45.78%,SMAD2;EDN1;NOX1;STAT3;RELA;PRKCA;RAC1;AKT1;SMAD3;JAK2;PRKCE;TGFBR1;VEGFA;COL4A2;PLCB1;TNF;HRAS;TGFBR2;PLCG2;SMAD4;MAPK9;PRKCZ;MAPK13;VEGFB;CDKN1B;MAPK1;MAPK8;EGR1;FN1;CDK4;NRAS;PIK3CD;CCL2;PLCD1;PIK3R3;ICAM1;JUN;PLCG1;AKT3;MAPK3;CCND1;STAT1;F3;MAPK12;CASP3;BCL2;PIM1;TGFB3;VEGFC;COL1A2;CDC42;AGT;CXCL8;PLCB3;PRKCD;NFKB1;SELE;MAPK11;STAT5A;MAPK14;IL1B;NFATC1;IL6;AGER;COL4A5;MMP2;PRKCB;FOXO1
2,prerank,Relaxin signaling pathway,0.391260743369699,1.8494617213146958,0.0,0.043605909912019736,0.119,51/103,23.15%,SMAD2;PRKACG;EDN1;GNAI2;ADCY9;RELA;PRKCA;RAF1;ADCY2;CREB1;GNG8;ATF4;AKT1;SMAD3;MMP1;TGFBR1;VEGFA;GNAI3;COL4A2;GNG12;PLCB1;ADCY3;MAP2K1;HRAS;TGFBR2;MAPK9;PRKCZ;CREB3L4;SHC4;GNG4;MAPK13;GNAI1;VEGFB;NFKBIA;PRKACB;ACTA2;SHC1;MAPK1;MAPK8;ATF2;GNB1;EDNRB;NRAS;PIK3CD;GNA15;PIK3R3;JUN;GNG11;AKT3;RXFP4;MAPK3
3,prerank,Parkinson disease,0.38822826148541917,1.8142588578662495,0.0,0.0490566486510222,0.17,53/94,30.43%,PRKACG;GNAI2;ADORA2A;NDUFB1;UBE2J1;COX6A2;CYCS;NDUFS1;NDUFS6;UBB;COX5B;UBE2L3;GNAI3;SLC25A4;LRRK2;VDAC1;CASP9;NDUFAB1;SLC25A6;NDUFS4;COX4I1;NDUFB3;GNAI1;NDUFA7;COX6B1;DRD1;PRKACB;NDUFA12;COX7B;SDHB;SLC25A5;SNCA;NDUFC2;NDUFA4;PPIF;NDUFB8;COX7A1;NDUFA9;NDUFA3;NDUFB5;UQCRC1;PINK1;NDUFB9;CASP3;NDUFA1;PRKACA;TH;PRKN;NDUFA2;UQCR11;SDHC;NDUFV2;COX6B2
4,prerank,Apelin signaling pathway,0.37631335144067785,1.7734011718577494,0.0,0.057559801083866054,0.242,69/105,40.78%,SMAD2;RPS6;PRKACG;GNAI2;PRKAG1;ADCY9;RAF1;ADCY2;GNG8;ITPR3;SPP1;AKT1;SMAD3;PRKCE;TGFBR1;BECN1;GNAI3;PRKAB2;GNG12;PRKAA2;PLCB1;ADCY3;MAP2K1;HDAC4;HRAS;SMAD4;GNG4;MEF2A;GNAI1;CALM1;PRKACB;ACTA2;PIK3R4;PIK3R6;MAPK1;EGR1;RYR1;CALM3;GNB1;NRAS;GNG11;AKT3;MAPK3;CCND1;RYR3;RPS6KB1;PRKACA;PRKAG2;PIK3C3;SLC9A1;ITPR1;SPHK1;PRKAA1;GNG5;APLNR;PLCB3;MYLK2;MTOR;MYLK3;MEF2C;ADCY1;CAMK4;GNA13;SLC8A1;JAG1;HDAC5;ADCY6;PRKAB1;RPS6KB2
5,prerank,Pancreatic cancer,0.3890756879955339,1.7474401471030085,0.0,0.06423485960116754,0.303,45/71,36.79%,SMAD2;STAT3;RELA;RAF1;RAC1;AKT1;SMAD3;TGFBR1;VEGFA;RALBP1;CASP9;PLD1;MAP2K1;TGFBR2;SMAD4;MAPK9;ERBB2;BCL2L1;BRCA2;ARAF;MAPK1;MAPK8;TP53;RAC3;CDK4;PIK3CD;E2F1;PIK3R3;DDB2;CDKN1A;AKT3;MAPK3;CCND1;STAT1;RPS6KB1;BRAF;TGFB3;EGFR;CDK6;RALB;CDC42;RB1;IKBKG;CHUK;MTOR
6,prerank,Mitophagy,0.41662859595604246,1.7448572983022546,0.0030181086519114686,0.05707103154419287,0.313,24/42,30.26%,HIF1A;RELA;ATF4;UBB;BECN1;CSNK2B;HRAS;MAPK9;BCL2L1;MAPK8;TP53;NRAS;BNIP3L;E2F1;CSNK2A2;SQSTM1;JUN;TBC1D15;PINK1;OPTN;PRKN;FIS1;USP15;TBK1
7,prerank,Prostate cancer,0.37705763911950313,1.738762905361673,0.0,0.05408809979471679,0.331,65/89,45.78%,GSTP1;RELA;RAF1;CREB1;ATF4;AKT1;FGFR2;PDPK1;HSP90AA1;CASP9;MAP2K1;HRAS;CTNNB1;CREB3L4;ERBB2;NFKBIA;PDGFC;ARAF;CDKN1B;MAPK1;TP53;ZEB1;PTEN;HSP90AB1;NRAS;PIK3CD;E2F1;IGF1R;PLAU;IL1R2;PIK3R3;EP300;CDKN1A;AKT3;MAPK3;CCND1;PDGFRA;ERG;PDGFRB;BCL2;BRAF;HSP90B1;CDK2;GSK3B;EGFR;ETV5;RB1;IKBKG;LEF1;KLK3;CHUK;MTOR;PDGFD;NFKB1;AR;INS;CCNE1;CREB5;GRB2;FGFR1;IKBKB;TGFA;CREB3L1;TCF7L2;FOXO1
8,prerank,Pertussis,0.39234325160879935,1.7326938800930425,0.002,0.051879851792761944,0.351,37/66,29.07%,GNAI2;RELA;RHOA;C4A;ITGB2;CFL1;GNAI3;CASP7;CXCL5;C2;C1QA;TIRAP;TNF;MAPK9;MAPK13;IL12A;NOD1;GNAI1;CALM1;CD14;TLR4;MAPK1;MAPK8;CALM3;IRF8;IRAK4;C4BPB;C1S;IL10;JUN;MAPK3;C5;MAPK12;C1QC;CASP3;C3;NLRP3
9,prerank,Prolactin signaling pathway,0.39118393321386147,1.7310383380170524,0.002004008016032064,0.04729564075072911,0.354,38/64,31.78%,STAT3;RELA;SOCS2;PRLR;RAF1;CCND2;AKT1;JAK2;GALT;MAP2K1;HRAS;MAPK9;SHC4;MAPK13;SOCS4;SHC1;MAPK1;MAPK8;CISH;SLC2A2;ESR1;SOCS1;NRAS;PIK3CD;PRL;PIK3R3;AKT3;MAPK3;CCND1;STAT1;MAPK12;TH;CGA;GSK3B;TNFSF11;TNFRSF11A;ESR2;CYP17A1
