,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Renal cell carcinoma,0.5642122744679425,1.8686043484618409,0.0,0.005006590493668028,0.005,27/62,12.31%,HIF1A;JUN;RAF1;PIK3R3;HRAS;CREBBP;VEGFA;ARAF;BRAF;PIK3CD;MET;MAP2K1;FH;SOS2;PIK3CA;AKT1;SLC2A1;BAD;MAPK3;PAK1;TGFB1;PIK3CB;PIK3R1;KRAS;CRKL;SOS1;PRCC
1,prerank,Pancreatic cancer,0.5560015589066107,1.8424921525762785,0.0,0.005507249543034831,0.011,37/71,17.12%,SMAD2;RAF1;PIK3R3;MTOR;EGFR;NFKB1;ERBB2;VEGFA;ARAF;BRAF;SMAD4;PIK3CD;MAP2K1;RPS6KB1;TP53;STAT3;IKBKG;PIK3CA;AKT1;MAPK9;BAD;MAPK3;TGFBR2;TGFBR1;RALB;TGFB1;PIK3CB;PIK3R1;KRAS;MAPK8;BAX;CDK6;CHUK;CCND1;RELA;RPS6KB2;E2F1
2,prerank,Endometrial cancer,0.5623899655761314,1.832681886515744,0.0,0.005006590493668028,0.015,24/53,12.71%,RAF1;PIK3R3;EGFR;HRAS;ERBB2;ARAF;BRAF;PIK3CD;MAP2K1;ILK;TP53;SOS2;PIK3CA;AXIN2;AKT1;BAD;MAPK3;FOXO3;MYC;PIK3CB;PIK3R1;KRAS;SOS1;BAX
3,prerank,Prostate cancer,0.5392672928959642,1.8267780360585255,0.0,0.004756260968984628,0.019,60/89,31.04%,RAF1;PIK3R3;MTOR;EGFR;NFKB1;HRAS;CREB3L2;HSP90AB1;ERBB2;CREBBP;CREB3;ARAF;BRAF;PIK3CD;MAP2K1;TP53;SOS2;IKBKG;PIK3CA;CCNE1;AKT1;IL1R2;BAD;PLAT;MAPK3;PIK3CB;BCL2;PIK3R1;KRAS;SOS1;ETV5;NFKBIA;CREB1;HSP90B1;CHUK;HSP90AA1;CCND1;RELA;E2F1;IGF1R;ATF4;NKX3-1;GSTP1;IKBKB;PDPK1;PDGFRA;FOXO1;RB1;CASP9;CREB3L4;MMP9;CDKN1B;CDK2;PTEN;GRB2;CDKN1A;CREB5;MDM2;FGFR1;CTNNB1
4,prerank,Progesterone-mediated oocyte maturation,0.5540103197804983,1.825024088289173,0.0,0.0040052723949344235,0.02,34/65,17.14%,RAF1;PIK3R3;HSP90AB1;PRKACA;RPS6KA1;ARAF;BRAF;PIK3CD;MAP2K1;PKMYT1;PRKACG;GNAI2;PIK3CA;AKT1;MAPK9;CDC25B;ADCY3;MAPK3;GNAI3;CDC25A;MAPK14;PIK3CB;PIK3R1;KRAS;MAPK8;CCNB2;PDE3B;PRKACB;HSP90AA1;ADCY6;ADCY7;CCNA2;PGR;IGF1R
5,prerank,Colorectal cancer,0.5450234541925613,1.8228726114713927,0.0,0.0033377269957786857,0.02,37/79,16.47%,JUN;SMAD2;RAF1;PIK3R3;MTOR;EGFR;HRAS;ARAF;BRAF;SMAD4;PIK3CD;MAP2K1;RPS6KB1;TP53;SOS2;PIK3CA;AXIN2;AKT1;MAPK9;BAD;MAPK3;MYC;TGFBR2;TGFBR1;RALB;TGFB1;PIK3CB;BCL2;PIK3R1;KRAS;SOS1;MAPK8;FOS;BAX;CCND1;CYCS;RPS6KB2
6,prerank,Longevity regulating pathway,0.5384563850409332,1.815365207352599,0.0,0.003003954296200817,0.021,47/85,23.79%,EIF4E;HDAC1;PIK3R3;MTOR;NFKB1;HRAS;CREB3L2;PRKACA;CREB3;PPARG;PIK3CD;EIF4EBP2;CAT;RPS6KB1;TP53;PRKACG;PIK3CA;AKT1;ADCY3;HSPA8;IRS1;PRKAG1;PRKAA1;FOXO3;STK11;EIF4EBP1;PIK3CB;PIK3R1;KRAS;BAX;CREB1;PRKACB;SOD1;ADCY6;RHEB;HSPA2;ADCY7;RELA;RPS6KB2;IGF1R;ATF4;TSC2;SOD2;FOXO1;PRKAB2;ADCY9;CREB3L4
7,prerank,Osteoclast differentiation,0.5200988590658047,1.7932000638155552,0.0,0.00350461334556762,0.027,67/122,24.63%,JUN;FOSL2;PIK3R3;NFKB1;CTSK;ITGB3;IFNGR1;LILRA6;PPARG;PIK3CD;MAP2K1;STAT2;FYN;TAB2;IKBKG;LCP2;PIK3CA;TNFRSF11B;PPP3CA;AKT1;MAPK9;OSCAR;IFNAR1;MAPK3;PLCG2;TGFBR2;MAP3K14;TGFBR1;IFNB1;MAPK14;TGFB1;LCK;LILRA1;PIK3CB;PIK3R1;FOSL1;CYBA;FOSB;SOCS1;MAPK8;FOS;NFKBIA;CREB1;SYK;FCGR2B;CHUK;FCGR2A;SQSTM1;IL1R1;IRF9;FCGR3B;RELA;SIRPB1;IFNG;TRAF6;SPI1;CSF1;LILRA2;MAPK11;CYLD;JAK1;IKBKB;MAP3K7;MAPK13;RAC1;MITF;TNFRSF1A
8,prerank,Neurotrophin signaling pathway,0.5157598231261993,1.784186689501108,0.0,0.0035602421288305976,0.031,55/103,24.12%,JUN;NGFR;NFKBIB;RAF1;PIK3R3;NFKB1;HRAS;IRAK2;RPS6KA1;BRAF;CALM2;PIK3CD;MAGED1;MAP2K1;TP53;MAPK7;SOS2;PIK3CA;MAPKAPK2;FRS2;AKT1;MAPK9;BAD;IRS1;MAPK3;PLCG2;FOXO3;PSEN1;MAPK14;PIK3CB;BCL2;PIK3R1;ABL1;KRAS;CRKL;SOS1;MAPK8;NFKBIA;BAX;PRKCD;CAMK2G;MAP3K5;IRAK4;RELA;TRAF6;ATF4;ZNF274;SH2B3;MAPK11;IKBKB;PDPK1;CALM3;NFKBIE;MAPK13;RAC1
9,prerank,Chronic myeloid leukemia,0.5284407647853014,1.7649334436394395,0.0,0.003905140585061062,0.036,34/71,17.12%,HDAC1;RAF1;PIK3R3;NFKB1;HRAS;ARAF;BRAF;SMAD4;PIK3CD;MAP2K1;TP53;SOS2;IKBKG;PIK3CA;AKT1;BAD;MAPK3;MYC;TGFBR2;TGFBR1;TGFB1;PIK3CB;PIK3R1;ABL1;KRAS;CRKL;SOS1;NFKBIA;BAX;CDK6;CHUK;CCND1;RELA;E2F1
