,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Bladder cancer,0.47006802560250766,2.185618567280211,0.0,0.007130230034802313,0.007,32/39,41.27%,CDK4;ARAF;RASSF1;TP53;NRAS;MAPK1;MMP1;CXCL8;EGFR;FGFR3;THBS1;ERBB2;BRAF;MAP2K1;MMP2;MAPK3;RPS6KA5;CDKN2A;RB1;HRAS;MAP2K2;CDKN1A;CDH1;MDM2;HBEGF;VEGFA;DAPK2;SRC;DAPK1;E2F1;DAPK3;MYC
1,prerank,Relaxin signaling pathway,0.39744981272675506,2.142276810373577,0.0,0.007130230034802313,0.014,70/103,37.56%,NFKBIA;NFKB1;MAPK11;GNB1;JUN;MAPK8;GNG11;ACTA2;CREB3L4;NRAS;ADCY9;MAPK1;PRKACA;GNAI2;MMP1;PRKACG;EGFR;RXFP4;GNG12;SMAD2;ATF2;TGFBR1;RELA;CREB5;PIK3R1;PIK3R3;GNAI1;MAP2K1;MMP2;COL4A5;GNAI3;GNB2;EDNRB;ADCY3;MAPK3;SHC1;AKT1;CREB3L1;SHC4;PRKCA;MAPK9;VEGFB;ARRB1;SMAD3;HRAS;MAP2K2;CREB1;MAP2K4;GNB5;AKT2;GNA15;ADCY1;GNG4;ADCY7;PLCB3;MAPK14;PRKCZ;PRKACB;EDN1;COL4A2;GRB2;PIK3CA;GNB4;VEGFA;PLCB1;GNG8;CREB3L2;GNAS;SRC;TGFB1
2,prerank,Toxoplasmosis,0.3946239707942571,2.1032832157672496,0.0,0.005432556216992239,0.016,78/99,47.34%,NFKBIA;NFKB1;HLA-DPA1;STAT3;BCL2;MAPK11;MAPK8;CASP9;TLR4;TRAF6;TAB2;MAPK1;TGFB3;GNAI2;HLA-DMB;HLA-DPB1;BCL2L1;BIRC3;LAMB2;RELA;GNAI1;NFKBIB;JAK1;GNAI3;HLA-DRB1;MAPK3;JAK2;AKT1;HLA-DMA;TLR2;MAPK9;HSPA2;IRAK4;TNF;MAP3K7;CASP3;BAD;IFNGR1;IRGM;IFNG;TNFRSF1A;CHUK;AKT2;TGFB2;HLA-DQA1;HLA-DRB4;CYCS;LDLR;IL12A;PDPK1;MAPK14;CASP8;IKBKG;CIITA;MAP2K6;ITGA6;IFNGR2;PIK3CG;BIRC2;IL12B;PIK3R6;HLA-DRB3;HSPA1B;TGFB1;IL10;SOCS1;LAMB3;HLA-DRA;AKT3;HLA-DQB1;CD40;IL10RB;TYK2;HLA-DOB;MAPK12;CCR5;MAPK10;BIRC7
3,prerank,Pancreatic cancer,0.4019104617928901,2.0762358415626507,0.0,0.0056023235987732465,0.022,37/71,22.06%,NFKB1;BRCA2;CDK4;STAT3;RPS6KB2;ARAF;MAPK8;TP53;CASP9;RALBP1;MAPK1;TGFB3;BCL2L1;EGFR;SMAD2;ERBB2;TGFBR1;BRAF;RELA;PIK3R1;PIK3R3;MAP2K1;JAK1;MAPK3;AKT1;MAPK9;CDKN2A;SMAD3;RB1;RAC1;RAD51;SMAD4;PLD1;BAD;CDKN1A;CHUK;AKT2
4,prerank,Butanoate metabolism,0.5431268234260421,2.0724948177385016,0.0011061946902654867,0.004685579737155806,0.023,14/19,25.15%,HADH;GAD1;HADHA;ACSM2B;ACAT2;ACSM2A;OXCT1;HMGCS2;HMGCS1;ALDH5A1;BDH1;ABAT;ACAT1;ECHS1
5,prerank,Estrogen signaling pathway,0.385401893664151,2.0708943372982325,0.0,0.004074417162744179,0.024,65/98,37.32%,BCL2;JUN;TFF1;CREB3L4;PGR;NRAS;ADCY9;HSP90B1;MAPK1;PRKACA;GNAI2;PRKACG;GPER1;EGFR;ATF2;ITPR3;FKBP4;CREB5;PIK3R1;PIK3R3;GNAI1;MAP2K1;MMP2;GNAI3;KRT19;ADCY3;MAPK3;SHC1;AKT1;CREB3L1;SHC4;KCNJ5;HSPA2;GABBR1;ITPR1;HRAS;MAP2K2;CREB1;NCOA3;ESR1;NCOA2;GABBR2;AKT2;ADCY1;RARA;KRT23;KCNJ6;ADCY7;PLCB3;PRKACB;KRT12;HBEGF;TGFA;GRB2;HSP90AB1;CALM1;PIK3CA;CTSD;PRKCD;PLCB1;FKBP5;CREB3L2;GNAS;HSPA1B;SRC
6,prerank,Autophagy,0.3832636651406887,2.059547037076371,0.0,0.0037833873654053085,0.026,70/100,41.30%,RPS6KB2;RRAGA;BCL2;RRAGD;MAPK8;PIK3R4;NRAS;PTEN;TRAF6;ATG4A;MAPK1;ATG7;ULK1;PRKACA;PRKACG;BCL2L1;EIF2S1;CFLAR;PRKAA1;STK11;PIK3R1;PIK3R3;CAMKK2;MAP2K1;MTMR3;ATG4B;MAPK3;IRS1;AKT1;RAB7A;ATG5;MAPK9;BECN1;ITPR1;HRAS;MAP2K2;MAP3K7;ATG10;ATG16L1;BAD;RRAGC;AKT2;EIF2AK3;UVRAG;RHEB;MLST8;HIF1A;INS;PDPK1;PRKACB;RPS6KB1;TSC2;PPP2CB;PRKCQ;CTSB;PIK3CA;CTSD;PRKCD;IGF1R;VMP1;DAPK2;EIF2AK4;TSC1;DAPK1;SUPT20H;CTSL;ULK2;HMGB1;DAPK3;AKT3
7,prerank,Amyotrophic lateral sclerosis (ALS),0.4375115107255095,2.054656837672812,0.0,0.003437789481065401,0.027,31/43,38.34%,BCL2;MAPK11;APAF1;NEFM;CAT;TP53;CASP9;CASP1;BCL2L1;GRIA2;TNF;CASP3;RAC1;GPX1;BAD;TNFRSF1A;PPP3CA;DAXX;CYCS;TNFRSF1B;BID;SLC1A2;GRIN2C;MAPK14;GRIN1;MAP2K6;DERL1;SOD1;BAX;PPP3CB;PPP3R2
8,prerank,Hepatitis B,0.3584711512881461,2.0272467232279894,0.0,0.003961238908223507,0.034,115/153,47.87%,NFKBIA;NFKB1;TIRAP;STAT3;BCL2;MAPK11;ARAF;JUN;MAPK8;APAF1;STAT2;TP53;CREB3L4;EGR3;CASP9;NRAS;TLR4;TRAF6;TAB2;MAPK1;IFNA1;TGFB3;YWHAQ;CXCL8;SMAD2;ATF2;TGFBR1;IKBKE;TICAM1;BRAF;IFNA5;RELA;CREB5;PIK3R1;PIK3R3;CDK2;MAP2K1;CASP10;JAK1;MAPK3;IFNA10;JAK2;AKT1;FAS;CREB3L1;NFATC3;PRKCA;TLR2;MAPK9;SMAD3;RB1;IRAK4;HRAS;TNF;MAP2K2;MAP3K7;CASP3;SMAD4;CREB1;IFIH1;MAP2K4;CCNA2;BAD;IFNB1;CDKN1A;MAP3K1;CHUK;TLR3;AKT2;CCNE1;TGFB2;PTK2B;CCNA1;CYCS;BID;TRAF3;MAPK14;TBK1;PRKCG;CASP8;IKBKG;MAP2K6;GRB2;HSPG2;BIRC5;EP300;IFNA8;PIK3CA;BAX;IFNA16;DDX58;IFNA17;CREB3L2;STAT4;SRC;TGFB1;FASLG;E2F1;SLC10A1;MYC;AKT3;ATP6AP1;IFNA14;ATF4;IFNAR1;IFNA7;TYK2;PIK3R2;JAK3;MAPK12;RAF1;MAPK10;PCNA;IL6;STAT5A
9,prerank,Salmonella infection,0.4070872289083929,2.0222102521823295,0.0,0.0037688358755383657,0.036,37/59,33.03%,NFKB1;MAPK11;TLR5;JUN;MAPK8;IL18;ACTB;TLR4;ROCK1;MAPK1;CASP1;CXCL8;PKN1;RELA;CD14;ARPC4;CCL4;MAPK3;CCL4L2;NLRC4;RAB7A;MAPK9;RAC1;PKN2;IFNGR1;IFNG;TJP1;FLNB;ARPC5;ROCK2;ARPC1B;CCL3;MAPK14;LBP;ACTG1;IFNGR2;PFN2
