,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.39279710246993094,2.34547919454868,0.0,0.0020484883121124294,0.002,101/126,47.08%,NFKBIB;TNFAIP3;CYCS;STAT3;CCND2;JUN;STAT2;TP53;IFNA8;PIK3CB;PIK3R3;MAPK9;FOS;OAS1;IFNA21;BID;JAK3;AKT1;FCGR2B;CASP3;IL2RB;CBLB;NFKB1;RELA;IRAK1;IFNA17;EIF2AK1;PIK3R1;IRAK4;JAK1;MYD88;IRF9;TLR4;IL12A;CD46;IRF7;IL2;FAS;RCHY1;CLEC4M;CDK6;CDK4;TBK1;CDK2;CDKN1B;TLR7;AKT3;STAT1;CSNK2B;BAX;IKBKG;IKBKB;CSNK2A2;IFIH1;PIK3CA;BCL2;IL6;TRADD;CD3D;IFNA4;IFNA2;APAF1;MAPK8;TAB2;IFNA16;TLR9;HSPA2;PIK3CD;ADAR;IKBKE;CD3G;OAS3;BCL2L1;TLR2;IFNA14;IFNAR2;CCND1;NFKBIA;BAD;MAP3K7;TRAF6;IL12B;CCND3;IL2RG;HSPA1A;IFNAR1;MX1;IFNA5;HSPA1B;IFNB1;DDX58;CHUK;IL1B;EIF2AK4;BAK1;CSNK2A1;IRF3;AKT2;SLAMF1;EIF2AK3;FADD
1,prerank,Neurotrophin signaling pathway,0.3992420155404814,2.2971305188855866,0.0,0.0020484883121124294,0.004,69/103,36.43%,HRAS;NFKBIB;IRAK2;MAPKAPK2;JUN;SH2B3;TP53;RAF1;SOS1;RPS6KA1;PIK3CB;CAMK2G;PIK3R3;GRB2;CAMK2A;MAPK9;PDPK1;IRS1;PLCG2;AKT1;MAP2K1;NFKBIE;CALM3;NFKB1;SHC1;MAP3K5;RELA;IRAK1;NTRK3;PIK3R1;MAGED1;IRAK4;ATF4;FRS2;NGF;MAPK3;FOXO3;AKT3;RIPK2;BAX;IKBKB;NGFR;CDC42;ARHGDIA;PIK3CA;BCL2;RPS6KA3;ABL1;RHOA;RAC1;PRDM4;MAPK1;CRKL;SORT1;SOS2;MAPK8;MAPK14;MAPK13;MATK;PIK3CD;BRAF;MAPK12;MAP2K7;RPS6KA6;ZNF274;NFKBIA;NRAS;BAD;TRAF6
2,prerank,Pancreatic cancer,0.41758459857130636,2.2927372768222276,0.0,0.0013656588747416197,0.004,48/71,35.84%,RPS6KB1;MTOR;ERBB2;STAT3;SMAD2;TP53;RAF1;PIK3CB;PIK3R3;MAPK9;E2F1;PLD1;AKT1;MAP2K1;NFKB1;DDB2;RELA;PIK3R1;EGFR;JAK1;MAPK3;CDK6;CDK4;TGFB1;SMAD4;RPS6KB2;AKT3;STAT1;TGFB3;BAX;IKBKG;SMAD3;IKBKB;RB1;CDC42;PIK3CA;RAC1;MAPK1;TGFBR2;TGFBR1;MAPK8;RALB;PIK3CD;BRAF;BRCA2;BCL2L1;CCND1;BAD
3,prerank,Toxoplasmosis,0.3930712113721733,2.2576991335606365,0.0,0.0017924272730983756,0.007,78/99,46.17%,NFKBIB;CYCS;IL10RB;STAT3;IFNG;CD40;HLA-DMB;LAMB3;MAP2K3;MAPK9;PDPK1;HLA-DPB1;HLA-DRB5;PPIF;AKT1;CASP3;NFKB1;CCR5;LAMA3;RELA;CIITA;HLA-DOB;IRAK1;IFNGR1;JAK2;IRAK4;JAK1;MYD88;TLR4;IL12A;HLA-DRB3;GNAI3;CD40LG;MAPK3;IRGM;PIK3R6;GNAI1;TGFB1;AKT3;STAT1;TGFB3;GNAI2;IKBKG;IKBKB;HLA-DQB1;BCL2;IL10;MAPK1;HLA-DPA1;SOCS1;MAPK8;MAPK14;TAB2;MAPK13;HLA-DRA;HSPA2;ITGB1;ALOX5;MAPK12;TNFRSF1A;MAP2K6;BCL2L1;TLR2;NFKBIA;BAD;MAP3K7;TRAF6;IL12B;HSPA1A;HLA-DQA1;HSPA1B;LDLR;HLA-DOA;CHUK;PIK3CG;MAPK11;AKT2;NOS2
4,prerank,Fc epsilon RI signaling pathway,0.4246865494577322,2.240362371651684,0.0,0.0016387906496899435,0.008,42/59,38.52%,HRAS;INPP5D;RAF1;SOS1;PIK3CB;PIK3R3;GRB2;MAP2K3;MAPK9;PDPK1;PLCG2;AKT1;MAP2K1;PIK3R1;FYN;VAV1;MAPK3;PRKCA;PLA2G4A;FCER1G;AKT3;ALOX5AP;LYN;LAT;PIK3CA;SYK;RAC1;MAPK1;SOS2;MAPK8;MAPK14;MAPK13;IL13;PIK3CD;ALOX5;MAPK12;MAP2K7;MAP2K6;NRAS;BTK;VAV3;FCER1A
5,prerank,Hepatitis B,0.3588886681501306,2.1926273156289313,0.0,0.001877780952769727,0.011,98/153,37.47%,HRAS;CREB3L2;CYCS;STAT3;JUN;STAT2;SMAD2;TP53;RAF1;SOS1;IFNA8;PIK3CB;PIK3R3;GRB2;MAP2K3;MAPK9;FOS;IFNA21;E2F1;NFATC3;BID;JAK3;AKT1;MAP2K1;CASP3;PCNA;STAT6;TICAM1;NFKB1;DDB2;TICAM2;RELA;IRAK1;IFNA17;PIK3R1;JAK2;IRAK4;JAK1;MYD88;EP300;TLR4;ATF4;STAT4;IRF7;FAS;MAPK3;PRKCA;TGFB1;TBK1;ATF2;SMAD4;CDK2;AKT3;STAT1;TGFB3;BAX;IKBKG;SMAD3;PRKCG;IKBKB;RB1;IFIH1;PIK3CA;BCL2;TLR3;IL6;MAPK1;IFNA4;TGFBR2;SOS2;IFNA2;APAF1;TGFBR1;MAPK8;MAPK14;TAB2;MAPK13;IFNA16;HSPG2;PIK3CD;BRAF;IKBKE;MAPK12;MAP2K7;NFATC1;MAP2K6;CREBBP;TLR2;IFNA14;CREB3;CREB3L4;NFKBIA;NRAS;BAD;MAP3K7;TRAF6;MYC;NFATC4
6,prerank,Th17 cell differentiation,0.38129600985650075,2.1884354605038467,0.0,0.0017558471246677965,0.012,81/107,45.83%,NFKBIB;MTOR;HSP90AB1;HIF1A;STAT3;IFNG;JUN;HLA-DMB;SMAD2;IL4R;IRF4;MAPK9;FOS;HLA-DPB1;HLA-DRB5;NFATC3;JAK3;LCK;NFKBIE;IL2RB;IL1RAP;STAT6;NFKB1;ZAP70;FOXP3;IL17F;RELA;HLA-DOB;IFNGR1;JAK2;JAK1;HLA-DRB3;PPP3CA;IL2;GATA3;MAPK3;HSP90AA1;IL17D;TGFB1;SMAD4;STAT1;IKBKG;SMAD3;IKBKB;LAT;HLA-DQB1;IL27RA;IL6;MAPK1;HLA-DPA1;CD3D;TGFBR2;TGFBR1;MAPK8;MAPK14;MAPK13;CD4;HLA-DRA;IL1R1;MAPK12;NFATC1;CD3G;IL6R;NFKBIA;PPP3CC;RORA;IL2RG;HLA-DQA1;IL21;PPP3R2;IL23R;HLA-DOA;TBX21;CHUK;IL1B;RXRG;RARA;PLCG1;MAPK11;AHR;IL6ST
7,prerank,Chagas disease (American trypanosomiasis),0.38079501733869603,2.186226494266291,0.0,0.0016643967535913489,0.013,75/97,47.08%,C3;IFNG;JUN;SMAD2;BDKRB2;PIK3CB;PIK3R3;MAPK9;FOS;GNAS;KNG1;AKT1;CCL5;TICAM1;NFKB1;RELA;IRAK1;IFNGR1;PIK3R1;IRAK4;PPP2R2D;MYD88;TLR4;IL12A;IL2;FAS;GNAI3;MAPK3;CCL2;GNAI1;TGFB1;AKT3;TGFB3;GNAI2;IKBKG;SMAD3;IKBKB;CCL3;PIK3CA;IL10;IL6;CFLAR;MAPK1;CD3D;TGFBR2;PPP2R2A;ACE;TGFBR1;MAPK8;MAPK14;MAPK13;TLR6;C1QC;TLR9;GNA15;PIK3CD;MAPK12;TNFRSF1A;CD3G;TLR2;NFKBIA;TRAF6;IL12B;GNA11;PPP2R1A;IFNB1;C1QB;CHUK;IL1B;MAPK11;AKT2;MAP2K4;NOS2;PLCB1;FADD
8,prerank,Toll-like receptor signaling pathway,0.38011880521587266,2.18176241888962,0.0,0.0015932686871985562,0.014,76/98,46.02%,CXCL11;CTSK;CD40;JUN;IFNA8;PIK3CB;PIK3R3;MAP2K3;MAPK9;FOS;IFNA21;AKT1;MAP2K1;CCL5;TICAM1;NFKB1;TICAM2;RELA;IRAK1;IFNA17;PIK3R1;IRAK4;MYD88;TLR4;IL12A;TOLLIP;IRF7;MAPK3;IRF5;TBK1;TLR8;TLR7;SPP1;CD86;AKT3;STAT1;IKBKG;IKBKB;CCL3;PIK3CA;TLR5;TLR3;IL6;RAC1;MAPK1;IFNA4;IFNA2;MAPK8;MAPK14;TAB2;MAPK13;TLR6;IFNA16;TLR9;PIK3CD;IKBKE;MAPK12;MAP2K7;MAP2K6;TLR2;IFNA14;IFNAR2;NFKBIA;MAP3K7;TRAF6;IL12B;IFNAR1;IFNA5;IFNB1;CHUK;IL1B;IRF3;MAPK11;CXCL9;AKT2;MAP2K4
9,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3512593510249915,2.1435246054705512,0.0,0.002253337143323672,0.022,115/159,46.02%,HRAS;PIK3C3;MTOR;HLA-A;CYCS;C3;HIF1A;MAPKAPK2;STAT3;JUN;STAT2;TP53;RAF1;IFNA8;PIK3CB;PIK3R3;MAPK9;FOS;IFNA21;E2F1;NFATC3;PLCG2;BID;AKT1;MAP2K1;CXCL2;CALM3;CASP3;GNG12;TICAM1;NFKB1;CCR5;GNG7;RELA;IFNA17;IFNGR1;PIK3R1;JAK2;JAK1;EP300;IRF9;PPP3CA;IRF7;FAS;MAPK3;CDK6;PIK3R6;CDK4;TBK1;CD86;AKT3;STAT1;BAX;IKBKG;LYN;IKBKB;RB1;CD200R1;PIK3CA;SYK;FGF2;TLR3;CTNNB1;GNGT2;IL6;TRADD;RAC1;MAPK1;IFNA4;IFNA2;GNB4;MAPK8;MAPK14;MAPK13;IFNA16;ICAM1;PIK3CD;IKBKE;MAPK12;MAP2K7;BECN1;NFATC1;CXCL3;TNFRSF1A;MAP2K6;CREBBP;IFNA14;IFNAR2;CCND1;NFKBIA;NRAS;UBB;PPP3CC;MYC;NFATC4;PTGS2;ITPR3;IFNAR1;ATG3;CCR3;IFNA5;PPP3R2;IFNB1;CHUK;ITPR1;CCR4;PLCG1;HCK;BAK1;IRF3;PIK3CG;MAPK11;IL6ST;AKT2;MAP2K4
