,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Tryptophan metabolism,0.46549071351861143,2.0833327335103693,0.0010298661174047373,0.026418370928707347,0.025,21/35,24.23%,ALDH7A1;ALDH1B1;TPH1;DDC;HADH;CYP1A1;KYNU;ACAT2;CAT;ACAT1;MAOA;AADAT;ACMSD;KYAT1;EHHADH;ALDH3A2;DLD;CYP1B1;IL4I1;IDO1;CYP1A2
1,prerank,MAPK signaling pathway,0.3275970442363118,1.9277560786923271,0.0,0.07671488481220787,0.135,160/233,45.98%,MAP4K4;FGFR4;IRAK4;CACNA1D;MAP2K7;FLNB;IKBKG;TP53;FLT3;DUSP16;MAP3K2;CACNA1A;MAP3K4;MAPK8IP1;MAP3K14;FGFR2;CASP3;HSPA1A;VEGFC;PPP5C;MAPKAPK2;TGFB1;EGFR;PRKCA;ERBB2;MAP3K7;MAPK3;IL1RAP;RASA1;STK3;ERBB3;CACNA1I;CDC25B;FOS;RAF1;CACNG1;NFATC3;HRAS;INS;JUN;TAOK3;EREG;FGF2;MAP4K3;RPS6KA1;MAPKAPK3;CACNA1G;TRADD;NGFR;MAP2K4;RELA;PLA2G4A;DUSP10;DDIT3;MAPK7;PRKACB;MAP3K6;PRKCB;STMN1;MAP3K11;PTPN5;NFATC1;RASGRP2;PPP3R2;TNFRSF1A;JUND;FLT1;ELK4;ERBB4;FLT4;KRAS;EFNA1;CSF1R;RASGRP1;PRKACG;BRAF;STK4;IKBKB;GNG12;AKT1;HSPA1B;PPP3CC;SOS1;NTRK1;CACNG2;MAX;RPS6KA5;FAS;TGFBR1;GADD45B;RPS6KA3;MEF2C;SRF;GNA12;MAP3K1;ATF4;NFKB1;MAP2K3;PDGFD;PDGFRB;MAPK12;RELB;PRKACA;DUSP5;IGF2;NR4A1;MAP3K8;MAPK1;MKNK2;MAPKAPK5;VEGFA;PGF;MAP4K1;MAP3K5;MAP2K2;MAP3K20;PDGFRA;TGFA;PPP3CA;DUSP2;CACNG3;MAP3K13;CACNB2;MYD88;IL1R1;TAOK2;FGF9;RPS6KA6;CDC42;MAPK14;MAPK9;CACNA1S;KDR;LAMTOR3;FGFR3;DUSP3;NRAS;IGF1;DUSP1;TAB2;CACNB3;DUSP4;MAP4K2;MAP2K1;EFNA4;MAPK11;NF1;PPM1B;CACNA1H;DUSP6;EFNA3;HSPA8;RAC1;RRAS2;CACNA1C;IRAK1;KIT;AKT2;IGF1R;CACNA1F
2,prerank,Measles,0.34953778019204773,1.91998436743829,0.0,0.05554631836292313,0.144,94/126,47.34%,JAK1;IRAK4;SLAMF1;IKBKG;TP53;RCHY1;IL2;PIK3CD;FADD;TLR4;CASP3;BAD;HSPA1A;IFNA10;MAP3K7;CSNK2B;ADAR;CBLB;FOS;CDK2;IRF3;CASP9;IFNAR1;IFNA2;JUN;IL2RA;BCL2L1;TRADD;RELA;CASP8;IFNA7;PIK3CA;IFNA21;CD3E;IFNA8;CCND3;BCL2;PIK3R3;IKBKB;AKT1;EIF2AK4;HSPA1B;STAT1;BAK1;IFNA16;PIK3CB;FAS;DDX58;TLR2;FCGR2B;TBK1;NFKB1;TNFAIP3;STAT3;CDK6;GSK3B;APAF1;CCND2;TLR9;CCNE1;IL2RG;CD46;CDK4;EIF2AK2;MYD88;BBC3;IFNA1;TLR7;STAT5A;CSNK2A1;MAPK9;STAT2;BID;NFKBIA;CDKN1B;IFNA4;IFNA17;EIF2AK3;TAB2;CD209;EIF3H;CD28;IL6;JAK3;CCND1;EIF2AK1;HSPA8;IRAK1;CLEC4M;AKT2;NFKBIB;BAX;IL2RB;IFNA14
3,prerank,GABAergic synapse,0.3686245841989951,1.9065824061321872,0.0,0.048772377099152026,0.171,40/75,29.19%,CACNA1D;CACNA1A;SLC32A1;SLC6A12;GABRA1;GNG7;SLC6A13;PRKCA;SLC38A1;GAD2;ABAT;ADCY9;GABRQ;SRC;ADCY7;GPHN;PRKACB;SLC38A3;PRKCB;GABRB2;GNAI2;GABRR2;GAD1;SLC38A5;PRKACG;ADCY5;GNG4;GNG12;SLC38A2;TRAK2;GABARAPL1;GNB4;SLC6A11;GABRA3;ADCY1;GABRA4;PRKACA;GABRR3;GNAI3;SLC6A1
4,prerank,Central carbon metabolism in cancer,0.3776402894278318,1.8809966738123909,0.0,0.048975595337065164,0.21,35/60,31.74%,HK1;TP53;FLT3;PIK3CD;HIF1A;PFKP;FGFR2;EGFR;ERBB2;MAPK3;RAF1;HRAS;SIRT3;HK3;SLC7A5;TIGAR;PDHA1;PFKM;G6PD;SLC2A1;RET;PDHB;PIK3CA;KRAS;PIK3R3;AKT1;NTRK1;PIK3CB;PDGFRB;PDK1;PKM;MAPK1;IDH1;MAP2K2;PDGFRA
5,prerank,NOD-like receptor signaling pathway,0.3383125417808566,1.8774569105874799,0.0,0.043014527024946576,0.219,96/142,43.37%,JAK1;IRAK4;IKBKG;CXCL8;PRKCD;FADD;RIPK2;TANK;TLR4;ANTXR2;TXN;GBP2;IFNA10;NOD2;MAP3K7;PANX1;MAPK3;TXNIP;TICAM1;CXCL1;IRF3;IFNAR1;IFNA2;JUN;CASR;RHOA;BCL2L1;CTSB;NAMPT;HSP90AB1;RELA;CASP8;CASP5;IFNA7;GBP4;ATG5;IFNA21;NLRP1;MEFV;NLRP7;GBP1;ITPR1;RNASEL;IFNA8;BCL2;NLRP3;CAMP;IKBKB;GBP3;SHARPIN;STAT1;IFNA16;SUGT1;GABARAPL1;TMEM173;DNM1L;VDAC1;NAIP;TBK1;NFKB1;CXCL2;MAPK12;TP53BP1;NOD1;CASP4;TNFAIP3;GBP5;CARD8;MAPK1;IFI16;NLRC4;P2RX7;CYBA;GBP7;MYD88;IFNA1;ATG16L1;HSP90AA1;CCL2;DEFB4A;RBCK1;MAPK14;MAPK9;PLCB3;STAT2;NFKBIA;CARD9;IFNA4;CCL5;IFNA17;TAB2;IL18;PSTPIP1;IL6;MAPK11;GPRC6A
6,prerank,Toxoplasmosis,0.3457266115052234,1.8594055916275811,0.0,0.043546765267100024,0.254,77/99,50.68%,JAK1;IRAK4;IKBKG;HLA-DQA2;TLR4;LAMB3;CASP3;LDLR;NOS2;BAD;HSPA1A;TGFB1;HLA-DOB;MAP3K7;PIK3CG;MAPK3;HLA-DRB5;HLA-DOA;PIK3R5;HLA-DPB1;CASP9;IL10RB;PIK3R6;BCL2L1;PDPK1;HLA-DMA;RELA;CASP8;JAK2;ALOX5;TNFRSF1A;GNAI2;BCL2;IFNGR1;IKBKB;AKT1;HSPA1B;STAT1;HLA-DRA;ITGA6;PPIF;TLR2;NFKB1;MAP2K3;IL10;MAPK12;GNAI3;STAT3;HLA-DMB;MAPK1;SOCS1;ITGB1;CCR5;IL10RA;HLA-DRB1;MYD88;IFNG;IRGM;MAPK14;MAPK9;LAMB1;NFKBIA;TAB2;HLA-DQB1;CD40;MAPK11;HSPA8;IRAK1;AKT2;NFKBIB;CD40LG;LAMA3;TGFB3;CHUK;HLA-DQA1;CIITA;HLA-DPA1
7,prerank,Fatty acid degradation,0.4205984764976196,1.855420779266363,0.0010298661174047373,0.04026261338653957,0.262,27/34,45.04%,ALDH7A1;CYP4A11;ALDH1B1;ADH5;HADH;ACAT2;ACAT1;ACAA2;EHHADH;ALDH3A2;CPT1B;ACAA1;ADH1A;HADHB;ALDH9A1;ADH1B;ADH1C;ADH7;ACADSB;GCDH;ACSL3;ACSL4;CPT1A;HADHA;ECHS1;ACADM;ACSL1
8,prerank,Glyoxylate and dicarboxylate metabolism,0.452308660661873,1.8517219077095524,0.005307855626326964,0.036805080866489724,0.269,16/25,30.59%,ACAT2;CAT;ACAT1;MDH2;SHMT1;ACSS2;SHMT2;PCCA;CS;DLD;HAO2;HAO1;ACO2;GRHPR;PCCB;ACO1
9,prerank,Butanoate metabolism,0.49371433984966584,1.8435696278883815,0.0044004400440044,0.035766409872711485,0.282,11/19,19.35%,OXCT1;HADH;ACAT2;ACAT1;GAD2;ACSM2B;ABAT;ACSM5;BDH1;EHHADH;GAD1
10,prerank,T cell receptor signaling pathway,0.34568598086800045,1.8420782206021216,0.001,0.03325389347669456,0.286,71/98,46.46%,MAP2K7;IKBKG;IL2;PIK3CD;MAP3K14;PTPRC;MAP3K7;FYN;MAPK3;LCK;CBLB;ITK;FOS;RAF1;NFATC3;HRAS;IL5;CD8A;JUN;RHOA;PDPK1;RELA;PTPN6;BCL10;PIK3CA;NFATC1;PPP3R2;CD3E;KRAS;PIK3R3;RASGRP1;LCP2;IKBKB;AKT1;PPP3CC;SOS1;CD8B;ZAP70;PIK3CB;NFKB1;IL10;MAPK12;PDCD1;CSF2;GSK3B;PAK4;MAP3K8;MAPK1;MAP2K2;PPP3CA;NFKBIE;CDK4;LAT;PAK3;IFNG;CDC42;MAPK14;MAPK9;NFKBIA;NRAS;CD28;GRAP2;MAP2K1;NCK1;MAPK11;CD4;CARD11;AKT2;NFKBIB;ICOS;CD40LG
11,prerank,Prion diseases,0.42890585892149524,1.8332023491287064,0.0031088082901554403,0.0332769864582756,0.308,25/29,47.20%,HSPA1A;FYN;MAPK3;C1QB;SOD1;C1QA;PRKACB;NOTCH1;PRKACG;PRNP;C9;C8A;PRKACA;MAPK1;MAP2K2;EGR1;C7;NCAM1;CCL5;IL6;MAP2K1;C1QC;BAX;C8B;HSPA5
12,prerank,IL-17 signaling pathway,0.35063388644168386,1.8247205465030887,0.0,0.033218365812723735,0.327,54/85,39.08%,LCN2;IKBKG;CXCL8;FADD;IL13;CASP3;MAP3K7;FOSL1;MAPK3;S100A9;FOS;CXCL1;MAPK4;IL17RE;IL5;JUN;MMP13;MAPK15;IL17RA;CCL11;CXCL5;TRADD;HSP90AB1;IL17D;RELA;CASP8;CCL7;MAPK7;CCL17;HSP90B1;JUND;IL25;IKBKB;CXCL6;FOSB;TBK1;NFKB1;CXCL2;MAPK12;CSF3;TNFAIP3;CSF2;GSK3B;MAPK1;IL17A;HSP90AA1;CCL2;DEFB4A;IFNG;MAPK14;CCL20;MAPK9;IL17RC;NFKBIA
