,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.5497797064561423,1.8534396015747514,0.0,0.019116917962028638,0.019,45/71,25.89%,RAF1;CDKN1A;SMAD3;SMAD4;RALBP1;BRAF;TP53;TGFBR1;RALGDS;RAD51;RELA;STAT1;EGFR;TGFB3;BAD;JAK1;GADD45B;RAC1;MAPK8;KRAS;PIK3CA;RB1;AKT1;PIK3CB;TGFBR2;STAT3;ARAF;BCL2L1;NFKB1;CDC42;CDK4;PLD1;RPS6KB2;RALA;TGFB2;CDK6;MAPK3;AKT3;MAP2K1;BAX;MAPK1;MAPK9;E2F1;CCND1;IKBKB
1,prerank,Colorectal cancer,0.537292214407679,1.833738835197704,0.0,0.013079996500335384,0.026,59/79,35.84%,RAF1;MYC;CDKN1A;SMAD3;SMAD4;BRAF;TP53;TGFBR1;RALGDS;GSK3B;CASP3;APC;SOS1;EGFR;TGFB3;CTNNB1;BAD;JUN;GADD45B;RHOA;RAC1;MAPK8;FOS;KRAS;PIK3CA;AKT1;PIK3CB;TGFBR2;ARAF;RPS6KB2;RALA;TGFB2;MAPK3;AREG;AKT3;BCL2L11;MAP2K1;BAX;HRAS;MAPK1;MAPK9;TCF7L2;CCND1;TCF7L1;MSH6;LEF1;AXIN2;NRAS;AXIN1;PMAIP1;RPS6KB1;BIRC5;PIK3R2;PIK3R3;MAP2K2;GRB2;PIK3R1;AKT2;GADD45A
2,prerank,Cell cycle,0.5286511260985143,1.829891367675071,0.0,0.009055382192539882,0.027,40/94,15.02%,CCNA2;CDKN2C;MYC;CDKN1A;CDKN1B;SMAD3;SMAD4;CREBBP;WEE1;TP53;MDM2;SMC1A;CDK2;CDK7;GSK3B;CCNE1;ESPL1;HDAC2;SFN;ATM;CDC7;CCNA1;YWHAQ;CCNH;TGFB3;CCNB2;GADD45B;PLK1;CDC25B;CDC6;CDK1;TTK;EP300;BUB1;RB1;CCNE2;CHEK2;PRKDC;CDC45;CCNB1
3,prerank,Proteasome,0.603664949560418,1.811846482444462,0.0,0.008803843798302662,0.034,11/23,12.32%,PSMA7;PSMA5;PSMB1;PSMB2;PSMB5;PSMA1;IFNG;PSMB9;PSMD2;PSMD1;PSMB8
4,prerank,Endometrial cancer,0.54696810561087,1.8086058046893654,0.0,0.0074455364694216795,0.036,41/53,35.84%,RAF1;MYC;CDKN1A;BRAF;TP53;GSK3B;APC;SOS1;EGFR;CTNNB1;BAD;GADD45B;PTEN;KRAS;PIK3CA;AKT1;PIK3CB;ARAF;MAPK3;PDPK1;FOXO3;AKT3;MAP2K1;BAX;HRAS;MAPK1;TCF7L2;CCND1;TCF7L1;LEF1;AXIN2;NRAS;AXIN1;ERBB2;PIK3R2;PIK3R3;MAP2K2;GRB2;PIK3R1;AKT2;GADD45A
5,prerank,Viral carcinogenesis,0.5123723630299172,1.8053039564466407,0.0,0.0062046137245180665,0.036,95/141,34.34%,CCNA2;CDKN1A;CDKN1B;CREBBP;HDAC6;ACTN1;CHD4;TP53;MDM2;HDAC10;HIST1H2BD;ATF4;CDK2;CREB1;GTF2B;CASP3;CCNE1;USP7;PXN;HDAC2;NFKBIA;RELA;CCNA1;YWHAQ;HDAC3;BAD;JUN;JAK1;ATF2;RHOA;IRF3;SNW1;HIST1H2BK;RAC1;CDK1;SRC;EP300;GTF2A1;GTF2H2;PRKACA;KRAS;PIK3CA;RB1;SP100;CREB3L2;CCNE2;SRF;PIK3CB;STAT3;CASP8;GTF2E2;NFKB1;POLB;HPN;REL;CDC42;CHEK1;PRKACB;CDK4;CDK6;GTF2A2;HLA-B;LYN;CREB3;MAPK3;TRAF3;HIST1H4E;BAX;HDAC8;CCND3;HRAS;MAPK1;KAT2B;MAPKAPK2;CREB3L4;CCND1;GTF2H1;TRAF5;TRAF1;HDAC7;NRAS;LTBR;CDKN2B;HIST1H2BJ;PMAIP1;DLG1;PIK3R2;HDAC9;RBPJ;PIK3R3;PRKACG;DNAJA3;GRB2;HLA-A;PIK3R1
6,prerank,Prostate cancer,0.5208694187332439,1.792889301961112,0.0,0.006755602588085308,0.045,62/89,34.35%,RAF1;CDKN1A;CDKN1B;CREBBP;BRAF;TP53;MDM2;PLAU;ATF4;CDK2;GSK3B;CREB1;CCNE1;NFKBIA;HSP90AA1;RELA;SOS1;ZEB1;EGFR;CTNNB1;BAD;EP300;PTEN;ERG;KRAS;PIK3CA;RB1;INS;AKT1;CREB3L2;CCNE2;PIK3CB;ARAF;NFKB1;PLAT;CREB3;MAPK3;PDPK1;AKT3;GSTP1;MAP2K1;HRAS;MAPK1;E2F1;TCF7L2;IGF1R;CREB3L4;CCND1;TCF7L1;IKBKB;LEF1;HSP90B1;NRAS;ETV5;ERBB2;FOXO1;PIK3R2;PIK3R3;MAP2K2;GRB2;PIK3R1;HSP90AB1
7,prerank,Human T-cell leukemia virus 1 infection,0.49781589091396117,1.7813924410184687,0.0,0.006414229053049083,0.049,123/189,34.43%,CCNA2;NFYB;CDKN2C;MYC;CDKN1A;SMAD3;SMAD4;CREBBP;TRRAP;PPP3R1;TP53;EGR1;ETS1;TGFBR1;ATF4;CDK2;KAT5;CREB1;CCNE1;ESPL1;NFKBIA;RELA;ATM;LCK;CCNA1;ADCY1;ADCY9;TGFB3;CCNB2;JUN;JAK1;ATF2;IL2RB;MAPK8;EP300;PRKACA;NFATC3;PTEN;CALR;FOS;KRAS;PIK3CA;RB1;ADCY3;AKT1;CREB3L2;CCNE2;CHEK2;SRF;IL15;SLC25A4;PIK3CB;TGFBR2;HLA-DQA1;IL15RA;TNFRSF13C;SPI1;CD40;BCL2L1;HLA-DRA;NFKB1;XIAP;POLB;ADCY5;CHEK1;PRKACB;ETS2;PPP3CA;CDK4;TGFB2;ITGAL;HLA-B;RAN;CREB3;MAPK3;HLA-DOA;MAP3K14;TNFRSF1A;VDAC1;AKT3;BUB1B;MAP2K1;BAX;CD3G;CCND3;HRAS;HLA-DQB1;HLA-DRB3;XPO1;FDPS;MAPK1;KAT2B;MAPK9;E2F1;TCF3;HLA-DRB4;CREB3L4;CCND1;IKBKB;SLC2A1;IL2RA;CRTC3;NRAS;MAP3K1;LTBR;CDKN2B;CD3D;HLA-DPA1;CSF2;DLG1;IL1R1;PTTG1;PIK3R2;PIK3R3;PRKACG;CANX;MAP2K2;HLA-A;ICAM1;SLC25A6;PIK3R1;HLA-DRB5;RELB
8,prerank,Chronic myeloid leukemia,0.5247274376103438,1.7648564451651443,0.0,0.0074902544061749635,0.065,42/71,25.89%,RAF1;MYC;CDKN1A;CDKN1B;SMAD3;SMAD4;CRK;BRAF;TP53;MDM2;TGFBR1;HDAC2;NFKBIA;RELA;SOS1;TGFB3;BAD;GADD45B;BCR;KRAS;PIK3CA;RB1;AKT1;PIK3CB;CRKL;TGFBR2;ARAF;BCL2L1;NFKB1;CBL;CDK4;TGFB2;CDK6;MAPK3;AKT3;MAP2K1;BAX;HRAS;MAPK1;E2F1;CCND1;IKBKB
9,prerank,Progesterone-mediated oocyte maturation,0.5263089569578175,1.7505433698831534,0.0,0.008451690046370556,0.082,48/65,35.77%,CCNA2;RAF1;BRAF;CDK2;HSP90AA1;CCNA1;ADCY1;ADCY9;CCNB2;PLK1;CDC25B;CDK1;MAPK8;PRKACA;BUB1;KRAS;PIK3CA;INS;ADCY3;AKT1;PIK3CB;CCNB1;ARAF;ADCY5;STK10;MAPK12;PRKACB;MOS;CDC25A;MAPK3;AKT3;MAP2K1;MAPK1;MAPK9;IGF1R;PGR;PKMYT1;GNAI3;AURKA;RPS6KA3;PIK3R2;PIK3R3;PRKACG;PDE3B;PIK3R1;HSP90AB1;AKT2;RPS6KA6
