,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Citrate cycle (TCA cycle),0.5221333567505442,2.1417100345540434,0.0,0.007084159818645509,0.007,23/27,39.08%,DLD;MDH2;SDHB;CS;PCK1;IDH3B;PDHB;SUCLA2;PDHA1;SUCLG2;ACO2;PC;SDHD;IDH1;OGDH;ACO1;PCK2;SDHC;SDHA;DLAT;IDH2;ACLY;IDH3A
1,prerank,Non-alcoholic fatty liver disease (NAFLD),0.3937516301047863,2.081665671729763,0.0,0.006578148403027973,0.013,107/125,51.66%,NR1H3;RXRA;CASP8;COX5B;FAS;PRKAG1;PRKAA1;CDC42;AKT1;NDUFV2;NDUFS4;COX6A2;NDUFV1;JUN;NDUFS6;NDUFA13;SDHB;ADIPOR1;NDUFA12;ATF4;NDUFS8;NDUFB5;PIK3CA;EIF2S1;GSK3B;NDUFB7;XBP1;PRKAB2;AKT3;RAC1;GSK3A;PRKAA2;PRKAB1;IRS1;CASP3;NDUFB1;NDUFB6;COX4I1;NDUFA9;COX7B;NDUFB8;CYC1;SDHD;PIK3R3;COX7C;NDUFA4;EIF2AK3;CYCS;LEPR;NDUFC2;RELA;PIK3R1;COX6B2;NFKB1;BAX;NDUFS1;NDUFAB1;SDHC;NDUFA5;DDIT3;NDUFA7;TNFRSF1A;SREBF1;SDHA;NDUFC1;PPARA;MAP3K11;UQCRC1;PIK3R2;UQCR11;MAPK8;IL1B;MAP3K5;LEP;UQCRB;IL6R;ADIPOR2;TNF;NDUFA3;IL6;NDUFS3;NDUFA1;COX6B1;NDUFS5;INS;PKLR;NDUFA2;COX7A1;NDUFA6;NDUFB2;PIK3CD;CXCL8;NDUFB4;NDUFA8;PIK3CB;INSR;NDUFS7;FASLG;BCL2L11;CASP7;CYP2E1;PRKAG3;NDUFS2;ERN1;COX5A;IRS2;IKBKB
2,prerank,Circadian rhythm,0.5230007043320708,2.0808490393564956,0.0,0.004385432268685315,0.013,15/24,23.44%,RORB;PRKAG1;PRKAA1;CSNK1E;FBXW11;SKP1;CREB1;CSNK1D;PRKAB2;CLOCK;PRKAA2;PRKAB1;PER1;RORC;RORA
3,prerank,Non-small cell lung cancer,0.4277993448518661,2.077793516113396,0.0,0.0037950856171315227,0.015,45/63,38.56%,TP53;RXRA;CCND1;EGFR;PLCG2;ERBB2;CDK6;HRAS;EML4;AKT1;RXRB;ARAF;CDK4;PIK3CA;MAP2K2;GADD45B;AKT3;STAT3;CDKN1A;RB1;KRAS;STAT5B;PLCG1;CASP9;PDPK1;RAF1;PIK3R3;RASSF5;MAPK3;PIK3R1;BAX;JAK3;FOXO3;E2F1;RARB;ALK;PIK3R2;STAT5A;CDKN2A;PRKCG;MAPK1;TGFA;PRKCB;BRAF;E2F3
4,prerank,Measles,0.3896301583143782,2.0570630902706433,0.0,0.004250495891187305,0.021,101/126,48.81%,CSNK2A1;BCL2L1;TP53;IFNA2;TRAF3;CCND1;CASP8;FAS;EIF2AK2;BCL2;OAS2;TLR4;MYD88;CDK6;AKT1;IFNAR1;OAS1;TLR2;JUN;CDK4;SLAMF1;IFNB1;CSNK2B;IL2RA;CSNK2A2;TRAF6;TBK1;PIK3CA;IFNAR2;CHUK;IRF3;IFIH1;EIF2S1;GSK3B;AKT3;NFKBIB;STAT3;STAT5B;CASP3;ADAR;NFKBIA;CASP9;CD3D;PIK3R3;IFNA8;EIF2AK3;CYCS;CCND3;RELA;PIK3R1;IFNA10;NFKB1;BAX;JAK3;IL2RB;RCHY1;IL12A;STAT1;IFNA5;FOS;DDX58;TAB2;IFNA4;CLEC4M;APAF1;CD209;IFNA21;HSPA1B;PIK3R2;CDKN1B;CD46;TYK2;IFNA1;TNFAIP3;CD3E;IRAK4;CBLB;MAPK8;IKBKG;STAT5A;EIF2AK1;IL1B;CCNE1;CDK2;IRAK1;IL6;IFNA17;TLR7;EIF3H;HSPA8;JAK1;BAK1;MAP3K7;STAT2;IKBKE;PIK3CD;IRF7;OAS3;PIK3CB;FASLG;IFNA16
5,prerank,Toll-like receptor signaling pathway,0.3985373840879742,2.052072956341919,0.0,0.0038794208530677785,0.023,72/98,40.76%,IFNA2;TRAF3;CASP8;IRF5;MAPK14;TOLLIP;TICAM1;TLR4;MYD88;CD40;AKT1;IFNAR1;LBP;TLR2;JUN;IFNB1;CTSK;TRAF6;TBK1;PIK3CA;MAP2K2;IFNAR2;CHUK;IRF3;AKT3;MAP3K8;RAC1;TLR3;NFKBIA;CXCL9;MAP2K7;CD14;PIK3R3;IFNA8;TLR5;MAPK11;MAPK3;RELA;PIK3R1;TICAM2;MAP2K3;IFNA10;TLR8;NFKB1;SPP1;IL12A;STAT1;IFNA5;FOS;TAB2;IFNA4;IFNA21;MAP2K4;CCL3;CD80;PIK3R2;TIRAP;MAP2K6;IFNA1;IRAK4;MAPK8;IKBKG;IL1B;MAPK1;CCL4;TNF;CXCL10;MAPK13;IRAK1;IL6;IFNA17;TLR7
6,prerank,Hepatitis B,0.3721974748564834,2.017229658976399,0.0,0.0050601141561753635,0.035,104/153,40.38%,TP53;IFNA2;TRAF3;CASP8;FAS;MAPK14;BCL2;TICAM1;TLR4;MYD88;HRAS;AKT1;SMAD4;EGR2;IFNAR1;TLR2;NFATC3;JUN;ARAF;IFNB1;ATF4;TRAF6;TBK1;PIK3CA;MAP2K2;CREB1;CHUK;IRF3;IFIH1;HSPG2;AKT3;SRC;CREBBP;ATF2;STAT3;ELK1;TLR3;CDKN1A;RB1;KRAS;STAT5B;NFATC4;CASP3;STAT4;NFKBIA;CASP9;CCNA2;STAT6;TGFB2;MAP2K7;CASP10;CREB3L4;RAF1;PIK3R3;IFNA8;CYCS;ATP6AP1;MAPK11;MYC;MAPK3;RELA;PIK3R1;SMAD3;TICAM2;MAP2K3;IFNA10;JAK2;NFKB1;BAX;JAK3;STAT1;IFNA5;FOS;DDX58;TAB2;IFNA4;APAF1;E2F1;IFNA21;MAP2K4;SLC10A1;PIK3R2;TIRAP;MAP2K6;TYK2;CCNA1;IFNA1;IRAK4;MAPK8;IKBKG;STAT5A;TGFBR2;CCNE1;PRKCG;MAPK1;PRKCB;BRAF;TNF;E2F3;CDK2;MAPK13;IRAK1;IL6;IFNA17
7,prerank,Adipocytokine signaling pathway,0.41090052006542743,1.988849943435295,0.0,0.005945634133506052,0.047,43/61,38.34%,RXRA;TNFRSF1B;PRKAG1;PRKAA1;AKT1;STK11;RXRB;ADIPOR1;PCK1;CHUK;PRKAB2;G6PC;AKT3;NFKBIB;STAT3;PRKAA2;PRKAB1;CAMKK2;ACSL3;IRS1;PTPN11;ACACB;NFKBIA;PRKCQ;SLC2A1;CPT1B;NFKBIE;LEPR;RELA;ACSL1;ACSL4;PCK2;JAK2;NFKB1;TNFRSF1A;PPARA;ACSL6;POMC;MAPK8;IKBKG;LEP;ADIPOR2;TNF
8,prerank,Parkinson disease,0.3890863083775262,1.9840350223720906,0.0,0.005397455099920387,0.048,79/94,51.10%,SLC25A4;COX5B;GNAI3;DRD1;NDUFV2;NDUFS4;PINK1;COX6A2;NDUFV1;NDUFS6;NDUFA13;SDHB;NDUFA12;SLC18A2;VDAC1;NDUFS8;NDUFB5;NDUFB7;UBA7;CASP3;NDUFB1;NDUFB6;CASP9;COX4I1;NDUFA9;COX7B;PPIF;NDUFB8;CYC1;SDHD;COX7C;NDUFA4;CYCS;PRKN;UBE2L3;TH;NDUFC2;COX6B2;NDUFS1;NDUFAB1;SDHC;NDUFA5;NDUFA7;APAF1;SDHA;NDUFC1;UQCRC1;ADORA2A;PRKACA;UQCR11;VDAC2;SLC25A5;ADCY5;SNCA;UQCRB;UCHL1;PRKACG;PARK7;NDUFA3;NDUFS3;PRKACB;NDUFA1;UBE2J1;COX6B1;NDUFS5;LRRK2;NDUFA2;GNAI2;SLC25A6;COX7A1;NDUFA6;NDUFB2;UBB;NDUFB4;NDUFA8;NDUFS7;NDUFS2;COX5A;SLC6A3
9,prerank,Small cell lung cancer,0.3931116023815428,1.9593271672286914,0.0,0.00667935068615148,0.065,55/79,41.90%,BCL2L1;TP53;RXRA;TRAF3;CCND1;ITGA2;BCL2;CDK6;AKT1;RXRB;CDK4;CKS1B;ITGA3;CDKN2B;TRAF6;LAMB2;PIK3CA;PTEN;GADD45B;CHUK;PTK2;ITGA2B;AKT3;TRAF1;CDKN1A;RB1;CASP3;NFKBIA;CASP9;COL4A4;PIK3R3;CYCS;MYC;RELA;PIK3R1;NFKB1;BAX;ITGAV;BIRC2;APAF1;E2F1;RARB;PIK3R2;CDKN1B;ITGB1;XIAP;LAMA3;CKS2;IKBKG;CCNE1;E2F3;CDK2;BIRC3;BIRC7;MAX
