,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Fc epsilon RI signaling pathway,0.4443530483414878,2.4649033912506706,0.0,0.0,0.0,38/59,29.18%,MAPK9;AKT2;LYN;FCER1G;ALOX5AP;PIK3CB;MAP2K3;GRB2;HRAS;MAPK12;MAPK14;MAPK8;AKT3;FYN;PLCG2;PIK3CA;SOS2;AKT1;MAPK1;MAPK13;SOS1;PIK3CD;RAC1;PRKCA;MAPK3;PLCG1;RAF1;IL13;LAT;ALOX5;MAP2K6;SYK;MAP2K4;NRAS;MAP2K1;VAV1;KRAS;PDPK1
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.40076972256839083,2.393146905565004,0.0,0.0005135099807667171,0.001,56/89,31.66%,MAPK9;JAK2;F3;AKT2;CDC42;NFKB1;PIK3CB;HRAS;MAPK12;MAPK14;PRKCE;MAPK8;EGR1;CASP3;AKT3;TGFB1;STAT1;RELA;SMAD3;PLCG2;ICAM1;PIK3CA;AKT1;TGFB3;NOX1;MAPK1;CCL2;BAX;MAPK13;JUN;CYBB;PIK3CD;RAC1;TGFB2;PRKCA;MMP2;MAPK3;SMAD2;PLCG1;CDKN1B;STAT3;TGFBR2;CDK4;PLCB1;IL1B;THBD;SMAD4;NFATC1;NRAS;EDN1;AGT;KRAS;COL4A3;PLCB3;VEGFB;BCL2
2,prerank,Chagas disease (American trypanosomiasis),0.392464163071425,2.380817494892674,0.0,0.0006846799743556227,0.002,69/97,39.77%,MAPK9;C3;CCL5;MYD88;IL12A;IRAK1;AKT2;NFKB1;FOS;CD247;PIK3CB;IFNG;MAPK12;MAPK14;KNG1;MAPK8;FAS;AKT3;TGFB1;PPP2R1A;PPP2CB;RELA;SMAD3;GNA11;PIK3CA;AKT1;BDKRB2;TGFB3;GNAS;IL2;TLR6;TICAM1;MAPK1;CCL2;MAPK13;JUN;CASP8;CFLAR;PIK3CD;TGFB2;GNAI3;MAPK3;SMAD2;IRAK4;GNAI1;TGFBR2;PLCB1;IKBKB;FADD;IL1B;TNFRSF1A;NFKBIA;MAP2K4;TLR4;FASLG;GNA15;TLR9;TLR2;PLCB3;TRAF6;PPP2R2D;GNAI2;PIK3R1;TGFBR1;CD3D;NOS2;IFNGR1;CCL3;C1QC
3,prerank,Hepatitis B,0.365401411153472,2.351345996659315,0.0,0.0005135099807667171,0.002,83/153,26.09%,PCNA;MAPK9;MYD88;STAT2;TP53;JAK2;IRAK1;AKT2;ATF2;IRF7;NFKB1;FOS;PIK3CB;TICAM2;MAP2K3;GRB2;HRAS;CDK2;IFNA17;NFATC4;MAPK12;MAPK14;MAPK8;FAS;IFNA16;CASP3;AKT3;YWHAQ;TGFB1;STAT1;RELA;SMAD3;STAT6;PIK3CA;SOS2;EP300;AKT1;HSPG2;TBK1;E2F1;TGFB3;ATF4;TICAM1;MAPK1;CREBBP;PRKCG;BAX;MAPK13;IFNA2;IFIH1;SOS1;JUN;CASP8;JAK3;DDB2;PIK3CD;TGFB2;PRKCA;STAT4;NFATC3;APAF1;MAPK3;SMAD2;IRAK4;RB1;EGR2;BID;RAF1;STAT3;TGFBR2;IFNA21;JAK1;IKBKB;FADD;MAP2K6;NFKBIA;MAP2K4;SMAD4;NFATC1;CYCS;TLR4;NRAS;MAP2K1
4,prerank,Neurotrophin signaling pathway,0.3792490774886034,2.2866582235602033,0.0,0.0006162119769200606,0.003,66/103,34.36%,SH2B3;NTRK3;MAPK9;NFKBIE;TP53;MAP3K5;IRS1;IRAK1;AKT2;MAPKAPK2;CDC42;SHC1;NFKB1;IRAK2;PIK3CB;GRB2;HRAS;MAPK12;MAPK14;MAPK8;CAMK2A;AKT3;RELA;PLCG2;PIK3CA;ZNF274;SOS2;AKT1;ATF4;FRS2;MAPK1;BAX;MAPK13;SOS1;JUN;NFKBIB;PIK3CD;RAC1;SORT1;MAPK3;MAGED1;IRAK4;PLCG1;RAF1;CALM3;NGFR;IKBKB;RHOA;NFKBIA;NRAS;MAP2K1;FOXO3;FASLG;KRAS;PDPK1;RPS6KA1;ABL1;SHC4;NTRK1;BCL2;RPS6KA6;TRAF6;RAP1A;NGF;PRDM4;MAP3K3
5,prerank,Toxoplasmosis,0.37770506651265895,2.2839101888154456,0.0,0.0005135099807667171,0.003,65/99,35.16%,MAPK9;MYD88;JAK2;IL12A;HSPA1A;IRAK1;AKT2;CD40LG;NFKB1;IFNG;MAP2K3;HLA-DOB;MAPK12;MAPK14;MAPK8;CASP3;AKT3;ITGB1;TGFB1;STAT1;RELA;HLA-DPB1;PPIF;AKT1;TGFB3;LAMB3;MAPK1;MAPK13;CCR5;CASP8;NFKBIB;HLA-DPA1;SOCS1;IRGM;TGFB2;GNAI3;MAPK3;IRAK4;STAT3;GNAI1;HLA-DRB5;JAK1;IKBKB;IL10RB;ALOX5;TNFRSF1A;MAP2K6;NFKBIA;PIK3CG;HLA-DRA;CYCS;TLR4;HLA-DMB;HLA-DQA1;PDPK1;CD40;HSPA1B;TLR2;LAMA3;BCL2;TRAF6;ITGA6;PIK3R5;HLA-DMA;CIITA
6,prerank,Relaxin signaling pathway,0.37556891703250983,2.2819251851308144,0.0,0.0004401514120857575,0.003,71/103,39.79%,ADCY6;MAPK9;PRKACG;ADCY3;AKT2;ATF2;EGFR;SHC1;NFKB1;FOS;PIK3CB;GRB2;HRAS;GNG7;PRKACA;MAPK12;MAPK14;MAPK8;AKT3;TGFB1;RELA;SMAD3;PIK3CA;SOS2;AKT1;GNAS;ATF4;MAPK1;GNGT2;MAPK13;SOS1;JUN;PIK3CD;PRKCA;MMP2;GNAI3;MAPK3;SMAD2;RAF1;RXFP1;GNAI1;TGFBR2;PLCB1;PRKACB;NFKBIA;MAP2K4;NRAS;MAP2K1;GNB4;GNA15;EDN1;EDNRB;ADCY2;KRAS;COL4A3;PLCB3;ADCY5;VEGFB;SHC4;CREB3;ACTA2;ADCY7;GNAI2;MAP2K7;CREB1;PIK3R1;TGFBR1;VEGFC;CREB3L2;NOS2;ADCY9
7,prerank,Estrogen signaling pathway,0.3743442112927365,2.2773650219512835,0.0,0.0005135099807667171,0.004,67/98,39.79%,ADCY6;PRKACG;ADCY3;HSPA1A;KCNJ5;AKT2;ATF2;EGFR;NCOA3;HSP90AB1;SHC1;FOS;PIK3CB;GRB2;HRAS;PRKACA;AKT3;PIK3CA;SOS2;AKT1;KRT25;GNAS;ATF4;ESR2;MAPK1;OPRM1;SOS1;JUN;PGR;GRM1;PIK3CD;MMP2;GNAI3;MAPK3;RAF1;CALM3;GNAI1;KRT12;PLCB1;PRKACB;HSP90AA1;GABBR1;HSP90B1;ITPR1;NRAS;MAP2K1;GPER1;ESR1;ADCY2;KRAS;HSPA1B;PLCB3;ADCY5;SHC4;BCL2;CREB3;HBEGF;POMC;ADCY7;GNAI2;CREB1;RARA;PIK3R1;KRT19;CREB3L2;TGFA;ADCY9
8,prerank,Th1 and Th2 cell differentiation,0.3778587244545603,2.244292506707223,0.0,0.0007987933034148932,0.007,49/87,27.66%,ZAP70;MAPK9;NFKBIE;JAK2;IL12A;NFKB1;FOS;CD247;IFNG;HLA-DOB;MAPK12;MAPK14;MAPK8;IL4R;MAF;STAT1;RELA;STAT6;HLA-DPB1;RUNX3;IL2RG;IL2;MAPK1;JAG1;MAPK13;JUN;NFKBIB;JAK3;HLA-DPA1;STAT4;PPP3CA;NFATC3;MAPK3;GATA3;PLCG1;IL13;IL2RB;MAML2;HLA-DRB5;JAK1;IKBKB;LAT;NFKBIA;NOTCH1;NFATC1;HLA-DRA;HLA-DMB;HLA-DQA1;PPP3CB
9,prerank,Prolactin signaling pathway,0.4001768033164138,2.2422699563051265,0.0,0.0007189139730734039,0.007,44/64,36.96%,MAPK9;JAK2;AKT2;SHC1;NFKB1;FOS;PIK3CB;GRB2;HRAS;MAPK12;MAPK14;MAPK8;AKT3;TNFSF11;STAT1;RELA;PIK3CA;SOS2;AKT1;GALT;ESR2;MAPK1;MAPK13;SOS1;PIK3CD;SOCS1;MAPK3;RAF1;STAT3;NRAS;MAP2K1;FOXO3;IRF1;TH;SLC2A2;ESR1;KRAS;CCND2;SOCS2;SHC4;PRLR;SOCS4;PIK3R1;CGA
