,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.47715004700487,2.6403765012485323,0.0,0.0,0.0,45/71,23.25%,AKT1;TGFBR2;SMAD3;IKBKB;RPS6KB2;DDB2;GADD45B;MTOR;MAPK9;TP53;RAF1;RALGDS;E2F1;RPS6KB1;BAX;CHUK;STAT1;MAP2K1;PIK3R3;PLD1;RB1;CDKN1A;SMAD4;PIK3R2;PIK3CB;RAC1;PIK3CA;CCND1;PIK3CD;STAT3;AKT3;RAC3;NFKB1;AKT2;RAD51;ERBB2;MAPK3;BRCA2;BRAF;MAPK1;BAD;TGFB2;CDK4;RALBP1;TGFB3
1,prerank,Colorectal cancer,0.45958386053822575,2.617804299005492,0.0,0.0,0.0,48/79,23.40%,JUN;AKT1;TGFBR2;SMAD3;PMAIP1;RPS6KB2;DDB2;GADD45B;MTOR;MAPK9;TP53;AXIN2;RAF1;CTNNB1;RALGDS;RPS6KB1;BAX;MAP2K1;RHOA;PIK3R3;BCL2L11;CDKN1A;SMAD4;TCF7L2;PIK3R2;PIK3CB;RAC1;PIK3CA;CYCS;CCND1;GRB2;PIK3CD;HRAS;AKT3;RAC3;LEF1;AKT2;CASP3;MAPK3;BRAF;BCL2;MAPK1;BAD;MYC;AXIN1;TGFB2;TGFB3;TCF7L1
2,prerank,TNF signaling pathway,0.4341656448068312,2.6024978918503003,0.0,0.0,0.0,73/104,34.28%,JUN;IL15;AKT1;TRADD;MAPK14;TNFAIP3;IKBKB;FAS;CX3CL1;ATF2;CXCL1;MAP3K14;CREB1;RIPK1;MAPK9;JUNB;ATF4;MAP3K5;MAPK13;BCL3;MAP3K8;NFKBIA;RPS6KA4;CHUK;CCL5;ICAM1;FADD;DNM1L;MAP2K1;CREB3L4;PIK3R3;CFLAR;CREB3L2;CCL2;CXCL10;PIK3R2;PIK3CB;MAP2K6;CASP7;PIK3CA;IL18R1;PIK3CD;AKT3;VEGFC;NFKB1;AKT2;CASP3;MAPK3;CXCL5;TRAF5;MAPK1;IFNB1;EDN1;MAP2K7;TRAF2;CEBPB;LIF;MAP2K3;CCL20;TAB2;MAP2K4;MAPK12;RELA;IRF1;CSF1;JAG1;TRAF1;VCAM1;TNFRSF1A;CASP8;PTGS2;CASP10;TNFRSF1B
3,prerank,Neurotrophin signaling pathway,0.40169062719967374,2.4046442963207917,0.0,0.0,0.0,70/103,35.65%,JUN;NTRK1;AKT1;MAPK14;IKBKB;PLCG1;PLCG2;NTRK3;MAPKAPK2;CRK;IRAK1;MAPK9;TP53;RAF1;ATF4;MAGED1;MAP3K5;MAPK13;BAX;NFKBIA;NFKBIB;MAP2K1;RHOA;PIK3R3;RPS6KA6;MAP2K5;PIK3R2;PIK3CB;RAC1;PIK3CA;NGF;CALM3;GRB2;PIK3CD;HRAS;AKT3;MAPK7;SORT1;ABL1;NFKB1;AKT2;IRS1;MAPK3;ARHGDIB;BRAF;BCL2;MAPK1;BAD;RIPK2;MAP2K7;SH2B3;FRS2;PRDM4;CALM1;MAPK12;RELA;RPS6KA1;CAMK2G;RPS6KA3;FASLG;MAP3K3;GSK3B;CRKL;IRAK4;PRKCD;SHC1;PDPK1;IRAK2;SHC4;SOS2
4,prerank,Toll-like receptor signaling pathway,0.4039766977248028,2.388828283095387,0.0,0.0,0.0,64/98,32.56%,JUN;AKT1;MAPK14;IKBKB;IFNA16;RIPK1;IRAK1;MAPK9;MAPK13;IL12A;TLR3;MAP3K8;NFKBIA;CHUK;CCL5;FADD;STAT1;MAP2K1;SPP1;PIK3R3;CD40;LBP;CXCL10;TLR9;PIK3R2;PIK3CB;MAP2K6;TBK1;RAC1;PIK3CA;PIK3CD;TLR8;AKT3;IFNA1;IFNAR2;IKBKE;CCL3;TLR1;CXCL9;NFKB1;AKT2;IFNA21;IFNA2;MAPK3;TICAM2;IFNA17;MAPK1;IFNB1;IRF5;TIRAP;MAP2K7;MYD88;MAP2K3;TAB2;CD86;MAP2K4;MAPK12;RELA;CTSK;TLR2;IRF7;CASP8;IRAK4;TLR6
5,prerank,Hepatitis B,0.3784435372920512,2.3836532347208252,0.0,0.0,0.0,95/153,32.71%,JUN;AKT1;TGFBR2;SMAD3;JAK2;MAPK14;IKBKB;CCNA2;IFNA16;FAS;DDB2;ATF2;CREB1;IRAK1;MAPK9;TP53;RAF1;ATF4;PCNA;STAT2;BID;MAPK13;TYK2;TLR3;CDK2;E2F1;BAX;NFKBIA;CHUK;FADD;STAT1;MAP2K1;CREB3L4;PIK3R3;RB1;CREB3L2;CDKN1A;SMAD4;PIK3R2;PIK3CB;IFIH1;MAP2K6;TBK1;PRKCG;PIK3CA;CYCS;JAK3;GRB2;PIK3CD;STAT3;HRAS;AKT3;IFNA1;IKBKE;YWHAQ;NFKB1;AKT2;CASP3;IFNA21;IFNA2;MAPK3;TICAM2;APAF1;IFNA17;BRAF;BCL2;MAPK1;IFNB1;BAD;MYC;TGFB2;TIRAP;TGFB3;SRC;MAP2K7;PTK2B;MYD88;MAP2K3;TAB2;MAP2K4;MAPK12;RELA;CREBBP;ARAF;STAT4;DDX58;TLR2;IRF7;FASLG;NFATC1;HSPG2;STAT6;CASP8;IRAK4;NFATC4
6,prerank,Human immunodeficiency virus 1 infection,0.36707822036616344,2.3628162641471575,0.0,0.0,0.0,124/175,42.32%,JUN;AKT1;TRADD;MAPK14;IKBKB;PLCG1;IFNA16;RPS6KB2;FAS;PLCG2;CD3D;CRK;MTOR;RIPK1;IRAK1;MAPK9;GNB5;RAF1;PAK4;BID;MAPK13;GNG5;WEE1;LIMK1;RPS6KB1;ITPR1;BAX;NFKBIA;CHUK;FADD;CD247;GNAI2;MAP2K1;GNB4;FBXW11;PIK3R3;PAK2;ATM;TMEM173;PIK3R2;PIK3CB;CCNB2;GNG12;MAP2K6;GNB2;TBK1;RAC1;PRKCG;PIK3CA;CYCS;CALM3;PIK3CD;HRAS;AKT3;PTK2;IFNA1;RAC3;NFKB1;AKT2;CASP3;IFNA21;IFNA2;BTRC;APOBEC3A;MAPK3;TRAF5;APOBEC3B;IFNA17;BCL2;MAPK1;IFNB1;BAD;APOBEC3G;PAK1;PXN;GNG4;CD3G;MAP2K7;PTK2B;AP1S2;CXCR4;LIMK2;TRAF2;HLA-A;MYD88;CCNB1;MAP2K3;SKP1;CALM1;TAB2;CFL1;MAPK12;RELA;TAP2;RNF7;BCL2L1;TLR2;FASLG;NFATC1;TNFRSF1A;APOBEC3H;CRKL;CASP8;IRAK4;NFATC4;GNG11;APOBEC3D;TNFRSF1B;PPP3CC;TLR4;CALR;B2M;NFATC3;BAK1;PPP3CA;RBX1;PRKCA;GNB1;FOS;GNA11;IFNA14;TNF;CASP9;CCR5
7,prerank,Thyroid cancer,0.4872824714068267,2.3605702532759167,0.0,0.0,0.0,23/34,25.85%,NTRK1;DDB2;GADD45B;PAX8;TP53;CTNNB1;RXRA;BAX;MAP2K1;CDKN1A;TCF7L2;PPARG;CCND1;HRAS;LEF1;TFG;MAPK3;BRAF;MAPK1;MYC;TCF7L1;RXRG;TPR
8,prerank,Acute myeloid leukemia,0.42012994411200844,2.3399988211147624,0.0,0.0,0.0,37/65,24.71%,AKT1;IKBKB;RPS6KB2;RARA;BCL2A1;MTOR;RAF1;RPS6KB1;ZBTB16;CHUK;MAP2K1;PML;PIK3R3;TCF7L2;PIK3R2;PIK3CB;PIK3CA;CCND1;GRB2;PIK3CD;STAT3;HRAS;AKT3;FLT3;LEF1;NFKB1;AKT2;MAPK3;BRAF;MAPK1;BAD;MYC;KIT;CEBPE;EIF4EBP1;TCF7L1;PPARD
9,prerank,Non-small cell lung cancer,0.4267005180911254,2.3302275210635757,0.0,0.0,0.0,35/63,21.71%,AKT1;PLCG1;PLCG2;DDB2;GADD45B;ALK;TP53;RAF1;RXRA;RARB;E2F1;BAX;EML4;MAP2K1;PIK3R3;RB1;CDKN1A;PIK3R2;PIK3CB;PRKCG;PIK3CA;CCND1;JAK3;GRB2;PIK3CD;STAT3;HRAS;AKT3;AKT2;ERBB2;MAPK3;BRAF;MAPK1;BAD;CDK4
