,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prolactin signaling pathway,0.43513724697793066,2.2636921607230147,0.0,0.004058943563648753,0.004,53/64,44.99%,SOCS2;GALT;JAK2;TNFRSF11A;MAPK1;SHC4;AKT1;MAPK8;STAT3;GRB2;HRAS;PRLR;AKT3;MAPK9;PIK3CA;ESR2;SRC;GSK3B;CCND2;RELA;STAT1;NFKB1;CCND1;INS;PRL;SOCS1;SLC2A2;MAP2K2;MAPK12;PIK3R1;NRAS;MAPK14;SOCS4;RAF1;MAPK13;MAPK3;CISH;TH;PIK3R3;MAP2K1;SHC1;AKT2;CGA;IRF1;PIK3R2;SOS1;MAPK11;STAT5A;GCK;FOXO3;FOS;KRAS;SOCS5
1,prerank,Prostate cancer,0.4104188149713741,2.2551027711020457,0.0,0.0020294717818243766,0.004,66/89,40.78%,ZEB1;CREB1;PDGFRA;TP53;CASP9;RB1;MAPK1;AKT1;ETV5;EP300;GRB2;HSP90B1;HRAS;PDPK1;ATF4;AKT3;TCF7L2;PIK3CA;PTEN;GSTP1;CDKN1A;LEF1;AR;CTNNB1;CHUK;CDK2;GSK3B;IL1R2;CREB3L4;ERBB2;RELA;ARAF;IKBKG;NFKB1;CCNE1;CCND1;INS;NFKBIA;MAP2K2;BCL2;HSP90AA1;MDM2;PIK3R1;NRAS;PDGFD;PDGFRB;ERG;RAF1;EGFR;FGFR1;MAPK3;E2F1;PIK3R3;TCF7L1;MAP2K1;CREB3L1;AKT2;PLAT;IKBKB;BRAF;NKX3-1;CDKN1B;FOXO1;HSP90AB1;PIK3R2;SOS1
2,prerank,Apoptosis,0.3876356882651985,2.2380073354511407,0.0,0.0013529811878829178,0.004,85/123,39.01%,FAS;PARP2;NGF;DAXX;TP53;CASP9;ATM;MAPK1;AKT1;AIFM1;BECN1;MAPK8;XIAP;HRAS;CFLAR;PDPK1;ATF4;AKT3;CYCS;MAPK9;ACTB;PIK3CA;SPTAN1;MCL1;BCL2L1;BIRC3;DDIT3;PARP1;CTSH;BIRC5;CHUK;BAX;GADD45B;CTSD;JUN;NTRK1;CTSW;ITPR1;RELA;PRF1;IKBKG;APAF1;NFKB1;BIRC2;TUBA3C;NFKBIA;MAP2K2;BCL2;SPTA1;CASP3;CTSL;CAPN1;BCL2A1;FASLG;PIK3R1;NRAS;BID;PMAIP1;CTSK;BCL2L11;DIABLO;TRADD;RAF1;CASP7;CASP10;DFFB;LMNA;MAPK3;ERN1;RIPK1;PIK3R3;MAP2K1;FADD;AKT2;NGFR;EIF2S1;CTSB;PARP4;GZMB;IKBKB;MAP3K5;TNFRSF10A;LMNB2;MAP3K14;TUBA4A
3,prerank,AGE-RAGE signaling pathway in diabetic complications,0.39588605669150007,2.185684353011764,0.0,0.0020294717818243766,0.008,75/89,50.68%,CCL2;RAC1;SMAD4;F3;SMAD3;PRKCD;JAK2;NOX1;EDN1;MAPK1;TGFBR1;AKT1;AGT;EGR1;MAPK8;STAT3;PLCB1;HRAS;PRKCZ;AKT3;PLCG2;IL1B;COL4A5;MAPK9;CDK4;PIK3CA;MMP2;AGER;BAX;PRKCA;JUN;PRKCE;RELA;STAT1;NFKB1;CDC42;CCND1;VEGFC;BCL2;CASP3;VEGFA;FN1;MAPK12;PIK3R1;SERPINE1;CXCL8;NRAS;MAPK14;TGFB2;SMAD2;MAPK13;MAPK3;TGFB3;PLCG1;AGTR1;PIK3R3;AKT2;VEGFB;CDKN1B;FOXO1;CYBB;PIK3R2;MAPK11;TGFBR2;STAT5A;IL6;PLCB3;KRAS;COL4A3;STAT5B;NFATC1;PIK3CB;VCAM1;PLCE1;COL4A4
4,prerank,Viral myocarditis,0.4381257574714157,2.1530454073727183,0.0,0.0028412604945541272,0.014,31/45,33.36%,RAC1;ITGB2;FYN;HLA-DQB1;HLA-DRB3;CAV1;CASP9;HLA-DMB;CD40;CD80;RAC3;DMD;HLA-DRA;CYCS;ACTB;HLA-DPA1;HLA-DQA1;CD28;HLA-A;PRF1;CCND1;DAG1;CASP3;ABL1;HLA-B;BID;HLA-DRB4;HLA-DMA;EIF4G1;CD86;HLA-DOB
5,prerank,Bladder cancer,0.45997118579909907,2.151961683795975,0.0,0.002367717078795106,0.014,28/39,34.65%,FGFR3;TP53;RB1;MAPK1;RPS6KA5;HRAS;HBEGF;CDK4;MMP2;SRC;CDKN1A;DAPK3;ERBB2;ARAF;TYMP;CCND1;MAP2K2;MDM2;VEGFA;RASSF1;CXCL8;NRAS;RAF1;EGFR;MAPK3;E2F1;MAP2K1;DAPK2
6,prerank,Hepatitis B,0.37010212717088026,2.1518016922756176,0.0,0.0020294717818243766,0.014,121/153,49.78%,PRKCG;CREB1;SMAD4;IRAK4;IFIH1;FAS;SMAD3;IKBKE;TLR4;JAK2;TP53;CASP9;IFNA16;TLR2;RB1;MAPK1;TGFBR1;AKT1;SLC10A1;STAT6;EP300;MAPK8;DDX58;STAT3;GRB2;HRAS;ATF4;AKT3;JAK3;CYCS;MAPK9;PIK3CA;SRC;CDKN1A;PCNA;BIRC5;CHUK;IFNA8;BAX;IFNA5;CDK2;TAB2;PRKCA;TLR3;IFNB1;TICAM1;STAT4;JUN;CREB3L4;RELA;STAT1;ARAF;IKBKG;APAF1;NFKB1;CCNE1;NFATC3;NFKBIA;MAP2K2;BCL2;CASP3;ATF2;IFNA1;STAT2;FASLG;EGR3;MAPK12;PIK3R1;IFNAR1;CXCL8;NRAS;BID;TBK1;MAPK14;TRAF3;MAP2K6;TGFB2;RAF1;SMAD2;CASP10;MAPK13;IRF7;MAPK3;MAP2K7;TGFB3;E2F1;PIK3R3;MAP2K1;CREB3L1;FADD;AKT2;NFATC4;IKBKB;BRAF;IFNA10;IFNA17;PIK3R2;SOS1;MAPK11;IFNA14;CREBBP;TGFBR2;STAT5A;IL6;IRF3;TICAM2;FOS;KRAS;HSPG2;YWHAQ;IRAK1;STAT5B;NFATC1;CCNA2;IFNA21;CREB3L2;PIK3CB;IFNA2;CASP8;TIRAP;MYD88
7,prerank,Pancreatic cancer,0.40897794303027574,2.151402675821354,0.0,0.0017757878090963295,0.014,47/71,34.42%,RAC1;SMAD4;SMAD3;TP53;CASP9;RPS6KB1;RB1;MAPK1;TGFBR1;AKT1;RALBP1;MAPK8;STAT3;RAC3;AKT3;MAPK9;CDK4;PIK3CA;BCL2L1;CDK6;CDKN1A;CHUK;BAX;GADD45B;ERBB2;RELA;STAT1;ARAF;IKBKG;NFKB1;CDC42;CCND1;BRCA2;VEGFA;RPS6KB2;PIK3R1;PLD1;TGFB2;RAF1;SMAD2;EGFR;MAPK3;TGFB3;E2F1;PIK3R3;MAP2K1;AKT2
8,prerank,Neurotrophin signaling pathway,0.3850187185463521,2.146544352850515,0.0,0.0015784780525300705,0.014,70/103,37.40%,MAGED1;RAC1;RHOA;IRAK4;PRKCD;NGF;MAP2K5;TP53;MAPK1;SHC4;AKT1;RPS6KA5;RIPK2;MAPK8;GRB2;CALM3;HRAS;PDPK1;ATF4;AKT3;PLCG2;MAPK9;PIK3CA;PRDM4;IRAK2;CAMK2G;BAX;GSK3B;JUN;NTRK1;RELA;CALM1;NFKB1;PTPN11;CDC42;RPS6KA3;NFKBIA;NFKBIB;MAP2K2;BCL2;ABL1;IRS1;ARHGDIA;FASLG;MAPK12;PIK3R1;MAPKAPK2;NRAS;CRK;MAPK14;RAF1;RAP1A;NTRK2;NTRK3;MAPK13;MAPK3;MAP2K7;NFKBIE;PLCG1;PIK3R3;MAP2K1;SHC1;AKT2;NGFR;SORT1;CAMK2A;IKBKB;CAMK4;MAP3K5;BRAF
9,prerank,Toll-like receptor signaling pathway,0.38747153103200893,2.134398589587543,0.0,0.0015221038363682825,0.015,84/98,51.46%,IL12A;RAC1;TLR5;IRAK4;TLR8;IKBKE;TLR4;IFNA16;TLR2;MAPK1;AKT1;CD40;CD80;MAPK8;IRF5;TOLLIP;AKT3;IL1B;MAPK9;PIK3CA;SPP1;CHUK;IFNA8;IFNA5;TAB2;TLR3;IFNB1;TICAM1;JUN;CCL4L2;LBP;RELA;STAT1;CD14;IKBKG;NFKB1;NFKBIA;MAP2K2;IFNA1;MAPK12;PIK3R1;IFNAR1;CXCL8;TBK1;MAP3K8;MAPK14;TRAF3;CTSK;MAP2K6;MAPK13;CXCL11;IRF7;MAPK3;MAP2K7;CD86;RIPK1;PIK3R3;CXCL9;MAP2K1;FADD;AKT2;TLR9;CCL5;IKBKB;IFNA10;CCL3;IFNA17;PIK3R2;MAPK11;IFNA14;IL6;IRF3;TICAM2;FOS;IRAK1;TLR6;IFNA21;PIK3CB;IFNA2;CASP8;TIRAP;MYD88;MAP2K4;IFNAR2
10,prerank,FoxO signaling pathway,0.3728585805363315,2.121743599829349,0.0,0.0015682281950461093,0.017,87/119,44.67%,SMAD4;PRKAG1;SIRT1;SMAD3;CDKN2B;PRKAG2;ATM;BCL6;MAPK1;TGFBR1;AKT1;PLK1;PCK1;EP300;MAPK8;STK11;SETD7;STAT3;GRB2;HRAS;PDPK1;AKT3;PRKAA1;CAT;ATG12;CSNK1E;MAPK9;PCK2;PIK3CA;PRKAG3;RAG1;PTEN;CDKN1A;CHUK;CDK2;GADD45B;FBXO32;PLK2;STK4;G6PC;CCND2;RAG2;PLK4;ARAF;CCND1;INS;MAP2K2;HOMER2;IRS1;MDM2;FASLG;MAPK12;PIK3R1;NRAS;MAPK14;BCL2L11;TGFB2;RAF1;SMAD2;EGFR;NLK;SGK2;IRS2;MAPK13;MAPK3;TGFB3;PIK3R3;MAP2K1;AKT2;CCNB2;G6PC2;IKBKB;BRAF;CDKN1B;FOXO1;PRKAA2;PIK3R2;SOS1;MAPK11;IL10;CREBBP;S1PR1;TGFBR2;IL6;FOXO3;IGF1R;KRAS
11,prerank,Graft-versus-host disease,0.44733450373759753,2.0853211042554234,0.0,0.0018603491333390118,0.022,28/34,43.63%,HLA-DQB1;FAS;HLA-DRB3;KLRC1;HLA-DMB;CD80;IL1B;HLA-DRA;HLA-DPA1;IFNG;HLA-DQA1;KIR2DL3;CD28;HLA-A;PRF1;FASLG;HLA-B;HLA-DRB4;HLA-DMA;CD86;HLA-DOB;KIR3DL1;GZMB;KIR3DL2;HLA-DPB1;IL6;IL2;KLRD1
12,prerank,MicroRNAs in cancer,0.3554686924086144,2.076425762950991,0.0,0.0019514151748311315,0.025,77/129,34.39%,PRKCG;ABCB1;ZEB1;PDGFRA;DNMT3A;RHOA;SIRT1;FGFR3;PAK4;VIM;HMOX1;TP53;ATM;MAPK1;SHC4;TIMP3;RPS6KA5;HDAC1;EP300;STAT3;MET;GRB2;HRAS;PLCG2;ERBB3;ROCK1;ST14;BMI1;PIK3CA;PTEN;MCL1;CDK6;CDKN1A;BCL2L2;STMN1;PRKCA;TP63;NOTCH1;PRKCE;CCND2;ERBB2;NOTCH2;NFKB1;CCNE1;CCND1;SOCS1;MAP2K2;BCL2;CASP3;ABL1;IRS1;CYP1B1;MDM2;VEGFA;RASSF1;CDC25B;DNMT1;NRAS;PDGFRB;CRK;CYP24A1;BCL2L11;TGFB2;RAF1;DDIT4;EGFR;SPRY2;FOXP1;IRS2;RPTOR;PLCG1;BRCA1;E2F1;MAP2K1;EZH2;SHC1;DNMT3B
13,prerank,TNF signaling pathway,0.36870478870578105,2.0553816796502704,0.0,0.002101952916889533,0.029,68/104,37.07%,CCL2;CREB1;TNFAIP3;FAS;LIF;CX3CL1;EDN1;MAPK1;AKT1;RPS6KA5;MAPK8;CXCL3;CFLAR;ATF4;AKT3;IL1B;CXCL1;IL15;MAPK9;MMP14;PIK3CA;BCL3;TNFRSF1B;BIRC3;CSF1;CXCL5;CHUK;TAB2;IFNB1;JUN;CREB3L4;RELA;RPS6KA4;IKBKG;NFKB1;BIRC2;NFKBIA;VEGFC;TRAF5;CASP3;ATF2;MLKL;CXCL2;DNM1L;JUNB;MAPK12;PIK3R1;MAP3K8;MAPK14;TRAF3;MAP2K6;TRADD;CASP7;CASP10;MAPK13;MAPK3;MAP2K7;RIPK1;PIK3R3;MAP2K1;CREB3L1;FADD;AKT2;JAG1;CEBPB;CCL5;IKBKB;MAP3K5
14,prerank,Human cytomegalovirus infection,0.34189707189426394,2.0550057147060277,0.0,0.001961822722430231,0.029,146/197,48.74%,PRKCG;CCL2;CREB1;RAC1;PDGFRA;GNAI3;RHOA;FAS;CX3CL1;TP53;CASP9;IFNA16;ADCY3;RPS6KB1;RB1;MAPK1;GNA13;AKT1;GNG12;STAT3;GRB2;CALM3;PLCB1;HRAS;CXCR2;RAC3;ATF4;AKT3;IL1B;B2M;CALR;TSC2;ROCK1;CYCS;CDK4;PIK3CA;TSC1;ROCK2;GNG4;AKAP13;SRC;CDK6;CDKN1A;PRKACB;EIF4EBP1;CTNNB1;TAP1;CHUK;RHEB;IFNA8;BAX;TMEM173;IFNA5;PRKCA;ADCY9;GSK3B;IFNB1;CREB3L4;CCL4L2;ITPR1;RELA;HLA-A;CCR5;CALM1;IKBKG;NFKB1;CCND1;NFATC3;PXN;NFKBIA;TRAF5;MAP2K2;CASP3;PTK2;ATF2;MDM2;IFNA1;PRKACG;VEGFA;FASLG;MAPK12;RPS6KB2;GNG8;PIK3R1;GNG11;IL1R1;HLA-B;CXCL8;NRAS;BID;CXCL12;TBK1;CRK;MAPK14;GNAI2;MAP2K6;TRADD;RAF1;EGFR;PTGER3;MAPK13;MAPK3;RIPK1;E2F1;PIK3R3;MAP2K1;ADCY7;CREB3L1;FADD;AKT2;NFATC4;GNB2;ITGAV;CCL5;IKBKB;IL6R;IFNA10;PTGER4;GNB4;CCL3;IFNA17;PIK3R2;GNB1;SOS1;MAPK11;IL10RB;ARHGEF12;IFNA14;ADCY5;IL6;IRF3;PLCB3;KRAS;GNB5;GNAI1;ADCY2;CXCR4;NFATC1;PTGS2;IFNA21;CREB3L2;PIK3CB;BCAR1;CCR3;IFNA2;CASP8
