,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Base excision repair,0.5422494127823736,1.9671881882929432,0.0,0.032326899919109545,0.031,15/21,30.95%,PARP1;PARP2;POLE2;LIG3;POLB;PARP4;FEN1;NEIL1;MBD4;LIG1;POLE3;POLE;APEX1;HMGB1;OGG1
1,prerank,Parkinson disease,0.41969181477392276,1.959064371942942,0.0,0.01767877339326303,0.033,52/94,28.65%,SDHB;NDUFV2;DRD2;NDUFC2;PINK1;SLC25A4;NDUFA1;GNAI2;CASP9;COX7B;SLC18A2;ADCY5;SLC25A5;NDUFA7;COX6A2;SLC25A6;PRKACG;GNAI3;ADORA2A;NDUFS5;PRKACB;COX5B;NDUFV1;UQCRC1;NDUFB5;NDUFB6;APAF1;NDUFS4;NDUFS1;TH;NDUFAB1;NDUFS7;COX4I1;UBE2J1;NDUFA4;CASP3;NDUFB7;NDUFA5;UBE2L6;UBB;SDHD;NDUFA8;DRD1;PRKACA;SLC6A3;CYCS;UBE2L3;VDAC1;NDUFB1;GPR37;UCHL1;PRKN
2,prerank,Viral myocarditis,0.4605642215363526,1.9331572100130066,0.0,0.01683692704120289,0.047,29/45,30.46%,CAV1;HLA-DRB5;CASP8;EIF4G1;CXADR;ITGB2;FYN;ABL1;CASP9;CD55;SGCB;ICAM1;CD40;RAC1;HLA-DMB;HLA-A;HLA-DPA1;HLA-DRB3;CD86;RAC3;CASP3;HLA-DQB1;HLA-DOB;ACTB;DMD;CYCS;DAG1;HLA-DPB1;BID
3,prerank,AGE-RAGE signaling pathway in diabetic complications,0.40643414103547626,1.8578003780581755,0.0,0.03409477725843585,0.115,43/89,21.73%,NOX1;MAPK12;PIM1;AKT1;EDN1;TGFBR2;NFATC1;PRKCD;SMAD2;JUN;COL1A2;HRAS;AGT;PRKCB;TGFBR1;PIK3CD;PRKCE;SMAD3;SMAD4;PLCG2;VEGFA;TGFB3;BCL2;SERPINE1;FN1;NFKB1;RELA;STAT3;TGFB1;ICAM1;COL4A2;COL4A4;CDC42;RAC1;CDK4;MAPK3;CASP3;EGR1;VEGFB;MAPK13;F3;PIK3R3;AGTR1
4,prerank,Pancreatic cancer,0.41339058560118264,1.8542698852985888,0.0,0.02909420992719859,0.121,34/71,20.99%,RAF1;AKT1;RAD51;BRCA2;TGFBR2;IKBKG;CASP9;SMAD2;TGFBR1;PIK3CD;SMAD3;SMAD4;BCL2L1;TP53;VEGFA;TGFB3;ERBB2;NFKB1;RELA;STAT3;TGFB1;ARAF;RPS6KB1;DDB2;E2F1;CDC42;RAC1;BAK1;EGFR;CDK4;JAK1;RAC3;MAPK3;PIK3R3
5,prerank,Toxoplasmosis,0.39316030493417664,1.8284867411372114,0.0,0.032832007730345635,0.158,50/99,25.09%,ALOX5;MAPK12;AKT1;HLA-DRB5;CASP8;TLR4;GNAI2;IKBKG;HSPA1B;PIK3R6;CASP9;LAMB3;CCR5;GNAI3;BCL2L1;TGFB3;LAMB2;BCL2;SOCS1;TAB2;NFKB1;MAP2K3;RELA;NFKBIB;STAT3;TGFB1;IFNGR1;PIK3CG;TYK2;CD40;BIRC2;IRAK4;HLA-DMB;HLA-DPA1;HLA-DRB3;JAK1;IL10RB;MAPK3;CASP3;MAPK13;HLA-DQB1;NOS2;HLA-DOB;LDLR;CIITA;TLR2;BAD;MYD88;HSPA2;CYCS
6,prerank,Progesterone-mediated oocyte maturation,0.3978106646401341,1.7596370441176945,0.002004008016032064,0.060757253865826415,0.321,46/65,43.07%,RAF1;MAPK12;AKT1;CCNA2;RPS6KA1;GNAI2;ADCY9;ADCY7;ADCY5;PIK3CD;PRKACG;GNAI3;HSP90AB1;PKMYT1;PRKACB;PGR;HSP90AA1;INS;ARAF;CDC25B;CDK2;ADCY2;ADCY3;IGF1R;MAPK3;RPS6KA6;MAPK13;PIK3R3;PRKACA;MAPK1;BRAF;CDC25A;MAPK9;PDE3B;CCNB2;CCNB1;MAP2K1;AKT3;MAPK11;KRAS;GNAI1;ANAPC5;CDK1;PLK1;MAPK14;AURKA
7,prerank,Apelin signaling pathway,0.3738579683908472,1.741963571576788,0.0,0.06427496897979203,0.375,70/105,42.99%,RAF1;ITPR1;AKT1;ITPR3;BECN1;GNAI2;ADCY9;PIK3R6;ADCY7;PIK3R4;SMAD2;ADCY5;PRKAG3;HRAS;TGFBR1;PRKCE;SMAD3;SMAD4;GNG12;PRKACG;GNAI3;GNB5;SERPINE1;PRKACB;MEF2C;PIK3C3;PIK3CG;RPS6KB1;SPHK1;PRKAA1;PRKAB2;PRKAA2;ADCY2;ADCY3;PLAT;MAPK3;EGR1;AGTR1;NOS2;HDAC4;PRKACA;GNG4;PRKAG1;CALM1;MAPK1;RRAS2;SLC9A1;RPS6KB2;PLCB3;MYLK2;GNG11;GNG7;MTOR;RYR3;MEF2A;RPS6;SLC8A1;GABARAPL1;PDE3B;MAP2K1;AKT3;KRAS;GNB4;GNAI1;GNB1;RYR2;PRKAG2;NRAS;CALM3;MEF2D
8,prerank,Adrenergic signaling in cardiomyocytes,0.36591765387528075,1.7312225313086116,0.0,0.06330684567492287,0.401,74/111,43.08%,MAPK12;AKT1;CACNA1S;GNAI2;ADCY9;ADRA1A;PIK3R6;TNNI3;ADCY7;PPP1CA;CACNB4;ADCY5;PPP2R2C;CACNG3;CREB5;AGT;PRKACG;GNAI3;CACNG1;CREB3L2;PPP2R1A;BCL2;PRKACB;CAMK2G;CREB3L4;PIK3CG;CACNG2;ATP1A1;CAMK2A;CACNB2;ADCY2;ADCY3;ATF4;CAMK2D;MAPK3;MAPK13;PPP2CB;KCNE1;AGTR1;ATP1A3;ADRB2;PRKACA;TPM3;CACNA2D2;TNNC1;ATP1B2;AGTR2;CALM1;MAPK1;FXYD2;SLC9A1;TPM4;PLCB3;CREB1;PPP2R3C;CACNA1C;PPP2R5A;PPP2R5B;PPP2R5C;TPM1;SLC8A1;PPP2CA;RPS6KA5;AKT3;CACNA1D;MAPK11;GNAI1;SCN5A;ATP1B3;RYR2;MAPK14;ATP1B1;CALM3;PRKCA
9,prerank,Human T-cell leukemia virus 1 infection,0.350062395912358,1.7252613462521098,0.0,0.06010782953709431,0.421,115/189,40.66%,B2M;AKT1;HLA-DRB5;CCNA2;IL15RA;SRF;ITGB2;SLC25A4;CCND2;BUB1B;TGFBR2;LCK;ADCY9;IKBKG;PPP3R2;ADCY7;NFATC1;SMAD2;ADCY5;SLC25A5;CREB5;CHEK1;JUN;HRAS;MAP3K1;TGFBR1;SLC25A6;PIK3CD;SMAD3;CCNE1;SMAD4;PRKACG;CREB3L2;BCL2L1;TP53;TGFB3;CDC20;NFATC3;NFYB;CD3G;PRKACB;CCND3;NFKB1;RELA;TGFB1;ICAM1;CREB3L4;POLB;KAT5;TSPO;CDK2;IL1R2;E2F1;CD40;KAT2A;HLA-DMB;FOSL1;HLA-A;KAT2B;ADCY2;ADCY3;HLA-DPA1;HLA-DRB3;CREBBP;ATF4;CDK4;JAK1;EP300;MAPK3;EGR1;PIK3R3;HLA-DQB1;HLA-DOB;IL15;PRKACA;MMP7;VDAC1;MAPK1;CANX;SLC2A1;HLA-DPB1;JAK3;CRTC3;CDKN2C;MAP3K14;CREB1;NRP1;FDPS;LTBR;MAP2K4;NFKBIA;IL1R1;CDKN1A;CHEK2;ATR;ATM;PTTG1;CD3D;MAPK9;IL6;CDKN2B;CCNB2;MAP2K1;ETS2;AKT3;PPP3CA;KRAS;RELB;ITGAL;PTEN;HLA-DRB1;ANAPC5;ETS1;IL2RB;RAN
