,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,p53 signaling pathway,0.48993120288703823,2.4914666454737326,0.0,0.0,0.0,44/56,36.89%,PMAIP1;CCNB2;TSC2;FAS;THBS1;DDB2;APAF1;SFN;BCL2;TP53;SESN1;CDKN1A;CHEK2;PTEN;BID;TNFRSF10B;CCND1;ATM;CCNE2;TP53I3;PPM1D;CCND2;GADD45A;CCND3;CDK6;GADD45B;CDK4;CASP3;CDK2;ZMAT3;RCHY1;IGFBP3;CCNB1;CHEK1;RRM2;CDK1;ATR;CYCS;BAX;SIAH1;CCNG1;MDM4;SERPINB5;BCL2L1
1,prerank,Endometrial cancer,0.4906232038903172,2.450400887871279,0.0,0.0,0.0,34/53,21.57%,MYC;DDB2;SOS2;PIK3CB;BAD;TP53;AKT1;MLH1;CDKN1A;GSK3B;PTEN;ILK;PIK3CA;KRAS;ERBB2;AXIN1;CCND1;AKT3;MAP2K1;HRAS;BRAF;RAF1;PDPK1;ELK1;TCF7L1;LEF1;EGFR;MAPK1;CTNNA1;GADD45A;PIK3CD;GRB2;GADD45B;APC
2,prerank,Colorectal cancer,0.45060383301893164,2.4372751464808986,0.0,0.0,0.0,58/79,36.21%,RPS6KB1;MYC;PMAIP1;DDB2;SOS2;PIK3CB;BAD;TGFBR1;FOS;BCL2;SMAD2;TP53;AKT1;MLH1;BCL2L11;BIRC5;MAPK9;CDKN1A;GSK3B;PIK3CA;KRAS;TGFB1;RHOA;MSH6;AXIN1;CCND1;AKT3;MAP2K1;HRAS;RPS6KB2;BRAF;RAF1;TCF7L1;LEF1;EGFR;MAPK1;GADD45A;PIK3CD;RAC3;GRB2;GADD45B;RALB;APC;NRAS;CASP3;SMAD3;TGFBR2;MAPK3;RAC1;JUN;TCF7;CYCS;SMAD4;BAX;TCF7L2;CTNNB1;MAPK8;AKT2
3,prerank,Prolactin signaling pathway,0.4650895809767412,2.397594269577316,0.0,0.0,0.0,36/63,19.93%,STAT1;MAPK13;SHC4;SOS2;PIK3CB;FOS;JAK2;AKT1;NFKB1;GALT;MAPK9;SOCS2;GSK3B;INS;MAPK14;PIK3CA;TNFRSF11A;KRAS;MAPK11;STAT5A;CCND1;AKT3;MAP2K1;HRAS;CISH;RAF1;PRLR;SHC1;STAT3;IRF1;CCND2;SOCS4;MAPK1;PRL;PIK3CD;GRB2
4,prerank,Hepatitis B,0.396207733499495,2.320854146765284,0.0,0.00020436723904302816,0.001,102/153,36.42%,CREB3L2;IFNB1;MYC;STAT1;MAPK13;FAS;DDB2;FADD;SOS2;YWHAQ;PIK3CB;BAD;APAF1;TGFBR1;IKBKE;FOS;JAK2;BCL2;PCNA;STAT6;TRAF3;SMAD2;TP53;AKT1;PTK2B;TICAM2;ATF4;NFKB1;E2F1;BIRC5;CREB1;HSPG2;MAPK9;CDKN1A;MAP3K1;MAPK14;PIK3CA;STAT4;CREB3L4;KRAS;TGFB1;MAPK11;STAT5A;CCNA2;MAP3K7;NFATC4;MAP2K4;BID;TLR2;IFNA21;AKT3;MAP2K1;HRAS;TLR4;BRAF;RAF1;TYK2;ELK1;CCNE2;MYD88;IRAK4;RB1;STAT3;ATF2;IFNA2;MAPK1;STAT2;PIK3CD;TBK1;GRB2;PRKCA;EP300;NRAS;CASP3;CDK2;SMAD3;TGFBR2;CREB3;IRF7;MAPK3;JAK1;IFNA17;IFNA16;MAP2K7;IL6;IFNA10;MAPK12;NFKBIA;JUN;IFNA14;NFATC1;CHUK;NFATC3;IKBKG;IFNA4;CYCS;SMAD4;IFIH1;BAX;MAPK8;AKT2;IRF3
5,prerank,Pancreatic cancer,0.4371935069277526,2.3155540199362976,0.0,0.00017030603253585683,0.001,54/71,39.29%,RPS6KB1;STAT1;DDB2;PIK3CB;BAD;PLD1;TGFBR1;SMAD2;TP53;AKT1;NFKB1;E2F1;MAPK9;CDC42;CDKN1A;PIK3CA;KRAS;TGFB1;ERBB2;CCND1;AKT3;MAP2K1;RPS6KB2;BRAF;RAF1;RB1;BRCA2;STAT3;EGFR;MAPK1;GADD45A;PIK3CD;RAC3;CDK6;GADD45B;RALB;CDK4;SMAD3;TGFBR2;MAPK3;JAK1;RALBP1;RAC1;CHUK;IKBKG;SMAD4;BAX;MAPK8;AKT2;BCL2L1;IKBKB;ARHGEF6;RELA;RAD51
6,prerank,Longevity regulating pathway,0.4224834171689937,2.2830839595574166,0.0,0.00014597659931644868,0.001,47/85,25.25%,CREB3L2;EIF4E;RPS6KB1;PPARG;PRKAG2;STK11;CAT;PRKAB1;TSC2;HSPA1A;PIK3CB;PRKAG1;FOXO1;INSR;PRKAA1;RPTOR;TP53;AKT1;IRS1;ATF4;NFKB1;HSPA1B;HDAC1;CREB1;SESN1;IGF1R;INS;PIK3CA;CREB3L4;KRAS;ATG5;SOD1;PRKAB2;AKT3;HRAS;RPS6KB2;EIF4EBP1;ATF2;ADCY7;PPARGC1A;PIK3CD;HSPA2;PRKACB;HSPA8;NRAS;ADCY6;CREB3
7,prerank,Prostate cancer,0.4159453706235996,2.262159663234483,0.0,0.0002554590488037852,0.002,69/89,42.31%,CREB3L2;SOS2;PIK3CB;BAD;ETV5;FOXO1;BCL2;HSP90AB1;TP53;AKT1;ATF4;NFKB1;E2F1;CREB1;CDKN1A;IGF1R;GSK3B;PTEN;INS;PIK3CA;CREB3L4;KRAS;ERBB2;CCND1;AKT3;MAP2K1;CDKN1B;GSTP1;HRAS;BRAF;RAF1;PDPK1;AR;CCNE2;TCF7L1;RB1;LEF1;EGFR;MAPK1;PIK3CD;GRB2;PLAT;PLAU;FGFR1;EP300;NRAS;ERG;CDK2;CREB3;MAPK3;HSP90AA1;ZEB1;NFKBIA;IL1R2;CHUK;TCF7;IKBKG;FGFR2;TCF7L2;CTNNB1;PDGFRB;AKT2;IKBKB;RELA;PDGFC;MAP2K2;CCNE1;MTOR;SOS1
8,prerank,Gastric cancer,0.39837246566791823,2.2614419862672546,0.0,0.00022707471004780908,0.002,85/114,43.57%,RPS6KB1;RARB;MYC;DDB2;RXRG;SHC4;SOS2;PIK3CB;FGF9;TGFBR1;BCL2;SMAD2;TP53;AKT1;MET;MLH1;E2F1;CDKN1A;GSK3B;PIK3CA;KRAS;TGFB1;ERBB2;DVL2;FZD5;LRP6;AXIN1;CCND1;CSNK1A1L;FZD9;AKT3;MAP2K1;CDKN1B;HRAS;RPS6KB2;BRAF;RAF1;CCNE2;SHC1;TCF7L1;RB1;LEF1;EGFR;FZD10;CSNK1A1;MAPK1;CTNNA1;GADD45A;PIK3CD;GRB2;GADD45B;WNT3;APC;WNT11;NRAS;FGF2;FZD4;CDK2;SMAD3;TGFBR2;MAPK3;CDKN2B;FZD1;DVL3;TCF7;WNT7A;FGFR2;SMAD4;BAX;TCF7L2;CTNNB1;AKT2;FGF1;WNT5A;WNT9B;RXRA;GAB1;MAP2K2;CCNE1;ABCB1;AXIN2;MTOR;SOS1;WNT7B;SHH
9,prerank,FoxO signaling pathway,0.3992035364796388,2.2546366341388113,0.0,0.00020436723904302816,0.002,79/119,36.21%,PRKAG2;STK11;CAT;CCNB2;PRKAB1;MAPK13;SOS2;BCL6;PIK3CB;TGFBR1;IL7R;PRKAG1;FOXO1;INSR;PRKAA1;CSNK1E;SMAD2;AKT1;IRS1;BCL2L11;GRM1;MAPK9;G6PC2;SETD7;CDKN1A;IGF1R;PTEN;INS;MAPK14;PIK3CA;KRAS;TGFB1;MAPK11;CCND1;PRKAB2;ATM;AKT3;MAP2K1;CDKN1B;HRAS;BRAF;RAF1;PDPK1;STAT3;FOXO4;EGFR;CCND2;NLK;MAPK1;GADD45A;PCK2;PIK3CD;GRB2;GADD45B;SKP2;EP300;NRAS;PLK4;CDK2;SMAD3;TGFBR2;MAPK3;GABARAPL1;TNFSF10;PLK1;CDKN2B;IL10;IL6;MAPK12;CCNB1;USP7;SGK3;CHUK;SGK1;PRMT1;SMAD4;IRS2;MAPK8;AKT2
