,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Central carbon metabolism in cancer,0.42054273160054145,1.8682247522010058,0.0,0.14871698957382126,0.129,35/60,27.61%,SIRT3;HK1;PIK3CD;TP53;PFKP;SLC7A5;PDK1;FLT3;ERBB2;KRAS;HIF1A;PTEN;RAF1;HK3;MAP2K2;PFKL;GLS;EGFR;PFKM;MAPK3;G6PD;RET;AKT1;NTRK3;SLC2A2;PDHB;TIGAR;FGFR2;AKT2;SLC2A1;SIRT6;FGFR3;MTOR;NTRK1;MYC
1,prerank,Lysine degradation,0.44218572149051566,1.8606055182701495,0.0,0.07837787288350039,0.137,28/46,32.28%,AASS;DOT1L;SETD1B;AADAT;KMT2D;SUV39H1;ALDH1B1;TMLHE;ALDH7A1;HADH;ACAT2;PLOD3;PRDM2;EZH2;BBOX1;ACAT1;PHYKPL;SETDB1;EHHADH;ASH1L;EHMT2;EHMT1;ALDH3A2;KMT2A;DLD;SETD7;KMT2C;HADHA
2,prerank,Tryptophan metabolism,0.4595157326397055,1.8340964720669084,0.0010131712259371835,0.0716789093891841,0.182,26/35,37.98%,AADAT;ALDH1B1;ALDH7A1;HADH;ACAT2;KYNU;CYP1B1;DDC;CAT;IL4I1;KYAT1;MAOA;ACAT1;CYP1A1;ACMSD;EHHADH;IDO1;KYAT3;ALDH3A2;IDO2;DLD;HADHA;TPH1;ECHS1;CYP1A2;KMO
3,prerank,Measles,0.3694568871774428,1.782168215467632,0.0,0.09897718562852291,0.299,76/126,35.46%,BAD;IKBKG;IRAK4;CDK2;SLAMF1;IFNA21;HSPA1A;PIK3CD;IRF3;TP53;IFNA2;CD46;CASP3;JAK1;RCHY1;FOS;CCND2;IL2;BAK1;FADD;EIF2AK4;FCGR2B;CASP9;TRAF3;CBLB;IFNA16;BCL2;FAS;BCL2L1;IL12B;IFNA1;BBC3;IFNA10;GSK3B;JAK3;TLR4;IL2RA;ADAR;AKT1;JUN;TRADD;CSNK2B;TLR7;NFKBIA;TBK1;CASP8;CD3G;APAF1;NFKB1;OAS2;IL2RB;STAT1;IL6;IFNAR1;CCND3;HSPA1B;AKT2;CYCS;CDK4;CSNK2A1;RELA;TAB2;STAT2;TLR9;CD3E;MAP3K7;OAS1;IFIH1;MYD88;IFNA8;IFNA17;HSPA8;PIK3CA;BID;EIF3H;MAPK9
4,prerank,Ether lipid metabolism,0.4793847521556537,1.7535482823013964,0.006309148264984227,0.10852320860792361,0.392,10/21,18.69%,PLD4;PLA2G2E;PLA2G6;PLD2;ENPP2;LPCAT1;PLA2G2A;PLPP3;PLA2G1B;PLA2G4A
5,prerank,"Alanine, aspartate and glutamate metabolism",0.4436117503024822,1.7353482472256125,0.010309278350515464,0.10802078634584987,0.451,20/28,38.02%,GPT;CAD;GLUD2;ASS1;ADSS;PPAT;ADSSL1;IL4I1;GLS;AGXT2;ABAT;ASPA;CPS1;GAD2;ASL;GLUD1;ASNS;ALDH5A1;GOT2;GOT1
6,prerank,ECM-receptor interaction,0.41222507695246297,1.733599684261866,0.002014098690835851,0.09445538526985943,0.459,27/45,32.52%,LAMB3;ITGA2B;SV2A;GP6;CD44;GP9;FN1;ITGB5;COL4A4;ITGA6;CD36;ITGA1;GP1BA;ITGAV;DAG1;COL4A5;ITGA2;ITGA3;ITGB3;CD47;ITGA11;LAMB2;GP1BB;ITGB8;ITGB7;HMMR;ITGB1
7,prerank,Toxoplasmosis,0.36474328658937666,1.715581699854563,0.0,0.09696749658022803,0.505,64/99,40.21%,BAD;IKBKG;LAMB3;IRAK4;HSPA1A;IFNGR1;HLA-DRB5;NOS2;CASP3;PIK3CG;JAK1;PIK3R6;HLA-DPB1;TNFRSF1A;PIK3R5;HLA-DQA2;PDPK1;CASP9;CD40LG;BCL2;BCL2L1;ITGA6;IL12B;TGFB1;LDLR;MAPK14;MAPK3;HLA-DQB1;TLR4;HLA-DOB;IFNG;AKT1;NFKBIA;CASP8;NFKB1;STAT1;IFNGR2;HSPA1B;AKT2;CYCS;HLA-DRA;LAMB2;HLA-DMB;RELA;TAB2;GNAI3;ALOX5;MAP3K7;TGFB2;CCR5;MYD88;ITGB1;HSPA8;IL10RB;MAPK1;MAPK9;MAPK8;HLA-DRB4;IL10;HLA-DMA;IL10RA;CIITA;MAP2K3;STAT3
8,prerank,p53 signaling pathway,0.38477198792077305,1.697139117860123,0.0030120481927710845,0.1026057908546109,0.564,35/56,36.31%,ATM;RRM2;CDK2;CHEK1;TP53;CASP3;RCHY1;CCND2;CCNB1;PTEN;CASP9;BCL2;FAS;BCL2L1;BBC3;GADD45B;CASP8;APAF1;SIAH1;TNFRSF10B;SERPINE1;ATR;CCND3;PPM1D;CYCS;CDK4;PMAIP1;CD82;CDK1;CDKN1A;MDM2;CCNG1;BID;CCNB2;MDM4
9,prerank,Aldosterone-regulated sodium reabsorption,0.42436942150357737,1.6904559852445333,0.00513347022587269,0.09817331000920497,0.588,15/32,21.17%,ATP1B2;INS;PIK3CD;ATP1A3;ATP1B1;PRKCA;KRAS;PDPK1;ATP1B3;NR3C2;ATP1A1;ATP1A4;MAPK3;SCNN1G;SCNN1A
10,prerank,Antigen processing and presentation,0.3804103029001219,1.6901115579211259,0.0,0.08970521115570788,0.592,50/62,50.77%,HSPA1A;KIR2DL3;HLA-DRB5;HLA-DPB1;CREB1;RFXANK;CTSB;HLA-DQA2;HSPA4;CD8A;HSP90AA1;HLA-A;HLA-DQB1;IFI30;HLA-DOB;IFNG;KIR2DS4;NFYB;LGMN;KIR3DL1;HSPA1B;KIR3DL3;CANX;HSP90AB1;HLA-DRA;HLA-DMB;KLRC4;HSPA8;KLRD1;KLRC3;CTSL;KLRC1;HLA-DRB4;KIR3DL2;HLA-DMA;CIITA;TAP1;CD4;KIR2DL1;KIR2DL4;B2M;CD8B;KLRC2;HLA-DRB3;HLA-DRB1;TAP2;NFYA;CD74;RFX5;RFXAP
11,prerank,Nitrogen metabolism,0.49550547116278987,1.668721640085774,0.015184381778741865,0.10215919328832314,0.669,11/16,27.88%,CA8;GLUD2;CA6;CPS1;CA14;CA7;CA2;CA12;CA1;GLUD1;CA3
12,prerank,NOD-like receptor signaling pathway,0.3427879007436099,1.662078107256305,0.0,0.10164388840414497,0.703,97/142,46.22%,CXCL1;RIPK2;IKBKG;IRAK4;PRKCD;IFNA21;ITPR1;CARD8;IRF3;IFNA2;TICAM1;PANX1;NOD2;JAK1;RNASEL;CXCL8;TANK;RBCK1;FADD;CTSB;TRAF3;NLRP1;HSP90AA1;IFNA16;BCL2;BCL2L1;IFNA1;IFNA10;TXNIP;MAPK14;PSTPIP1;MAPK3;TLR4;GBP3;TRPM2;JUN;TRPM7;GBP1;NOD1;TXN;CASP4;NFKBIA;TBK1;CASP8;GBP4;GBP2;IFI16;NFKB1;OAS2;STAT1;IL6;ERBIN;NAMPT;IFNAR1;CASR;NLRP3;HSP90AB1;ATG5;RHOA;RELA;ATG16L1;TAB2;TMEM173;NAIP;STAT2;CAMP;MAP3K7;OAS1;MYD88;IFNA8;IFNA17;CASP1;NLRC4;CARD9;MAPK1;MAPK9;MAPK8;SHARPIN;IFNB1;IFNA7;GBP7;ITPR3;TNFAIP3;CASP5;GPRC6A;IL18;RIPK3;AIM2;TP53BP1;P2RX7;IKBKB;CARD6;GBP5;OAS3;IFNA14;PLCB3;CCL2
13,prerank,Pertussis,0.37104717664985704,1.651409607680759,0.006006006006006006,0.1051498019911429,0.737,42/66,39.17%,IL23A;IRAK4;IRF3;TICAM1;NOS2;CASP3;FOS;ITGB2;C1S;CXCL8;C4A;C1QB;IL12B;C5;MAPK14;MAPK3;TLR4;CALM1;JUN;C1QA;NOD1;C4BPB;NFKB1;C4BPA;IL6;CXCL5;NLRP3;RHOA;RELA;GNAI3;CD14;IRF8;MYD88;ITGB1;C1QC;CASP1;MAPK1;MAPK9;MAPK8;C4B;CFL1;IL10
