,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Th17 cell differentiation,0.3735499971040055,2.6371889479737214,0.0,0.0,0.0,85/107,46.90%,HSP90AB1;IFNG;STAT3;IKBKG;IL1R1;IL21R;FOS;NFKBIE;STAT1;MAPK13;IFNGR1;RXRA;HIF1A;CD4;IL23R;TYK2;GATA3;JAK1;LCK;HLA-DRB5;NFKBIA;SMAD3;RXRB;IFNGR2;HLA-DPB1;IL6R;IRF4;MAPK11;PPP3CA;MAPK8;JAK2;PRKCQ;CD247;NFATC1;HLA-DRB1;IL2;IL17A;HLA-DMB;HLA-DOB;IL6ST;CD3G;STAT6;MAPK3;PPP3CC;HSP90AA1;MAPK9;IL17F;IL1RAP;RELA;MAPK14;IL6;TGFBR1;STAT5A;ZAP70;JUN;HLA-DQA1;SMAD4;TGFBR2;NFATC3;HLA-DOA;IL2RG;SMAD2;RARA;NFKB1;IL21;NFATC2;IL4;MAPK12;AHR;IKBKB;LAT;IL23A;HLA-DPA1;PLCG1;HLA-DRA;TGFB1;FOXP3;RXRG;JAK3;IL2RA;IL4R;PPP3R2;HLA-DMA;CHUK;RUNX1
1,prerank,Vasopressin-regulated water reabsorption,0.538035897650206,2.6036649937505816,0.0,0.0,0.0,19/27,23.20%,AQP3;DYNLL2;PRKACB;RAB5A;RAB11A;ADCY6;GNAS;CREB3L1;NSF;PRKACA;ARHGDIA;CREB5;CREB3L4;ADCY9;STX4;DYNLL1;CREB1;ARHGDIB;ADCY3
2,prerank,Insulin resistance,0.3744978329066409,2.5742210282778006,0.0,0.0,0.0,65/92,39.78%,AKT3;STAT3;CPT1A;RPS6KB1;PRKAG2;PIK3CA;PRKAA1;PTPN1;PYGB;PRKAB1;CD36;RPS6KB2;PPP1CA;PRKCZ;CREB3L1;AKT2;NFKBIA;G6PC3;SLC2A4;G6PC2;RPS6KA3;PRKCB;MAPK8;PTEN;CREB5;CREB3L4;PYGL;INS;PRKCQ;AKT1;SLC2A2;TNFRSF1A;GFPT2;RPS6KA6;PRKCE;PIK3R1;PYGM;SLC27A3;CREB1;AGT;PRKAG3;PTPRF;FOXO1;MAPK9;SLC27A2;PRKAG1;PRKAB2;RELA;IL6;SLC2A1;TRIB3;PDPK1;PRKCD;PPARA;PCK2;NR1H3;TBC1D4;NOS3;PIK3CD;NFKB1;IRS1;IKBKB;G6PC;SOCS3;GSK3B
3,prerank,Toxoplasmosis,0.35899154971530056,2.4865115763074215,0.0,0.0002601357296424664,0.001,70/99,40.23%,AKT3;TLR4;IFNG;STAT3;BIRC3;CD40;IKBKG;CASP9;IRGM;BCL2L1;HSPA2;GNAI1;STAT1;MAPK13;IFNGR1;HSPA8;AKT2;TYK2;JAK1;HLA-DRB5;NFKBIA;CIITA;IFNGR2;HLA-DPB1;MAPK11;MAPK8;CASP3;JAK2;GNAI2;IRAK4;PIK3CG;AKT1;TNFRSF1A;HLA-DRB1;TRAF6;LAMB1;HLA-DMB;IL10RA;ITGA6;HLA-DOB;IL10;MAPK3;BIRC2;HSPA1B;MAPK9;TAB2;BCL2;RELA;MAPK14;PIK3R5;MAP2K3;PDPK1;HLA-DQA1;HSPA1A;LAMB3;ALOX5;HLA-DOA;PPIF;NFKB1;TLR2;IL12B;IL10RB;MAPK12;IKBKB;LDLR;HLA-DPA1;HLA-DRA;CASP8;NOS2;TGFB1
4,prerank,Apelin signaling pathway,0.34816260029163054,2.4531881274650464,0.0,0.0004162171674279462,0.002,66/105,34.77%,MYLK3;AKT3;RPS6KB1;PRKAG2;PRKACB;GNA13;PRKAA1;MAP2K1;PLCB1;GNAI1;ADCY6;PRKAB1;RPS6KB2;GNG4;GNB5;EGR1;GNGT2;GNB2;AKT2;PIK3R4;SPP1;PRKACA;PIK3C3;SMAD3;SPHK2;NRAS;MYLK2;AGTR1;GNAI2;CALM2;PIK3CG;AKT1;PLAT;ADCY9;HDAC4;GNB4;PRKCE;MEF2D;ITPR3;MEF2C;ADCY5;SLC8A1;ADCY3;MAPK3;PRKAG3;ADCY7;PDE3B;RYR3;GNG5;GABARAPL1;PRKAG1;SPHK1;PRKAB2;TGFBR1;PIK3R5;GNG11;ITPR1;RYR2;SMAD4;RAF1;BECN1;KLF2;JAG1;SMAD2;MYLK4;NOS3
5,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3203617750151999,2.4086310491235294,0.0,0.0005202714592849328,0.003,123/159,50.81%,AKT3;TP53;STAT3;CXCL8;IKBKG;ZFP36;RB1;TRAF3;BID;PIK3CA;IFNB1;CASP9;FOS;MAP2K1;MAPKAPK2;STAT1;EIF2AK2;MAPK13;CDK4;GNG4;GNB5;IFNGR1;HIF1A;GNGT2;GNB2;AKT2;TYK2;CCR3;JAK1;PIK3C3;NFKBIA;IFNAR2;VEGFA;ICAM1;C3;E2F1;IKBKE;MAPK11;NRAS;PPP3CA;MAPK8;CASP3;UBB;IRF3;HLA-B;IRF9;JAK2;CALM2;PIK3CG;AKT1;CCR4;CDKN1A;TNFRSF1A;NFATC1;GNB4;IFNA16;PIK3R1;ITPR3;LYN;CREB1;IL6ST;MAPK3;PPP3CC;CD86;IFNA2;IFNA4;MAPK9;GNG5;GABARAPL1;BAX;RELA;MAPK14;IL6;PIK3R5;IFNA10;NFATC4;GNG11;ITPR1;JUN;IFNA7;MAP2K7;RAF1;TRAF2;BECN1;CDK6;CCR1;NFATC3;STAT2;CD200R1;PIK3CD;NFKB1;FAS;NFATC2;TICAM1;MAPK12;IKBKB;CALM3;CXCL1;PTGS2;FGF2;PLCG1;SRC;CASP8;GSK3B;BAK1;IFNA14;HLA-A;CTNNB1;PPP3R2;MAP2K2;CCND1;CHUK;MAP2K4;CCR5;FADD;IRF7;CXCL3;PLCG2;CALM1;RAC1;MYC;HCK;PIK3R2
6,prerank,AGE-RAGE signaling pathway in diabetic complications,0.35344583174853644,2.402662411649141,0.0,0.000445946965101371,0.003,64/89,41.80%,AKT3;STAT3;CXCL8;PIK3CA;PLCB1;STAT1;F3;PRKCA;PRKCZ;MAPK13;CDK4;EGR1;AKT2;AGER;SMAD3;VEGFA;ICAM1;MAPK11;NRAS;PRKCB;MAPK8;CASP3;AGTR1;JAK2;AKT1;NFATC1;PRKCE;PIK3R1;THBD;PIM1;FN1;CDKN1B;CCL2;AGT;MAPK3;CYBB;FOXO1;MAPK9;BAX;BCL2;NOX1;RELA;MAPK14;IL6;COL4A5;TGFBR1;STAT5A;JUN;MMP2;SMAD4;PRKCD;TGFBR2;SMAD2;NOS3;PIK3CD;NFKB1;MAPK12;SELE;PLCG1;TGFB1;CDC42;EDN1;TGFB3;PLCB3
7,prerank,T cell receptor signaling pathway,0.34085500910892813,2.392978524811831,0.0,0.0003902035944636996,0.003,86/98,56.78%,AKT3;IFNG;ITK;FYN;IKBKG;PIK3CA;FOS;CARD11;MAP2K1;ICOS;NFKBIE;MAPK13;CDK4;CD8B;CD4;AKT2;GRB2;LCK;BCL10;NFKBIA;CBLB;MAPK11;NRAS;PPP3CA;PRKCQ;AKT1;CD8A;CD247;PTPN6;NFATC1;PDCD1;IL2;PAK4;PIK3R1;IL10;PAK2;CD3G;MAPK3;PPP3CC;MAP3K8;MAPK9;RASGRP1;RELA;MALT1;MAPK14;ZAP70;JUN;PDPK1;DLG1;PAK1;MAP2K7;RAF1;NFATC3;PIK3CD;NFKB1;NFATC2;IL4;MAPK12;IKBKB;LAT;PLCG1;GSK3B;IL5;NCK1;CDC42;CTLA4;PTPRC;PAK5;PPP3R2;MAP2K2;CHUK;PAK3;RHOA;MAP3K14;LCP2;PIK3R2;PAK6;SOS2;HRAS;GRAP2;CD3D;CD28;CD40LG;KRAS;NFKBIB;MAPK1
8,prerank,Longevity regulating pathway,0.3586309524442146,2.3868248071154357,0.0,0.0006936952790465771,0.006,48/85,27.06%,AKT3;TP53;SIRT1;ATG5;ADIPOR1;SOD1;RPS6KB1;TSC2;PRKAG2;PRKACB;PIK3CA;ATF4;PRKAA1;FOXO3;HSPA2;ADCY6;PRKAB1;RPS6KB2;ATF2;CREB3L1;HSPA8;AKT2;STK11;EHMT1;PRKACA;NRAS;CREB5;CREB3L4;IGF1R;INS;AKT1;ADCY9;PPARG;PIK3R1;CREB1;ADCY5;ADCY3;PRKAG3;ULK1;HSPA1B;FOXO1;ADCY7;RHEB;BAX;PRKAG1;CAT;PRKAB2;RELA
9,prerank,"Parathyroid hormone synthesis, secretion and action",0.3509532021089867,2.3700161796308357,0.0,0.0009364886267128789,0.009,44/85,24.63%,CYP24A1;PRKACB;GNA13;FOS;ATF4;MAP2K1;PLCB1;GNAI1;ADCY6;LRP6;GNAS;PRKCA;ATF2;RXRA;EGR1;ARRB1;CREB3L1;GATA3;PRKACA;RXRB;VDR;PLD2;PDE4B;MMP13;EGFR;PRKCB;NR4A2;CREB5;CREB3L4;GNAI2;ADCY9;CDKN1A;BRAF;TNFSF11;JUND;MEF2D;ITPR3;MEF2C;CREB1;ADCY5;ADCY3;ARAF;MAPK3;ADCY7
