,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Proteasome,0.5760505623180063,2.1182411486901582,0.0,0.0020134793288890352,0.002,16/23,21.07%,PSMD4;PSMB8;PSMA7;PSMD8;PSMA1;PSMB5;PSMD1;PSMF1;PSMA3;IFNG;PSMB7;PSMA5;PSMD3;PSMC5;PSMB10;PSMB1
1,prerank,Insulin signaling pathway,0.4241256581520382,2.0158570254218207,0.0,0.007550547483333883,0.015,91/111,47.39%,TRIP10;PRKAG3;PRKACG;TSC2;SOS2;PYGL;INS;AKT1;HK2;CRKL;PHKA1;AKT3;MAP2K2;PRKAR1A;G6PC;HRAS;PPP1CC;SOCS3;CALM2;RAF1;G6PC2;PRKCZ;PRKAG2;PTPRF;PIK3R3;PCK2;MAPK9;PRKAR1B;AKT2;KRAS;PYGM;SOCS1;NRAS;PHKG2;PHKB;ACACB;PPP1CA;SOCS2;BAD;RPS6KB1;MAP2K1;PRKAA1;MAPK1;TSC1;PRKACB;IKBKB;PRKAR2A;MAPK8;PIK3CA;GCK;CALM1;SHC1;PRKACA;CBLB;HK1;ELK1;GRB2;SOCS4;EIF4EBP1;RHEB;CRK;PRKAB1;RPS6KB2;SREBF1;ARAF;G6PC3;PPARGC1A;HK3;PIK3CD;PKLR;PRKAB2;GYS1;PCK1;FBP1;GSK3B;PIK3R1;CBL;SHC4;MTOR;EIF4E;BRAF;PTPN1;PRKAA2;PRKAR2B;ACACA;HKDC1;PIK3CB;MKNK2;FASN;PRKAG1;PRKCI
2,prerank,Central carbon metabolism in cancer,0.4576742772361683,2.006648109865672,0.0,0.005369278210370761,0.016,35/60,22.02%,SLC1A5;HIF1A;ERBB2;SIRT6;AKT1;HK2;AKT3;PGAM1;MAP2K2;SLC2A1;HRAS;PDK1;EGFR;FGFR3;PFKL;RAF1;PIK3R3;SIRT3;KIT;AKT2;KRAS;PDHA1;SLC16A3;NRAS;PDGFRA;TP53;SLC7A5;FGFR1;MAP2K1;MYC;MAPK1;FGFR2;PTEN;PIK3CA;GCK
3,prerank,Pancreatic cancer,0.43615252904936697,1.980867324407999,0.0,0.006040437986667107,0.024,63/71,49.62%,DDB2;ERBB2;AKT1;SMAD3;AKT3;RALBP1;EGFR;RAF1;CDKN1A;RELA;PIK3R3;RAD51;MAPK9;PLD1;AKT2;KRAS;GADD45B;TGFBR2;RALB;TGFB3;BRCA2;ARHGEF6;TP53;BAD;TGFA;RPS6KB1;MAP2K1;IKBKG;MAPK1;CDC42;BAK1;IKBKB;MAPK8;PIK3CA;NFKB1;CCND1;RPS6KB2;ARAF;EGF;RAC1;BAX;SMAD2;STAT3;PIK3CD;STAT1;TGFB1;E2F1;PIK3R1;E2F3;MTOR;RALA;BRAF;CDK6;CHUK;VEGFA;GADD45A;PIK3CB;CDK4;RAC3;JAK1;TGFBR1;BCL2L1;CASP9
4,prerank,Epstein-Barr virus infection,0.3976228354913784,1.978566991193079,0.0,0.004832350389333685,0.024,126/174,43.52%,DDB2;TRAF6;PSMD4;CCNA2;BID;MAPK12;IFNB1;TRAF5;BTK;PSMD8;AKT1;HES1;TAP2;CIR1;PSMD1;AKT3;MAP2K3;TRAF3;JAK3;RIPK1;NFKB2;CCNA1;HLA-DRB4;NEDD4;BCL2;MAP3K7;CD40;CD58;CDKN1A;RELA;ICAM1;TBK1;TRADD;HLA-DPB1;PIK3R3;PSMD3;CDK2;VIM;MAPK9;CASP3;HLA-DPA1;MAP2K4;AKT2;CD19;HLA-DMB;CCNE1;GADD45B;APAF1;MYD88;SIN3A;NFKBIB;HLA-DQA1;RELB;TYK2;TP53;CALR;FADD;TLR2;PSMC5;MYC;IKBKG;BAK1;IKBKB;MAPK8;CR2;PIK3CA;NFKBIA;MAP2K6;IFNA2;MAPK13;MDM2;NFKBIE;B2M;NFKB1;CD3D;TRAF2;IRAK4;JUN;USP7;CCND1;HLA-DMA;TNF;PSMD2;CCND3;BCL2L11;HLA-DRB1;OAS1;OAS2;EIF2AK2;HLA-DRB5;HDAC2;NCOR2;TAB2;RAC1;BAX;FCER2;HLA-DQB1;FAS;STAT3;PIK3CD;IFNA8;STAT1;HLA-DOA;IFNA10;PLCG2;CASP8;HLA-DRB3;SKP2;MAP2K7;RBPJ;HLA-B;E2F1;IKBKE;MAP3K14;PIK3R1;IFNA7;E2F3;TNFAIP3;SYK;CYCS;CDK6;HDAC1;CHUK;HLA-A;LYN;GADD45A
5,prerank,Vibrio cholerae infection,0.5036884802429751,1.9762752084971624,0.0,0.0040269586577780705,0.024,25/30,41.73%,ATP6AP1;PRKACG;GNAS;KCNQ1;ATP6V0C;CFTR;KDELR3;ACTB;ATP6V1C1;PRKCA;PDIA4;KDELR2;ARF1;PRKACB;ATP6V1F;PRKACA;SEC61A2;ATP6V0B;ADCY3;TJP1;TCIRG1;ADCY9;PLCG2;PLCG1;ATP6V1A
6,prerank,HIF-1 signaling pathway,0.42977616072091274,1.9745545667607776,0.0,0.0034516788495240606,0.024,72/89,45.50%,HIF1A;EGLN1;TFRC;RBX1;ERBB2;INS;AKT1;HK2;AKT3;MAP2K2;SLC2A1;PDK1;EGFR;PFKL;ALDOA;BCL2;CDKN1A;RELA;IFNG;IGF1;PIK3R3;PRKCA;HMOX1;AKT2;PDHA1;CUL2;RPS6KB1;MAP2K1;MAPK1;LTBR;PIK3CA;PGK1;EDN1;LDHA;TLR4;NFKB1;PFKFB3;GAPDH;HK1;VHL;ARNT;EIF4EBP1;IL6R;PRKCG;RPS6KB2;TEK;CAMK2D;NOS2;EGF;HK3;ENO1;STAT3;ANGPT1;PIK3CD;IFNGR1;FLT1;EGLN2;PLCG2;PLCG1;TF;EP300;PIK3R1;CAMK2G;IGF1R;MTOR;EIF4E;VEGFA;EGLN3;HKDC1;PIK3CB;CDKN1B;MKNK2
7,prerank,ErbB signaling pathway,0.42742830762171224,1.949740093922897,0.0,0.0041528011158336355,0.033,59/79,41.71%,ERBB2;SOS2;PAK4;AKT1;NRG1;CRKL;STAT5B;AKT3;MAP2K2;HRAS;PAK2;EGFR;RAF1;CDKN1A;PIK3R3;PRKCA;MAPK9;MAP2K4;AKT2;KRAS;NRAS;ERBB4;BAD;TGFA;RPS6KB1;MAP2K1;MYC;MAPK1;PTK2;MAPK8;PIK3CA;SHC1;ABL1;CBLB;ELK1;GRB2;JUN;EIF4EBP1;CRK;PRKCG;ERBB3;RPS6KB2;CAMK2D;ARAF;EGF;PAK5;BTC;PIK3CD;PLCG2;MAP2K7;PLCG1;GSK3B;PIK3R1;CBL;SRC;CAMK2G;SHC4;MTOR;BRAF
8,prerank,Neurotrophin signaling pathway,0.4131957215090849,1.9481235103938552,0.0,0.0036913787696298975,0.033,59/103,27.48%,TRAF6;MAPK12;SOS2;RAP1A;RPS6KA2;PSEN2;AKT1;CRKL;RHOA;AKT3;MAP2K2;HRAS;CALM2;MAP3K1;RAF1;BCL2;RIPK2;RELA;NGFR;FASLG;PIK3R3;MAPK9;AKT2;KRAS;MAP3K5;ATF4;NRAS;NFKBIB;TP53;RPS6KA5;BAD;NTRK2;PRDM4;MAP2K1;MAPK7;MAPK1;CDC42;IKBKB;ZNF274;MAPK8;MAPKAPK2;PRKCD;PIK3CA;NFKBIA;CALM1;MAPK13;NFKBIE;SHC1;ABL1;NFKB1;FOXO3;IRAK3;IRAK4;ARHGDIA;GRB2;JUN;IRAK2;MAGED1;CRK
9,prerank,Hepatitis B,0.39496287220983156,1.9470589614495357,0.0,0.0033222408926669084,0.033,110/153,42.38%,DDB2;ATP6AP1;TRAF6;CCNA2;BID;MAPK12;SOS2;IFNB1;AKT1;STAT5B;YWHAZ;FOS;SMAD3;AKT3;MAP2K3;TRAF3;MAP2K2;JAK3;HRAS;YWHAQ;STAT4;MAP3K1;CCNA1;RAF1;BCL2;CREB3L4;STAT6;MAP3K7;CDKN1A;RELA;TBK1;FASLG;PIK3R3;PRKCA;CDK2;MAPK9;CASP3;MAP2K4;AKT2;KRAS;CCNE1;DDB1;APAF1;TGFBR2;ATF4;MYD88;TGFB3;NRAS;CXCL8;TYK2;TP53;FADD;BAD;TLR2;MAP2K1;MYC;IKBKG;MAPK1;IKBKB;MAPK8;BIRC5;CREB3L2;PIK3CA;NFKBIA;MAP2K6;IFNA2;MAPK13;TLR4;NFKB1;ELK1;IRAK4;GRB2;JUN;NFATC3;SLC10A1;TIRAP;CASP10;TNF;PRKCG;JAK2;ARAF;NFATC4;TAB2;BAX;FAS;CREB3L1;SMAD2;STAT3;PIK3CD;NFATC2;IFNA8;TICAM1;STAT1;IFNA10;CASP8;CREB1;MAP2K7;TGFB1;E2F1;EP300;IKBKE;PIK3R1;SRC;IFNA7;E2F3;EGR2;CYCS;BRAF;CHUK;PCNA
10,prerank,Thyroid cancer,0.47985484757986474,1.9361336664941369,0.0,0.0032032625686871014,0.035,29/34,43.52%,DDB2;PPARG;NCOA4;MAP2K2;HRAS;CDKN1A;KRAS;TFG;GADD45B;NRAS;TCF7L2;TP53;CTNNB1;MAP2K1;MYC;MAPK1;BAK1;RXRA;CCND1;CDH1;BAX;TPR;PAX8;RET;NTRK1;RXRG;BRAF;RXRB;GADD45A
11,prerank,Nucleotide excision repair,0.48123341538577985,1.9248790729460745,0.0,0.0033557988814817254,0.04,19/35,24.86%,DDB2;ERCC5;RFC5;RBX1;RFC2;POLE2;CETN2;POLD4;CCNH;GTF2H3;DDB1;RAD23B;RFC1;CDK7;ERCC2;GTF2H2;MNAT1;RPA3;LIG1
12,prerank,Autophagy,0.4097504945766155,1.9215900449233332,0.0,0.0030976605059831316,0.04,63/100,32.90%,TRAF6;HIF1A;BECN1;PRKACG;TSC2;DDIT4;ULK2;CTSB;INS;AKT1;DAPK1;ATG16L2;NRBF2;AKT3;CTSD;MAP2K2;LAMP1;HRAS;GABARAPL1;RAF1;BCL2;MAP3K7;ATG16L1;BNIP3;ULK1;PIK3R3;MAPK9;PIK3R4;AKT2;KRAS;MLST8;UVRAG;NRAS;PRKCQ;BAD;PPP2CB;EIF2AK3;IGBP1;RPS6KB1;MAP2K1;PRKAA1;MAPK1;TSC1;PRKACB;STK11;CFLAR;MAPK8;PRKCD;PTEN;PIK3CA;PRKACA;DAPK3;HMGB1;ERN1;RHEB;CTSL;RAB7A;RPS6KB2;DEPTOR;ATG4D;ATG5;LAMP2;RRAGC
13,prerank,Chronic myeloid leukemia,0.42935036733058923,1.919768129575758,0.0,0.0028763990412700507,0.04,59/71,45.90%,DDB2;CTBP1;CTBP2;SOS2;AKT1;CRKL;STAT5B;SMAD3;AKT3;MAP2K2;HRAS;RAF1;BCR;CDKN1A;RELA;PIK3R3;AKT2;KRAS;GADD45B;TGFBR2;RUNX1;TGFB3;NRAS;TP53;BAD;MAP2K1;MYC;IKBKG;MAPK1;BAK1;IKBKB;PIK3CA;NFKBIA;MDM2;SHC1;ABL1;NFKB1;GRB2;CRK;CCND1;ARAF;HDAC2;BAX;PIK3CD;TGFB1;E2F1;PIK3R1;CBL;E2F3;SHC4;BRAF;CDK6;HDAC1;CHUK;STAT5A;GADD45A;PIK3CB;CDKN1B;CDK4
