,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Melanoma,0.5522350694770439,3.119802548399818,0.0,0.0,0.0,36/52,20.19%,BRAF;ARAF;PIK3CD;RB1;PIK3R3;PIK3R1;PTEN;MET;AKT1;GADD45A;E2F1;PIK3CA;FGF2;PDGFRA;MAP2K2;CDKN1A;CDKN2A;TP53;RAF1;BAD;CDH1;BAX;MAPK1;FGF9;PIK3R2;CDK6;EGFR;CCND1;MITF;MAPK3;MAP2K1;FGFR1;CDK4;KRAS;PDGFC;FGF1
1,prerank,Endometrial cancer,0.545240744026787,3.118789674366329,0.0,0.0,0.0,35/53,16.86%,BRAF;ARAF;AXIN2;PIK3CD;PIK3R3;PIK3R1;PTEN;TCF7L1;FOXO3;AKT1;GADD45A;MLH1;CTNNB1;PIK3CA;MAP2K2;CDKN1A;ERBB2;TP53;RAF1;BAD;CDH1;BAX;MYC;MAPK1;PIK3R2;GSK3B;EGFR;CCND1;CASP9;AXIN1;APC;CTNNA1;MAPK3;TCF7L2;MAP2K1
2,prerank,Non-small cell lung cancer,0.509378823641665,3.028045875437792,0.0,0.0,0.0,40/63,19.59%,BRAF;ARAF;FHIT;PIK3CD;RB1;RXRA;PIK3R3;PIK3R1;FOXO3;AKT1;GADD45A;STAT3;E2F1;PIK3CA;MAP2K2;CDKN1A;ERBB2;CDKN2A;STAT5A;PLCG2;TP53;RAF1;PRKCB;PLCG1;BAD;ALK;BAX;MAPK1;PIK3R2;CDK6;EML4;EGFR;CCND1;CASP9;MAPK3;JAK3;MAP2K1;RARB;CDK4;KRAS
3,prerank,Colorectal cancer,0.4719325830444965,2.9662629278638946,0.0,0.0,0.0,49/79,21.39%,BRAF;ARAF;CASP3;AXIN2;PIK3CD;SMAD4;PIK3R3;PIK3R1;PMAIP1;TCF7L1;AKT1;GADD45A;MLH1;CTNNB1;PIK3CA;RAC1;MAP2K2;CDKN1A;TP53;MTOR;RAF1;SMAD3;BAD;BAX;MYC;MAPK1;JUN;PIK3R2;GSK3B;RPS6KB1;EGFR;RAC3;CCND1;RHOA;CASP9;AXIN1;APC;MSH2;MAPK3;TCF7L2;MAP2K1;MSH6;BCL2L11;BCL2;KRAS;TGFBR2;RPS6KB2;TGFB1;MAPK9
4,prerank,Bladder cancer,0.5585558248961561,2.9564225409142115,0.0,0.0,0.0,27/39,22.33%,FGFR3;BRAF;ARAF;DAPK2;RB1;MMP1;MMP2;E2F1;MAP2K2;CDKN1A;ERBB2;CDKN2A;TP53;RAF1;CDH1;MYC;MAPK1;EGFR;VEGFA;CCND1;MAPK3;MAP2K1;CDK4;KRAS;DAPK1;DAPK3;HBEGF
5,prerank,Pancreatic cancer,0.4774293005808059,2.9183223467357426,0.0,0.0,0.0,44/71,21.39%,BRAF;ARAF;PIK3CD;RB1;SMAD4;PIK3R3;PIK3R1;RAD51;CDC42;AKT1;GADD45A;STAT3;E2F1;PIK3CA;RAC1;NFKB1;CDKN1A;ERBB2;CDKN2A;TP53;MTOR;RAF1;SMAD3;BAD;BAX;MAPK1;PIK3R2;CDK6;RPS6KB1;EGFR;VEGFA;RAC3;CCND1;CASP9;BCL2L1;MAPK3;MAP2K1;IKBKB;CDK4;KRAS;TGFBR2;RPS6KB2;TGFB1;MAPK9
6,prerank,Central carbon metabolism in cancer,0.4743757052445392,2.7770570631234133,0.0,0.0,0.0,37/60,19.59%,FGFR3;PIK3CD;KIT;NTRK1;PIK3R3;HK1;PIK3R1;PTEN;SLC2A1;MET;AKT1;PIK3CA;PDGFRA;MAP2K2;ERBB2;GLS;TP53;MTOR;RAF1;HKDC1;IDH1;LDHA;MYC;MAPK1;PIK3R2;HK3;HIF1A;SLC7A5;EGFR;SIRT3;FGFR2;MAPK3;MAP2K1;FGFR1;PGAM1;PFKL;KRAS
7,prerank,Prostate cancer,0.4202452781246122,2.6784736905819195,0.0,0.0,0.0,49/89,19.95%,ATF4;FOXO1;BRAF;ARAF;PIK3CD;RB1;GSTP1;PIK3R3;PIK3R1;CREB3L2;PTEN;CDKN1B;TCF7L1;CREB3L4;AKT1;INS;E2F1;CTNNB1;PIK3CA;NFKB1;PDGFRA;MAP2K2;CDKN1A;ERBB2;ERG;TP53;MTOR;RAF1;PLAT;BAD;MAPK1;PIK3R2;GSK3B;EGFR;CCND1;CASP9;FGFR2;NFKBIA;MAPK3;TCF7L2;CDK2;MAP2K1;FGFR1;IKBKB;PLAU;CREB5;BCL2;KRAS;PDGFC
8,prerank,FoxO signaling pathway,0.3916849580020766,2.629437051270939,0.0,0.0,0.0,92/119,43.15%,FOXO1;BRAF;ARAF;RAG2;PIK3CD;SMAD4;PRKAG2;PIK3R3;CCND2;PIK3R1;PTEN;BCL6;CDKN1B;FOXO3;CSNK1E;GABARAPL1;AKT1;INS;GADD45A;PRKAB2;CCNB1;STAT3;PIK3CA;MAPK14;MAP2K2;CDKN1A;RAF1;MAPK13;SMAD3;CDKN2B;MAPK1;PIK3R2;EGFR;CAT;CCND1;IL10;SGK3;PRKAB1;PRKAA2;RBL2;MAPK3;IL6;CDK2;MAP2K1;IKBKB;MAPK12;BCL2L11;STK11;KRAS;TGFBR2;BNIP3;G6PC;TNFSF10;SGK1;HOMER2;TGFB1;USP7;MAPK9;IL7R;GRM1;SKP2;NLK;PRKAG1;PCK2;CCNG2;PDPK1;SIRT1;PCK1;PLK4;G6PC2;PRKAG3;AKT3;PLK1;FBXO32;GADD45B;SMAD2;SGK2;PRMT1;CREBBP;FOXO4;CHUK;SETD7;S1PR1;GRB2;INSR;PLK2;S1PR4;TGFBR1;PRKAA1;STK4;TGFB3;MDM2
9,prerank,Chronic myeloid leukemia,0.4187359787017004,2.5705201611977544,0.0,0.0,0.0,39/71,19.67%,BRAF;ARAF;PIK3CD;RB1;SMAD4;PIK3R3;PIK3R1;CDKN1B;HDAC1;ABL1;AKT1;GADD45A;E2F1;PIK3CA;NFKB1;MAP2K2;CDKN1A;CDKN2A;STAT5A;TP53;RAF1;SMAD3;BAD;BAX;MYC;MAPK1;PIK3R2;CDK6;CCND1;BCL2L1;NFKBIA;MAPK3;MAP2K1;IKBKB;BCR;CTBP2;CDK4;KRAS;TGFBR2
