,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.5585631003725621,1.8849093165835793,0.0,0.006031622309717978,0.006,62/79,35.89%,RAF1;MYC;SMAD3;CDKN1A;SMAD4;BRAF;TP53;TGFBR1;RALGDS;APC;CASP3;SOS1;GSK3B;JUN;EGFR;MAPK8;CTNNB1;TGFB3;GADD45B;KRAS;BAD;AKT1;RAC1;ARAF;FOS;RHOA;RALA;PIK3CB;TGFBR2;PIK3CA;TGFB2;RPS6KB2;AXIN2;MAP2K1;HRAS;BCL2L11;AKT3;TCF7L2;TCF7L1;MSH6;BIRC5;PIK3R1;MAPK9;AREG;LEF1;MAPK3;GRB2;MAPK1;NRAS;AXIN1;MAP2K2;PIK3R2;AKT2;RPS6KB1;CCND1;PIK3R3;PMAIP1;BCL2;GADD45A;TCF7;BAX;PIK3CD
1,prerank,Endometrial cancer,0.5653456078064087,1.8445759790375948,0.0,0.006031622309717978,0.012,43/53,35.89%,RAF1;MYC;CDKN1A;BRAF;TP53;APC;SOS1;GSK3B;EGFR;CTNNB1;GADD45B;KRAS;PTEN;BAD;AKT1;ARAF;PIK3CB;PIK3CA;AXIN2;MAP2K1;HRAS;ERBB2;AKT3;TCF7L2;TCF7L1;PDPK1;FOXO3;PIK3R1;LEF1;MAPK3;GRB2;MAPK1;NRAS;AXIN1;MAP2K2;PIK3R2;AKT2;CCND1;PIK3R3;GADD45A;TCF7;BAX;PIK3CD
2,prerank,Proteasome,0.6162052592440606,1.8135661011539441,0.0,0.007707072951306305,0.023,14/23,19.50%,PSMA7;PSMA5;PSMB1;PSMB2;PSMB5;PSMA1;IFNG;PSMB9;PSMD2;PSMD1;PSMB8;PSMB7;PSMA8;PSMA3
3,prerank,Prostate cancer,0.527823787460247,1.80379897484846,0.0,0.007036892694670974,0.028,64/89,34.47%,RAF1;CDKN1B;CDKN1A;CREBBP;MDM2;BRAF;TP53;PLAU;ATF4;CREB1;CDK2;SOS1;ZEB1;GSK3B;RELA;CCNE1;EGFR;CTNNB1;CCNE2;HSP90AA1;CREB3L2;NFKBIA;EP300;KRAS;PTEN;BAD;RB1;AKT1;PLAT;ARAF;NFKB1;PIK3CB;ERG;PIK3CA;GSTP1;INS;MAP2K1;HRAS;ERBB2;AKT3;TCF7L2;TCF7L1;PDPK1;IKBKB;CREB3L4;PIK3R1;IL1R2;LEF1;IGF1R;MAPK3;FOXO1;GRB2;MAPK1;NRAS;MAP2K2;PIK3R2;AKT2;E2F1;CCND1;PIK3R3;BCL2;FGFR1;CREB3;TCF7
4,prerank,Pancreatic cancer,0.5408204247799464,1.7967440183271233,0.0,0.0058305682327273785,0.029,50/71,31.58%,RAF1;SMAD3;CDKN1A;RALBP1;SMAD4;BRAF;TP53;TGFBR1;RALGDS;RAD51;RELA;EGFR;MAPK8;TGFB3;GADD45B;KRAS;STAT1;BAD;RB1;AKT1;JAK1;RAC1;PLD1;ARAF;NFKB1;RALA;PIK3CB;TGFBR2;PIK3CA;TGFB2;STAT3;RPS6KB2;MAP2K1;CDC42;ERBB2;CDK4;AKT3;CDK6;IKBKB;BCL2L1;PIK3R1;MAPK9;MAPK3;MAPK1;PIK3R2;AKT2;RPS6KB1;E2F1;CCND1;PIK3R3
5,prerank,Cell cycle,0.5261639094486364,1.7886014514221331,0.0,0.005864077245559146,0.033,41/94,15.93%,CCNA2;CDKN2C;CDKN1B;MYC;SMAD3;CDKN1A;SMAD4;CREBBP;WEE1;MDM2;SMC1A;TP53;CDK7;ESPL1;CDK2;YWHAQ;HDAC2;GSK3B;CCNB2;CCNE1;SFN;ATM;CCNE2;CCNH;EP300;BUB1;CCNA1;TGFB3;CDC6;GADD45B;CDC7;PLK1;CDC25B;RB1;TTK;CDK1;CHEK1;CCNB1;CHEK2;CDC45;TGFB2
6,prerank,Viral carcinogenesis,0.5037714693976065,1.7669699878280376,0.0,0.0066060625296911184,0.043,101/141,37.31%,CCNA2;CDKN1B;CDKN1A;ACTN1;HDAC6;CREBBP;MDM2;TP53;CHD4;HIST1H2BD;USP7;HDAC10;ATF4;CREB1;CASP3;CDK2;GTF2B;YWHAQ;HDAC2;PXN;RELA;GTF2A1;CCNE1;JUN;CCNE2;CREB3L2;SRC;NFKBIA;HDAC3;EP300;CCNA1;SP100;KRAS;HIST1H2BK;ATF2;GTF2H2;BAD;RB1;JAK1;IRF3;SNW1;RAC1;CDK1;CHEK1;PRKACA;GTF2A2;RHOA;NFKB1;PIK3CB;LYN;HDAC8;SRF;PIK3CA;GTF2E2;POLB;STAT3;KAT2B;TRAF1;HLA-B;CASP8;HPN;HRAS;CDC42;CDK4;HIST1H4E;REL;HIST2H2BE;MAPKAPK2;TRAF3;CDK6;NFKB2;HDAC4;CCND3;DNAJA3;HDAC7;CREB3L4;PIK3R1;MAPK3;GRB2;MAPK1;NRAS;PIK3R2;TRAF5;GTF2H1;TRAF2;CCND1;PIK3R3;PMAIP1;PRKACB;HDAC1;EIF2AK2;PRKACG;CREB3;LTBR;RBPJ;BAX;PIK3CD;HDAC11;CREB5;HLA-A;YWHAH
7,prerank,DNA replication,0.5738689386018166,1.7514448481973748,0.0,0.007413869089028348,0.055,8/28,5.40%,LIG1;POLA1;POLE;POLE2;RPA2;FEN1;RPA3;POLA2
8,prerank,Cellular senescence,0.5055277857238404,1.7506954347782058,0.0,0.006701802566353309,0.056,84/135,31.58%,CCNA2;RAF1;BTRC;MYC;SMAD3;CDKN1A;FOXM1;PPP3R1;MDM2;RAD9A;TP53;TGFBR1;MAP2K6;ETS1;EIF4EBP1;RHEB;CDK2;CCNB2;RELA;CCNE1;ATM;KIR2DL1;CCNE2;NFATC3;SLC25A4;CCNA1;TGFB3;CALM1;GADD45B;MYBL2;KRAS;PTEN;RB1;AKT1;ZFP36L1;CDK1;MAP2K3;CHEK1;CCNB1;NFKB1;PIK3CB;CHEK2;TGFBR2;PIK3CA;TGFB2;KIR2DL3;VDAC1;HIPK1;HLA-B;MAP2K1;HRAS;CDK4;ITPR1;AKT3;PPP1CA;ITPR2;CDC25A;ZFP36L2;MAPK12;MAPKAPK2;FOXO3;CACNA1D;CDK6;PPP3CA;CCND3;PPP1CC;HUS1;TSC1;SQSTM1;ITPR3;PPID;PIK3R1;MAPK3;SIRT1;FOXO1;MAPK1;NRAS;MAP2K2;PIK3R2;AKT2;E2F1;MAPK14;CCND1;PIK3R3
9,prerank,Longevity regulating pathway,0.514581393433117,1.750261391395407,0.0,0.006132149348213278,0.057,64/85,37.15%,PRKAA1;TP53;STK11;EIF4EBP1;ATF4;CREB1;RHEB;HDAC2;RELA;CAMK4;CAT;CREB3L2;ADCY3;ADCY1;KRAS;ATF2;AKT1;ADCY9;PRKACA;NFKB1;PIK3CB;IRS2;EHMT2;PPARGC1A;EIF4EBP2;PIK3CA;ULK1;RPS6KB2;INS;SOD1;CAMKK2;PRKAG3;HRAS;HSPA1B;PPARG;AKT3;SOD2;PRKAG2;ADCY5;FOXO3;CREB3L4;TSC1;PIK3R1;IGF1R;RPTOR;PRKAB2;CLPB;SIRT1;PRKAG1;FOXO1;NRAS;PIK3R2;AKT2;RPS6KB1;PIK3R3;PRKACB;HDAC1;PRKACG;CREB3;BAX;PIK3CD;CREB5;FOXA2;ATG5
