,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.43531937722973363,2.21013826518878,0.0,0.0010073665971888977,0.001,128/153,47.54%,BID;ATP6AP1;HRAS;RELA;TGFBR2;IKBKE;NFKBIA;IFNAR1;TP53;FAS;CCNA2;MAP2K2;TLR2;TRAF6;TNF;GRB2;IRAK4;E2F3;JAK3;BRAF;PRKCG;MAP2K4;FASLG;SMAD2;PRKCA;BIRC5;TLR3;IFNA5;MAPK9;STAT5B;CASP8;TAB2;RB1;CASP9;CREBBP;PIK3R3;AKT1;MAPK14;STAT3;CREB3L1;CCNE1;TGFB1;CYCS;TGFBR1;PTK2B;ELK1;CCNA1;TICAM1;CDKN1A;CASP10;IRF3;RAF1;SMAD3;STAT5A;IFNA10;IKBKG;TICAM2;PIK3CD;CDK2;CXCL8;MYD88;MAP3K1;STAT6;IFNA1;ATF2;DDB2;FOS;MMP9;MYC;IKBKB;MAPK12;IFNA2;IFNA7;CHUK;FADD;EGR2;CREB5;BCL2;PIK3R1;STAT2;EGR3;MAPK3;JUN;AKT3;STAT1;CASP3;CREB3L4;MAPK8;ATF4;MAPK1;E2F1;CREB3L2;NRAS;NFKB1;TYK2;MAP2K1;IFNB1;AKT2;BAX;SLC10A1;IFNA4;MAP3K7;SRC;NFATC3;CREB1;MAPK13;APAF1;TIRAP;JAK2;TGFB3;TGFB2;TBK1;IFIH1;IRAK1;HSPG2;BAD;SOS2;IFNA14;MAP2K6;PIK3CA;PRKCB;ARAF;YWHAQ;KRAS;SOS1;PCNA;MAP2K3;IFNA17
1,prerank,Prostate cancer,0.4494561536494165,2.14180481288492,0.0,0.003022099791566693,0.006,76/89,46.96%,GSK3B;HRAS;RELA;NFKBIA;CDKN1B;CTNNB1;IGF1R;TP53;GSTP1;MAP2K2;GRB2;EGFR;E2F3;TCF7L2;BRAF;PDGFRA;ETV5;RB1;CASP9;LEF1;CREBBP;PIK3R3;AKT1;CREB3L1;CCNE1;PTEN;CDKN1A;RAF1;IKBKG;PDGFC;TCF7;PIK3CD;CDK2;FGFR2;PDPK1;MMP9;IKBKB;MTOR;ERBB2;CHUK;ZEB1;CREB5;BCL2;PIK3R1;MAPK3;INS;AKT3;HSP90B1;CREB3L4;ATF4;MAPK1;E2F1;CREB3L2;NRAS;HSP90AB1;INSRR;NFKB1;ERG;PDGFD;MAP2K1;TGFA;FOXO1;AKT2;CREB1;MDM2;PLAT;HSP90AA1;AR;IGF1;BAD;SOS2;KLK3;PIK3CA;ARAF;KRAS;SOS1
2,prerank,Non-alcoholic fatty liver disease (NAFLD),0.43001228189843715,2.1263403745244287,0.0,0.002350522060107428,0.007,86/125,36.08%,BID;COX5B;UQCR11;NDUFS4;NDUFA13;GSK3B;NDUFA7;RELA;SDHD;NR1H3;SDHA;CEBPA;NDUFS1;FAS;CASP7;TNF;PPARA;NDUFC1;CDC42;FASLG;RXRA;MAPK9;PRKAG1;CASP8;NDUFB4;PIK3R3;AKT1;COX7C;IL1B;PRKAB2;NDUFA4;TGFB1;NDUFS3;CYCS;SDHB;PRKAB1;MLXIP;PRKAG2;CYC1;NDUFA1;NDUFA5;COX6A2;NDUFC2;SDHC;GSK3A;MAP3K11;RAC1;NDUFB5;NDUFV2;COX7B;PIK3CD;ERN1;NDUFS7;CXCL8;NDUFV1;EIF2S1;XBP1;NDUFA2;NDUFA8;COX7A1;IKBKB;IRS1;DDIT3;NDUFA9;NDUFS6;COX6B2;PIK3R1;INS;COX6B1;COX6C;JUN;AKT3;CASP3;MAPK8;NDUFB8;ATF4;NDUFB7;NFKB1;COX8A;ITCH;AKT2;BAX;NDUFS8;ADIPOR2;TRAF2;NDUFB3
3,prerank,Chronic myeloid leukemia,0.45867565167777913,2.0994942052247816,0.0,0.0020147331943777954,0.008,63/71,47.95%,SHC4;HRAS;RUNX1;RELA;TGFBR2;ABL1;NFKBIA;CRKL;CDKN1B;TP53;MAP2K2;GRB2;GADD45B;E2F3;BCR;HDAC2;BRAF;BAK1;STAT5B;RB1;PIK3R3;AKT1;TGFB1;TGFBR1;BCL2L1;CDK4;CDKN1A;CBL;RAF1;HDAC1;SMAD3;STAT5A;IKBKG;PIK3CD;DDB2;CTBP1;MYC;IKBKB;SHC1;CHUK;PIK3R1;MAPK3;AKT3;MAPK1;E2F1;NRAS;NFKB1;MAP2K1;AKT2;BAX;CDK6;MDM2;TGFB3;TGFB2;BAD;PTPN11;SOS2;GADD45A;PIK3CA;ARAF;KRAS;SOS1;MECOM
4,prerank,Viral myocarditis,0.48823993803242266,2.0946473693889676,0.0,0.0016117865555022365,0.008,30/45,29.83%,HLA-DMB;BID;ABL1;CD55;ICAM1;DMD;HLA-DRB1;ABL2;HLA-DPA1;SGCB;HLA-DQA1;CASP8;CASP9;HLA-A;ACTB;CYCS;HLA-DRA;HLA-DRB3;RAC1;RAC3;HLA-DRB4;HLA-DRB5;FYN;HLA-DPB1;HLA-DQB1;ITGB2;CD40;EIF4G1;HLA-DMA;CASP3
5,prerank,Colorectal cancer,0.4433829117712278,2.0809284557343166,0.0,0.0015110498957833464,0.009,55/79,34.46%,GSK3B;HRAS;RALGDS;AXIN2;TGFBR2;CTNNB1;RHOA;TP53;MAP2K2;GRB2;GADD45B;AXIN1;EGFR;TCF7L2;BRAF;SMAD2;BAK1;BIRC5;MAPK9;CASP9;LEF1;PIK3R3;AKT1;TGFB1;CYCS;TGFBR1;RPS6KB2;CDKN1A;EREG;RAF1;RAC1;RAC3;SMAD3;TCF7;PIK3CD;DDB2;FOS;MYC;MTOR;BBC3;BCL2;PIK3R1;MAPK3;MSH2;JUN;AKT3;CASP3;MAPK8;MAPK1;NRAS;RALA;MAP2K1;TGFA;AKT2;BAX
6,prerank,Pancreatic cancer,0.4500345207869868,2.080517431831705,0.0,0.001295185624957154,0.009,51/71,34.46%,RELA;RALGDS;TGFBR2;TP53;VEGFA;GADD45B;EGFR;E2F3;BRCA2;BRAF;CDC42;SMAD2;BAK1;MAPK9;RB1;CASP9;PIK3R3;AKT1;STAT3;TGFB1;TGFBR1;BCL2L1;CDK4;RPS6KB2;CDKN1A;RAF1;RAC1;RAC3;PLD1;SMAD3;IKBKG;RALBP1;PIK3CD;DDB2;IKBKB;MTOR;ERBB2;CHUK;PIK3R1;MAPK3;AKT3;STAT1;MAPK8;MAPK1;E2F1;RALA;NFKB1;MAP2K1;TGFA;AKT2;BAX
7,prerank,Apoptosis,0.41577414513673855,2.056978030846526,0.0,0.0012592082464861223,0.009,83/123,35.70%,BID;HRAS;RELA;NFKBIA;ITPR2;TP53;FAS;MAP2K2;CFLAR;CASP7;CASP2;TNF;GADD45B;FASLG;BAK1;BIRC5;MAPK9;ATM;CASP8;CASP9;TNFRSF10B;DIABLO;PIK3R3;CTSD;AKT1;GZMB;ACTB;PARP1;CYCS;TUBA1A;MCL1;CASP6;BCL2L1;DAXX;BIRC2;CASP10;RAF1;TNFRSF10A;IKBKG;PIK3CD;ERN1;HTRA2;EIF2S1;CTSB;FOS;PDPK1;IKBKB;SPTA1;CAPN1;BBC3;DDIT3;CHUK;FADD;BCL2;MAP3K14;PIK3R1;SPTAN1;MAPK3;CTSL;BECN1;JUN;NGFR;AKT3;CTSH;CASP3;MAPK8;ATF4;MAPK1;NRAS;BCL2A1;PARP2;CTSK;NFKB1;MAP2K1;CTSF;TRAF1;AKT2;DFFA;BAX;ENDOG;ITPR3;TRAF2;LMNB2
8,prerank,Legionellosis,0.47402588967357084,2.0413743628989707,0.0,0.00134315546291853,0.011,27/47,20.92%,IL12A;RELA;NFKBIA;CLK1;CASP7;TLR2;TNF;IL18;NAIP;CXCL1;NFKB2;BNIP3;HSPD1;CASP8;TLR5;CASP9;IL1B;CD14;CYCS;VCP;HSPA1A;ARF1;NLRC4;HSPA8;CXCL8;MYD88;HSF1
9,prerank,Endometrial cancer,0.4591092431413375,2.0351520446222566,0.0,0.0013095765763455672,0.012,38/53,34.46%,GSK3B;HRAS;AXIN2;CTNNB1;TP53;MAP2K2;GRB2;GADD45B;AXIN1;EGFR;TCF7L2;BRAF;BAK1;CASP9;LEF1;PIK3R3;AKT1;ELK1;PTEN;CDKN1A;RAF1;CDH1;TCF7;PIK3CD;DDB2;PDPK1;MYC;FOXO3;ERBB2;PIK3R1;ILK;MAPK3;AKT3;MAPK1;NRAS;MAP2K1;AKT2;BAX
10,prerank,Hepatocellular carcinoma,0.39465740341999356,1.9849742956293859,0.0,0.0018315756312525413,0.019,111/146,46.96%,SHC4;PLCG1;TXNRD1;GSK3B;HRAS;AXIN2;TGFBR2;KEAP1;CTNNB1;IGF1R;TP53;GSTM2;GSTP1;MAP2K2;WNT9B;GRB2;GADD45B;AXIN1;EGFR;E2F3;TCF7L2;CSNK1A1;DVL1;BRAF;PRKCG;IGF2;MGST2;SMAD2;GSTM1;BAK1;PRKCA;SMARCA4;GSTT1;RB1;FZD10;LEF1;PIK3R3;WNT1;AKT1;ACTB;TGFB1;WNT5A;TGFBR1;ELK1;BCL2L1;PTEN;GSTM3;CDK4;NFE2L2;RPS6KB2;CDKN1A;WNT11;RAF1;FZD6;SMAD3;TCF7;HMOX1;PIK3CD;WNT3;DPF1;DDB2;FZD7;MYC;ARID2;MTOR;SHC1;ACTL6A;PHF10;FZD3;PIK3R1;MAPK3;AKT3;MET;FZD8;CSNK1A1L;SMARCB1;MAPK1;E2F1;NRAS;MAP2K1;TGFA;SMARCE1;WNT10B;AKT2;BAX;GSTA4;GSTO2;FZD4;CDK6;RPS6KB1;TGFB3;GSTA5;GSTM5;TGFB2;TXNRD2;GSTA1;BRD7;BAD;MGST1;FZD9;SOS2;GADD45A;SMARCC2;GSTA2;PIK3CA;PRKCB;ARAF;GSTA3;NQO1;KRAS;SOS1
