,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.4355150142243624,2.942434787741964,0.0,0.0,0.0,51/71,33.39%,STAT1;RAD51;SMAD4;TP53;CCND1;MTOR;VEGFA;STAT3;MAP2K1;TGFB2;NFKB1;CASP9;SMAD3;RB1;RAF1;IKBKB;BRAF;RPS6KB1;CDC42;RAC1;PIK3R2;RALGDS;RELA;PIK3R1;ARHGEF6;TGFBR2;GADD45B;ERBB2;BAX;MAPK9;PIK3R3;RALBP1;CDK4;ARAF;EGFR;TGFBR1;RPS6KB2;BRCA2;BCL2L1;PLD1;TGFB3;PIK3CA;BAK1;CDKN2A;AKT3;CDK6;IKBKG;GADD45A;MAPK3;CDKN1A;E2F1
1,prerank,Small cell lung cancer,0.39266284846043065,2.6812187865851294,0.0,0.0,0.0,66/79,48.19%,TP53;CCND1;PTK2;CDK2;NFKB1;SKP2;CASP9;PTEN;RB1;LAMB2;IKBKB;NFKBIA;PIK3R2;FHIT;BIRC3;RELA;PIK3R1;COL4A5;FN1;BCL2;CDKN1B;RXRA;CKS1B;GADD45B;BAX;RXRG;PIK3R3;TRAF3;CDK4;ITGA3;TRAF4;PTGS2;BCL2L1;CKS2;MAX;PIK3CA;CASP3;BAK1;AKT3;CDK6;IKBKG;GADD45A;BIRC7;CDKN1A;E2F1;CCNE2;APAF1;CCNE1;CYCS;AKT2;LAMB3;ITGA6;ITGAV;RARB;ITGB1;PIK3CD;CHUK;DDB2;MYC;AKT1;XIAP;TRAF1;COL4A3;BIRC2;RXRB;ITGA2B
2,prerank,Human papillomavirus infection,0.30903842999540604,2.621158195262646,0.0,0.0,0.0,159/232,43.83%,TCF7L2;FZD1;DVL3;STAT1;TP53;CCND1;PRKCZ;NOTCH1;MTOR;AXIN2;ATP6V1D;CCNA2;VEGFA;TADA3;HEY1;PTK2;PDGFRB;DLG2;WNT1;FZD8;MAP2K1;TRADD;HES1;EIF4EBP1;CDK2;CREB1;NFKB1;TYK2;PTEN;WNT5A;DLG3;PPP2R3C;MDM2;RB1;RAF1;TSC2;CCND3;TBK1;LAMB2;IKBKB;CTNNB1;PRKACB;CREB3L2;RPS6KB1;STAT2;CDC42;PIK3R2;ITGA11;ITGB5;WNT7A;EIF2AK2;CCND2;RELA;PIK3R1;ISG15;ITGB3;COL4A5;HRAS;EP300;DVL2;FN1;APC;CDKN1B;FZD4;WNT9B;TNFRSF1A;CSNK1A1;ATP6V1C1;PKM;IFNAR2;PPP2R1A;IFNA16;SPP1;PTGER4;GRB2;BAX;IFNA8;PIK3R3;HEY2;THBS3;FZD9;RBPJ;RHEB;TRAF3;HLA-A;IRF9;CDK4;ITGA3;EGFR;RPS6KB2;FADD;PTGS2;PRKCI;GSK3B;CHD4;RELN;PIK3CA;ATP6V0B;CSNK1A1L;CASP3;BAK1;PSEN1;TBP;SOS2;IFNA7;AKT3;CDK6;MPP5;DLG1;DVL1;PPP2R2A;IKBKG;MAPK3;MX1;ITGB4;CDKN1A;E2F1;CCNE2;PPP2CA;TICAM1;IRF1;FAS;CCNE1;CREB3L4;GNAS;FZD7;ATP6AP1;AKT2;FASLG;IFNA17;WNT3;LAMB3;ITGA6;ATP6V0C;IKBKE;FOXO1;CCNA1;CREB3;ITGAV;MAML2;MAGI1;ITGB7;PPP2R5C;MAPK1;ITGB1;NOTCH2;ITGB8;PIK3CD;ITGA4;CHUK;ATM;CREB5;ATP6V1F;IFNA10;AKT1;AXIN1;PPP2R3A;TBPL1;BCAP31
3,prerank,Gastric cancer,0.35003840757959787,2.594287325704719,0.0,0.0,0.0,82/114,43.50%,TCF7L2;FZD1;DVL3;SHH;SMAD4;TP53;CCND1;MTOR;AXIN2;WNT1;FZD8;MAP2K1;TGFB2;CDK2;FRAT1;SMAD3;WNT5A;RB1;RAF1;CTNNB1;BRAF;RPS6KB1;PIK3R2;WNT7A;PIK3R1;HRAS;DVL2;APC;BCL2;CDKN1B;FZD4;WNT9B;RXRA;CSNK1A1;TGFBR2;LEF1;GADD45B;SHC4;ERBB2;GRB2;BAX;RXRG;PIK3R3;LRP6;FZD9;MLH1;GAB1;ARAF;EGFR;TGFBR1;RPS6KB2;FGF1;CDX2;TGFB3;GSK3B;MET;SHC1;PIK3CA;CSNK1A1L;ABCB1;BAK1;SOS2;AKT3;FGFR2;DVL1;GADD45A;MAPK3;CDKN1A;E2F1;CCNE2;CCNE1;FZD7;AKT2;WNT3;RARB;MAPK1;PIK3CD;FGF9;DDB2;MYC;AKT1;AXIN1
4,prerank,Breast cancer,0.3429429962546206,2.5526600590087183,0.0,0.00021244180141343578,0.001,80/112,43.50%,TCF7L2;FZD1;DVL3;FOS;TP53;CCND1;NOTCH1;MTOR;AXIN2;HEY1;WNT1;FZD8;MAP2K1;HES1;FRAT1;PTEN;WNT5A;RB1;RAF1;KIT;CTNNB1;BRAF;RPS6KB1;PIK3R2;WNT7A;PIK3R1;BRCA1;HRAS;DVL2;APC;FZD4;WNT9B;CSNK1A1;LEF1;ESR1;GADD45B;ESR2;IGF1R;SHC4;ERBB2;GRB2;BAX;PIK3R3;LRP6;HEY2;FZD9;CDK4;ARAF;EGFR;RPS6KB2;FGF1;BRCA2;GSK3B;DLL4;SHC1;PIK3CA;CSNK1A1L;BAK1;SOS2;AKT3;CDK6;NCOA3;NFKB2;DVL1;GADD45A;MAPK3;CDKN1A;E2F1;FZD7;AKT2;WNT3;MAPK1;NOTCH2;PIK3CD;FGF9;FGFR1;DDB2;MYC;AKT1;AXIN1
5,prerank,Prolactin signaling pathway,0.3911803413748344,2.541323726839529,0.0,0.00017703483451119646,0.001,42/64,32.54%,STAT1;FOS;CCND1;GCK;SOCS4;MAPK14;JAK2;STAT3;MAPK13;MAP2K1;TH;NFKB1;MAPK12;SOCS5;RAF1;PIK3R2;CCND2;RELA;PIK3R1;HRAS;CISH;SRC;CGA;ESR1;ESR2;SHC4;GRB2;MAPK9;FOXO3;PIK3R3;CYP17A1;STAT5A;SLC2A2;SOCS1;PRL;SOCS2;GSK3B;SHC1;PIK3CA;SOS2;AKT3;MAPK3
6,prerank,Prostate cancer,0.3565533280758822,2.525804992354553,0.0,0.00015174414386673985,0.001,65/89,42.41%,TCF7L2;TP53;CCND1;MTOR;PDGFRB;MAP2K1;ZEB1;CDK2;CREB1;NFKB1;CASP9;PTEN;MDM2;RB1;RAF1;IKBKB;CTNNB1;CREB3L2;BRAF;NFKBIA;PIK3R2;PDPK1;RELA;PIK3R1;HRAS;HSP90AB1;EP300;PLAU;BCL2;CDKN1B;ETV5;LEF1;IGF1R;ERBB2;GRB2;PLAT;HSP90AA1;ATF4;PIK3R3;ARAF;EGFR;GSTP1;GSK3B;ERG;PIK3CA;PDGFRA;SOS2;AKT3;FGFR2;IKBKG;MAPK3;CDKN1A;E2F1;CCNE2;CCNE1;CREB3L4;AKT2;HSP90B1;FOXO1;CREB3;MAPK1;PIK3CD;CHUK;CREB5;FGFR1
7,prerank,Pathways in cancer,0.26762322759101786,2.4501583067992794,0.0,0.00013277612588339738,0.001,235/446,33.54%,CUL2;CRK;TCF7L2;IL6R;FZD1;HIF1A;DVL3;STAT1;FOS;PRKCA;SHH;RAD51;IFNGR1;RET;GNAI2;IL15;SMAD4;KITLG;TP53;CCND1;PAX8;TXNRD2;GSTO2;GNG4;RARA;NOTCH1;GNB5;MTOR;AXIN2;VEGFA;IL15RA;PLCG1;JAK2;HEY1;PTK2;PDGFRB;ADCY9;STAT3;FGFR3;GNG5;WNT1;FZD8;MAP2K1;HES1;IL23A;TGFB2;IL2RG;MMP2;IL7R;ARNT;TXNRD1;TFG;CDK2;NFKB1;SKP2;EDNRB;GSTA5;FRAT1;CASP9;SMAD3;PPARG;PTEN;CAMK2G;WNT5A;RASGRP4;NTRK1;EML4;RASGRP2;MDM2;RB1;PLCB1;RAF1;NFE2L2;IL12A;IL2;PLEKHG5;KIT;CCND3;LAMB2;IKBKB;CTNNB1;PRKACB;BRAF;RPS6KB1;DAPK2;STAT2;IL2RA;CDC42;RAC1;LPAR5;NFKBIA;PIK3R2;TPM3;AGT;EGLN1;WNT7A;IL5;RALGDS;BIRC3;CCND2;RELA;RHOA;PIK3R1;COL4A5;F2R;PPARD;GSTA1;HRAS;HSP90AB1;EP300;DAPK1;DVL2;FN1;APC;BCL2;CDKN1B;SKP1;KEAP1;PGF;FZD4;WNT9B;RXRA;GSTO1;BID;TGFBR2;CKS1B;FH;LEF1;EDN1;GLI1;ESR1;IFNAR2;GADD45B;ESR2;IGF1R;VHL;BCL2L11;PTGER1;IFNA16;EDNRA;CXCR4;ERBB2;GNA13;PTGER4;GNA12;GRB2;BAX;RXRG;IL6ST;CASP7;GNG12;MAPK9;IFNA8;HSP90AA1;PIK3R3;STAT5A;LRP6;RALBP1;HEY2;FZD9;MSH2;MLH1;CXCL12;TRAF3;EPAS1;CDK4;ITGA3;ARAF;PLCB3;VEGFC;EGFR;TGFBR1;RPS6KB2;FADD;FGF1;TRAF4;PTGS2;BRCA2;IL12RB1;CAMK2D;GNAI1;GSTP1;PML;PIM1;BCL2L1;CKS2;SUFU;LPAR6;ETS1;VEGFB;BIRC5;PLD1;MMP1;EPO;TGFB3;LPAR1;BMP2;GSK3B;HMOX1;CALM1;RPS6KA5;MET;DLL4;IL4R;MAX;PIK3CA;IFNG;CASP3;BAK1;AGTR1;PDGFRA;ROCK2;EGLN3;SOS2;CDKN2A;STAT4;IFNA7;AKT3;CDK6;NCOA3;NFKB2;FGFR2;DVL1;IKBKG;GADD45A;BIRC7;MAPK3;IL7;STAT6;CDKN1A;E2F1;CCNE2;APAF1;TPR;BDKRB2
8,prerank,MicroRNAs in cancer,0.32025779977220686,2.449614643866892,0.0,0.00011802322300746432,0.001,81/129,37.12%,CRK;PRKCA;CDC25C;CDC25A;TP53;CCND1;NOTCH1;MTOR;VEGFA;PLCG1;PDGFRB;STAT3;FGFR3;TIMP3;MAP2K1;HDAC4;IGF2BP1;TGFB2;MDM4;ZEB1;NFKB1;PTEN;EZH2;MDM2;RAF1;DNMT1;IKBKB;SLC7A1;PIK3R2;DDIT4;CCND2;RHOA;ITGB3;CDC25B;DICER1;BRCA1;HRAS;EP300;ABCC1;PLAU;APC;BCL2;CDKN1B;SOX4;HMGA2;BCL2L11;SHC4;ERBB2;CYP1B1;GRB2;PAK4;EGFR;PRKCE;TPM1;PTGS2;PIM1;SOCS1;DNMT3A;HMOX1;RPS6KA5;MET;SHC1;PIK3CA;CASP3;ABCB1;BAK1;PDGFRA;SOS2;CDKN2A;MCL1;CDK6;BCL2L2;CDKN1A;E2F1;CCNE2;MAPK7;CCNE1;STMN1;CD44;BMPR2;SERPINB5
9,prerank,AGE-RAGE signaling pathway in diabetic complications,0.3482846461872617,2.437938284764706,0.0,0.00010622090070671789,0.001,55/89,33.26%,STAT1;PRKCA;SMAD4;CCND1;PRKCZ;ICAM1;MAPK14;VEGFA;PLCG1;JAK2;STAT3;MAPK13;TGFB2;MMP2;NFKB1;MAPK12;SMAD3;PLCB1;EGR1;CDC42;RAC1;PIK3R2;AGT;RELA;PIK3R1;COL4A5;F3;HRAS;FN1;BCL2;CDKN1B;TGFBR2;CCL2;EDN1;BAX;MAPK9;PIK3R3;STAT5A;CDK4;PLCB3;VEGFC;TGFBR1;PRKCE;NOS3;PIM1;VEGFB;CYBB;TGFB3;PIK3CA;CASP3;AGTR1;AKT3;MAPK3;SERPINE1;NOX1
