,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.40710804696925834,2.2437099852043385,0.0,0.004052356445272926,0.004,79/126,30.88%,FAS;IFNA2;TP53;NFKBIB;IKBKE;CD28;STAT1;TLR4;CCNE1;AKT3;FADD;PIK3CD;MAPK9;CDK4;IFNAR2;CASP8;BCL2;TLR2;CSNK2B;OAS1;FOS;BCL2L1;APAF1;RCHY1;AKT2;IRAK4;CCND2;OAS3;IRAK1;TBK1;GSK3B;TNFAIP3;IFNA8;DDX58;IFNA16;AKT1;CASP3;IL1B;CD3D;STAT2;IRF7;BID;MAPK8;HSPA1B;IL2RG;STAT3;IFNA21;RELA;CBLB;IFIH1;TAB2;TRADD;HSPA1A;EIF2AK2;IL6;IFNA10;CCND3;IL12A;FCGR2B;TLR9;EIF2AK3;CCND1;CSNK2A2;CLEC4M;IKBKB;IFNA14;CDK6;IL12B;CHUK;MYD88;FASLG;IFNA17;CD46;CASP9;IL2;NFKB1;IFNB1;IFNA4;CYCS
1,prerank,Chagas disease (American trypanosomiasis),0.417311315265265,2.2059019415709025,0.0,0.0030392673339546946,0.005,61/97,30.54%,CFLAR;TGFBR2;FAS;GNA11;IFNG;GNAI2;MAPK13;BDKRB2;CD247;TLR4;TNFRSF1A;IL10;CALR;AKT3;FADD;GNAI1;PIK3CD;MAPK9;CASP8;MAPK12;TLR2;FOS;PLCB3;TLR6;PPP2R2A;PPP2R1A;AKT2;IRAK4;MAPK3;IRAK1;GNA15;MAP2K4;AKT1;IFNGR2;IL1B;CD3D;MAPK8;CCL5;PPP2CB;RELA;TICAM1;PLCB1;IL6;IFNGR1;IL12A;SERPINE1;TLR9;TGFB1;IKBKB;IL12B;CHUK;KNG1;MAPK14;C3;MYD88;FASLG;SMAD3;MAPK1;IL2;NFKB1;IFNB1
2,prerank,Toll-like receptor signaling pathway,0.38740445823396763,2.081334994031487,0.0,0.007767016520106441,0.022,67/98,38.12%,RAC1;TOLLIP;IFNA2;CD86;IKBKE;IRF5;STAT1;MAPK13;TLR4;AKT3;FADD;PIK3CD;MAPK9;IFNAR2;CASP8;MAPK12;TLR2;FOS;TLR6;AKT2;IRAK4;MAPK3;IRAK1;TBK1;IFNA8;IFNA16;MAP2K4;AKT1;IL1B;IRF7;MAPK8;CCL5;IFNA21;RELA;CXCL11;TLR3;TAB2;TICAM1;IL6;IFNA10;MAP2K1;IL12A;TLR9;CXCL10;IKBKB;IFNA14;IL12B;CHUK;MAPK14;MYD88;IFNA17;SPP1;MAPK1;NFKB1;IFNB1;IFNA4;MAP2K3;CCL3;TLR5;PIK3CA;TLR8;TICAM2;CXCL9;CD40;JUN;NFKBIA;MAP3K7
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.37221058261403833,2.07420761925422,0.0,0.005825262390079832,0.022,118/159,46.10%,RAC1;GNG4;FAS;IFNA2;TP53;CD86;GNG5;IKBKE;STAT1;MAPK13;CCR5;TNFRSF1A;AKT3;FADD;PIK3CD;MAPK9;CDK4;IFNAR2;NFATC4;HCK;CASP8;MAPK12;GNG8;UBB;HIF1A;ITPR1;CALM3;HLA-A;E2F1;FOS;CTNNB1;EP300;RCAN1;AKT2;LYN;MAPK3;JAK2;MAPKAPK2;TBK1;GSK3B;PTGS2;PLCG2;CREB1;IFNA8;IFNA16;MAP2K4;AKT1;CASP3;GNGT2;STAT2;PPP3CA;IRF7;BID;MAPK8;STAT3;IFNA21;GNG12;BECN1;RELA;TLR3;TRADD;TICAM1;EIF2AK2;CCR3;IL6;IFNA10;IFNGR1;ITPR3;KRAS;MAP2K1;IL6ST;GNB5;CCND1;IKBKB;IFNA14;CDK6;CHUK;MAPK14;SYK;C3;IFNA17;MAPK1;CASP9;NFKB1;IFNB1;IFNA4;CYCS;PIK3CA;CXCL2;NFATC3;GNB4;ICAM1;RAF1;JUN;CDKN1A;NFKBIA;BAX;CALML6;TYK2;PIK3R5;HRAS;NRAS;PIK3R6;CXCL1;PIK3CB;IKBKG;PIK3CG;PIK3R1;CXCL3;IRF3;PPP3CC;GNG7;GNG11;NFATC1;IRF9;MAP2K7;RB1;VEGFA
4,prerank,Toxoplasmosis,0.38663763669760526,2.0702543105034237,0.0,0.004862827734327512,0.023,70/99,40.34%,IFNG;NFKBIB;HLA-DPA1;GNAI2;STAT1;MAPK13;CCR5;TLR4;TNFRSF1A;IL10;AKT3;GNAI1;MAPK9;LAMB3;PDPK1;CASP8;MAPK12;BIRC7;BCL2;TLR2;BCL2L1;AKT2;IRAK4;MAPK3;ITGB1;JAK2;IRAK1;BIRC2;AKT1;CASP3;IFNGR2;MAPK8;HSPA1B;STAT3;RELA;LAMB2;TAB2;HSPA1A;IFNGR1;HLA-DQB1;IL12A;TGFB1;IKBKB;IL12B;CHUK;MAPK14;HLA-DOB;MYD88;MAPK1;CASP9;IRGM;NFKB1;CIITA;CYCS;MAP2K3;CD40LG;HLA-DMB;HLA-DPB1;IL10RB;ALOX5;CD40;NFKBIA;HLA-DMA;MAP3K7;HLA-DQA1;SOCS1;TRAF6;HLA-DQA2;TYK2;PIK3R5
5,prerank,Pathogenic Escherichia coli infection,0.4461824003217142,2.0644316597660373,0.0010183299389002036,0.004727749186151747,0.027,30/44,33.31%,TUBB6;FYN;ARPC4;ABL1;TLR4;ROCK1;CDC42;TUBB1;TUBB2A;ARPC1A;CTNNB1;ACTB;ITGB1;YWHAQ;CDH1;TUBB4B;ARPC1B;RHOA;PRKCA;ARHGEF2;ARPC5;TUBA8;CLDN1;TUBB;TUBB3;TUBA1A;ACTG1;CTTN;TLR5;TUBA3C
6,prerank,p53 signaling pathway,0.42600946516622146,2.056524111470377,0.0,0.004052356445272926,0.027,44/56,44.04%,FAS;SESN1;PMAIP1;TP53;TSC2;PTEN;CCNE1;SERPINB5;CDK4;CASP8;BCL2;BCL2L1;APAF1;SIAH1;RCHY1;CCND2;ATM;CHEK2;CASP3;MDM4;BID;CCNB1;IGF1;CCNB2;CCND3;SERPINE1;CCND1;CDK1;CDK6;DDB2;SHISA5;CASP9;MDM2;CYCS;CD82;TP53I3;IGFBP3;CDKN2A;CDKN1A;BAX;THBS1;CHEK1;GADD45A;CDK2
7,prerank,Epstein-Barr virus infection,0.36007767111511507,2.0366634260504792,0.0,0.004305628723102484,0.033,125/174,45.60%,RAC1;FAS;IFNA2;TP53;NFKBIB;IKBKE;HLA-DPA1;VIM;TAP1;STAT1;MAPK13;NFKBIE;CD19;CD247;CCNE1;CALR;AKT3;FADD;PIK3CD;MAPK9;CDK4;IFNAR2;HES1;CASP8;MAPK12;NFKB2;HLA-A;B2M;BCL2;TLR2;E2F1;OAS1;APAF1;AKT2;IRAK4;LYN;PSMC5;CCND2;TRAF5;OAS3;IRAK1;TBK1;TNFAIP3;PLCG2;IFNA8;DDX58;IFNA16;MAP2K4;AKT1;CASP3;CD3D;STAT2;IRF7;BID;MAPK8;STAT3;RUNX3;IFNA21;RELA;PSMD3;TAB2;BTK;TRADD;EIF2AK2;RBPJ;IL6;IFNA10;HLA-DQB1;CCND3;CXCL10;CCND1;BCL2L11;IKBKB;IFNA14;CDK6;CHUK;DDB2;MAPK14;SYK;HLA-DOB;MYD88;IFNA17;CASP9;MDM2;NFKB1;IFNB1;IFNA4;CYCS;MAP2K3;RELB;TAP2;PIK3CA;HLA-DMB;CD58;HLA-DPB1;JAK3;CD40;ICAM1;HDAC1;JUN;CDKN1A;NFKBIA;SIN3A;HLA-DMA;BAX;MAP3K7;HLA-DQA1;TRAF6;HLA-DQA2;TYK2;RIPK1;PIK3CB;IKBKG;GADD45A;ISG15;PIK3R1;SKP2;CDK2;CD44;IRF3;IRF9;MAP2K7;HLA-DRA;CR2;RB1
8,prerank,Influenza A,0.3589937819958321,1.992134307943412,0.0,0.006078534667909389,0.053,96/145,40.31%,ATF2;FAS;IFNA2;CPSF4;IFNG;NFKBIB;IKBKE;HLA-DPA1;STAT1;MAPK13;TLR4;TNFRSF1A;SLC25A6;FURIN;AKT3;PIK3CD;MAPK9;IFNAR2;MAPK12;OAS1;EP300;ACTB;AKT2;NXF1;IRAK4;MAPK3;OAS3;JAK2;TBK1;GSK3B;IFNA8;DDX58;IFNA16;MAP2K4;AKT1;IFNGR2;IL1B;STAT2;IRF7;MAPK8;HSPA1B;CCL5;IFNA21;RELA;TLR3;PRKCA;IFIH1;TICAM1;HSPA1A;EIF2AK2;IL6;IFNA10;IFNGR1;HLA-DQB1;MAP2K1;IL12A;CXCL10;EIF2AK3;IKBKB;IFNA14;VDAC1;IL12B;TNFRSF10A;MAPK14;FDPS;HLA-DOB;MYD88;PML;FASLG;IFNA17;MAPK1;CASP9;NFKB1;IFNB1;IFNA4;CIITA;CYCS;MAP2K3;ACTG1;RSAD2;PIK3CA;HLA-DMB;HLA-DPB1;IL18;ICAM1;RAF1;JUN;NFKBIA;MX1;HLA-DMA;IL33;HLA-DQA1;EIF2AK1;HLA-DQA2;TYK2;PLG
9,prerank,TNF signaling pathway,0.3719061618789143,1.9862863178282433,0.0,0.00607853466790939,0.059,75/104,43.99%,CFLAR;ATF2;FAS;CEBPB;MAPK13;TNFRSF1B;TNFRSF1A;AKT3;FADD;PIK3CD;MAPK9;RPS6KA4;ATF4;CASP8;MAPK12;CREB3L4;IRF1;CSF1;CASP7;EDN1;CXCL5;FOS;CCL20;AKT2;MAPK3;TRAF5;JUNB;PTGS2;TNFAIP3;CREB1;MAP2K4;BIRC2;AKT1;CASP3;IL1B;MAPK8;CCL5;VEGFC;RELA;TAB2;TRADD;CASP10;JAG1;MAP3K5;IL6;BCL3;MAP2K1;LIF;CXCL10;IKBKB;CHUK;CREB3;MAPK14;MAPK1;NFKB1;IFNB1;MAP2K3;PIK3CA;CXCL2;NOD2;MMP14;ICAM1;JUN;NFKBIA;RPS6KA5;MAP3K7;IL15;IL18R1;RIPK1;CXCL1;PIK3CB;IKBKG;PIK3R1;CXCL3;LTA
