,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.31813989600247283,2.8858054680016085,0.0,0.0,0.0,104/153,41.03%,PRKCA;IKBKG;ATF2;TICAM1;NFATC1;CHUK;MAPK3;TP53;SMAD3;TLR2;JAK2;STAT3;BCL2;IFNA2;RELA;MYD88;PIK3CA;IFNA4;CREB5;IFNA21;NFATC4;AKT1;STAT2;TGFBR1;RB1;DDX58;STAT4;CCNA1;MAP3K1;SOS2;TAB2;STAT6;APAF1;KRAS;ATF4;PIK3CD;CYCS;TRAF3;IFNAR1;IFNA7;IRAK4;TYK2;MAPK9;JAK1;SMAD4;NFATC3;CDKN1A;TICAM2;PIK3R1;EP300;BIRC5;CXCL8;MYC;E2F1;CCNE1;TBK1;FAS;IFNA17;CASP3;HRAS;BAX;MAP2K1;CREB1;TLR4;IFNB1;GRB2;BAD;DDB2;CCNA2;CDK2;CREB3L2;IFIH1;IFNA10;CASP9;CASP10;MAP2K4;HSPG2;MAP2K2;MAPK11;MAPK8;MAP2K3;PIK3CB;BRAF;MAPK13;RAF1;MMP9;FOS;IKBKB;SOS1;BID;NFKB1;IKBKE;IRAK1;CREB3;JAK3;STAT1;JUN;CCNE2;IRF7;TGFBR2;IRF3;NRAS;ATP6AP1;TGFB3
1,prerank,Hepatitis C,0.32724957534579485,2.829688169341501,0.0,0.0,0.0,89/124,42.81%,EGFR;IKBKG;TICAM1;CHUK;MAPK3;TP53;STAT3;PPARA;IFNA2;RELA;IFNG;PIK3CA;IFNA4;IFNA21;AKT1;STAT2;RB1;PIAS1;DDX58;SOS2;EIF2AK3;APAF1;KRAS;EIF2AK4;MX1;PIK3CD;CYCS;TRAF3;IFNAR1;IFNA7;TNFRSF1A;EIF2AK1;TYK2;JAK1;CLDN2;EIF2AK2;CDKN1A;CFLAR;PIK3R1;YWHAH;CDK4;PPP2R2A;MYC;IFIT1;E2F1;BAK1;CLDN1;TBK1;FAS;IFNA17;CASP3;CCND1;HRAS;BAX;MAP2K1;IFNB1;GRB2;PPP2CB;RXRA;BAD;OAS3;CLDN11;CDK2;IFNA10;CD81;CASP9;CDK6;MAP2K2;PIK3CB;BRAF;PPP2R2C;RAF1;TRAF2;IKBKB;CTNNB1;SOS1;BID;NFKB1;IKBKE;STAT1;IRF7;CXCL10;IRF3;NRAS;SOCS3;PPP2R1A;RSAD2;IFNA16;SCARB1
2,prerank,Measles,0.3158683528892068,2.725311087996101,0.0,0.0,0.0,82/126,37.53%,IKBKG;CHUK;TP53;TLR2;CSNK2B;STAT3;BCL2;CD46;RCHY1;IFNA2;RELA;HSPA1B;MYD88;CCND3;CBLB;PIK3CA;IL2;IFNA4;IFNA21;CSNK2A2;AKT1;STAT2;IL12A;TLR9;DDX58;CCND2;EIF2AK3;TAB2;HSPA1A;APAF1;EIF2AK4;MX1;PIK3CD;CYCS;TRAF3;IFNAR1;IFNA7;HSPA2;IRAK4;EIF2AK1;TYK2;MAPK9;JAK1;EIF2AK2;PIK3R1;CDK4;TNFAIP3;CCNE1;BAK1;TBK1;FAS;IFNA17;IL1B;CASP3;CCND1;BAX;ADAR;BCL2L1;TLR4;IFNB1;BAD;OAS3;CDK2;CD3D;IFIH1;IFNA10;CASP9;CDK6;MAPK8;PIK3CB;CSNK2A1;FOS;IKBKB;BID;NFKB1;IKBKE;IRAK1;JAK3;STAT1;IL2RB;JUN;CCNE2
3,prerank,Pancreatic cancer,0.36410597303494796,2.6822805246848977,0.0,0.0,0.0,52/71,41.03%,EGFR;IKBKG;ERBB2;CHUK;MAPK3;TP53;SMAD3;STAT3;BRCA2;RELA;PIK3CA;AKT1;RAC3;TGFBR1;RB1;PLD1;RALBP1;KRAS;PIK3CD;MAPK9;JAK1;SMAD4;CDKN1A;RALB;PIK3R1;CDK4;E2F1;BAK1;CCND1;BAX;MAP2K1;BCL2L1;BAD;DDB2;CASP9;RPS6KB2;CDK6;MAPK8;RAC1;PIK3CB;BRAF;RAF1;IKBKB;NFKB1;RALGDS;GADD45B;RPS6KB1;STAT1;TGFBR2;CDC42;VEGFA;TGFB3
4,prerank,Kaposi sarcoma-associated herpesvirus infection,0.28864931946208316,2.679259099040392,0.0,0.0,0.0,98/159,37.35%,IKBKG;HLA-A;MAPKAPK2;TICAM1;NFATC1;CHUK;MAPK3;TP53;JAK2;GNG4;STAT3;GNG12;PLCG2;PPP3CA;ATG3;IFNA2;RELA;PIK3CA;GNG11;IFNA4;PTGS2;CD86;IFNA21;NFATC4;BECN1;GNB4;AKT1;STAT2;CCR5;HIF1A;RB1;PLCG1;FGF2;CCR4;KRAS;PIK3CD;CYCS;TRAF3;IFNAR1;CCR3;IFNA7;TNFRSF1A;TYK2;MAPK9;ITPR3;JAK1;NFATC3;EIF2AK2;CDKN1A;PIK3R1;EP300;CDK4;GNGT2;CXCL8;MYC;E2F1;C3;ITPR1;BAK1;TBK1;FAS;IFNA17;CASP3;CCND1;HRAS;BAX;MAP2K1;CREB1;PPP3R2;IFNB1;IFNA10;CASP9;CDK6;MAP2K4;MAP2K2;MAPK11;MAPK8;RAC1;PIK3CB;PIK3C3;CXCL2;ICAM1;MAPK13;RAF1;LYN;FOS;TRAF2;IKBKB;PIK3R6;CTNNB1;BID;NFKB1;GNG7;UBB;GNG8;IKBKE;STAT1;JUN
5,prerank,Small cell lung cancer,0.34657117582491215,2.669044705133134,0.0,0.0,0.0,54/79,38.41%,IKBKG;CHUK;TP53;TRAF5;BCL2;CKS1B;TRAF4;RELA;PIK3CA;PTGS2;PTK2;MAX;AKT1;RB1;APAF1;ITGA6;PIK3CD;CYCS;FN1;TRAF3;CDKN1A;SKP2;PIK3R1;CDK4;CKS2;MYC;CDKN2B;E2F1;CCNE1;BAK1;BIRC2;CASP3;CCND1;BAX;BCL2L1;LAMA3;RXRA;DDB2;CDK2;CASP9;RXRG;CDK6;ITGA2;PIK3CB;RARB;ITGA3;TRAF2;IKBKB;COL4A5;NFKB1;GADD45B;PTEN;CCNE2;ITGA2B
6,prerank,Viral carcinogenesis,0.2883153693471887,2.586447644296919,0.0,0.0003100823627350422,0.002,98/141,45.99%,HIST1H4E;IKBKG;HLA-A;ATF2;MAPKAPK2;ACTN4;HIST1H2BD;MAPK3;TP53;PRKACA;TRAF5;STAT3;SRF;RHOA;CHEK1;RELA;CCND3;PIK3CA;CREB5;GTF2A1;CCR5;KAT2A;RB1;REL;CCNA1;HDAC11;CCND2;CCR4;HDAC6;KRAS;HDAC9;ATF4;GTF2A2;PIK3CD;TRAF3;CCR3;JAK1;EIF2AK2;CDKN1A;SKP2;PIK3R1;EP300;YWHAH;PRKACB;CDK4;LTBR;HDAC7;CDKN2B;C3;CCNE1;BAK1;CASP3;CCND1;HRAS;BAX;CREB1;GRB2;BAD;CCNA2;CDK2;RBPJ;POLB;CREB3L2;KAT2B;HDAC8;CDK1;CDK6;GTF2E2;RAC1;PIK3CB;HIST1H2BJ;SNW1;LYN;TRAF2;DLG1;DNAJA3;NFKB1;HDAC3;CREB3;GTF2H1;JAK3;JUN;CCNE2;HDAC4;IRF7;CDC42;IRF3;NRAS;GSN;HPN;USP7;CDKN1B;TRADD;SYK;CDKN2A;HDAC10;HDAC1;PMAIP1
7,prerank,Epstein-Barr virus infection,0.2767316467143901,2.556491035848552,0.0,0.0002713220673931619,0.002,142/174,57.45%,IKBKG;HLA-A;CHUK;BTK;TP53;TLR2;TRAF5;CD44;STAT3;BCL2;PLCG2;HES1;IFNA2;RELA;MYD88;CCND3;HLA-DRB3;PIK3CA;IFNA4;IFNA21;HLA-DMB;AKT1;STAT2;MAP3K14;RB1;DDX58;CCNA1;PSMD4;CCND2;TAB2;NFKBIE;APAF1;CD58;PIK3CD;CYCS;TRAF3;IFNAR1;IFNA7;IRAK4;ENTPD3;PSMD2;TYK2;MAPK9;JAK1;EIF2AK2;CDKN1A;SKP2;PIK3R1;CDK4;HLA-DQB1;SIN3A;MYC;TNFAIP3;CD19;E2F1;CCNE1;BAK1;TBK1;HLA-DRB5;FAS;IFNA17;CASP3;CCND1;BAX;IFNB1;OAS3;DDB2;CCNA2;CDK2;RBPJ;CD3D;IFNA10;CASP9;CDK6;MAP2K4;MAPK11;MAPK8;MAP2K3;RAC1;PIK3CB;ICAM1;CALR;MAPK13;SNW1;LYN;TRAF2;IKBKB;BID;CD247;NFKB1;HLA-DRA;GADD45B;IKBKE;IRAK1;JAK3;STAT1;JUN;CCNE2;IRF7;CXCL10;IRF3;SAP30;HLA-DPA1;PSMC5;TAPBP;CIR1;IFNA16;CD3E;USP7;RUNX3;CDKN1B;TRADD;MAPK14;SYK;BLNK;HLA-DRB1;MAPK12;HDAC1;ENTPD1;HLA-DPB1;B2M;ISG15;NFKBIA;IL6;HLA-DMA;TAP1;PSMD1;RELB;ITGAL;IFNAR2;IFNA14;RIPK1;AKT3;HLA-DOB;PSMD3;IRF9;OAS2;BCL2L11;CASP8;FADD;FCER2;IFNA8
8,prerank,Neurotrophin signaling pathway,0.30718443655784505,2.547670761932911,0.0,0.00024117517101614392,0.002,73/103,44.99%,NGF;MAPKAPK2;SHC1;MAPK3;TP53;IRAK2;BCL2;RHOA;PLCG2;GAB1;MAGED1;MATK;RELA;PIK3CA;AKT1;SH2B3;PSEN1;RPS6KA3;PLCG1;CAMK2A;PSEN2;MAP3K1;SOS2;IRS1;CAMK2G;NFKBIE;RIPK2;KRAS;CAMK2D;ATF4;PIK3CD;IRAK4;MAPK9;PIK3R1;NTRK2;ARHGDIA;HRAS;BAX;NGFR;MAP2K1;RPS6KA1;PDPK1;GRB2;BAD;SORT1;CRK;MAP2K2;MAPK11;MAPK8;RAC1;PIK3CB;BRAF;ABL1;MAP3K5;MAPK13;RAF1;PRKCD;IKBKB;RPS6KA5;FOXO3;ARHGDIB;SOS1;NFKB1;IRAK1;JUN;CDC42;NTRK3;NRAS;MAPK7;SHC4;CALM1;MAPK14;MAPK12
9,prerank,Prolactin signaling pathway,0.3457934026358021,2.485949708321643,0.0,0.00043411530782905906,0.004,48/64,44.99%,SHC1;MAPK3;JAK2;STAT3;CISH;TH;GALT;LHCGR;RELA;IRF1;PIK3CA;AKT1;CCND2;SOS2;KRAS;TNFRSF11A;SOCS2;PIK3CD;MAPK9;PIK3R1;SOCS1;CCND1;HRAS;ESR2;MAP2K1;GRB2;MAP2K2;MAPK11;TNFSF11;MAPK8;PIK3CB;PRL;MAPK13;RAF1;FOS;FOXO3;SOS1;NFKB1;STAT1;PRLR;NRAS;SOCS3;CGA;SOCS4;ESR1;SHC4;MAPK14;MAPK12
