,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prostate cancer,0.3438573758534295,2.667125578876086,0.0,0.0,0.0,66/89,44.50%,EGFR;NFKBIA;CCND1;ARAF;CHUK;BCL2;CASP9;ETV5;MAPK3;TP53;ERBB2;HSP90B1;RB1;RAF1;ZEB1;PDGFRA;AR;TCF7L2;CREB1;RELA;PLAU;MAPK1;CDKN1A;AKT1;CDK2;NFKB1;CTNNB1;PIK3CA;GRB2;PTEN;MAP2K2;EP300;INS;IL1R2;GSTP1;CREB3L4;PDGFRB;IKBKG;TGFA;ATF4;PDGFC;PIK3CD;LEF1;MDM2;MAP2K1;HSP90AA1;IKBKB;HRAS;NKX3-1;GSK3B;KRAS;NRAS;CCNE1;CDKN1B;BRAF;E2F1;CREB3L2;CREB5;FGFR1;PIK3R1;ERG;PDPK1;IGF1R;TCF7;PLAT;HSP90AB1
1,prerank,MicroRNAs in cancer,0.30998224270004177,2.6191999971224136,0.0,0.0,0.0,86/129,40.81%,EGFR;CCND1;BCL2;IRS2;STAT3;SIRT1;CDK6;PLCG1;HDAC1;PRKCA;TP53;DNMT1;ERBB2;CDC25B;TIMP3;HMOX1;RAF1;ZEB1;PDGFRA;ROCK1;CD44;PLAU;ABCB1;MAPK1;CDKN1A;DNMT3A;SOX4;NOTCH2;WNT3;PAK4;FOXP1;NFKB1;STMN1;PIK3CA;RHOA;GRB2;RPS6KA5;PTEN;BRCA1;MAP2K2;EP300;CCND2;MET;RDX;FGFR3;PTGS2;PDGFRB;SOCS1;CRK;TP63;IRS1;MCL1;ITGB3;SHC1;FSCN1;TGFB2;ATM;MDM2;MAP2K1;VIM;BMF;IKBKB;CDC25C;HRAS;HDAC4;ABCC1;KRAS;CASP3;TPM1;BCL2L2;CDC25A;MDM4;NRAS;CCNE1;CDKN1B;BMI1;DNMT3B;E2F1;BAK1;CYP1B1;PRKCE;MAPK7;EZH2;VEGFA;DDIT4;PRKCB
2,prerank,Lysine degradation,0.40744681083793727,2.5556431298164006,0.0,0.001437854720756631,0.004,42/46,54.27%,HADH;EZH1;SETD7;SUV39H1;DLD;PLOD3;PHYKPL;KMT2D;SUV39H2;SETD1B;ACAT2;PIPOX;ALDH3A2;EHMT2;PRDM7;ALDH7A1;ALDH9A1;KMT2B;DOT1L;PLOD1;SETDB1;TMLHE;EHMT1;ALDH2;SETDB2;EHHADH;NSD1;ASH1L;EZH2;SETD1A;AADAT;ALDH1B1;ACAT1;PRDM2;KMT2A;PLOD2;BBOX1;ECHS1;KMT2E;AASS;HADHA;GCDH
3,prerank,Osteoclast differentiation,0.30110595406635476,2.532971133319704,0.0,0.00161758656085121,0.006,67/122,30.48%,MAPK8;IL1R1;NFKBIA;TGFBR1;STAT2;CHUK;CSF1R;CSF1;CTSK;JUN;PPARG;FYN;FOSL2;FOSB;MAPK3;ACP5;SIRPB1;NCF2;SIRPG;BTK;NOX1;CREB1;RELA;IFNGR1;LILRA1;MAPK1;AKT1;TNFRSF11A;NFATC1;RELB;NFKB1;CYBA;IFNAR1;OSCAR;PIK3CA;SYK;GRB2;FCGR1A;RAC1;TEC;LILRB1;TNFSF11;CYLD;TAB2;SPI1;CALCR;IFNG;SOCS1;CAMK4;IKBKG;FCGR3B;LILRB3;PIK3CD;LILRB5;ITGB3;SQSTM1;NCF1;TGFB2;MAPK12;TNFRSF1A;MAP2K1;JAK1;SOCS3;IKBKB;LILRA6;MAP3K7;MAPK9
4,prerank,Kaposi sarcoma-associated herpesvirus infection,0.28719074695880686,2.5232995739852164,0.0,0.001294069248680968,0.006,121/159,52.43%,MAPK8;NFKBIA;CCND1;STAT2;GNG11;CHUK;BECN1;JUN;CASP9;STAT3;CDK6;IFNA5;TICAM1;PLCG1;IFNA10;MAPK3;TP53;RB1;CCR4;RAF1;EIF2AK2;BAX;HIF1A;TRADD;CREB1;RELA;CYCS;ITPR3;IFNGR1;GNG4;CXCL8;MAPK1;CDKN1A;AKT1;TLR3;CCR1;GNG12;NFATC1;FAS;PIK3CG;NFKB1;IFNAR1;IFNA7;CTNNB1;PIK3R6;CDK4;PIK3CA;SYK;GNB1;IKBKE;HLA-A;RAC1;MAP2K2;EP300;GNB4;CD200R1;TBK1;JAK2;PTGS2;CXCL1;IKBKG;IRF3;ITPR1;CCR3;PIK3CD;IFNA14;PIK3C3;MAPK12;TNFRSF1A;MAP2K1;GNB5;JAK1;IFNA16;IKBKB;NFATC3;HRAS;MAPK9;GSK3B;MAPKAPK2;IL6;KRAS;CASP3;C3;CALM1;LYN;NRAS;ATG3;E2F1;IFNB1;TRAF3;BAK1;IFNAR2;VEGFA;PIK3R1;MICB;FOS;CXCL3;BID;IFNA21;MAP2K4;PPP3R2;CD86;MAP2K7;STAT1;MYC;MAPK14;UBB;HLA-B;GNG8;PLCG2;TYK2;PPP3CA;FADD;TRAF2;IFNA4;SRC;IFNA8;MAP2K6;MAPK11;IRF9;NFATC4
5,prerank,Regulation of actin cytoskeleton,0.2913406635512694,2.4678255127254203,0.0,0.0016175865608512097,0.009,91/139,42.34%,EGFR;ARPC3;ARAF;PAK5;MYL9;ITGA6;PTK2;PIP4K2B;ARPC4;MAPK3;ACTN4;CFL1;ARPC5;ROCK2;FGF1;RAF1;PDGFRA;ROCK1;PPP1CA;MAPK1;ITGA2;ITGAE;LPAR2;ARHGAP35;GNG12;GSN;PAK4;CXCL12;PIP5K1B;ITGB2;PIK3CA;RHOA;LPAR1;MYLK2;ACTB;RAC1;ITGB4;MAP2K2;INS;LIMK2;RDX;ITGA8;FGFR3;MYLK3;ARPC2;PDGFRB;CRK;KNG1;CDC42;ITGB5;ACTG1;PDGFC;PIK3CD;ITGB3;LPAR4;CHRM1;MAP2K1;PIP5K1A;HRAS;CHRM2;BDKRB2;ITGA3;KRAS;MOS;PAK1;CHRM3;LIMK1;PAK3;ITGB8;RAC3;ITGAV;ARPC1B;TMSB4X;ITGAX;LPAR5;NRAS;BRAF;ITGB7;F2R;GNA13;VAV1;FGFR4;GNA12;ITGA11;FGFR1;PIK3R1;PIP4K2C;CXCR4;ARPC1A;PAK2;SPATA13
6,prerank,Prolactin signaling pathway,0.351186066291292,2.458974117964486,0.0,0.0013865027664438942,0.009,49/64,45.56%,MAPK8;CCND1;STAT3;ESR2;MAPK3;GALT;SOCS2;RAF1;RELA;MAPK1;AKT1;TNFRSF11A;TH;PRLR;NFKB1;PIK3CA;GRB2;MAP2K2;CCND2;INS;TNFSF11;JAK2;SOCS1;PRL;PIK3CD;SHC1;MAPK12;CISH;MAP2K1;SOCS3;HRAS;CYP17A1;MAPK9;GSK3B;KRAS;SLC2A2;NRAS;FOXO3;IRF1;SOCS5;ESR1;PIK3R1;SOCS4;STAT5A;FOS;STAT1;CGA;MAPK14;SHC4
7,prerank,Hepatitis C,0.2960361249879759,2.4528755349925673,0.0,0.0013479888007093415,0.01,100/124,55.06%,EGFR;NFKBIA;CCND1;STAT2;ARAF;CHUK;CFLAR;RXRA;CLDN11;CD81;CASP9;STAT3;CDK6;IFNA5;TICAM1;IFNA10;MAPK3;TP53;IFIT1;PPARA;DDX58;RB1;RAF1;EIF2AK2;BAX;TRADD;RELA;CYCS;MAPK1;CDKN1A;AKT1;CDK2;TLR3;NR1H3;PPP2R2A;FAS;NFKB1;IFNAR1;IFNA7;CTNNB1;CDK4;PIK3CA;RNASEL;IKBKE;GRB2;PPP2R2C;MAP2K2;TBK1;IFNG;IKBKG;IRF3;LDLR;PIK3CD;IFNA14;TNFRSF1A;MAP2K1;JAK1;IFNA16;SOCS3;APAF1;IKBKB;HRAS;GSK3B;KRAS;CASP3;MX1;PPP2CB;NRAS;RIPK1;BRAF;E2F1;IFNB1;TRAF3;BAK1;OAS1;IFNAR2;PIK3R1;PPP2R1A;BID;IFNA21;STAT1;MYC;EIF2S1;PIAS1;OAS3;TYK2;CLDN1;FADD;TRAF2;CLDN2;IFNA4;PPP2CA;YWHAH;IFNA8;IRF9;BAD;FASLG;CXCL10;IFNA17;SOS2
8,prerank,Citrate cycle (TCA cycle),0.4708020698380637,2.4473530903831864,0.0,0.0011982122672971926,0.01,19/27,26.74%,PDHB;PC;IDH3A;DLD;ACO1;PCK1;CS;IDH2;DLAT;ACO2;IDH3G;SDHB;SUCLG2;ACLY;SDHC;IDH1;SDHD;IDH3B;MDH1
9,prerank,Apoptosis,0.28862421534308896,2.4405358994137294,0.0,0.0010783910405674734,0.01,72/123,35.10%,MAPK8;NFKBIA;CAPN1;CHUK;CFLAR;NGF;BECN1;CTSK;BCL2;JUN;CASP9;BCL2L1;TNFRSF10A;PRF1;GZMB;MAPK3;TP53;BIRC2;DIABLO;CTSW;ERN1;RAF1;PARP1;BAX;TRADD;RELA;CYCS;ITPR3;XIAP;MAPK1;AKT1;SPTA1;CTSB;FAS;PARP2;NFKB1;CTSH;PARP4;PIK3CA;ACTB;MAP2K2;CSF2RB;SPTAN1;CASP10;CASP7;IKBKG;ACTG1;ATF4;ITPR1;MCL1;CTSC;PIK3CD;DDIT3;TNFRSF1A;ATM;MAP2K1;BCL2A1;APAF1;IL3RA;IKBKB;TUBA3C;BBC3;HRAS;MAPK9;KRAS;CASP3;DFFA;CTSL;DAXX;NRAS;TUBA1A;RIPK1
