,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Cysteine and methionine metabolism,0.49952073817468023,1.9196827357141641,0.0,0.05142312286969959,0.047,26/40,27.47%,LDHC;IL4I1;CBS;BCAT2;MAT2B;BHMT;MDH2;DNMT3A;SMS;BCAT1;KYAT1;MAT2A;MTR;MAT1A;GOT2;GCLC;ADI1;AHCY;GCLM;DNMT1;ENOPH1;AGXT2;LDHB;TST;CDO1;LDHAL6A
1,prerank,Steroid biosynthesis,0.5511830045835249,1.8126675314990428,0.0031645569620253164,0.09679646657825805,0.167,15/17,38.25%,TM7SF2;NSDHL;CYP24A1;CEL;LIPA;EBP;SQLE;LSS;HSD17B7;DHCR7;MSMO1;CYP51A1;SOAT1;FDFT1;SOAT2
2,prerank,Viral myocarditis,0.4462030455227772,1.764722973331149,0.004016064257028112,0.11124871679653964,0.274,31/45,36.19%,CAV1;HLA-DRB5;CASP8;EIF4G1;ITGB2;CASP9;CD55;ABL1;BID;ACTB;HLA-DOB;HLA-A;CD80;CASP3;FYN;HLA-DRB3;DMD;SGCB;CXADR;ICAM1;CYCS;HLA-DPB1;CD86;HLA-DQB1;HLA-DMB;ABL2;ITGAL;RAC1;HLA-DRB1;CCND1;HLA-DRB4
3,prerank,Taste transduction,0.4491721667233632,1.7561200169557707,0.0010030090270812437,0.09175498394397379,0.295,20/42,22.19%,ENTPD2;P2RY4;GABBR2;SCNN1G;HTR1E;HTR1F;ITPR3;PRKACB;ASIC2;GRM4;GABRA4;TRPM5;PKD2L1;SCNN1A;PRKACG;GABRA3;GABBR1;TAS2R60;GABRA1;PDE1A
4,prerank,Arginine biosynthesis,0.5270512364124599,1.700497906216295,0.014690451206715634,0.12886029613230604,0.45,12/16,32.97%,ASS1;OTC;GLS;GPT;ARG2;GOT2;GLUD2;GLUD1;ASL;ACY1;NOS2;GLUL
5,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3736096348131236,1.6924069645157909,0.0,0.11746654537882359,0.483,91/159,34.13%,ITPR1;CASP8;FGF2;CXCL1;AKT1;IKBKG;TICAM1;PIK3R6;IFNA2;PIK3CD;MAPKAPK2;MAPK12;NFKB1;NFATC1;CASP9;BECN1;FAS;VEGFA;MAPK1;HIF1A;BID;TBK1;GNB5;JAK1;RAF1;ITPR3;HLA-A;PPP3R2;STAT2;STAT3;IFNA21;CALM1;KRAS;NFKBIA;IFNA4;EP300;JUN;CASP3;HCK;MAPK3;GNG12;CCR5;CREB1;IFNGR1;IFNA10;GNG4;TP53;CXCL2;IL6ST;CREBBP;NFATC3;MICB;STAT1;GNB1;EIF2AK2;FOS;CCR4;E2F1;MAP2K7;C3;ATG3;GSK3B;ICAM1;RELA;PLCG1;CYCS;BAK1;HRAS;CTNNB1;RCAN1;FADD;SYK;GNB4;CD86;MAPK11;IFNB1;CCR1;IKBKE;MAPK8;CDKN1A;PIK3CG;PTGS2;IFNA14;CDK4;PIK3CA;IFNA5;PIK3C3;MAP2K6;RAC1;IFNA1;MAPK9
6,prerank,Leishmaniasis,0.39784314206996546,1.6752177727524318,0.001,0.12243600683261807,0.549,41/69,32.43%,HLA-DRB5;TLR4;ITGB2;MAPK12;NFKB1;TAB2;MAPK1;HLA-DOB;JAK1;TGFB1;NFKBIA;FCGR2A;IL10;JUN;MAPK3;FCGR1A;IFNGR1;NCF2;HLA-DRB3;MYD88;IRAK4;CYBA;STAT1;FOS;TGFB3;FCGR3B;C3;IFNGR2;RELA;IL4;NCF1;HLA-DPB1;NFKBIB;MAPK11;IL12A;TLR2;HLA-DQB1;NOS2;HLA-DMB;PTGS2;IRAK1
7,prerank,Pancreatic cancer,0.39421740271247246,1.6661515297021032,0.0,0.11834880483982332,0.579,42/71,34.13%,RAD51;AKT1;BRCA2;IKBKG;BAD;PIK3CD;NFKB1;CASP9;VEGFA;MAPK1;RPS6KB1;TGFBR2;JAK1;RAF1;SMAD3;STAT3;TGFB1;KRAS;SMAD4;BCL2L1;MAPK3;TP53;ERBB2;BRAF;RPS6KB2;STAT1;E2F1;TGFB3;DDB2;RELA;BAK1;PLD1;MAPK8;CDKN1A;SMAD2;CDC42;RALBP1;CDK4;EGFR;PIK3CA;RAC1;MAPK9
8,prerank,Measles,0.37340964055475384,1.6658505519668898,0.0,0.10519893763539852,0.579,82/126,40.35%,CASP8;AKT1;CCND2;IKBKG;CD46;BAD;TLR4;IFNA2;PIK3CD;CCND3;NFKB1;TAB2;CASP9;FAS;BCL2;BID;TBK1;JAK1;HSPA1B;BBC3;STAT2;STAT3;IFNA21;NFKBIA;IFNA4;BCL2L1;JUN;CASP3;CDK2;OAS1;IFNA10;SLAMF1;CDKN1B;TP53;EIF2AK4;MYD88;IRAK4;CSNK2A1;STAT1;EIF2AK2;FOS;TNFAIP3;IL2RA;GSK3B;RELA;CYCS;CBLB;CSNK2B;CD209;BAK1;APAF1;FADD;NFKBIB;RCHY1;IFNB1;DDX58;IKBKE;MAPK8;IL12A;ADAR;TLR2;HSPA8;IFNA14;CD3D;IRAK1;CDK4;IL2;PIK3CA;IFNA5;IFNA1;MAPK9;CD3E;JAK3;CCND1;CD3G;CDK6;CSNK2A2;TLR9;TLR7;IL6;CLEC4M;IRF9
9,prerank,Acute myeloid leukemia,0.39859540192452925,1.6579426162519089,0.002002002002002002,0.10294707539208486,0.604,26/65,19.60%,CSF1R;PIM1;PPARD;AKT1;IKBKG;BAD;PIK3CD;RARA;SOS1;NFKB1;TCF7L2;MAPK1;RPS6KB1;RAF1;STAT3;CEBPA;KRAS;LEF1;MAPK3;FCGR1A;EIF4EBP1;PML;GRB2;BRAF;RPS6KB2;FLT3
