,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Endometrial cancer,0.572929549774955,2.2038022786696634,0.0,0.0,0.0,40/53,31.99%,GRB2;SOS2;CTNNB1;PIK3CA;TP53;FOXO3;NRAS;PIK3R1;BAD;BAX;AXIN1;MAP2K1;MAPK3;PIK3CB;AKT2;CDH1;HRAS;PIK3R3;EGFR;KRAS;AKT1;ARAF;BRAF;EGF;ILK;RAF1;ERBB2;CCND1;AKT3;AXIN2;LEF1;PIK3CD;SOS1;GADD45B;TCF7L2;CDKN1A;DDB2;CASP9;MAPK1;PTEN
1,prerank,Non-small cell lung cancer,0.5390771349952577,2.113778367791519,0.0,0.0,0.0,46/63,32.48%,PRKCA;RB1;GRB2;SOS2;PIK3CA;TP53;FOXO3;NRAS;PIK3R1;BAD;JAK3;BAX;MAP2K1;MAPK3;EML4;PIK3CB;AKT2;HRAS;PIK3R3;EGFR;KRAS;AKT1;ARAF;BRAF;STAT3;EGF;CDK6;RAF1;ERBB2;RARB;PRKCB;CCND1;AKT3;PIK3CD;STK4;ALK;SOS1;FHIT;RXRG;GADD45B;CDKN1A;STAT5A;DDB2;CASP9;MAPK1;PLCG2
2,prerank,Prolactin signaling pathway,0.5344750356675081,2.0994801799617133,0.0,0.0,0.0,46/64,31.09%,GRB2;SOS2;SOCS2;PIK3CA;JAK2;FOXO3;NRAS;PIK3R1;GCK;NFKB1;CISH;MAP2K1;MAPK3;INS;PRLR;MAPK8;ESR1;CGA;PIK3CB;AKT2;HRAS;PIK3R3;MAPK9;KRAS;TH;SOCS4;RELA;AKT1;STAT3;SHC1;MAPK13;PRL;RAF1;IRF1;CCND1;AKT3;MAPK11;PIK3CD;ESR2;CCND2;SOS1;TNFRSF11A;SOCS3;FOS;STAT5A;MAPK1
3,prerank,Colorectal cancer,0.5111448645802772,2.045713574640516,0.0,0.0,0.0,53/79,31.09%,GRB2;SOS2;PMAIP1;CTNNB1;PIK3CA;TP53;BCL2;NRAS;TGFBR1;PIK3R1;BAD;CASP3;BAX;AXIN1;MAP2K1;JUN;MAPK3;RPS6KB1;MAPK8;RALB;PIK3CB;AKT2;RALA;HRAS;PIK3R3;EGFR;MAPK9;KRAS;AKT1;ARAF;BRAF;EGF;SMAD4;RPS6KB2;RAF1;SMAD2;RAC1;CCND1;AKT3;AXIN2;LEF1;MTOR;PIK3CD;SOS1;BCL2L11;BBC3;GADD45B;TCF7L2;CDKN1A;FOS;DDB2;CASP9;MAPK1
4,prerank,Melanoma,0.5193756532574553,1.983391201278778,0.0,0.0006031951860944568,0.003,38/52,31.99%,RB1;PIK3CA;TP53;NRAS;PIK3R1;BAD;MITF;BAX;MAP2K1;MAPK3;FGF2;FGFR1;PIK3CB;AKT2;CDH1;HRAS;PIK3R3;EGFR;KRAS;AKT1;ARAF;BRAF;EGF;CDK6;RAF1;CCND1;AKT3;PDGFD;MET;PIK3CD;MDM2;FGF10;GADD45B;CDKN1A;DDB2;FGF9;MAPK1;PTEN
5,prerank,Relaxin signaling pathway,0.4751134595556903,1.9662263373905329,0.0,0.0006702168734382854,0.004,72/103,36.46%,PRKCA;RXFP1;GRB2;CREB1;SOS2;COL4A5;GNGT2;PRKACB;PIK3CA;ARRB1;NRAS;TGFBR1;PIK3R1;MMP13;GNB5;NFKB1;GNG4;MAP2K1;JUN;MAPK3;GNAS;ADCY2;MAPK8;PIK3CB;AKT2;PRKCZ;PRKACG;HRAS;PIK3R3;EGFR;MAPK9;KRAS;PRKACA;RELA;AKT1;GNG7;RXFP4;SHC1;ATF2;GNAI3;MAPK13;ADCY6;RAF1;SMAD2;EDN1;AKT3;GNG12;CREB3L4;NFKBIA;ADCY3;VEGFA;MAPK11;PIK3CD;SOS1;GNG5;NOS3;MMP2;FOS;VEGFB;MAPK1;GNAI1;MAP2K7;TGFBR2;MMP1;GNA15;CREB3;MAPK12;MMP9;VEGFC;SMAD3;TGFB1;GNAI2
6,prerank,Pancreatic cancer,0.49343652779989744,1.9652531703863434,0.0,0.0005744716058042446,0.004,48/71,31.09%,CHUK;RB1;PIK3CA;TP53;TGFBR1;PIK3R1;BAD;PLD1;BAX;NFKB1;MAP2K1;MAPK3;RPS6KB1;BCL2L1;MAPK8;RALB;PIK3CB;AKT2;RALA;PIK3R3;EGFR;MAPK9;KRAS;RELA;AKT1;ARAF;BRAF;STAT3;EGF;SMAD4;RPS6KB2;CDK6;RAF1;ERBB2;CDC42;SMAD2;RAC1;CCND1;AKT3;VEGFA;MTOR;PIK3CD;IKBKB;GADD45B;CDKN1A;DDB2;CASP9;MAPK1
7,prerank,Regulation of lipolysis in adipocytes,0.518215419969227,1.945516718000063,0.0,0.0008796596463877495,0.007,31/43,32.37%,FABP4;PRKACB;MGLL;PIK3CA;PIK3R1;ADRB2;PDE3B;INS;GNAS;ADCY2;ADRB3;CGA;NPY1R;PIK3CB;AKT2;PRKACG;NPR1;PIK3R3;PTGS2;PRKACA;AKT1;GNAI3;ADCY6;PRKG2;AKT3;ADCY3;PIK3CD;INSR;ADRB1;GNAI1;IRS1
8,prerank,Prion diseases,0.5463260272740259,1.9320525237201263,0.0,0.0010053253101574282,0.009,17/29,20.95%,NOTCH1;FYN;SOD1;PRKACB;IL6;BAX;MAP2K1;MAPK3;C8B;PRKACG;PRKACA;NCAM1;PRNP;C9;C7;IL1B;C5
9,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4717834732271303,1.9214697495749504,0.0,0.0011058578411731709,0.011,63/89,36.57%,PRKCA;NOX1;COL4A5;PRKCD;PIK3CA;JAK2;BCL2;NRAS;TGFBR1;PIK3R1;IL6;CASP3;F3;NFATC1;SERPINE1;AGTR1;BAX;NFKB1;JUN;MAPK3;THBD;MAPK8;PIK3CB;AKT2;PRKCZ;HRAS;AGT;PIK3R3;FN1;MAPK9;KRAS;RELA;AKT1;STAT3;MAPK13;SMAD4;ICAM1;CDC42;SMAD2;IL1B;RAC1;EDN1;PRKCB;CCND1;AKT3;VEGFA;MAPK11;PIK3CD;NOS3;MMP2;VEGFB;STAT5A;MAPK1;PLCG2;TGFBR2;CCL2;MAPK12;VEGFC;AGER;SMAD3;TGFB1;CDKN1B;EGR1
10,prerank,Small cell lung cancer,0.47383102864799526,1.9049796173164706,0.0,0.0017364709902719217,0.019,52/79,32.59%,CDK2;CHUK;RB1;COL4A5;LAMB1;TRAF3;PIK3CA;TP53;BCL2;PIK3R1;PTK2;CASP3;BAX;NFKB1;BIRC3;BCL2L1;TRAF6;SKP2;MAX;PIK3CB;AKT2;ITGA3;PIK3R3;FN1;PTGS2;RELA;TRAF1;AKT1;APAF1;ITGA6;CCNE1;CDK6;RARB;LAMA3;TRAF4;CCND1;AKT3;NFKBIA;PIK3CD;FHIT;LAMB3;XIAP;RXRG;IKBKB;GADD45B;CDKN1A;DDB2;CASP9;TRAF5;PTEN;CKS2;ITGB1
11,prerank,Autophagy,0.46158203682433635,1.8991054669093095,0.0,0.0019268735111350706,0.023,63/100,33.28%,RHEB;PRKACB;PRKCD;STK11;PIK3CA;BCL2;DDIT4;NRAS;PIK3R1;HIF1A;PRKAA1;BAD;MAP2K1;MAPK3;DAPK2;INS;RPS6KB1;ATG3;BCL2L1;TRAF6;MAPK8;RRAGD;MTMR3;PIK3CB;AKT2;PRKACG;HRAS;PIK3R3;CAMKK2;MAPK9;KRAS;MLST8;PRKACA;AKT1;ATG16L1;ATG10;MAP3K7;CTSB;DAPK1;RPS6KB2;RAF1;DEPTOR;PIK3R4;PPP2CB;DAPK3;AKT3;MTOR;ATG5;PIK3CD;ULK1;BNIP3;PIK3C3;HMGB1;RRAGC;NRBF2;CTSD;MAPK1;GABARAPL1;LAMP1;PTEN;ITPR1;IRS1;RPTOR
12,prerank,Endocrine and other factor-regulated calcium reabsorption,0.514846643175495,1.8908302231514882,0.0,0.002165316052646768,0.028,21/36,27.28%,PRKCA;PRKACB;VDR;CALB1;CLTA;DNM1;RAB11A;GNAS;ESR1;PRKACG;PRKACA;BDKRB2;ADCY6;SLC8A1;ATP1B2;AP2M1;PRKCB;ATP2B1;ATP1B1;ATP1A3;FXYD2
13,prerank,B cell receptor signaling pathway,0.47403288923722664,1.88106114961862,0.0,0.0021542685217659173,0.03,45/68,31.09%,SYK;CHUK;GRB2;SOS2;PIK3CA;NRAS;PIK3R1;NFATC3;NFATC1;NFKB1;MAP2K1;JUN;MAPK3;PPP3CB;CD22;PPP3CA;FCGR2B;NFKBIB;PIK3CB;AKT2;HRAS;PIK3R3;KRAS;NFKBIE;RELA;AKT1;PIK3AP1;RAF1;BLNK;RAC1;PTPN6;PRKCB;VAV1;AKT3;CD19;NFKBIA;PIK3CD;SOS1;CD81;LILRB3;IKBKB;LYN;INPP5D;FOS;MAPK1
14,prerank,Insulin signaling pathway,0.45137952001782755,1.8785100214283075,0.0,0.0022787373696901707,0.033,73/111,33.89%,EIF4E;MKNK2;RHEB;GRB2;SOS2;SOCS2;PRKACB;PIK3CA;PCK2;NRAS;PYGL;HK1;PIK3R1;PRKAA1;BAD;PDE3B;CBLB;GCK;MAP2K1;MAPK3;PRKAR2B;INS;RPS6KB1;PRKCI;PRKAB1;MAPK8;PHKG1;PRKAR1A;PCK1;PIK3CB;AKT2;PRKCZ;PRKACG;HRAS;PIK3R3;MAPK9;KRAS;SOCS4;PRKACA;AKT1;MKNK1;ARAF;BRAF;PKLR;SHC1;RPS6KB2;RAF1;PRKAB2;PHKG2;PRKAR2A;AKT3;CALM2;MTOR;PIK3CD;TRIP10;PPP1CA;SOS1;G6PC;INSR;PPP1CC;IKBKB;SREBF1;SOCS3;GYS1;PYGM;PRKAG3;MAPK1;G6PC3;CALM3;IRS1;HK3;RPTOR;PRKAR1B
15,prerank,Chronic myeloid leukemia,0.46965380228368253,1.859778669512735,0.0,0.0027646446029329272,0.043,51/71,38.74%,CHUK;RB1;GRB2;SOS2;PIK3CA;TP53;NRAS;TGFBR1;PIK3R1;HDAC1;BAD;ABL1;BAX;NFKB1;MAP2K1;MAPK3;BCL2L1;CTBP2;PIK3CB;AKT2;HRAS;PIK3R3;KRAS;RELA;AKT1;ARAF;BRAF;SHC1;SMAD4;CDK6;RAF1;CCND1;AKT3;NFKBIA;PIK3CD;MDM2;SOS1;IKBKB;GADD45B;CDKN1A;STAT5A;DDB2;BCR;MAPK1;TGFBR2;SMAD3;TGFB1;CDKN1B;CDKN2A;CDK4;HDAC2
16,prerank,Choline metabolism in cancer,0.46417860169052483,1.8556194663107122,0.0,0.0027202920157200993,0.045,48/78,32.03%,PRKCA;RHEB;GRB2;SOS2;PIK3CA;NRAS;PIK3R1;HIF1A;DGKA;PLD1;DGKH;SLC22A3;MAP2K1;JUN;MAPK3;DGKG;RPS6KB1;SLC22A4;MAPK8;LYPLA1;PIK3CB;AKT2;HRAS;PIK3R3;EGFR;MAPK9;KRAS;AKT1;DGKZ;EGF;DGKQ;RPS6KB2;RAF1;DGKK;RAC1;SLC22A5;PRKCB;AKT3;PDGFD;MTOR;PIK3CD;SOS1;WAS;FOS;PIP5K1C;MAPK1;PLA2G4A;PIP5K1A
17,prerank,Neurotrophin signaling pathway,0.44797235577966144,1.8476267225361676,0.0,0.00290427311823257,0.05,68/103,34.95%,GRB2;SOS2;PRKCD;PIK3CA;TP53;BCL2;FOXO3;NRAS;PIK3R1;BAD;ABL1;BAX;NFKB1;MAP2K1;JUN;MAPK3;TRAF6;MAPK8;NTRK2;NFKBIB;ARHGDIB;PIK3CB;AKT2;HRAS;PIK3R3;NTRK3;MAPK9;KRAS;NFKBIE;RELA;AKT1;MAPKAPK2;BRAF;SHC1;SH2B3;MAPK13;PRDM4;RIPK2;ZNF274;RAF1;MAPK7;CDC42;PSEN2;RAC1;NTRK1;IRAK4;IRAK2;AKT3;SORT1;NFKBIA;CALM2;MAPK11;PIK3CD;SOS1;IKBKB;MAGED1;CAMK2B;RPS6KA6;MAPK1;CALM3;IRS1;PLCG2;FRS2;IRAK1;MAP2K7;MAP3K5;MAP3K1;MAPK12
18,prerank,C-type lectin receptor signaling pathway,0.44588178392235583,1.8431364635009464,0.0,0.002751416638325593,0.05,63/99,32.48%,IL10;SYK;CHUK;CARD9;PRKCD;PAK1;PIK3CA;NRAS;PIK3R1;NFATC3;IL6;CBLB;NFATC1;NFKB1;JUN;MAPK3;MAP3K14;PPP3CB;BCL3;MAPK8;PPP3CA;IL2;IL23A;PIK3CB;AKT2;PLK3;HRAS;PIK3R3;PTGS2;MAPK9;KRAS;NLRP3;RELA;AKT1;MAPKAPK2;CCL17;MAPK13;LSP1;RAF1;STAT2;IL1B;IRF1;AKT3;CASP8;EGR2;NFKBIA;CALM2;MAPK11;PIK3CD;CLEC4D;IRF9;MDM2;NFATC4;IKBKB;ITPR3;KSR1;CYLD;MAPK1;CALM3;NFKB2;FCER1G;ITPR1;PLCG2
19,prerank,Osteoclast differentiation,0.4321940553136215,1.8148789161637922,0.0,0.003518638585550998,0.065,79/122,36.49%,IFNG;FYN;SYK;CHUK;NOX1;GRB2;CREB1;PIK3CA;TGFBR1;PIK3R1;FHL2;NFATC1;MITF;NFKB1;MAP2K1;JUN;MAPK3;MAP3K14;OSCAR;PPP3CB;TRAF6;SQSTM1;TNFRSF1A;MAPK8;PPP3CA;FCGR2B;PIK3CB;AKT2;FOSB;FOSL1;PIK3R3;PPARG;MAPK9;RELA;AKT1;CTSK;NCF1;TYK2;FOSL2;MAPK13;MAP3K7;SIRPA;JUNB;FCGR2A;STAT2;BLNK;IL1B;RAC1;NCF4;SIRPB1;LILRA2;AKT3;TAB2;NFKBIA;IL1R1;LCP2;LCK;MAPK11;PIK3CD;IRF9;TNFRSF11B;SIRPG;LILRB3;IKBKB;TNFRSF11A;SOCS3;FOS;CYLD;MAPK1;NFKB2;PLCG2;MAP2K7;LILRA6;TGFBR2;MAPK12;FCGR3B;TGFB1;IFNGR1;SOCS1
20,prerank,VEGF signaling pathway,0.4711527797717639,1.8117061186118566,0.0,0.0036383201700935495,0.069,35/52,32.48%,PRKCA;MAPKAPK3;PIK3CA;NRAS;PIK3R1;BAD;PTK2;MAP2K1;MAPK3;PPP3CB;PPP3CA;PIK3CB;AKT2;HRAS;PIK3R3;PTGS2;KRAS;AKT1;MAPKAPK2;MAPK13;KDR;RAF1;CDC42;RAC1;PRKCB;AKT3;VEGFA;MAPK11;PIK3CD;NOS3;CASP9;SPHK2;MAPK1;PLA2G4A;PLCG2
21,prerank,Longevity regulating pathway,0.445780786045302,1.8113776535267847,0.0,0.0034729419805438434,0.069,46/85,26.14%,EIF4E;RHEB;CREB1;SOD1;PRKACB;STK11;PIK3CA;TP53;FOXO3;NRAS;PIK3R1;PRKAA1;HDAC1;BAX;NFKB1;HSPA8;INS;RPS6KB1;PRKAB1;ADCY2;CAT;PIK3CB;AKT2;PRKACG;HRAS;PIK3R3;CAMKK2;PPARG;KRAS;PRKACA;RELA;AKT1;ATF2;ADCY6;ADIPOR2;RPS6KB2;PRKAB2;AKT3;CREB3L4;ADCY3;EIF4EBP2;MTOR;ATG5;PIK3CD;ULK1;INSR
22,prerank,Fc epsilon RI signaling pathway,0.46675794490601663,1.8113588734792943,0.0,0.0033219445031288934,0.069,41/59,36.08%,PRKCA;FYN;SYK;GRB2;SOS2;PIK3CA;NRAS;PIK3R1;IL13;MAP2K1;MAPK3;MAPK8;ALOX5;MS4A2;PIK3CB;AKT2;MAP2K3;HRAS;PIK3R3;MAPK9;KRAS;AKT1;MAPK13;RAF1;RAC1;VAV1;AKT3;LCP2;MAPK11;PIK3CD;SOS1;ALOX5AP;LYN;INPP5D;MAPK1;PLA2G4A;FCER1G;PLCG2;MAP2K7;MAPK12;VAV3
23,prerank,Thyroid cancer,0.5005495625448735,1.8100057033517354,0.0,0.003351084367191427,0.071,22/34,31.09%,CTNNB1;TP53;NRAS;PAX8;BAX;MAP2K1;MAPK3;CDH1;RET;HRAS;PPARG;KRAS;BRAF;NTRK1;CCND1;LEF1;RXRG;GADD45B;TCF7L2;CDKN1A;DDB2;MAPK1
24,prerank,Acute myeloid leukemia,0.45821898542845196,1.8058649002826284,0.0,0.003257254004910067,0.072,40/65,31.84%,CHUK;GRB2;SOS2;PIK3CA;NRAS;PIK3R1;BAD;NFKB1;MAP2K1;MAPK3;RPS6KB1;PIK3CB;AKT2;HRAS;PIK3R3;KRAS;RELA;AKT1;ARAF;BRAF;STAT3;PPARD;RARA;RPS6KB2;RAF1;FLT3;ITGAM;CCND1;AKT3;LEF1;MTOR;PIK3CD;RUNX1T1;SOS1;IKBKB;TCF7L2;STAT5A;MAPK1;ZBTB16;CEBPA
25,prerank,Breast cancer,0.4361894080160647,1.8047417075140817,0.0,0.0032093077208871744,0.074,68/112,34.04%,NOTCH1;RB1;GRB2;SOS2;CTNNB1;PIK3CA;TP53;NRAS;CSNK1A1;JAG1;PIK3R1;BAX;AXIN1;MAP2K1;JUN;MAPK3;FGF2;RPS6KB1;BRCA1;FGFR1;WNT7B;ESR1;PIK3CB;AKT2;HRAS;PIK3R3;EGFR;KRAS;AKT1;ARAF;BRAF;SHC1;EGF;FZD4;RPS6KB2;CDK6;RAF1;ERBB2;PGR;WNT10B;CCND1;AKT3;AXIN2;LEF1;MTOR;PIK3CD;ESR2;DVL2;SOS1;WNT9A;FLT4;FGF10;NOTCH2;GADD45B;TCF7L2;CDKN1A;FZD2;FOS;DDB2;FGF9;MAPK1;NFKB2;PTEN;FZD9;CSNK1A1L;WNT1;HES1;WNT3
26,prerank,Central carbon metabolism in cancer,0.4594985768499155,1.7838321474460817,0.0,0.0038351298868968555,0.091,42/60,35.25%,PIK3CA;TP53;NRAS;HK1;PIK3R1;HIF1A;GCK;MAP2K1;TIGAR;MAPK3;FGFR1;SIRT6;SLC7A5;PIK3CB;AKT2;RET;HRAS;PIK3R3;NTRK3;EGFR;KRAS;AKT1;PDHA1;RAF1;ERBB2;FLT3;NTRK1;FGFR3;AKT3;MET;IDH1;MTOR;PIK3CD;PFKP;MAPK1;SLC16A3;PTEN;HK3;PDK1;PFKM;LDHA;HKDC1
