,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.4349259146391418,2.792444622630875,0.0,0.0,0.0,55/71,38.92%,STAT1;MAP2K1;TP53;RB1;DDB2;CCND1;BAD;VEGFA;MAPK9;CDK4;SMAD3;EGFR;GADD45A;RAC1;MTOR;ERBB2;PLD1;MAPK8;PIK3CB;AKT1;RALA;PIK3CD;RAD51;BAX;AKT3;BAK1;RPS6KB1;AKT2;IKBKB;PIK3R1;NFKB1;KRAS;CASP9;E2F1;RAC3;IKBKG;ARAF;TGFBR2;JAK1;RALBP1;TGFB1;BRAF;RALB;TGFBR1;BCL2L1;PIK3CA;CHUK;CDC42;CDKN1A;CDK6;GADD45B;PIK3R2;STAT3;RELA;TGFB2
1,prerank,Chronic myeloid leukemia,0.429405144342961,2.764051967952289,0.0,0.0,0.0,54/71,39.38%,MAP2K1;TP53;RB1;CDKN1B;MECOM;DDB2;CCND1;ABL1;HDAC1;CTBP1;BAD;MYC;CDK4;SMAD3;GADD45A;CRKL;PIK3CB;AKT1;PIK3CD;BAX;AKT3;BAK1;MDM2;SHC4;AKT2;NRAS;IKBKB;PIK3R1;NFKB1;KRAS;SHC1;RUNX1;CTBP2;E2F1;IKBKG;ARAF;TGFBR2;STAT5A;TGFB1;BRAF;SOS2;TGFBR1;BCL2L1;PIK3CA;CHUK;CDKN1A;CDK6;HRAS;NFKBIA;GADD45B;PIK3R2;RELA;TGFB2;CRK
2,prerank,Insulin signaling pathway,0.3874907248653913,2.7227624975073264,0.0,0.0,0.0,80/111,39.45%,MAP2K1;TSC2;PPP1CC;ACACA;CALM3;SOCS2;PCK2;PTPRF;BAD;FOXO1;PRKACB;PDPK1;MAPK9;MKNK2;PYGL;PHKA1;IRS1;MTOR;EIF4EBP1;PRKAA1;PRKAR2B;CRKL;PPP1CA;PRKAG2;MAPK8;PIK3CB;AKT1;G6PC;CBLB;PIK3CD;AKT3;PRKAR1A;SOCS1;RPS6KB1;PRKACA;SHC4;PRKAR1B;AKT2;PPARGC1A;PHKG2;PRKCI;NRAS;IKBKB;PIK3R1;PRKCZ;PHKG1;PKLR;EIF4E;KRAS;SHC1;INSR;MKNK1;ACACB;PRKACG;ARAF;PRKAR2A;INS;BRAF;HK1;SOS2;SLC2A4;SREBF1;RHEB;PRKAB2;INPPL1;TSC1;SOCS4;PIK3CA;RPTOR;PYGB;GSK3B;HRAS;IRS2;PTPN1;GCK;PRKAG3;PIK3R2;PCK1;CRK;PRKAB1
3,prerank,Epstein-Barr virus infection,0.3574995115256245,2.70890820162558,0.0,0.0,0.0,118/174,38.81%,ICAM1;STAT1;TRADD;CD3E;TP53;RB1;ISG15;TRAF5;CDKN1B;MAPK13;HES1;DDB2;MAPK11;NFKBIB;TAP1;CCND1;CCND2;TNFAIP3;MAPK14;STAT2;HDAC1;TBK1;FCER2;BCL2L11;IFNAR2;OAS1;MYC;RIPK1;MAP2K4;IFNA2;MAPK9;FAS;CDK4;JUN;GADD45A;RAC1;RUNX3;HLA-A;HLA-DMA;SKP2;NFKB2;MAPK12;CD247;IFNA16;IKBKE;CCND3;HLA-DQA2;CD19;MAPK8;CYCS;PIK3CB;TLR2;AKT1;BCL2;IRF9;BID;LYN;CASP8;CXCL10;TNF;PIK3CD;BAX;AKT3;SIN3A;BAK1;RBPJ;MDM2;CDK2;IRF3;AKT2;TYK2;IKBKB;PIK3R1;IRAK1;BLNK;CCNA1;NFKB1;MAP2K3;BTK;CASP9;E2F1;MAP3K14;IKBKG;HLA-DPA1;PLCG2;JAK1;HLA-DRA;MAP2K7;CASP3;CCNE1;SNW1;TRAF6;B2M;NFKBIE;PSMD1;CD40;IRAK4;PIK3CA;MAP3K7;IFNA10;HLA-DPB1;CHUK;PSMC5;USP7;SAP30;PSMD2;CCNA2;CDKN1A;CDK6;IRF7;NFKBIA;IFNA7;GADD45B;HLA-DQB1;PIK3R2;TAB2;STAT3;RELA
4,prerank,FoxO signaling pathway,0.3832147650090913,2.704151059297954,0.0,0.0,0.0,90/119,43.39%,MAP2K1;SGK3;ATM;STK11;CDKN1B;MAPK13;MAPK11;PCK2;CAT;CCND1;CCND2;MAPK14;SETD7;BCL2L11;FOXO1;CDKN2B;PDPK1;MAPK9;PTEN;NLK;SMAD3;EGFR;GADD45A;FOXO4;IRS1;SKP2;PRKAA1;MAPK12;PRKAG2;GABARAPL1;CSNK1E;BCL6;CCNB2;PRMT1;MAPK8;FASLG;PIK3CB;PLK4;AKT1;CCNB1;IL7R;G6PC;PIK3CD;AKT3;MDM2;CDK2;AKT2;S1PR4;TNFSF10;NRAS;IGF1R;IKBKB;PIK3R1;KRAS;INSR;FBXO32;ARAF;TGFBR2;TGFB1;INS;BRAF;EP300;GRM1;SOS2;SLC2A4;TGFBR1;PRKAB2;C8ORF44-SGK3;PIK3CA;CHUK;FOXO3;USP7;CDKN1A;HRAS;IRS2;IL10;HOMER2;PRKAG3;GADD45B;PIK3R2;STAT3;TGFB2;PCK1;PRKAB1;G6PC2;CREBBP;IL6;KLF2;SMAD4;PIK3R3
5,prerank,Neurotrophin signaling pathway,0.38397192689053106,2.680529107143526,0.0,0.0,0.0,74/103,39.38%,MAP2K1;TP53;NGFR;CALM3;MAPK13;CAMK2D;PSEN2;MAPK11;PRKCD;NFKBIB;NTRK1;RPS6KA1;ABL1;MAPK14;RPS6KA3;BAD;RHOA;MAP3K5;PDPK1;MAPKAPK2;MAPK9;JUN;RAC1;IRS1;MAPK12;IRAK2;CRKL;MAPK8;FASLG;PIK3CB;AKT1;BCL2;PIK3CD;BAX;AKT3;RPS6KA6;SHC4;RAP1A;AKT2;ZNF274;FRS2;NRAS;IKBKB;PIK3R1;IRAK1;NFKB1;KRAS;SHC1;ARHGDIB;RIPK2;PLCG2;SH2B3;ATF4;MAP2K7;CAMK2G;BRAF;TRAF6;NFKBIE;SOS2;NTRK3;SORT1;IRAK4;MAP2K5;PIK3CA;MAGED1;CDC42;FOXO3;GSK3B;HRAS;NFKBIA;RPS6KA5;PIK3R2;RELA;CRK
6,prerank,Measles,0.3618109396280301,2.6075099496510092,0.0,0.0,0.0,88/126,39.41%,STAT1;TRADD;CD3E;TP53;RCHY1;CDKN1B;NFKBIB;CCND1;CCND2;TNFAIP3;TLR4;STAT2;TLR7;TBK1;IFIH1;BAD;IFNAR2;HSPA1B;OAS1;IL2;IFNA2;IL12B;MAPK9;FAS;CDK4;JUN;EIF2AK1;ADAR;IFNA16;IKBKE;CCND3;MAPK8;FASLG;CYCS;PIK3CB;TLR2;AKT1;BCL2;IRF9;BID;CASP8;CBLB;PIK3CD;BAX;AKT3;BAK1;CDK2;IRF3;AKT2;TYK2;IKBKB;PIK3R1;IRAK1;CD46;NFKB1;TLR9;IL12A;CASP9;FCGR2B;IKBKG;STAT5A;JAK1;HSPA1A;CASP3;CSNK2B;CCNE1;TRAF6;CSNK2A2;BCL2L1;IRAK4;PIK3CA;MAP3K7;IFNA10;CHUK;IL2RG;HSPA2;SLAMF1;FOS;GSK3B;CDK6;IRF7;NFKBIA;IFNA7;PIK3R2;TAB2;STAT3;RELA;MX1
7,prerank,Kaposi sarcoma-associated herpesvirus infection,0.34442635062063776,2.592604557508813,0.0,0.0,0.0,106/159,38.81%,ICAM1;STAT1;MAP2K1;TRADD;TP53;RB1;TNFRSF1A;GNB4;CALM3;MAPK13;MAPK11;CTNNB1;CCND1;MAPK14;STAT2;TBK1;JAK2;IFNAR2;CXCL1;MYC;NFATC1;MAP2K4;VEGFA;MAPKAPK2;IFNA2;MAPK9;GNG5;HIF1A;FAS;CCR4;GNB2;CDK4;JUN;RAC1;UBB;HLA-A;GNGT2;MTOR;CREB1;MAPK12;IFNA16;IKBKE;GABARAPL1;IFNGR1;MAPK8;CYCS;PIK3CB;NFATC3;AKT1;IL6ST;IRF9;BID;LYN;CASP8;PIK3CD;BAX;AKT3;BAK1;IRF3;PTGS2;AKT2;PPP3CB;TYK2;GNG7;NRAS;IKBKB;PIK3R1;TLR3;NFKB1;C3;KRAS;CASP9;E2F1;NFATC2;IKBKG;PLCG2;NFATC4;JAK1;MAP2K7;PPP3CA;HCK;CASP3;EP300;GNG4;GNB5;PPP3CC;FGF2;GNG12;PIK3CA;IFNA10;CHUK;CD86;FOS;GSK3B;CDKN1A;CCR3;CDK6;HRAS;IRF7;BECN1;PIK3CG;NFKBIA;IFNA7;PIK3R2;STAT3;RELA
8,prerank,Hepatitis B,0.34773571508668677,2.585100836806273,0.0,0.0,0.0,103/153,38.92%,STAT1;PRKCA;MAP2K1;TP53;RB1;MAPK13;DDB2;MAPK11;MAPK14;TLR4;STAT2;TBK1;IFIH1;JAK2;EGR2;BAD;MYC;NFATC1;MAP2K4;IFNA2;MAPK9;FAS;TIRAP;SMAD3;JUN;STAT4;ATF2;CREB3;CREB1;MAPK12;IFNA16;IKBKE;PRKCB;MAPK8;FASLG;CYCS;PIK3CB;TLR2;NFATC3;AKT1;BCL2;BID;CASP8;TNF;PIK3CD;BAX;AKT3;CDK2;IRF3;AKT2;TYK2;NRAS;IKBKB;PIK3R1;TLR3;IRAK1;CCNA1;NFKB1;KRAS;MAP2K3;CASP9;YWHAQ;E2F1;NFATC2;IKBKG;PTK2B;ARAF;TGFBR2;STAT5A;NFATC4;ATF4;JAK1;MAP2K7;TGFB1;BRAF;CASP3;CCNE1;TRAF6;EP300;CASP10;SOS2;TGFBR1;IRAK4;PIK3CA;MAP3K7;IFNA10;CHUK;MMP9;CREB3L4;FOS;CCNA2;CDKN1A;HRAS;IRF7;NFKBIA;IFNA7;STAT6;CREB3L2;PIK3R2;TAB2;STAT3;RELA;TGFB2
9,prerank,Prostate cancer,0.38205915203989194,2.554049380321058,0.0,0.0,0.0,64/89,38.81%,MAP2K1;TP53;RB1;HSP90AB1;CDKN1B;CTNNB1;CCND1;BAD;IL1R2;FOXO1;PDPK1;FGFR1;PTEN;EGFR;CREB3;MTOR;CREB1;HSP90B1;ERBB2;ERG;PIK3CB;PLAT;AKT1;BCL2;HSP90AA1;PIK3CD;AKT3;MDM2;CDK2;AKT2;NRAS;IGF1R;IKBKB;PIK3R1;PLAU;NFKB1;KRAS;CASP9;E2F1;IKBKG;ARAF;ATF4;FGFR2;INS;BRAF;CCNE1;EP300;SOS2;PDGFRB;LEF1;PIK3CA;TCF7L2;CHUK;MMP9;CREB3L4;GSK3B;ZEB1;CDKN1A;HRAS;NFKBIA;PDGFRA;CREB3L2;PIK3R2;RELA
