,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Proteasome,0.6373055235833963,2.18734719812829,0.0,0.0,0.0,20/23,30.75%,PSMF1;PSMA7;PSMB1;PSMD1;PSMA5;PSMC5;PSMD2;PSMA1;PSMD4;PSMB2;PSMB7;PSMD8;PSMB5;PSMB9;PSMA3;PSMD3;PSMB10;PSME2;PSMA8;IFNG
1,prerank,Insulin signaling pathway,0.4874409152945286,2.0571779019899465,0.0,0.0015089553218011241,0.003,80/111,34.99%,TRIP10;PRKAB1;CRK;PIK3CA;RPS6KB1;SOCS1;PYGL;IKBKB;BAD;FASN;MAPK9;PRKAA2;INS;AKT1;PCK2;MAP2K2;CBL;NRAS;PRKACG;PHKA1;RHEB;PRKAR2B;PRKAR1A;PRKCI;CRKL;PHKB;PRKAA1;PRKAR2A;HRAS;PRKACB;PYGM;PRKAG3;PRKAG1;AKT2;CALM1;INPPL1;EIF4EBP1;HK3;FBP1;SOS1;SHC4;PRKAG2;IRS1;KRAS;G6PC2;PIK3R1;TSC2;PHKG2;SOCS2;PRKCZ;PPARGC1A;ARAF;G6PC;RPS6KB2;EIF4E;TSC1;PTPRF;GCK;MAP2K1;MAPK8;CALM2;ELK1;BRAF;ACACB;PTPN1;GSK3B;PRKACA;HK2;MKNK2;MAPK3;PKLR;GRB2;SOS2;RAF1;CALM3;SOCS4;PIK3CD;SHC1;PCK1;AKT3
2,prerank,Endometrial cancer,0.506108274903303,1.9763172454286706,0.0,0.002682587238757554,0.008,39/53,32.95%,ERBB2;PIK3CA;GADD45B;BAD;CDKN1A;AKT1;MAP2K2;NRAS;DDB2;HRAS;GADD45A;CDH1;AKT2;EGFR;TCF7L2;SOS1;KRAS;AXIN2;PTEN;PIK3R1;MYC;APC;LEF1;CTNNB1;ARAF;MAP2K1;CTNNA1;ELK1;BRAF;GSK3B;TCF7;FOXO3;TP53;MAPK3;GRB2;ILK;SOS2;RAF1;PIK3CD
3,prerank,Chronic myeloid leukemia,0.4666119953186805,1.8962799322948753,0.0,0.008802239377173223,0.034,49/71,33.49%,CTBP2;CRK;PIK3CA;ABL1;GADD45B;IKBKB;RELA;BAD;CDKN1A;NFKB1;AKT1;IKBKG;MAP2K2;STAT5B;CBL;NRAS;DDB2;CDKN2A;BCL2L1;CDK4;CTBP1;CRKL;HRAS;NFKBIA;GADD45A;RB1;AKT2;BCR;SOS1;SHC4;KRAS;PIK3R1;HDAC1;MYC;TGFBR2;ARAF;MDM2;MAP2K1;SMAD4;BRAF;TGFBR1;SMAD3;TP53;MAPK3;GRB2;SOS2;RAF1;PIK3CD;SHC1
4,prerank,Hepatocellular carcinoma,0.43173744973061984,1.8690359365074574,0.0,0.010663284274061276,0.051,92/146,35.10%,GSTA4;KEAP1;NFE2L2;PIK3CA;RPS6KB1;PLCG2;NQO1;GADD45B;GSTT1;BAD;SMARCA4;CDKN1A;GSTM2;AKT1;PRKCA;MAP2K2;SMARCE1;GSTM1;NRAS;DDB2;CDKN2A;ACTB;DPF1;BCL2L1;CDK4;WNT7B;HRAS;SMARCB1;GADD45A;WNT9B;RB1;AKT2;EGFR;MGST1;TCF7L2;TGFA;SOS1;GSTA1;SHC4;TXNRD2;KRAS;AXIN2;PTEN;PIK3R1;DVL1;PRKCG;FZD4;MYC;SMARCC1;ACTL6A;APC;TGFBR2;LEF1;CTNNB1;SMARCC2;SMARCD2;PBRM1;ARAF;RPS6KB2;ARID1A;FZD1;MAP2K1;ELK1;SMAD4;CSNK1A1L;BRAF;GSTA3;HMOX1;GSK3B;MGST2;TGFBR1;BRD7;TCF7;WNT3;SMAD3;TP53;MAPK3;GRB2;LRP5;PRKCB;PLCG1;CSNK1A1;SOS2;RAF1;LRP6;SMAD2;PIK3CD;PHF10;SHC1;GSTM3;AKT3;FZD3
5,prerank,Neurotrophin signaling pathway,0.4461245957284193,1.8689920314807968,0.0,0.008886070228384398,0.051,74/103,39.68%,RIPK2;CRK;PIK3CA;PLCG2;MAPK7;ABL1;RHOA;RAP1A;IKBKB;RELA;BAD;MAPK9;MAP3K1;PRKCD;NFKB1;AKT1;MAP2K2;NRAS;CRKL;HRAS;NFKBIA;FASLG;AKT2;CALM1;PSEN2;MAPK13;SOS1;SHC4;MAP2K7;ARHGDIA;IRS1;KRAS;PIK3R1;RPS6KA2;RAC1;IRAK2;MAPK11;MAP3K5;ZNF274;SH2B3;RPS6KA5;MAP2K1;MAPK8;CALM2;MAP2K5;BRAF;CDC42;BCL2;GSK3B;PRDM4;FOXO3;IRAK1;CAMK4;TP53;MAPK3;GRB2;PLCG1;NFKBIE;SOS2;RAF1;CALM3;PIK3CD;TRAF6;MAPKAPK2;SHC1;AKT3;CAMK2D;MAPK14;MAPK12;NTRK3;ATF4;NTRK2;MAPK1;CAMK2A
6,prerank,Thermogenesis,0.43004079997889616,1.8538011548002986,0.0,0.008335181777568113,0.056,96/147,35.60%,PRKAB1;RPS6KB1;SDHC;KDM3A;GNAS;PPARG;SMARCA4;PRKAA2;CPT1B;NDUFB7;SIRT6;MLST8;CREB3L4;SMARCE1;CREB3L2;NRAS;PRKACG;CYC1;ACTB;NDUFS6;DPF1;RHEB;ATF2;NDUFV2;PRKAA1;HRAS;SMARCB1;PRKACB;CNR1;SDHD;UQCRFS1;PRKAG3;NDUFS3;ADCY3;PRKAG1;PRKG1;MAPK13;SOS1;PRKAG2;CREB1;KRAS;COX4I1;TSC2;RPS6KA2;NDUFS1;SMARCC1;ACTL6A;NDUFA1;NPR1;SMARCC2;MAP2K3;SMARCD2;PPARGC1A;MAPK11;NDUFA2;RPS6KB2;MAP3K5;ARID1A;TSC1;UQCR11;NDUFS7;NDUFC1;NDUFB6;ADCY9;KDM3B;COX6B2;KDM1A;ACSL4;COX7C;NDUFB4;PRKACA;NDUFA4L2;UQCRC1;GRB2;COX5A;NDUFV1;NDUFA6;NDUFA3;ADCY1;COX5B;NDUFA7;FGFR1;NDUFB5;SDHA;SLC25A20;SOS2;ACSL1;NDUFS5;ACSL3;NDUFB8;SDHB;NDUFS2;NDUFA8;NDUFC2;MAPK14;NDUFAF3
7,prerank,Autophagy,0.4444620577185027,1.8501862436429908,0.0,0.007544776609005621,0.058,65/100,33.12%,PIK3CA;RPS6KB1;CFLAR;LAMP1;BAD;GABARAPL1;MAPK9;PRKAA2;INS;PRKCD;HMGB1;AKT1;MLST8;MAP2K2;NRAS;PRKACG;PIK3R4;NRBF2;CTSD;BCL2L1;RHEB;MAP3K7;HIF1A;PRKAA1;HRAS;PRKACB;UVRAG;STK11;AKT2;ATG4D;DAPK1;PRKCQ;IRS1;KRAS;PTEN;PIK3R1;TSC2;DEPTOR;ULK2;PPP2CA;RPS6KB2;TSC1;ULK1;MAP2K1;PIK3C3;MAPK8;EIF2AK4;BCL2;BECN1;RRAGA;PRKACA;ATG3;ERN1;ATG16L2;MAPK3;ATG5;ATG4B;PPP2CB;SUPT20H;CAMKK2;RAF1;ATG10;BNIP3;PIK3CD;TRAF6
8,prerank,ErbB signaling pathway,0.4548641017003374,1.8500577615420875,0.0,0.006706468096893885,0.058,54/79,35.28%,ERBB2;CRK;PIK3CA;RPS6KB1;PLCG2;ABL1;PTK2;BAD;MAPK9;CDKN1A;NRG1;AKT1;PRKCA;MAP2K2;STAT5B;CBL;NRAS;ERBB4;CRKL;HRAS;PAK5;AKT2;EGFR;TGFA;EIF4EBP1;MAP2K4;SOS1;SHC4;MAP2K7;KRAS;PIK3R1;SRC;PRKCG;MYC;ARAF;RPS6KB2;MAP2K1;MAPK8;ELK1;ERBB3;BRAF;GSK3B;PAK1;MAPK3;GRB2;PRKCB;PAK3;PLCG1;SOS2;RAF1;PIK3CD;SHC1;AKT3;CAMK2D
9,prerank,Human cytomegalovirus infection,0.4137274650186699,1.8265227573676956,0.0,0.007947164694819252,0.073,120/197,33.01%,GNA11;CRK;PIK3CA;RPS6KB1;GNAS;RHOA;IKBKB;PTK2;RELA;CDKN1A;NFKB1;CYCS;PPP3CA;IFNA8;AKT1;IKBKG;PRKCA;MAP2K2;GNA12;CREB3L4;BID;PLCB4;GNB5;CREB3L2;NRAS;PRKACG;ITGAV;CDKN2A;PTGER1;GNAI2;IFNA10;PPP3CB;IL10RB;CDK4;TRADD;RHEB;HLA-A;TAP2;ATF2;CRKL;HRAS;PRKACB;NFKBIA;CCR1;CCL4L2;CASP8;FASLG;GNA13;ADCY3;RB1;AKT2;EGFR;CALM1;PPP3R2;GNG8;EIF4EBP1;MAPK13;CXCR2;SOS1;IL1R1;ARHGEF11;CREB1;KRAS;NFATC4;PIK3R1;TSC2;SRC;CASP3;PRKCG;RIPK1;ITGB3;MYC;RAC1;GNG5;CCR3;IFNA14;CTNNB1;CCL4;ITPR2;MAPK11;CXCL12;RPS6KB2;CALR;PXN;TSC1;MDM2;MAP2K1;STAT3;CALM2;ELK1;TAP1;ADCY9;GSK3B;IFNB1;PRKACA;CCL3L3;TRAF5;JAK1;PPP3R1;GNB2;TP53;MAPK3;TBK1;GRB2;GNG7;ADCY1;PRKCB;CXCL8;IFNA7;SOS2;RAF1;CXCR4;CALM3;MAP2K6;PTK2B;PDGFRA;ROCK2;TRAF2;PIK3CD;FADD
